ENTRY            31800   20190708                             318931800  0    1 
SUBENT        31800001   20190708                             318931800  1    1 
BIB                 10         16                                 31800  1    2 
TITLE      Structure effects in (n,a) reactions on Nd isotopes    31800  1    3 
AUTHOR     (W.Augustyniak, L.Glowacka, M.Jaskola, J.Turkiewicz,   31800  1    4 
            L.Zemlo)                                              31800  1    5 
INSTITUTE  (3POLIPJ)                                              31800  1    6 
REFERENCE  (J,NCL,42,425,1985)                                    31800  1    7 
           (J,PR/C,38,1649,1988)                                  31800  1    8 
            142,143,144Nd(n,a) DA and DE in figs                  31800  1    9 
           ((J,RE,94,269,1986)=(C,85SANTA,,269,1986))             31800  1   10 
            142,143Nd(n,a) DAE in figs                            31800  1   11 
REL-REF    (O,30478001,W.Augustyniak+,J,BAS,45,(11),131,1981)     31800  1   12 
            143Nd(n,a)140Ce alpha spectra                         31800  1   13 
FACILITY   (VDG,3POLIPJ)                                          31800  1   14 
INC-SOURCE (D-T)                                                  31800  1   15 
DETECTOR   (SIBAR)                                                31800  1   16 
ERR-ANALYS (DATA-ERR) No information on the source of uncertainty 31800  1   17 
HISTORY    (20190708C) On                                         31800  1   18 
ENDBIB              16          0                                 31800  1   19 
NOCOMMON             0          0                                 31800  1   20 
ENDSUBENT           19          0                                 31800  199999 
SUBENT        31800002   20190708                             318931800  2    1 
BIB                  3         10                                 31800  2    2 
REACTION   (60-ND-142(N,A)58-CE-139,,DE)                          31800  2    3 
COMMENT    By compiler (2019-07-08):                              31800  2    4 
            This data set is almost equivalent to the double      31800  2    5 
           differential crosss section (mb/sr/MeV) at 26 deg      31800  2    6 
           multiplied by a factor of 3.6 (14.3 MeV) or            31800  2    7 
           3.0 (18.1 MeV) plotted in Fig.1 of Rad.Eff.94(1986)269.31800  2    8 
            It is not clear how the experimentalists derived      31800  2    9 
           the (n,a) alpha energy differential cross section from 31800  2   10 
           the alpha emission double differential cross section.  31800  2   11 
STATUS     (CURVE) Fig.1 of Lett.Nuvo.Cim.42(1985)425             31800  2   12 
ENDBIB              10          0                                 31800  2   13 
NOCOMMON             0          0                                 31800  2   14 
DATA                 4        123                                 31800  2   15 
EN         E          DATA       DATA-ERR                         31800  2   16 
MEV        MEV        MB/MEV     MB/MEV                           31800  2   17 
 14.3       16.1        0.22      0.31                            31800  2   18 
 14.3       16.2        0.24      0.32                            31800  2   19 
 14.3       16.3        0.85      0.29                            31800  2   20 
 14.3       16.4        0.16      0.25                            31800  2   21 
 14.3       16.5        0.24      0.26                            31800  2   22 
 14.3       16.6        0.40      0.28                            31800  2   23 
 14.3       16.7        0.63      0.27                            31800  2   24 
 14.3       16.8        0.27      0.27                            31800  2   25 
 14.3       16.9        0.15      0.28                            31800  2   26 
 14.3       17.0        0.42      0.26                            31800  2   27 
 14.3       17.1        0.23      0.25                            31800  2   28 
 14.3       17.2        0.46      0.25                            31800  2   29 
 14.3       17.3        0.23      0.22                            31800  2   30 
 14.3       17.4        0.27      0.25                            31800  2   31 
 14.3       17.5        0.82      0.24                            31800  2   32 
 14.3       17.6        0.43      0.21                            31800  2   33 
 14.3       17.7        0.79      0.21                            31800  2   34 
 14.3       17.8        0.84      0.22                            31800  2   35 
 14.3       17.9        0.62      0.20                            31800  2   36 
 14.3       18.0        0.63      0.22                            31800  2   37 
 14.3       18.1        0.50      0.21                            31800  2   38 
 14.3       18.2        0.67      0.19                            31800  2   39 
 14.3       18.3        0.62      0.20                            31800  2   40 
 14.3       18.4        0.82      0.21                            31800  2   41 
 14.3       18.5        0.80      0.19                            31800  2   42 
 14.3       18.6        1.01      0.20                            31800  2   43 
 14.3       18.7        0.93      0.23                            31800  2   44 
 14.3       18.8        1.06      0.22                            31800  2   45 
 14.3       18.9        1.48      0.22                            31800  2   46 
 14.3       19.0        1.59      0.20                            31800  2   47 
 14.3       19.1        1.28      0.19                            31800  2   48 
 14.3       19.2        1.91      0.21                            31800  2   49 
 14.3       19.3        1.53      0.19                            31800  2   50 
 14.3       19.4        1.69      0.19                            31800  2   51 
 14.3       19.5        1.75      0.19                            31800  2   52 
 14.3       19.6        1.97      0.21                            31800  2   53 
 14.3       19.7        2.22      0.20                            31800  2   54 
 14.3       19.8        2.36      0.22                            31800  2   55 
 14.3       19.9        2.31      0.21                            31800  2   56 
