ENTRY            40197   19890316                             00004019700000001 
SUBENT        40197001   19890316                             00004019700100001 
BIB                 12         21                                 4019700100002 
TITLE      SPECTRUM OF G-RAYS PRODUCED IN THE REACTION            4019700100003 
           SE-74(N,G)SE-75 ON THE THERMAL NEUTRONS                4019700100004 
AUTHOR     (A.M.DEMIDOV,M.R.AKHMED,M.A.KHALIL,F.A.KHUSSEJN)       4019700100005 
INSTITUTE  (4CCPKUR,3IRQNRI)                                      4019700100006 
REFERENCE  (J,IZV,37,(5),993,7305) NUMERICAL DATA AND SHEME OF    4019700100007 
           LEVELS ARE GIVEN                                       4019700100008 
MONITOR    INTENSITIES OF G-RAYS SE-77 FOR ABSOLUTE INTENSITY DE- 4019700100009 
           TERMINATION AND BACKGROUND G-LINES(H-1(N,G) AND GE(N,G)4019700100010 
           REACTIONS) AND G-LINES OF SE-77 WERE USED FOR THE      4019700100011 
           ENERGY DETERMINATION                                   4019700100012 
           DATA FROM RABENSTEIN D.,VONACH H.,Z. NATURFORSCH.,     4019700100013 
           26A,458,1971                                           4019700100014 
MONIT-REF  (,D.RABENSTEIN+,J,ZN/A,26,458,71)                      4019700100015 
FACILITY   (REAC,3IRQNRI)                                         4019700100016 
METHOD            DIRECT DETECTION                                4019700100017 
DETECTOR   (GELI)  GERMANIUM-LITHIUM SPECTROMETER                 4019700100018 
ANALYSIS   (AREA)  AREA ANALYSIS                                  4019700100019 
ERR-ANALYS  NO INFORMATION AVAILABLE                              4019700100020 
HISTORY    (740430C) COMPILED AT THE CENTRE                       4019700100021 
           (860514U) SOME CORRECTIONS ARE MADE                    4019700100022 
                     AND 'REACTION' KEYWORD INTRODUCED            4019700100023 
ENDBIB              21          0                                 4019700100024 
COMMON               1          3                                 4019700100025 
EN                                                                4019700100026 
EV                                                                4019700100027 
     2.5E-2                                                       4019700100028 
ENDCOMMON            3          0                                 4019700100029 
ENDSUBENT           28          0                                 4019700199999 
SUBENT        40197002   19860514                             00004019700200001 
BIB                  2         10                                 4019700200002 
REACTION   (34-SE-74(N,G)34-SE-75,,SPC)      SPECTRUM OF GAMMAS   4019700200003 
                 REFERENCE QUANTITY IS GAMMAS PER 100 NEUTRONS    4019700200004 
SAMPLE      ISOTOPIC COMPOSITION, MASS NUMBER - MAINTENANCE       4019700200005 
             NO-DIM      PERCENT                                  4019700200006 
              74.    -    40.9                                    4019700200007 
              76.    -     8.1                                    4019700200008 
              77.    -     4.7                                    4019700200009 
              78.         13.1                                    4019700200010 
              80.         27.1                                    4019700200011 
              82.          6.1                                    4019700200012 
ENDBIB              10          0                                 4019700200013 
NOCOMMON             0          0                                 4019700200014 
DATA                 4        151                                 4019700200015 
E          E-ERR      DATA       DATA-ERR                         4019700200016 
KEV        KEV        GAM/100N   GAM/100N                         4019700200017 
7909.2     2.0         0.20      0.10                             4019700200018 
7734.2     1.0        35.        5.                               4019700200019 
7441.7     1.2         0.93      0.20                             4019700200020 
7398.6     1.2         0.57      0.15                             4019700200021 
7173.2     1.5         0.33      0.10                             4019700200022 
7130.8     1.2         0.28      0.08                             4019700200023 
7064.2     1.0         1.0       0.2                              4019700200024 
7007.3     1.0         1.7       0.4                              4019700200025 
6841.4     1.5         0.21      0.07                             4019700200026 
6827.2     1.0         1.0       0.3                              4019700200027 
6437.8     1.0         3.5       0.5                              4019700200028 
6317.9     1.5         0.15      0.05                             4019700200029 
6224.5     1.0         1.9       0.4                              4019700200030 
6214.2     1.5         0.28      0.08                             4019700200031 
6131.3     1.0         0.48      0.10                             4019700200032 
6082.5     1.5         0.80      0.20                             4019700200033 
6071.4     1.5         0.19      0.06                             4019700200034 
6043.5     1.2         0.34      0.08                             4019700200035 
5906.4     1.5         0.22      0.07                             4019700200036 
5859.1     1.0         0.69      0.12                             4019700200037 
5766.2     1.5         0.20      0.06                             4019700200038 
5755.0     1.2         0.45      0.08                             4019700200039 
5569.5     1.0         1.4       0.3                              4019700200040 
5461.5     1.0         0.96      0.20                             4019700200041 
5428.8     1.2         0.59      0.12                             4019700200042 
5420.0     1.2         0.44      0.10                             4019700200043 
5397.3     1.0         0.48      0.10                             4019700200044 
5339.7     1.2         0.41      0.10                             4019700200045 
5289.5     1.0         0.61      0.12                             4019700200046 
5246.3     1.2         0.43      0.10                             4019700200047 
5220.8     1.5         0.21      0.07                             4019700200048 
5139.0     1.0         0.62      0.12                             4019700200049 
5086.2     1.5         0.61      0.15                             4019700200050 
5064.5     1.5         0.3       0.08                             4019700200051 
4992.1     1.5         0.41      0.10                             4019700200052 
4922.6     1.0         1.1       0.3                              4019700200053 
4875.1     1.0         0.87      0.20                             4019700200054 
4844.8     1.0         0.64      0.15                             4019700200055 
4817.3     1.5         0.21      0.07                             4019700200056 
4803.6     1.5         0.18      0.06                             4019700200057 
4756.1     1.0         0.76      0.15                             4019700200058 
4692.0     1.0         1.2       0.2                              4019700200059 
4687.0     1.0         1.0       0.2                              4019700200060 
4632.0     1.5         0.29      0.08                             4019700200061 
4563.6     1.0         1.1       0.2                              4019700200062 
4487.6     1.5         0.31      0.08                             4019700200063 
4463.0     1.5         0.24      0.07                             4019700200064 
4438.8     1.2         0.59      0.10                             4019700200065 
4416.0     1.5         0.21      0.07                             4019700200066 
4406.7     1.2         0.52      0.10                             4019700200067 
4339.1     1.0         0.68      0.10                             4019700200068 
