ENTRY            40537   19881103                             00004053700000001 
SUBENT        40537001   19881103                             00004053700100001 
BIB                 15         28                                 4053700100002 
TITLE        PARAMETERS OF NEUTRON RESONANCES IN TERBIUM          4053700100003 
AUTHOR     (A.B.POPOV,KH.FAIKOV,KHVAN-CHER-GU)                    4053700100004 
INSTITUTE  (4ZZZDUB)                                              4053700100005 
REFERENCE  (J,YF,26,(1),14,7707)                                  4053700100006 
METHOD     (TOF)  TIME-OF-FLIGHT METHOD WITH RESOLUTION FROM 11   4053700100007 
                    TO 3.5 NS/M                                   4053700100008 
FACILITY   (REAC)  FAST PULSE REACTOR                             4053700100009 
PART-DET   (G)   GAMMA                                            4053700100010 
           (N)   NEUTRON                                          4053700100011 
DETECTOR   (NAICR)   FOUR SODIUM-IODIDE DETECTORS WERE USED FOR   4053700100012 
                GAMMA-OUTPUT MEASUREMENT WITH RESOLUTION 11 NS/M  4053700100013 
           (GLASD)  LITHIUM GLASS DETECTORS WERE USED FOR NEUTRON 4053700100014 
                    TRANSMISSION MEASUREMENTS WITH RESOLUTION     4053700100015 
                    11 NSEC/M AND 3.5 NSEC/M                      4053700100016 
INC-SOURCE (REAC)  FAST PULSE REACTOR WITH NEUTRON MULTIPLICATION 4053700100017 
                  EQUAL 100                                       4053700100018 
ANALYSIS   (AREA)  AREA METHOD WAS USED FOR ENERGIES BELOW 185 EV 4053700100019 
           (SHAPE)   MODIFIED SHAPE METHOD WAS USED FOR ENERGIES  4053700100020 
                BETWEEN 185 AND 580 EV. FOR BOTH AREA- AND SHAPE  4053700100021 
                METHODS CONSTANT GAMMA-WIDTH WAS ASSUMED          4053700100022 
ASSUMED    (ASSUM,65-TB-159(N,G),,WID)                            4053700100023 
ERR-ANALYS (DATA-ERR) ERRORS ARE NOT SPECIFIED                    4053700100024 
STATUS      DATA ARE TAKEN FROM THE REFERENCE                     4053700100025 
MONITOR     NO INFORMATION                                        4053700100026 
HISTORY    (771123C)   COMPILED AT THE CJD                        4053700100027 
           (881103A)   ONE NEW SUBENT ADDED, ONE AUTHOR NAME      4053700100028 
              CORRECTED (KHVAN-CHER-GU), ISO-QUANT INTO REACTION  4053700100029 
              CONVERTED AND OBSOLETE KEYWORDS MODIFIED            4053700100030 
ENDBIB              28          0                                 4053700100031 
COMMON               1          3                                 4053700100032 
ASSUM                                                             4053700100033 
MILLI-EV                                                          4053700100034 
 90.                                                              4053700100035 
ENDCOMMON            3          0                                 4053700100036 
ENDSUBENT           35          0                                 4053700199999 
SUBENT        40537002   19881103                             00004053700200001 
BIB                  3          7                                 4053700200002 
REACTION  1(65-TB-159(N,0),,EN)      RESONANCE ENERGY             4053700200003 
          2(65-TB-159(N,EL),,WID,,G)       G TIMES NEUTRON-WIDTH  4053700200004 
          3(65-TB-159(N,EL),,WID/RED)      REDUCED NEUTRON-WIDTH  4053700200005 
SAMPLE       SAMPLE WEIGHT AND TB-159 CONTENT - NO INFORMATION    4053700200006 
             SAMPLE THICKNESS WARIED FROM 1.71E21 TO 9.05E21      4053700200007 
             NUCLEI/CM**2                                         4053700200008 
HISTORY    (881103A)  COMMON SECTION DELETED, DATA ARE IN SAN 004 4053700200009 
ENDBIB               7          0                                 4053700200010 
NOCOMMON             0          0                                 4053700200011 
DATA                 6        122                                 4053700200012 
DATA      1DATA-ERR  1DATA      2DATA-ERR  2DATA      3DATA-ERR  34053700200013 
EV         EV         MILLI-EV   MILLI-EV   MILLI-EV   MILLI-EV   4053700200014 
  21.16      0.02       0.74       0.03       0.43       0.02     4053700200015 
  24.53      0.03       2.96       0.15       0.96       0.05     4053700200016 
  27.50      0.05       0.50       0.02       0.15       0.01     4053700200017 
  33.77      0.05       1.52       0.07       0.70       0.03     4053700200018 
  40.72      0.06       0.27       0.01       0.114      0.005    4053700200019 
  43.59      0.06       2.77       0.13       0.67       0.03     4053700200020 
  45.90      0.07       6.58       0.30       1.55       0.11     4053700200021 
  50.0       0.1        1.13       0.04       0.25       0.01     4053700200022 
  51.5       0.1        0.51       0.02       0.189      0.007    4053700200023 
  54.0       0.1        0.29       0.01       0.064      0.003    4053700200024 
  57.3       0.1        0.73       0.02       0.155      0.005    4053700200025 
  58.6       0.1        0.95       0.03       0.199      0.006    4053700200026 
  65.0       0.1        5.56       0.23       1.10       0.05     4053700200027 
  66.5       0.1        1.38       0.05       0.45       0.02     4053700200028 
  73.6       0.1        9.20       0.39       1.72       0.07     4053700200029 
  76.3       0.1        3.90       0.13       1.19       0.04     4053700200030 
  77.7       0.1        4.13       0.12       0.75       0.04     4053700200031 
  78.6       0.1        1.16       0.04       0.21       0.01     4053700200032 
  88.2       0.2        1.96       0.06       0.33       0.01     4053700200033 
  90.3       0.2        3.85       0.14       1.08       0.04     4053700200034 
  95.3       0.2        0.48       0.02       0.13       0.01     4053700200035 
  97.0       0.1       12.4        0.6        3.36       0.21     4053700200036 
 108.9       0.1       14.9        0.7        2.28       0.18     4053700200037 
 111.2       0.1        3.53       0.12       0.54       0.03     4053700200038 
 113.6       0.1       21.6        1.1        5.39       0.28     4053700200039 
 115.4       0.1        4.85       0.18       0.72       0.04     4053700200040 
 118.9       0.1        6.51       0.30       0.95       0.05     4053700200041 
 128.1       0.1        0.44       0.02       0.104      0.005    4053700200042 
 137.8       0.1        5.77       0.19       1.31       0.07     4053700200043 
 141.1       0.1       13.2        0.5        1.78       0.09     4053700200044 
 143.3       0.1        6.23       0.20       1.39       0.06     4053700200045 
 150.8       0.1        0.74       0.08       0.12       0.03     4053700200046 
 152.4       0.1       16.3        0.6        3.52       0.13     4053700200047 
 155.4       0.1       16.6        0.9        2.13       0.18     4053700200048 
 167.4       0.1        0.93       0.03       0.19       0.01     4053700200049 
 169.6       0.1        3.03       0.08       0.62       0.03     4053700200050 
 172.4       0.1        1.47       0.05       0.179      0.007    4053700200051 
 177.2       0.1        8.28       0.33       0.99       0.05     4053700200052 
 185.4       0.1        0.89       0.04       0.174      0.009    4053700200053 
 190.9       0.2        0.26       0.03       0.037      0.004    4053700200054 
 197.5       0.2        6.75       0.34       0.768      0.038    4053700200055 
 199.6       0.2        1.75       0.09       0.330      0.016    4053700200056 
 201.4       0.2        1.36       0.07       0.153      0.008    4053700200057 
 210.7       0.2        0.55       0.04       0.101      0.007    4053700200058 
 216.9       0.2        0.71       0.05       0.128      0.008    4053700200059 
 219.1       0.2       39.6        1.9        4.28       0.22     4053700200060 
 225.9       0.2        0.76       0.05       0.081      0.005    4053700200061 
 228.6       0.2        0.23       0.04       0.031      0.005    4053700200062 
 232.6       0.2        1.09       0.05       0.191      0.009    4053700200063 
 235.2       0.2       17.9        0.9        1.87       0.09     4053700200064 
 238.7       0.2       23.6        1.2        4.07       0.20     4053700200065 
 241.5       0.2        6.85       0.34       0.705      0.035    4053700200066 
 244.5       0.2        0.43       0.05       0.055      0.006    4053700200067 
 251.3       0.2        3.07       0.15       0.310      0.015    4053700200068 
 254.2       0.2        1.28       0.07       0.129      0.007    4053700200069 
 262.9       0.2        8.94       0.44       0.882      0.044    4053700200070 
 263.8       0.2        2.36       0.19       0.388      0.031    4053700200071 
 268.5       0.2        4.16       0.20       0.406      0.020    4053700200072 
 273.5       0.2       14.8        0.7        1.43       0.07     4053700200073 
 280.0       0.2        0.54       0.08       0.064      0.010    4053700200074 
 281.4       0.2        8.78       0.44       1.40       0.07     4053700200075 
 284.3       0.2       57.5        2.8        9.09       0.45     4053700200076 
 290.2       0.2        6.04       0.30       0.046      0.047    4053700200077 
 300.9       0.2       15.9        0.70       1.47       0.06     4053700200078 
 305.6       0.2       12.40       0.71       1.13       0.06     4053700200079 
 310.8       0.2        0.79       0.11       0.089      0.013    4053700200080 
 312.3       0.2       17.8        0.8        1.61       0.08     4053700200081 
 315.4       0.2        2.11       0.14       0.237      0.015    4053700200082 
 323.2       0.2        5.12       0.25       0.569      0.028    4053700200083 
 325.7       0.2        4.35       0.26       0.482      0.029    4053700200084 
 328.2       0.2       18.6        1.0        2.05       0.11     4053700200085 
 332.1       0.3       16.7                   1.86                4053700200086 
 345.5       0.3        4.8                   0.51                4053700200087 
 347.6       0.3       18.4                   1.97                4053700200088 
 350.0       0.3        3.27       0.27       0.35       0.03     4053700200089 
 356.9       0.3        4.61       0.47       0.49       0.04     4053700200090 
 358.9       0.3       33.3        1.5        3.52       0.15     4053700200091 
 361.6       0.3        0.77       0.16       0.080      0.017    4053700200092 
 366.5       0.3        5.88       0.29       0.615      0.030    4053700200093 
 368.8       0.3        3.36       0.19       0.350      0.019    4053700200094 
 372.0       0.3       17.8        0.9        1.84       0.09     4053700200095 
 374.3       0.3       12.5        0.6        1.29       0.06     4053700200096 
 378.4       0.3       50.0        2.5        5.14       0.25     4053700200097 
 381.3       0.3        2.07       0.18       0.211      0.019    4053700200098 
 384.9       0.3        3.44       0.19       0.350      0.019    4053700200099 
 403.8       0.4        2.37       0.74       0.23       0.07     4053700200100 
 404.7       0.4       30.0        1.3        2.97       0.16     4053700200101 
 409.2       0.4        5.87       0.29       0.580      0.029    4053700200102 
 410.1       0.4       32.9        1.6        3.22       0.16     4053700200103 
 421.1       0.4        1.18       0.17       0.115      0.017    4053700200104 
 429.2       0.4        0.36       0.12       0.034      0.012    4053700200105 
 432.5       0.4        5.74       0.28       0.552      0.018    4053700200106 
 440.2       0.4       11.0        0.5        1.05       0.05     4053700200107 
 442.8       0.4        8.41       0.42       0.799      0.040    4053700200108 
 444.7       0.4        3.10       0.19       0.294      0.018    4053700200109 
 451.2       0.4        1.94       0.16       0.183      0.015    4053700200110 
 453.2       0.4       21.1        1.0        1.98       0.10     4053700200111 
 457.9       0.4       11.2        0.6        1.05       0.06     4053700200112 
 464.0       0.4        0.50       0.16       0.046      0.015    4053700200113 
 468.1       0.4       46.7        2.3        4.32       0.20     4053700200114 
 474.3       0.4       12.9        0.6        1.19       0.06     4053700200115 
 476.4       0.4        1.63       0.20       0.149      0.018    4053700200116 
 480.5       0.4      -14.5        0.7        1.32       0.06     4053700200117 
 482.3       0.4       69.0        4.0        6.28       0.40     4053700200118 
 488.9       0.4       64.8        4.0        5.87       0.40     4053700200119 
 494.3       0.4       12.3        0.6        1.10       0.05     4053700200120 
 498.1       0.4        7.27       0.36       0.652      0.032    4053700200121 
 503.3       0.4       15.7        0.8        1.40       0.07     4053700200122 
 510.4       0.4       12.2        0.6        1.08       0.05     4053700200123 
 517.7       0.4        3.31       0.23       0.291      0.020    4053700200124 
 521.1       0.4       23.1        1.1        2.03       0.10     4053700200125 
 528.1       0.4       20.6        1.1        1.79       0.09     4053700200126 
 533.2       0.4       37.7        1.9        3.26       0.16     4053700200127 
 544.8       0.5        7.35       0.40       0.630      0.04     4053700200128 
 546.3       0.5        2.63       0.33       0.23       0.03     4053700200129 
 552.2       0.5        8.0        0.4        0.68       0.03     4053700200130 
 557.4       0.5        7.0        0.4        0.59       0.03     4053700200131 
 560.8       0.5        8.1        0.4        0.69       0.03     4053700200132 
 565.1       0.5       22.6        1.2        1.90       0.10     4053700200133 
 570.1       0.5       15.4        0.8        1.29       0.06     4053700200134 
 576.5       0.5        5.8        0.3        0.48       0.3      4053700200135 
 580.0       0.5       20.1        1.0        1.66       0.08     4053700200136 
ENDDATA            124          0                                 4053700200137 
ENDSUBENT          136          0                                 4053700299999 
SUBENT        40537003   19881103                             00004053700300001 
BIB                  2          3                                 4053700300002 
REACTION  1(65-TB-159(N,0),,D,,AV) AVERAGED PARTIAL LEVEL SPACING 4053700300003 
          2(65-TB-159(N,0),PAR,STF,,AV) AVERAGED STRENGTH FUNCN   4053700300004 
HISTORY    (881103U)  SPIN J INTRODUCED AS INDEPENDENT VARIABLE   4053700300005 
ENDBIB               3          0                                 4053700300006 
COMMON               2          3                                 4053700300007 
EN-MIN     EN-MAX                                                 4053700300008 
EV         EV                                                     4053700300009 
 20.        580.                                                  4053700300010 
ENDCOMMON            3          0                                 4053700300011 
DATA                 5          2                                 4053700300012 
SPIN J    1DATA      1DATA-ERR  1DATA      2DATA-ERR  2           4053700300013 
NO-DIM     EV         EV         NO-DIM     NO-DIM                4053700300014 
 1.          10.        0.9          1.27E-4    0.37E-4           4053700300015 
 2.           7.        1.           1.13E-4    0.30E-4           4053700300016 
ENDDATA              4          0                                 4053700300017 
ENDSUBENT           16          0                                 4053700399999 
SUBENT        40537004   19881103                             00004053700400001 
BIB                  2          3                                 4053700400002 
REACTION  1(65-TB-159(N,0),,D,,AV) AVERAGED LEVEL SPACING         4053700400003 
          2(65-TB-159(N,0),,STF,,AV) AVERAGED STRENGTH FUNCTION   4053700400004 
HISTORY    (881103C)  COMPILED AT THE CJD                         4053700400005 
ENDBIB               3          0                                 4053700400006 
NOCOMMON             0          0                                 4053700400007 
DATA                 6          1                                 4053700400008 
EN-MIN     EN-MAX     DATA      1DATA-ERR  1DATA      2DATA-ERR  24053700400009 
EV         EV         EV         EV         NO-DIM     NO-DIM     4053700400010 
 20.        580.       4.4         .4         1.25 E-04    .18E-044053700400011 
ENDDATA              3          0                                 4053700400012 
ENDSUBENT           11          0                                 4053700499999 
ENDENTRY             4          0                                 4053799999999 
