ENTRY            40566   19850423                             00004056600000001 
SUBENT        40566001   19850423                             00004056600100001 
BIB                  9         13                                 4056600100002 
INSTITUTE  (4CCPIFL)                                              4056600100003 
REFERENCE  (J,IZV,43,(10),2131,7910)                              4056600100004 
AUTHOR     (V.A.BONDARENKO,P.T.PROKOF'EV)                         4056600100005 
TITLE       LEVELS OF ER-167 IN (N,N'G) REACTION                  4056600100006 
INC-SOURCE (REAC) PROMPT NEUTRONS WERE SEPARATED BY THE FILTERS   4056600100007 
                  OF B4-C(10 MM), CD(1 MM), LI-6(10 MM)           4056600100008 
INC-SPECT   FAST NEUTRON SPECTRUM OF THE REACTOR                  4056600100009 
SAMPLE      ERBIUM OXIDE,MASS IS 34.GRAMS,ENRICHMENT IS 95.2PER-  4056600100010 
            CENT OF ER-167                                        4056600100011 
DETECTOR   (GELI)VOLUME IS 46.CM3,RESOLUTION IS 3.KEV FOR         4056600100012 
            E=661.KEV                                             4056600100013 
HISTORY    (800917C)                                              4056600100014 
           (840518A) EN-DUMMY INTRODUCED                          4056600100015 
ENDBIB              13          0                                 4056600100016 
COMMON               2          3                                 4056600100017 
EN-DUMMY   ANG                                                    4056600100018 
MEV        ADEG                                                   4056600100019 
 1.0000E+00 9.0000E+01                                            4056600100020 
ENDCOMMON            3          0                                 4056600100021 
ENDSUBENT           20          0                                 4056600199999 
SUBENT        40566002   19850423                             00004056600200001 
BIB                  1          2                                 4056600200002 
REACTION   (68-ER-167(N,INL)68-ER-167,,SPC,,REL) RELATIVELY       4056600200003 
                                 TO INTENSITY WITH E=207.8KEV     4056600200004 
ENDBIB               2          0                                 4056600200005 
NOCOMMON             0          0                                 4056600200006 
DATA                 4         89                                 4056600200007 
E          E-ERR      DATA       DATA-ERR                         4056600200008 
KEV        KEV        ARB-UNITS  ARB-UNITS                        4056600200009 
 7.9300E+01 1.0000E-01 4.0000E+01 1.2000E+01                      4056600200010 
 9.8630E+01 8.0000E-02 5.7500E+01 1.1000E+01                      4056600200011 
 1.0575E+02 1.0000E-01 1.2200E+01 2.0000E+00                      4056600200012 
 1.1677E+02 8.0000E-02 2.7200E+01 2.7000E+00                      4056600200013 
 1.2700E+02 3.0000E-01 7.4000E+00 1.2000E+00                      4056600200014 
 1.3152E+02 1.0000E-01 1.8400E+01 1.5000E+00                      4056600200015 
 1.4843E+02 8.0000E-02 2.0600E+01 1.5000E+00                      4056600200016 
 1.5310E+02 3.0000E-01 1.8000E+00 5.0000E-01                      4056600200017 
 1.6037E+02 8.0000E-02 3.7300E+01 2.1000E+00                      4056600200018 
 1.6670E+02 3.0000E-01 1.9000E+00 5.0000E-01                      4056600200019 
 1.7792E+02 8.0000E-02 1.5100E+01 1.3000E+00                      4056600200020 
 1.8930E+02 3.0000E-01 3.9000E+00 4.0000E-01                      4056600200021 
 2.0320E+02 2.0000E-01 6.3000E+00 5.0000E-01                      4056600200022 
 2.0772E+02 8.0000E-02 1.0000E+02 5.0000E+00                      4056600200023 
 2.1548E+02 1.5000E-01 1.3100E+01 8.0000E-01                      4056600200024 
 2.3200E+02 2.0000E-01 1.1500E+01 7.0000E-01                      4056600200025 
 2.3800E+02 3.0000E-01 1.0000E+00 3.0000E-01                      4056600200026 
 2.4132E+02 1.5000E-01 1.0500E+01 7.0000E-01                      4056600200027 
 2.5625E+02 1.5000E-01 8.3000E+00 6.0000E-01                      4056600200028 
 2.6520E+02 4.0000E-01 5.0000E-01 3.0000E-01                      4056600200029 
 2.7640E+02 2.0000E-01 3.2000E+00 5.0000E-01                      4056600200030 
 2.9245E+02 1.4000E-01 3.5000E+00 4.0000E-01                      4056600200031 
 3.0320E+02 3.0000E-01 1.0000E+00 3.0000E-01                      4056600200032 
 3.0935E+02 2.4000E-01 3.2000E+00 4.0000E-01                      4056600200033 
 3.1538E+02 1.6000E-01 5.7000E+00 5.0000E-01                      4056600200034 
 3.2133E+02 9.0000E-02 6.7000E+00 6.0000E-01                      4056600200035 
 3.3200E+02 5.0000E-01 6.0000E-01 3.0000E-01                      4056600200036 
 3.3810E+02 4.0000E-01 1.1000E+00 3.0000E-01                      4056600200037 
 3.4210E+02 4.0000E-01 3.2000E+00 6.0000E-01                      4056600200038 
 3.4671E+02 1.5000E-01 8.8000E+01 3.0000E+00                      4056600200039 
 3.5090E+02 4.0000E-01 3.3000E+00 6.0000E-01                      4056600200040 
 3.5800E+02 4.0000E-01 4.0000E+00 4.0000E-01                      4056600200041 
 3.6370E+02 4.0000E-01 9.0000E-01 3.0000E-01                      4056600200042 
 3.6660E+02 4.0000E-01 1.4000E+00 3.0000E-01                      4056600200043 
 3.7000E+02 4.0000E-01 1.6000E+00 4.0000E-01                      4056600200044 
 3.7570E+02 5.0000E-01 6.0000E-01 3.0000E-01                      4056600200045 
 3.8260E+02 4.0000E-01 1.2000E+00 3.0000E-01                      4056600200046 
 3.8660E+02 4.0000E-01 8.0000E-01 3.0000E-01                      4056600200047 
 3.8850E+02 4.0000E-01 9.0000E-01 3.0000E-01                      4056600200048 
 3.9885E+02 1.0000E-01 4.9000E+00 5.0000E-01                      4056600200049 
 4.0285E+02 1.4000E-01 2.1000E+00 4.0000E-01                      4056600200050 
 4.1524E+02 2.2000E-01 3.9000E+00 5.0000E-01                      4056600200051 
 4.2200E+02 3.0000E-01 1.2000E+00 3.0000E-01                      4056600200052 
 4.3080E+02 2.0000E-01 2.6000E+00 4.0000E-01                      4056600200053 
