ENTRY            40739   20210415                             419540739  0    1 
SUBENT        40739001   20210415                             419540739  1    1 
BIB                 11         20                                 40739  1    2 
INSTITUTE  (4RUSFEI)                                              40739  1    3 
           (4ZZZDUB)                                              40739  1    4 
REFERENCE  (R,FEI-1216,1981)                                      40739  1    5 
AUTHOR     (Ju.V.Grigor'ev,T.Bakalov,G.Ilchev)                    40739  1    6 
TITLE      Resonance self-shielding effects measurement for U-238 40739  1    7 
           scattering cross-section in the neutron energy range   40739  1    8 
           1-100 keV                                              40739  1    9 
FACILITY   (REAC,4ZZZDUB) Fast pulse reactor IBR-30               40739  1   10 
           (LINAC,4ZZZDUB) Linear electron accelerator            40739  1   11 
INC-SOURCE (REAC) Impulse fast reactor IBR-30                     40739  1   12 
SAMPLE      Metallic disks from depleted U-238 diameter 195 mm    40739  1   13 
METHOD     (TOF) Flight base ~1006.m                              40739  1   14 
DETECTOR   (PROPC) 16 proportional counters SNM-18 filled by He-3 40739  1   15 
STATUS     (PRELM)                                                40739  1   16 
HISTORY    (19840620C)                                            40739  1   17 
           (19850311U) Some corrections introduced                40739  1   18 
           (20210415A) M.M. Subent 003 was corrected.             40739  1   19 
            STATUS was added in data Subents.                     40739  1   20 
            Upper -> lower case correction.                       40739  1   21 
            Dates were corrected for 4-digits year.               40739  1   22 
ENDBIB              20          0                                 40739  1   23 
NOCOMMON             0          0                                 40739  1   24 
ENDSUBENT           23          0                                 40739  199999 
SUBENT        40739002   20210415                             419540739  2    1 
BIB                  5          6                                 40739  2    2 
REACTION   (92-U-238(N,SCT)92-U-238,,SIG,,AV)                     40739  2    3 
SAMPLE      Pb monitor sample of 0.00569 nucl/barn thickness.     40739  2    4 
MONITOR    (82-PB-0(N,SCT)82-PB-0,,SIG,,AV)                       40739  2    5 
ERR-ANALYS (DATA-ERR) type of uncertainty is not explained in the 40739  2    6 
           article.                                               40739  2    7 
STATUS     (TABLE) Table 1 of FEI-1216,1981                       40739  2    8 
ENDBIB               6          0                                 40739  2    9 
NOCOMMON             0          0                                 40739  2   10 
DATA                 5          6                                 40739  2   11 
EN-MIN     EN-MAX     DATA       DATA-ERR   MONIT                 40739  2   12 
KEV        KEV        B          B          B                     40739  2   13 
   4.65E+01   1.00E+02   12.7      0.3        10.7                40739  2   14 
   2.15E+01   4.65E+01   12.6      0.3        10.2                40739  2   15 
   1.00E+01   2.15E+01   14.2      0.3        10.7                40739  2   16 
   4.65       1.00E+01   15.8      0.4        11.0                40739  2   17 
   2.15       4.65       19.9      0.7        11.0                40739  2   18 
   1.         2.15       19.       1.         11.0                40739  2   19 
ENDDATA              8          0                                 40739  2   20 
ENDSUBENT           19          0                                 40739  299999 
SUBENT        40739003   20210415                             419540739  3    1 
BIB                  4          5                                 40739  3    2 
REACTION   (92-U-238(N,SCT)92-U-238,,TRN)                         40739  3    3 
ERR-ANALYS (DATA-ERR,1.,6.) Uncertainty mainly due to background. 40739  3    4 
STATUS     (TABLE) Table 2 of FEI-1216,1981                       40739  3    5 
HISTORY    (20210415A) SIG,,RAW) -> TRN). ARB-UNITS -> MO-DIM.    40739  3    6 
            THICKNESS was moved in DATA block.                    40739  3    7 
ENDBIB               5          0                                 40739  3    8 
NOCOMMON             0          0                                 40739  3    9 
DATA                 4         64                                 40739  3   10 
THICKNESS  EN-MAX     EN-MIN     DATA                             40739  3   11 
MM         EV         EV         NO-DIM                           40739  3   12 
   0.5        4.00E+02   2.00E+02   9.79E-01                      40739  3   13 
   0.5        2.00E+02   1.00E+02   9.75E-01                      40739  3   14 
   0.5        1.00E+02   4.65E+01   9.59E-01                      40739  3   15 
   0.5        4.65E+01   2.15E+01   9.81E-01                      40739  3   16 
   0.5        2.15E+01   1.00E+01   9.46E-01                      40739  3   17 
   0.5        1.00E+01   4.65E+00   9.51E-01                      40739  3   18 
   0.5        4.65E+00   2.15E+00   8.85E-01                      40739  3   19 
   0.5        2.15E+00   1.00E+00   8.10E-01                      40739  3   20 
   1.         4.00E+02   2.00E+02   9.47E-01                      40739  3   21 
   1.         2.00E+02   1.00E+02   9.43E-01                      40739  3   22 
   1.         1.00E+02   4.65E+01   9.19E-01                      40739  3   23 
   1.         4.65E+01   2.15E+01   9.07E-01                      40739  3   24 
   1.         2.15E+01   1.00E+01   8.94E-01                      40739  3   25 
   1.         1.00E+01   4.65E+00   8.79E-01                      40739  3   26 
   1.         4.65E+00   2.15E+00   7.93E-01                      40739  3   27 
   1.         2.15E+00   1.00E+00   6.84E-01                      40739  3   28 
   2.         4.00E+02   2.00E+02   9.15E-01                      40739  3   29 
   2.         2.00E+02   1.00E+02   8.87E-01                      40739  3   30 
   2.         1.00E+02   4.65E+01   8.55E-01                      40739  3   31 
   2.         4.65E+01   2.15E+01   8.17E-01                      40739  3   32 
   2.         2.15E+01   1.00E+01   8.19E-01                      40739  3   33 
   2.         1.00E+01   4.65E+00   7.68E-01                      40739  3   34 
   2.         4.65E+00   2.15E+00   6.49E-01                      40739  3   35 
   2.         2.15E+00   1.00E+00   5.75E-01                      40739  3   36 
   4.         4.00E+02   2.00E+02   8.26E-01                      40739  3   37 
   4.         2.00E+02   1.00E+02   7.86E-01                      40739  3   38 
   4.         1.00E+02   4.65E+01   7.71E-01                      40739  3   39 
   4.         4.65E+01   2.15E+01   7.47E-01                      40739  3   40 
   4.         2.15E+01   1.00E+01   6.79E-01                      40739  3   41 
   4.         1.00E+01   4.65E+00   6.56E-01                      40739  3   42 
   4.         4.65E+00   2.15E+00   5.57E-01                      40739  3   43 
   4.         2.15E+00   1.00E+00   4.84E-01                      40739  3   44 
   8.         4.00E+02   2.00E+02   7.04E-01                      40739  3   45 
   8.         2.00E+02   1.00E+02   6.53E-01                      40739  3   46 
   8.         1.00E+02   4.65E+01   6.23E-01                      40739  3   47 
   8.         4.65E+01   2.15E+01   5.78E-01                      40739  3   48 
   8.         2.15E+01   1.00E+01   5.29E-01                      40739  3   49 
   8.         1.00E+01   4.65E+00   5.13E-01                      40739  3   50 
   8.         4.65E+00   2.15E+00   4.23E-01                      40739  3   51 
   8.         2.15E+00   1.00E+00   3.75E-01                      40739  3   52 
  16.         4.00E+02   2.00E+02   4.92E-01                      40739  3   53 
  16.         2.00E+02   1.00E+02   4.28E-01                      40739  3   54 
  16.         1.00E+02   4.65E+01   3.75E-01                      40739  3   55 
  16.         4.65E+01   2.15E+01   3.38E-01                      40739  3   56 
  16.         2.15E+01   1.00E+01   2.97E-01                      40739  3   57 
  16.         1.00E+01   4.65E+00   2.77E-01                      40739  3   58 
