ENTRY            40812   20180311                             417840812  0    1 
SUBENT        40812001   20180311                             417840812  1    1 
BIB                 11         21                                 40812  1    2 
TITLE      The spectrum of gamma-quanta with 143Nd nuclear capture40812  1    3 
           of neutrons with an energy 2 keV                       40812  1    4 
AUTHOR     (I.V.Kononenko,V.A.Libman,A.V.Murzin,V.A.Knat'ko,      40812  1    5 
           E.A.Shimanovich)                                       40812  1    6 
INSTITUTE  (4UKRIJD)                                              40812  1    7 
REFERENCE  (J,IZV,50,883,1986) Data table is given. Issue 5.      40812  1    8 
           (J,BAS,50,(5),51,1986)                                 40812  1    9 
           English translation of J,IZV,50,(5),883,1986           40812  1   10 
           (C,85LENING,,86,1985) Prelim.data table.               40812  1   11 
MONITOR    (17-CL-35(N,G)17-CL-36,,SPC)                           40812  1   12 
           (1-H-1(N,G)1-H-2,,SPC)                                 40812  1   13 
           (26-FE-56(N,G)26-FE-57,,SPC)                           40812  1   14 
DETECTOR   (GELI,NAICR)  Double GeLi + Na-I detector              40812  1   15 
FACILITY   (REAC,4UKRIJD)                                         40812  1   16 
INC-SOURCE (REAC) WWR-M reactor                                   40812  1   17 
METHOD     (FNB)  Scandium filter 775 mm long                     40812  1   18 
ERR-ANALYS (DATA-ERR) Error not specified                         40812  1   19 
HISTORY    (19860424C)                                            40812  1   20 
           (20180311A) M.M. Upper -> lower case correction.       40812  1   21 
            Dates were corrected for 4-digits year.               40812  1   22 
            Ref.BAS,50,(5),51,1986 was added.                     40812  1   23 
ENDBIB              21          0                                 40812  1   24 
COMMON               4          3                                 40812  1   25 
EN         EN-RSL-FW  E-NRM      E-RSL                            40812  1   26 
KEV        KEV        MEV        KEV                              40812  1   27 
 2.         .7          7.        8.                              40812  1   28 
ENDCOMMON            3          0                                 40812  1   29 
ENDSUBENT           28          0                                 40812  199999 
SUBENT        40812002   20180311                             417840812  2    1 
BIB                  3          8                                 40812  2    2 
REACTION   (60-ND-143(N,G)60-ND-144,,SPC,,REL) Ref.not.given      40812  2    3 
            Intensity in "relative units"                         40812  2    4 
SAMPLE      Nd2-O5 oxide, Nd-143 content is 83.2%, Nd-142 -2.9%,  40812  2    5 
           Nd-144 - 11.8%, Nd-145 - 1.%, Nd-149 - 0.9%,           40812  2    6 
           Nd-148 - 0.1%, Nd-150 - 0.1% .                         40812  2    7 
             Weight 36 gram, in aluminum  container of 0.7 mm     40812  2    8 
             wall thickness                                       40812  2    9 
STATUS     (TABLE) Table 1 of BAS,50,(5),51,1986                  40812  2   10 
ENDBIB               8          0                                 40812  2   11 
NOCOMMON             0          0                                 40812  2   12 
DATA                 5         44                                 40812  2   13 
E          E-ERR      LVL-FIN    DATA       DATA-ERR              40812  2   14 
KEV        KEV        KEV        ARB-UNITS  ARB-UNITS             40812  2   15 
 7121.8       .5        695.8      1.68       .1                  40812  2   16 
 6503.4       .5       1314.3      8.23       .4                  40812  2   17 
 6308.1       .6       1509.6      1.77       .19                 40812  2   18 
 6256.7       .5       1560.9      4.73       .23                 40812  2   19 
 5744.2       .7       2073.4      1.24       .15                 40812  2   20 
 5725.7       .9       2092.0      0.91       .5                  40812  2   21 
 5708.4       .5       2109.3      4.76       .2                  40812  2   22 
 5638.8       .6       2178.9      4.05       .23                 40812  2   23 
 5613.8       .8       2203.9      1.08       .18                 40812  2   24 
 5521.8       .6       2295.8      3.96       .22                 40812  2   25 
 5448.5       .7       2369.2      1.27       .19                 40812  2   26 
 5396.8       .6       2420.9      3.41       .23                 40812  2   27 
 5365.5       .6       2452.2      2.89       .23                 40812  2   28 
 5289.1       .8       2528.6       1.48        .24               40812  2   29 
 5252.8       .8       2564.9       3.04        .3                40812  2   30 
 5242.0       4.0      2575.6       0.38        .25               40812  2   31 
 5223.7       2.3      2594.0       1.01        .50               40812  2   32 
 5215.0       .8       2602.7       4.28        .50               40812  2   33 
 5161.5       .6       2656.1      3.30         .24               40812  2   34 
 5124.0       .8       2693.7      1.14         .23               40812  2   35 
 5101.8       .7       2715.9      1.05         .21               40812  2   36 
 5085.3       .7       2732.4      2.30         .29               40812  2   37 
 5038.5       1.1      2779.2      1.35         .23               40812  2   38 
 5008.3       .7       2809.4      3.10         .40               40812  2   39 
 4986.5       1.0      2831.2      3.76         .80               40812  2   40 
 4977.5       .9       2840.1      4.89         .80               40812  2   41 
 4947.3       .8       2870.4      1.85         .22               40812  2   42 
 4929.9       .6       2887.8      4.06         .29               40812  2   43 
 4915.6       .6       2902.0      3.97         .28               40812  2   44 
 4866.2       .8       2951.5      1.91         .40               40812  2   45 
 4853.6       1.2      2964.1      1.62         .60               40812  2   46 
 4836.2       1.6      2980.7      3.33         .90               40812  2   47 
 4829.8       2.2      2987.9      3.66         .80               40812  2   48 
 4798.6       1.3      3019.1      1.69         .40               40812  2   49 
 4789.8       .9       3027.9      2.80         .60               40812  2   50 
 4774.1       .7       3043.6      2.68         .29               40812  2   51 
 4763.4       .9       3054.2      1.83         .26               40812  2   52 
 4747.9       .7       3069.7      2.51         .26               40812  2   53 
 4716.2       .7       3101.5      1.48         .30               40812  2   54 
 4688.7       .6       3129.0      3.62         .30               40812  2   55 
 4669.4       .7       3148.3      3.72         .30               40812  2   56 
 4656.2       .9       3161.5      2.42         .30               40812  2   57 
 4612.8       .9       3204.9      1.88         .40               40812  2   58 
 4603.6       .9       3214.1      1.83         .40               40812  2   59 
ENDDATA             46          0                                 40812  2   60 
ENDSUBENT           59          0                                 40812  299999 
ENDENTRY             2          0                                 4081299999999 
