ENTRY            41101   20101110                             41514110100000001 
SUBENT        41101001   20101110                             41514110100100001 
BIB                 11         19                                 4110100100002 
INSTITUTE  (4RUSFTI,2GERMUN)                                      4110100100003 
REFERENCE  (J,NP/A,528,(2),317,199106)                            4110100100004 
AUTHOR     (S.L.Sakharov,V.L.Alexeev,I.A.Kondurov,E.K.Leushkin,   4110100100005 
           Yu.E.Loginov,V.V.Martynov,V.L.Rumyantsev,P.A.Sushkov,  4110100100006 
           Yu.L.Khazov,A.I.Egorov,                                4110100100007 
           H.Lindner,H.Hiller,T.Von-Egidy,G.Hlavatsch,J.Klora,    4110100100008 
           U.Mayerhofer,H.Trieb,A.Walter)                         4110100100009 
TITLE       Low-lying I-128 excited states from the (n,gamma)     4110100100010 
            reaction                                              4110100100011 
FACILITY   (REAC,4RUSFTI)                                         4110100100012 
INC-SPECT   Thermal spectrum of the reactor                       4110100100013 
METHOD     (COINC)                                                4110100100014 
DETECTOR   (COIN,GELI,SOLST)  Germanium-lithium and silicon-      4110100100015 
                              lithium detectors in coincidence    4110100100016 
ERR-ANALYS (DATA-ERR) Errors are not specified                    4110100100017 
STATUS     (TABLE) Data are taken from J,NP/A,528,(2),317,1991    4110100100018 
HISTORY    (19920831C)  + + Compiled at the center - CJD + +      4110100100019 
           (20020729A) Date is corrected                          4110100100020 
           (20101110A) Subent 002 was corrected.                  4110100100021 
ENDBIB              19          0                                 4110100100022 
COMMON               2          3                                 4110100100023 
EN-DUMMY   E-NRM                                                  4110100100024 
EV         KEV                                                    4110100100025 
   2.53E-02   442.                                                4110100100026 
ENDCOMMON            3          0                                 4110100100027 
ENDSUBENT           26          0                                 4110100199999 
SUBENT        41101002   20101110                             41514110100200001 
BIB                  5          8                                 4110100200002 
REACTION   (53-I-127(N,G)53-I-128,,SPC) Data are given in percents4110100200003 
                    taking total intensity for 100 %              4110100200004 
SAMPLE      I-127 monoisotope in ampules placed in aluminum       4110100200005 
            container                                             4110100200006 
MONITOR    (54-XE-128(N,G)54-XE-129,,SPC)                         4110100200007 
ASSUMED    (ASSUM,53-I-127(N,G)53-I-128,,SIG)                     4110100200008 
HISTORY    (20101110A) MONIT units were corrected                 4110100200009 
                PER-CENT -> PC/INC.                               4110100200010 
ENDBIB               8          0                                 4110100200011 
COMMON               3          3                                 4110100200012 
MONIT      MONIT-ERR  ASSUM                                       4110100200013 
PC/INC     PER-CENT   B                                           4110100200014 
16.          1.        6.2                                        4110100200015 
ENDCOMMON            3          0                                 4110100200016 
DATA                 4        116                                 4110100200017 
E          E-ERR      DATA       DATA-ERR                         4110100200018 
KEV        KEV        PC/INC     PC/INC                           4110100200019 
  10.25       0.05      0.055      0.018                          4110100200020 
  19.58       0.04      0.048      0.012                          4110100200021 
  27.362      0.005    10.8        0.8                            4110100200022 
  29.512      0.005     0.109      0.011                          4110100200023 
  42.766      0.006     1.26       0.10                           4110100200024 
  48.148      0.007     0.436      0.015                          4110100200025 
  52.378      0.005     5.5        0.3                            4110100200026 
  58.107      0.004     9.3        0.7                            4110100200027 
  58.74       0.03      0.93       0.03                           4110100200028 
  58.86       0.06      0.210      0.023                          4110100200029 
  66.198      0.018     0.135      0.007                          4110100200030 
  67.118      0.004     3.38       0.06                           4110100200031 
  68.258      0.005     0.78       0.04                           4110100200032 
  74.81       0.04      0.102      0.009                          4110100200033 
  80.952      0.007     0.353      0.008                          4110100200034 
  93.25       0.08      0.035      0.005                          4110100200035 
  94.901      0.010     0.300      0.007                          4110100200036 
  96.639      0.004     0.8        0.1                            4110100200037 
 100.70       0.04      0.062      0.006                          4110100200038 
 102.344      0.005     0.67       0.11                           4110100200039 
 104.366      0.015     0.202      0.008                          4110100200040 
 106.2486     0.0007    2.27       0.12                           4110100200041 
 111.941      0.013     0.256      0.008                          4110100200042 
 113.71       0.05      0.063      0.006                          4110100200043 
 115.240      0.023     0.172      0.006                          4110100200044 
 118.84       0.10      0.060      0.006                          4110100200045 
 124.2804     0.0019    5.92       0.20                           4110100200046 
 126.988      0.005     0.99       0.09                           4110100200047 
 131.8646     0.0023    0.52       0.04                           4110100200048 
 133.3954     0.0017    1.62       0.11                           4110100200049 
 133.6106     0.0011   46.9        1.3                            4110100200050 
 134.94       0.04      0.483      0.021                          4110100200051 
 142.1371     0.0015    4.52       0.13                           4110100200052 
 144.024      0.003     0.50       0.06                           4110100200053 
 147.104      0.003     3.19       0.11                           4110100200054 
 153.011      0.003     5.87       0.20                           4110100200055 
 156.506      0.003     2.94       0.09                           4110100200056 
 160.489      0.006     0.30       0.04                           4110100200057 
 160.7560     0.0012    4.95       0.13                           4110100200058 
 164.1390     0.0023    1.24       0.06                           4110100200059 
 173.192      0.006     0.31       0.03                           4110100200060 
 177.803      0.007     0.20       0.03                           4110100200061 
 193.5634     0.0022    3.18       0.078                          4110100200062 
 205.412      0.003     0.53       0.03                           4110100200063 
 206.862      0.009     0.33       0.03                           4110100200064 
 207.102      0.011     0.330      0.025                          4110100200065 
 211.40       0.05      0.16       0.03                           4110100200066 
 222.088      0.012     0.204      0.025                          4110100200067 
 224.093      0.004     2.07       0.06                           4110100200068 
 224.689      0.008     0.242      0.020                          4110100200069 
 226.68       0.03      0.21       0.03                           4110100200070 
 231.244      0.003     0.533      0.020                          4110100200071 
 232.632      0.017     0.291      0.025                          4110100200072 
 235.898      0.003     0.74       0.08                           4110100200073 
 248.742      0.003     3.49       0.08                           4110100200074 
 250.83       0.03      0.19       0.06                           4110100200075 
 251.373      0.017     0.34       0.05                           4110100200076 
 251.534      0.007     0.81       0.06                           4110100200077 
 252.65       0.04      0.223      0.025                          4110100200078 
 255.533      0.005     0.78       0.04                           4110100200079 
 259.038      0.008     0.58       0.04                           4110100200080 
 264.494      0.010     0.33       0.03                           4110100200081 
 265.610      0.016     0.170      0.025                          4110100200082 
 268.309      0.006     1.90       0.07                           4110100200083 
 278.31       0.10      0.97       0.15                           4110100200084 
 282.609      0.012     0.398      0.025                          4110100200085 
 283.963      0.010     0.60       0.03                           4110100200086 
 290.358      0.012     0.286      0.020                          4110100200087 
 291.513      0.011     0.335      0.025                          4110100200088 
 294.9        0.1       0.16       0.05                           4110100200089 
 297.398      0.022     0.38       0.05                           4110100200090 
 299.95       0.09      0.29       0.11                           4110100200091 
 300.449      0.007     0.276      0.025                          4110100200092 
 301.897      0.005     5.55       0.09                           4110100200093 
 310.451      0.012     0.40       0.04                           4110100200094 
