ENTRY            41105   20210415                             419541105  0    1 
SUBENT        41105001   20210415                             419541105  1    1 
BIB                 10         20                                 41105  1    2 
TITLE       A study of 124Sn in the (n,n'gamma) reaction          41105  1    3 
AUTHOR     (A.M.Demidov,I.V.Mikhailov)                            41105  1    4 
INSTITUTE  (4RUSKUR)                                              41105  1    5 
REFERENCE  (J,IZV,54,2126,1990) Iss.11. Data tables are given.    41105  1    6 
           (J,BAS,54,(11),41,1990)     English of IZV,54,2126     41105  1    7 
REL-REF    (M,,S.Yu.Araddad+,J,IZV,51,45,1987) Iss.1. Exp.details 41105  1    8 
           (M,,S.Yu.Araddad+,J,BAS,51,(1),41,1987)                41105  1    9 
FACILITY   (REAC,4RUSKUR)  Reactor IR-8                           41105  1   10 
INC-SPECT   Fast neutron spectrum of thermal reactor              41105  1   11 
SAMPLE      Metal Sn of 23 g mass, Sn-124 enrichment 97.4%.       41105  1   12 
           (50-SN-124,ENR=0.974)                                  41105  1   13 
COMMENT     Gamma energies were measured at the angle 90 deg      41105  1   14 
            relative to neutron beam direction, intensities       41105  1   15 
            were measured at the angle 125 deg.                   41105  1   16 
HISTORY    (19921023C)  + + Compiled at the centre - CJD + +      41105  1   17 
           (19931023U)  Modifier 'SPA' added to SF8               41105  1   18 
           (20210415A) Second ref. was moved in REL-REF.          41105  1   19 
            Data Subents were corrected.                          41105  1   20 
            Upper -> lower case correction.                       41105  1   21 
            Dates were corrected for 4-digits year.               41105  1   22 
ENDBIB              20          0                                 41105  1   23 
COMMON               1          3                                 41105  1   24 
EN-DUMMY                                                          41105  1   25 
MEV                                                               41105  1   26 
    1.                                                            41105  1   27 
ENDCOMMON            3          0                                 41105  1   28 
ENDSUBENT           27          0                                 41105  199999 
SUBENT        41105002   20210415                             419541105  2    1 
BIB                  4         12                                 41105  2    2 
REACTION   ((50-SN-124(N,INL)50-SN-124,,SPC,,SPA)//               41105  2    3 
           (50-SN-124(N,INL)50-SN-124,,SPC,,SPA))                 41105  2    4 
           Intensity is measured relative to the gamma-line       41105  2    5 
            1131.7 keV taken as 100;                              41105  2    6 
            DATA and DATA-ERR were divided by 100. to obtain      41105  2    7 
            NO-DIM units.                                         41105  2    8 
ERR-ANALYS (DATA-ERR) Type of uncertainty is not explained in the 41105  2    9 
           article.                                               41105  2   10 
STATUS     (TABLE) Table 1 of Izv.Rossiiskoi Akademii Nauk,       41105  2   11 
           Ser.Fiz.,v.54,iss.11,p.2126,1990                       41105  2   12 
HISTORY    (20210415A) REACTION was corrected as ratio.           41105  2   13 
            E -> E-NM. E-DN was added                             41105  2   14 
ENDBIB              12          0                                 41105  2   15 
COMMON               1          3                                 41105  2   16 
E-DN                                                              41105  2   17 
KEV                                                               41105  2   18 
1131.7                                                            41105  2   19 
ENDCOMMON            3          0                                 41105  2   20 
DATA                 4        202                                 41105  2   21 
E          E-ERR      DATA       DATA-ERR                         41105  2   22 
KEV        KEV        NO-DIM     NO-DIM                           41105  2   23 
  102.91     0.02        8.9  E-2   0.4  E-2                      41105  2   24 
  120.39     0.03        1.22 E-2   0.06 E-2                      41105  2   25 
  129.3      0.3         0.071E-2   0.010E-2                      41105  2   26 
  133.52     0.13        0.141E-2   0.012E-2                      41105  2   27 
  150.3      0.2         0.061E-2   0.008E-2                      41105  2   28 
  160.35     0.05        0.29 E-2   0.02 E-2                      41105  2   29 
  180.2      0.2         0.043E-2   0.007E-2                      41105  2   30 
  200.43     0.09        0.208E-2   0.012E-2                      41105  2   31 
  234.95     0.07        0.157E-2   0.010E-2                      41105  2   32 
  243.13     0.03        0.56 E-2   0.03 E-2                      41105  2   33 
  249.72     0.02        0.87 E-2   0.04 E-2                      41105  2   34 
  253.42     0.04        0.268E-2   0.015E-2                      41105  2   35 
  276.4      0.2         0.037E-2   0.009E-2                      41105  2   36 
  290.90     0.14        0.070E-2   0.010E-2                      41105  2   37 
  338.9      0.2         0.070E-2   0.009E-2                      41105  2   38 
  350.88     0.12        0.099E-2   0.010E-2                      41105  2   39 
  355.75     0.12        0.110E-2   0.010E-2                      41105  2   40 
  363.52     0.03        1.18 E-2   0.08 E-2                      41105  2   41 
  373.75     0.13        0.100E-2   0.009E-2                      41105  2   42 
  385.38     0.05        0.50 E-2   0.04 E-2                      41105  2   43 
  409.83     0.02        3.5  E-2   0.3  E-2                      41105  2   44 
  448.50     0.06        0.207E-2   0.016E-2                      41105  2   45 
  497.16     0.02        1.49 E-2   0.12 E-2                      41105  2   46 
  529.1      0.2         0.146E-2   0.013E-2                      41105  2   47 
  531.1      0.2         0.122E-2   0.012E-2                      41105  2   48 
  542.75     0.10        0.176E-2   0.016E-2                      41105  2   49 
  548.43     0.02        2.34 E-2   0.19 E-2                      41105  2   50 
  558.81     0.12        0.094E-2   0.010E-2                      41105  2   51 
  568.71     0.03        0.65 E-2   0.13 E-2                      41105  2   52 
  573.89     0.12        0.107E-2   0.011E-2                      41105  2   53 
  601.4      0.2         0.065E-2   0.008E-2                      41105  2   54 
  614.77     0.06        0.25 E-2   0.02 E-2                      41105  2   55 
  618.19     0.08        0.28 E-2   0.03 E-2                      41105  2   56 
  628.51     0.16        0.132E-2   0.014E-2                      41105  2   57 
  630.35     0.14        0.170E-2   0.017E-2                      41105  2   58 
  650.51     0.04        0.59 E-2   0.05 E-2                      41105  2   59 
  674.6      0.3         0.047E-2   0.008E-2                      41105  2   60 
  686.2      0.2         0.100E-2   0.011E-2                      41105  2   61 
  701.08     0.17        0.163E-2   0.015E-2                      41105  2   62 
  706.98     0.04        0.97 E-2   0.08 E-2                      41105  2   63 
  717.68     0.08        0.37 E-2   0.03 E-2                      41105  2   64 
  735.34     0.18        0.183E-2   0.018E-2                      41105  2   65 
  747.3      0.3         0.080E-2   0.013E-2                      41105  2   66 
  749.05     0.10        0.21 E-2   0.02 E-2                      41105  2   67 
  776.7      0.2         0.104E-2   0.012E-2                      41105  2   68 
  798.75     0.11        0.22 E-2   0.02 E-2                      41105  2   69 
  853.1      0.3         0.065E-2   0.010E-2                      41105  2   70 
  856.55     0.13        0.22 E-2   0.02 E-2                      41105  2   71 
  891.62     0.11        0.24 E-2   0.02 E-2                      41105  2   72 
  938.04     0.06        0.46 E-2   0.04 E-2                      41105  2   73 
  952.4      0.2         0.117E-2   0.012E-2                      41105  2   74 
  969.97     0.02        16.9 E-2   1.3  E-2                      41105  2   75 
  980.7      0.2         0.183E-2   0.017E-2                      41105  2   76 
  997.86     0.02        9.3  E-2   0.7  E-2                      41105  2   77 
 1012.47     0.16        0.152E-2   0.014E-2                      41105  2   78 
 1035.74     0.12        0.115E-2   0.011E-2                      41105  2   79 
 1050.77     0.14        0.136E-2   0.013E-2                      41105  2   80 
 1060.42     0.02        1.59 E-2   0.13 E-2                      41105  2   81 
 1063.78     0.05        0.43 E-2   0.04 E-2                      41105  2   82 
 1072.88     0.02        7.5  E-2   0.6  E-2                      41105  2   83 
 1089.99     0.02        6.5  E-2   0.5  E-2                      41105  2   84 
 1094.41     0.11        0.140E-2   0.012E-2                      41105  2   85 
 1098.4      0.2         0.12 E-2   0.03 E-2                      41105  2   86 
 1111.2      0.3         0.055E-2   0.008E-2                      41105  2   87 
 1114.9      0.2         0.141E-2   0.013E-2                      41105  2   88 
 1131.70     0.02        100. E-2                                 41105  2   89 
 1155.71     0.10        0.176E-2   0.015E-2                      41105  2   90 
 1163.82     0.09        0.16 E-2   0.02 E-2                      41105  2   91 
 1177.3      0.3         0.049E-2   0.007E-2                      41105  2   92 
 1183.39     0.06        0.27 E-2   0.02 E-2                      41105  2   93 
 1210.2      0.2         0.067E-2   0.008E-2                      41105  2   94 
 1244.71     0.06        0.26 E-2   0.02 E-2                      41105  2   95 
 1251.9      0.3         0.082E-2   0.008E-2                      41105  2   96 
 1261.30     0.16        0.096E-2   0.010E-2                      41105  2   97 
 1280.37     0.15        0.122E-2   0.011E-2                      41105  2   98 
 1294.54     0.02        1.23 E-2   0.13 E-2                      41105  2   99 
 1314.67     0.15        0.133E-2   0.012E-2                      41105  2  100 
 1329.9      0.4         0.132E-2   0.012E-2                      41105  2  101 
 1352.06     0.13        0.116E-2   0.011E-2                      41105  2  102 
 1354.2      0.3         0.102E-2   0.011E-2                      41105  2  103 
 1369.2      0.2         0.090E-2   0.009E-2                      41105  2  104 
 1371.6      0.4         0.029E-2   0.005E-2                      41105  2  105 
 1379.58     0.09        0.24 E-2   0.02 E-2                      41105  2  106 
 1386.00     0.10        0.154E-2   0.014E-2                      41105  2  107 
 1392.9      0.3         0.026E-2   0.005E-2                      41105  2  108 
 1413.62     0.17        0.125E-2   0.011E-2                      41105  2  109 
 1421.7      0.2         0.074E-2   0.008E-2                      41105  2  110 
 1425.16     0.07        0.214E-2   0.018E-2                      41105  2  111 
 1430.4      0.2         0.065E-2   0.007E-2                      41105  2  112 
 1433.3      0.3         0.045E-2   0.006E-2                      41105  2  113 
 1450.1      0.3         0.104E-2   0.010E-2                      41105  2  114 
 1453.5      0.3         0.154E-2   0.013E-2                      41105  2  115 
 1470.71     0.02        4.0  E-2   0.3  E-2                      41105  2  116 
 1488.7      0.4         0.028E-2   0.005E-2                      41105  2  117 
 1506.90     0.11        0.171E-2   0.015E-2                      41105  2  118 
 1519.9      0.3         0.054E-2   0.007E-2                      41105  2  119 
 1525.0      0.3         0.056E-2   0.007E-2                      41105  2  120 
 1540.2      0.2         0.082E-2   0.008E-2                      41105  2  121 
 1544.6      0.3         0.037E-2   0.005E-2                      41105  2  122 
 1553.6      0.3         0.027E-2   0.005E-2                      41105  2  123 
 1556.77     0.05        0.44 E-2   0.04 E-2                      41105  2  124 
 1563.5      0.3         0.073E-2   0.007E-2                      41105  2  125 
 1571.43     0.02        1.48 E-2   0.12 E-2                      41105  2  126 
 1616.16     0.14        0.129E-2   0.012E-2                      41105  2  127 
 1631.8      0.3         0.067E-2   0.008E-2                      41105  2  128 
 1640.5      0.2         0.087E-2   0.008E-2                      41105  2  129 
 1649.0      0.2         0.071E-2   0.008E-2                      41105  2  130 
 1666.0      0.3         0.035E-2   0.005E-2                      41105  2  131 
 1673.3      0.3         0.028E-2   0.005E-2                      41105  2  132 
 1702.6      0.4         0.064E-2   0.006E-2                      41105  2  133 
 1704.91     0.08        0.34 E-2   0.03 E-2                      41105  2  134 
 1743.62     0.04        0.86 E-2   0.07 E-2                      41105  2  135 
 1746.95     0.05        0.91 E-2   0.08 E-2                      41105  2  136 
 1749.22     0.09        0.168E-2   0.015E-2                      41105  2  137 
 1760.0      0.4         0.027E-2   0.005E-2                      41105  2  138 
 1766.4      0.5         0.034E-2   0.005E-2                      41105  2  139 
 1788.7      0.3         0.058E-2   0.007E-2                      41105  2  140 
 1795.1      0.2         0.057E-2   0.007E-2                      41105  2  141 
 1822.9      0.3         0.094E-2   0.010E-2                      41105  2  142 
 1826.38     0.07        0.47 E-2   0.04 E-2                      41105  2  143 
 1856.33     0.03        0.95 E-2   0.08 E-2                      41105  2  144 
 1881.2      0.3         0.069E-2   0.007E-2                      41105  2  145 
 1890.2      0.4         0.027E-2   0.006E-2                      41105  2  146 
 1912.75     0.12        0.22 E-2   0.02 E-2                      41105  2  147 
 1942.2      0.3         0.068E-2   0.008E-2                      41105  2  148 
 1951.8      0.3         0.045E-2   0.007E-2                      41105  2  149 
 2011.96     0.08        0.37 E-2   0.03 E-2                      41105  2  150 
 2043.1      0.3         0.106E-2   0.010E-2                      41105  2  151 
 2070.00     0.15        0.146E-2   0.013E-2                      41105  2  152 
 2082.9      0.2         0.092E-2   0.009E-2                      41105  2  153 
 2096.22     0.16        0.178E-2   0.015E-2                      41105  2  154 
 2129.82     0.14        0.25 E-2   0.02 E-2                      41105  2  155 
 2135.37     0.08        0.33 E-2   0.03 E-2                      41105  2  156 
 2161.7      0.3         0.061E-2   0.007E-2                      41105  2  157 
 2198.65     0.09        0.24 E-2   0.02 E-2                      41105  2  158 
 2201.90     0.14        0.082E-2   0.010E-2                      41105  2  159 
