ENTRY            41151   19990820                             00004115100000001 
SUBENT        41151001   19990820                             00004115100100001 
BIB                 13         20                                 4115100100002 
TITLE       DETERMINATION OF THE PARAMETERS OF CROSS-SECTIONS     4115100100003 
            RESONANCE STRUCTURE FOR TH-232 IN THE ENERGY RANGE    4115100100004 
            4.65 - 46500 EV                                       4115100100005 
AUTHOR     (YU.V.GRIGOR'EV,G.N.MANTUROV,V.V.SINITSA,G.P.GEORGIEV, 4115100100006 
           B.I.IVANOV,I.A.SIRAKOV,N.B.YANEVA)                     4115100100007 
INSTITUTE  (4RUSFEI)  GRIGOR'EV, MANTUROV, SINITSA                4115100100008 
           (4ZZZDUB)  GEORGIEV, IVANOV, SIRAKOV, YANEVA           4115100100009 
REFERENCE  (R,FEI-2120,199009)   DATA TABLES ARE GIVEN            4115100100010 
FACILITY   (REAC,4ZZZDUB)      FAST PULSE REACTOR IBR-30          4115100100011 
METHOD     (TOF)    FLIGHT BASE IS 59.4 M                         4115100100012 
MONITOR      NOINFORMATION                                        4115100100013 
DETECTOR   (SCIN)   LIQUID SCINTILLATION DETECTOR                 4115100100014 
PART-DET   (G,N)                                                  4115100100015 
SAMPLE      .METALLIC THORIUM DISKS 47 MM IN DIAMETER             4115100100016 
INC-SPECT   .CADMIUM, INDIUM, MANGANESE, TITANUM FILTERS WERE     4115100100017 
            INSERTED IN THE NEUTRON BEAM FOR CORRECTION OF THE    4115100100018 
            NEUTRON SPECTRUM                                      4115100100019 
STATUS      .DATA ARE TAKEN FROM THE REFERENCE                    4115100100020 
HISTORY    (19940607C)  + + COMPILED AT THE CENTRE - CJD + +      4115100100021 
           (19990820A)  . . DATES CORRECTED. NEW SUBENTS ADDED    4115100100022 
ENDBIB              20          0                                 4115100100023 
NOCOMMON             0          0                                 4115100100024 
ENDSUBENT           23          0                                 4115100199999 
SUBENT        41151002   19990820                             00004115100200001 
BIB                  2          5                                 4115100200002 
REACTION   ((90-TH-232(N,TOT),,SIG,,RAW/AV)=                      4115100200003 
           (90-TH-232(N,TOT),,SIF,,AV))   TRANSMISSION = SELF-    4115100200004 
             INDICATION FUNCTION AVERAGED OVER ENERGY INTERVAL    4115100200005 
             GIVEN IN THE DATA TABLE                              4115100200006 
ERR-ANALYS (DATA-ERR)  ERROR IS NOT SPECIFIED                     4115100200007 
ENDBIB               5          0                                 4115100200008 
NOCOMMON             0          0                                 4115100200009 
DATA                 5         72                                 4115100200010 
EN-MAX     EN-MIN     THICKNESS  DATA       DATA-ERR              4115100200011 
EV         EV         ATOMS/B    NO-DIM     NO-DIM                4115100200012 
   4.65E+04   2.15E+04   1.49E-01   0.154      0.15               4115100200013 
   4.65E+04   2.15E+04   9.76E-02   0.300      0.02               4115100200014 
   4.65E+04   2.15E+04   5.17E-02   0.522      0.02               4115100200015 
   4.65E+04   2.15E+04   2.58E-02   0.710      0.01               4115100200016 
   4.65E+04   2.15E+04   1.3 E-02   0.840      0.01               4115100200017 
   4.65E+04   2.15E+04   6.5 E-03   0.915      0.01               4115100200018 
   2.15E+04   1.0 E+04   1.49E-01   0.204      0.02               4115100200019 
   2.15E+04   1.0 E+04   9.76E-02   0.315      0.02               4115100200020 
   2.15E+04   1.0 E+04   5.17E-02   0.513      0.02               4115100200021 
   2.15E+04   1.0 E+04   2.58E-02   0.712      0.01               4115100200022 
   2.15E+04   1.0 E+04   1.3 E-02   0.835      0.01               4115100200023 
   2.15E+04   1.0 E+04   6.5 E-03   0.914      0.01               4115100200024 
   1.0 E+04   4.65E+03   1.49E-01   0.183      0.01               4115100200025 
   1.0 E+04   4.65E+03   9.76E-02   0.304      0.02               4115100200026 
   1.0 E+04   4.65E+03   5.17E-02   0.539      0.02               4115100200027 
   1.0 E+04   4.65E+03   2.58E-02   0.723      0.01               4115100200028 
   1.0 E+04   4.65E+03   1.3 E-02   0.840      0.01               4115100200029 
   1.0 E+04   4.65E+03   6.5 E-03   0.914      0.01               4115100200030 
   4.65E+03   2.15E+03   1.49E-01   0.204      0.02               4115100200031 
   4.65E+03   2.15E+03   9.76E-02   0.336      0.02               4115100200032 
   4.65E+03   2.15E+03   5.17E-02   0.555      0.02               4115100200033 
   4.65E+03   2.15E+03   2.58E-02   0.713      0.01               4115100200034 
   4.65E+03   2.15E+03   1.3 E-02   0.830      0.01               4115100200035 
   4.65E+03   2.15E+03   6.5 E-03   0.903      0.01               4115100200036 
   2.15E+03   1.0 E+03   1.49E-01   0.138      0.02               4115100200037 
   2.15E+03   1.0 E+03   9.76E-02   0.258      0.02               4115100200038 
   2.15E+03   1.0 E+03   5.17E-02   0.482      0.02               4115100200039 
   2.15E+03   1.0 E+03   2.58E-02   0.671      0.012              4115100200040 
   2.15E+03   1.0 E+03   1.3 E-02   0.800      0.01               4115100200041 
   2.15E+03   1.0 E+03   6.5 E-03   0.893      0.01               4115100200042 
   1.0 E+03   4.65E+02   1.49E-01   0.126      0.02               4115100200043 
   1.0 E+03   4.65E+02   9.76E-02   0.254      0.02               4115100200044 
