ENTRY            41328   20200315                             418641328  0    1 
SUBENT        41328001   20200315                             418641328  1    1 
BIB                 13         45                                 41328  1    2 
INSTITUTE  (4RUSFEI)  First five authors                          41328  1    3 
           (3CUBHAB)  Last author                                 41328  1    4 
REFERENCE  (S,INDC(NDS)-272,131,1992)   Main reference            41328  1    5 
                            Numerical data and graphs.            41328  1    6 
           (C,88SMOLEN,,272,1988)    Experimental details, graphs 41328  1    7 
           (W,SIMAKOV,199903)  Numerical data given via internet  41328  1    8 
AUTHOR     (S.P.Simakov, B.V.Devkin, M.G.Kobosev, A.A.Lychagin,   41328  1    9 
            V.A.Talalaev, C.Sandin)                               41328  1   10 
TITLE       Differential neutron emission cross-sections for      41328  1   11 
            beryllium and tungsten at 14 MeV incident neutron     41328  1   12 
            energy                                                41328  1   13 
FACILITY   (CCW,4RUSFEI) Klystron neutron generator KG-0.3        41328  1   14 
           Time of flight spectrometer.                           41328  1   15 
METHOD     (TOF) Neutron flight path length was 709 cm,           41328  1   16 
            time resolution 3nsec, energy resolution 0.6 and 0.01 41328  1   17 
            MeV a for 14 and 1 MeV, respectively.                 41328  1   18 
           . Neutron detector efficiency was determined           41328  1   19 
           - by Cf-252 ionization chamber measurement and standard41328  1   20 
            CF-252 neutron spectrum,                              41328  1   21 
           - above 6-8 MeV -by measurement of n-p scattering cross41328  1   22 
            section and standard C-S from IAEA-TECDOC-227,1989.   41328  1   23 
DETECTOR   (SCIN) NE-218 liquid scintillator 10 cm in diameter    41328  1   24 
                  and 5 cm in length.                             41328  1   25 
           (LONGC) For monitoring of neutron yield and            41328  1   26 
           normalization of different runs.                       41328  1   27 
INC-SOURCE (D-T) 2.5 nsec pulsed neutrons were generated by       41328  1   28 
                 klystron neutron generator KG-0.3 of IPPE        41328  1   29 
SAMPLE     .Metallic Be-9 (natural abundance), hollow cylinder:   41328  1   30 
            outer diameter 45mm, inner diameter 30mm, height 56mm,41328  1   31 
            number of nuclei - 6.108E+24 .                        41328  1   32 
           .Metallic W (natural abundance), hollow cylinder:      41328  1   33 
            outer diameter 42mm, inner diameter 20mm, height 50mm,41328  1   34 
            number of nuclei - 1.838E+24 .                        41328  1   35 
CORRECTION .Data were corrected for multiple scattering,          41328  1   36 
            elastically scattered neutrons were subtracted        41328  1   37 
ERR-ANALYS (ERR-1) Uncertainty in determination of neutron        41328  1   38 
            detector efficiency.                                  41328  1   39 
           (ERR-2) uncertainty of absolute normalization.         41328  1   40 
           (ERR-3) calculation of multiple scattering correction  41328  1   41 
           in the sample.                                         41328  1   42 
STATUS     (APRVD)   S.Simakov, 1999-03-26                        41328  1   43 
HISTORY    (19990331C)  + +   Compiled at the CJD                 41328  1   44 
           (20200315U) Ref. INDC(NDS)-272 was corrected           41328  1   45 
                      (131) -> 131.                               41328  1   46 
           STATUS was added in data Subents.                      41328  1   47 
ENDBIB              45          0                                 41328  1   48 
COMMON               3          3                                 41328  1   49 
ERR-1      ERR-2      ERR-3                                       41328  1   50 
PER-CENT   PER-CENT   PER-CENT                                    41328  1   51 
 6.         3.         3.                                         41328  1   52 
ENDCOMMON            3          0                                 41328  1   53 
ENDSUBENT           52          0                                 41328  199999 
SUBENT        41328002   20200315                             418641328  2    1 
BIB                  3          7                                 41328  2    2 
REACTION   (4-BE-9(N,X)0-NN-1,EM,DA/DE)                           41328  2    3 
ERR-ANALYS (ERR-T) Total error                                    41328  2    4 
            (6-25% in double differential CS)                     41328  2    5 
           (ERR-S,2.,25.) Statistical uncertainty of measured     41328  2    6 
           spectra.                                               41328  2    7 
STATUS     (TABLE) From the author S.Simakov                      41328  2    8 
           Table 2 of INDC(NDS)-272,,131,1992                     41328  2    9 
ENDBIB               7          0                                 41328  2   10 
NOCOMMON             0          0                                 41328  2   11 
DATA                 5        245                                 41328  2   12 
EN         ANG        E          DATA       ERR-T                 41328  2   13 
MEV        ADEG       MEV        MB/SR/MEV  MB/SR/MEV             41328  2   14 
  13.45       150.0     .8        19.90      5.45                 41328  2   15 
  13.45       150.0    1.0        11.74       .72                 41328  2   16 
  13.45       150.0    1.2        11.93      1.04                 41328  2   17 
  13.45       150.0    1.4        10.24       .63                 41328  2   18 
  13.45       150.0    1.6         8.01      1.16                 41328  2   19 
  13.45       150.0    1.8         6.63       .58                 41328  2   20 
  13.45       150.0    2.0         6.15       .42                 41328  2   21 
  13.45       150.0    2.2         5.60       .60                 41328  2   22 
  13.45       150.0    2.4         5.82       .55                 41328  2   23 
  13.45       150.0    2.6         4.92       .40                 41328  2   24 
  13.45       150.0    2.8         3.98       .27                 41328  2   25 
  13.45       150.0    3.0         3.88       .24                 41328  2   26 
  13.45       150.0    3.2         3.80       .27                 41328  2   27 
  13.45       150.0    3.4         3.90       .32                 41328  2   28 
  13.45       150.0    3.6         3.71       .46                 41328  2   29 
  13.45       150.0    3.8         3.63       .32                 41328  2   30 
  13.45       150.0    4.0         3.38       .22                 41328  2   31 
  13.45       150.0    4.2         3.35       .21                 41328  2   32 
  13.45       150.0    4.4         3.30       .27                 41328  2   33 
  13.45       150.0    4.6         2.70       .51                 41328  2   34 
  13.45       150.0    4.8         2.74       .30                 41328  2   35 
  13.45       150.0    5.0         2.31       .16                 41328  2   36 
  13.45       150.0    5.2         1.80       .15                 41328  2   37 
  13.45       150.0    5.4         1.37       .10                 41328  2   38 
  13.45       150.0    5.6         1.10       .08                 41328  2   39 
  13.45       150.0    5.8          .96       .22                 41328  2   40 
  13.45       150.0    6.0         1.01       .06                 41328  2   41 
  13.45       150.0    6.2         1.54       .10                 41328  2   42 
  13.45       150.0    6.4         2.17       .35                 41328  2   43 
  13.45       150.0    6.6         3.11       .34                 41328  2   44 
  13.45       150.0    6.8         5.39      1.20                 41328  2   45 
  13.45       150.0    7.0         5.06       .62                 41328  2   46 
  13.45       150.0    7.2         2.29       .39                 41328  2   47 
  13.72       120.0     .8        16.06       .96                 41328  2   48 
  13.72       120.0    1.0        15.19      1.03                 41328  2   49 
  13.72       120.0    1.2        13.21       .89                 41328  2   50 
  13.72       120.0    1.4        11.03       .66                 41328  2   51 
  13.72       120.0    1.6         9.43       .58                 41328  2   52 
  13.72       120.0    1.8         7.72       .53                 41328  2   53 
  13.72       120.0    2.0         6.41       .52                 41328  2   54 
  13.72       120.0    2.2         5.27       .32                 41328  2   55 
  13.72       120.0    2.4         4.77       .29                 41328  2   56 
  13.72       120.0    2.6         4.24       .25                 41328  2   57 
  13.72       120.0    2.8         3.93       .35                 41328  2   58 
  13.72       120.0    3.0         3.60       .22                 41328  2   59 
  13.72       120.0    3.2         3.58       .22                 41328  2   60 
  13.72       120.0    3.4         3.33       .22                 41328  2   61 
  13.72       120.0    3.6         3.32       .29                 41328  2   62 
  13.72       120.0    3.8         3.49       .21                 41328  2   63 
  13.72       120.0    4.0         3.97       .24                 41328  2   64 
  13.72       120.0    4.2         4.05       .39                 41328  2   65 
  13.72       120.0    4.4         3.95       .31                 41328  2   66 
  13.72       120.0    4.6         3.40       .30                 41328  2   67 
  13.72       120.0    4.8         3.06       .26                 41328  2   68 
  13.72       120.0    5.0         2.49       .21                 41328  2   69 
  13.72       120.0    5.2         2.14       .18                 41328  2   70 
  13.72       120.0    5.4         1.94       .14                 41328  2   71 
  13.72       120.0    5.6         1.87       .15                 41328  2   72 
  13.72       120.0    5.8         1.72       .12                 41328  2   73 
  13.72       120.0    6.0         1.62       .20                 41328  2   74 
  13.72       120.0    6.2         1.44       .19                 41328  2   75 
  13.72       120.0    6.4         1.47       .14                 41328  2   76 
  13.72       120.0    6.6         1.45       .09                 41328  2   77 
  13.72       120.0    6.8         1.66       .11                 41328  2   78 
  13.72       120.0    7.0         2.03       .17                 41328  2   79 
