ENTRY            41696   20200910                             418941696  0    1 
SUBENT        41696001   20200910                             418941696  1    1 
BIB                 14         38                                 41696  1    2 
TITLE       Fine structure of fragment yield in the fission of    41696  1    3 
           heavy nuclei                                           41696  1    4 
AUTHOR     (I.A.Baranov,A.N.Protopopov,B.M.Shiryaev)              41696  1    5 
INSTITUTE  (4RUSRI)                                               41696  1    6 
REFERENCE  (J,SNP,10,654,1970) Engl.transl. of YF,                41696  1    7 
           (J,YF,10,1149,1969) Issue 6. Figures only.             41696  1    8 
           (P,YFI-9,20,1969)                                      41696  1    9 
           (R,INDC(CCP)-9,25,1970) Engl.transl.of YFI-9,24        41696  1   10 
           Relative mass yields for 60.7,68.2,79.0 MeV kin.energy 41696  1   11 
           at U-235 thermal neutron fission on figure.            41696  1   12 
REL-REF    (R,41397001,V.F.Apalin+,J,ZET,46,1197,1964)            41696  1   13 
            NU(MASS) used for prompt neutrons correction.         41696  1   14 
           (N,41695001,Yu.M.Artem'ev+,J,SNP,11,162,1970)          41696  1   15 
            Measurement by ionization chamber.                    41696  1   16 
           (R,,H.W.Schmitt+,J,PR,141,1146,1966)                   41696  1   17 
            Data used for energy scale calibration.               41696  1   18 
           (N,,T.D.Thomas+,J,PR,133,B976,1964)                    41696  1   19 
           (N,,J.C.D.Milton,R,UCRL-9883,1962)                     41696  1   20 
           Zieger's formula, see ADD-RES.                         41696  1   21 
FACILITY    No information                                        41696  1   22 
INC-SOURCE  Thermal neutrons                                      41696  1   23 
SAMPLE      No information                                        41696  1   24 
METHOD      No information.                                       41696  1   25 
DETECTOR   (SIBAR) Semi-conductor silicon surface-barrier counters41696  1   26 
           to measure kinetic energy of fission fragments.        41696  1   27 
           Energy bin ~1 MeV for energy >100 MeV,                 41696  1   28 
                      ~0.5 MeV for energy <100 MeV.               41696  1   29 
CORRECTION  Fission fragment masses were corrected for neutron    41696  1   30 
           emission.                                              41696  1   31 
ERR-ANALYS (DATA-ERR) Type of uncertainty is not explained in     41696  1   32 
           articles                                               41696  1   33 
ADD-RES     Dependence of fission fragments excitation maximal    41696  1   34 
           energy on mass (Figs.3, 4 in Sov.Nucl.Phys.) was       41696  1   35 
           calculated by means of Zieger's formula tabulated data 41696  1   36 
           of total release energy and the total kinetic energy of41696  1   37 
           fission fragments, using method presented in T.D.Thomas41696  1   38 
           REL-REF.                                               41696  1   39 
HISTORY    (20200910C) M.M.                                       41696  1   40 
ENDBIB              38          0                                 41696  1   41 
COMMON               1          3                                 41696  1   42 
EN-DUMMY                                                          41696  1   43 
EV                                                                41696  1   44 
 0.0253                                                           41696  1   45 
ENDCOMMON            3          0                                 41696  1   46 
ENDSUBENT           45          0                                 41696  199999 
SUBENT        41696002   20200910                             418941696  2    1 
BIB                  4          7                                 41696  2    2 
REACTION   (92-U-235(N,F)MASS,PRE,FY/DE,,REL)                     41696  2    3 
             Yields in relative units                             41696  2    4 
EN-SEC     (E,HF)                                                 41696  2    5 
ERR-ANALYS  Quantization errors ( 1/2 pixel):                     41696  2    6 
           scale X - 0.032 a.m.u., scale Y - 0.65 arb.unit        41696  2    7 
STATUS     (CURVE) Fig.1 of YFI-9,p.20,1969                       41696  2    8 
                  = Fig.2 of Yad.Fiz.,10,1149,1969                41696  2    9 
ENDBIB               7          0                                 41696  2   10 
COMMON               3          3                                 41696  2   11 
E-ERR      MASS-ERR-D ERR-DIG                                     41696  2   12 
MEV        NO-DIM     ARB-UNITS                                   41696  2   13 
0.5         0.088       1.30                                      41696  2   14 
ENDCOMMON            3          0                                 41696  2   15 
DATA                 4         77                                 41696  2   16 
E          MASS       DATA       DATA-ERR                         41696  2   17 
MEV        NO-DIM     ARB-UNITS  ARB-UNITS                        41696  2   18 
 60.7       139.70      44.43      11.69                          41696  2   19 
 60.7       140.35      54.77      12.99                          41696  2   20 
 60.7       141.06      50.82      11.68                          41696  2   21 
 60.7       141.91      91.02      18.19                          41696  2   22 
 60.7       142.37     128.65      24.67                          41696  2   23 
 60.7       143.01     135.09      23.38                          41696  2   24 
 60.7       143.67     170.11      22.08                          41696  2   25 
 60.7       144.32     211.61      20.77                          41696  2   26 
 60.7       144.91     232.35      23.38                          41696  2   27 
 60.7       145.42     227.12      28.57                          41696  2   28 
 60.7       146.02     298.50      33.77                          41696  2   29 
 60.7       146.47     298.47      33.77                          41696  2   30 
 60.7       147.06     341.28      38.96                          41696  2   31 
 60.7       147.65     386.69      31.17                          41696  2   32 
 60.7       148.22     330.80      37.66                          41696  2   33 
 60.7       148.80     313.88      32.47                          41696  2   34 
 60.7       149.31     299.55      35.06                          41696  2   35 
 60.7       149.89     280.03      32.47                          41696  2   36 
 60.7       150.58     152.71      25.97                          41696  2   37 
 60.7       150.96     130.61      20.78                          41696  2   38 
 60.7       151.48     112.39      22.07                          41696  2   39 
 60.7       152.05      74.68      16.89                          41696  2   40 
 60.7       152.56      46.07      15.58                          41696  2   41 
 60.7       152.95      40.85      11.69                          41696  2   42 
 60.7       153.59      10.93       7.80                          41696  2   43 
 68.2       135.51     112.27      11.69                          41696  2   44 
 68.2       135.90     131.72      11.69                          41696  2   45 
 68.2       136.36     152.47      12.98                          41696  2   46 
 68.2       137.21     199.16      14.28                          41696  2   47 
 68.2       137.67     222.50      15.58                          41696  2   48 
 68.2       138.07     296.49      14.29                          41696  2   49 
 68.2       138.52     318.53      18.18                          41696  2   50 
 68.2       138.86     389.94      19.48                          41696  2   51 
 68.2       139.31     367.83      19.48                          41696  2   52 
 68.2       139.65     476.89      22.08                          41696  2   53 
 68.2       140.11     495.03      23.38                          41696  2   54 
 68.2       140.44     536.57      23.37                          41696  2   55 
 68.2       140.76     544.33      24.68                          41696  2   56 
 68.2       141.22     589.75      25.97                          41696  2   57 
 68.2       141.54     544.28      23.38                          41696  2   58 
 68.2       141.93     539.05      24.67                          41696  2   59 
 68.2       142.37     520.84      22.08                          41696  2   60 
 68.2       142.76     536.39      18.19                          41696  2   61 
 68.2       143.02     516.90      22.08                          41696  2   62 
 68.2       143.47     477.90      20.78                          41696  2   63 
 68.2       143.85     440.21      20.78                          41696  2   64 
 68.2       144.15     336.30      15.58                          41696  2   65 
 68.2       144.52     264.84      15.58                          41696  2   66 
 68.2       144.77     164.83      12.99                          41696  2   67 
 68.2       145.21     121.94      10.39                          41696  2   68 
 68.2       145.46     101.14       9.09                          41696  2   69 
 68.2       145.85      68.65       6.49                          41696  2   70 
 68.2       146.10      46.55       6.49                          41696  2   71 
 68.2       146.55      27.04       5.20                          41696  2   72 
 68.2       146.93       8.83       3.90                          41696  2   73 
 79.0       125.48      22.11       5.19                          41696  2   74 
 79.0       126.32      32.44       6.49                          41696  2   75 
 79.0       127.36      53.14       5.19                          41696  2   76 
 79.0       128.00      63.48       6.49                          41696  2   77 
 79.0       128.59      94.60       9.09                          41696  2   78 
 79.0       129.24     123.13      11.68                          41696  2   79 
 79.0       129.76     132.18      12.99                          41696  2   80 
 79.0       130.42     203.56      12.99                          41696  2   81 
 79.0       130.88     213.91      12.99                          41696  2   82 
 79.0       131.47     256.72      14.29                          41696  2   83 
 79.0       132.13     347.58      14.29                          41696  2   84 
 79.0       132.72     402.08      18.18                          41696  2   85 
