ENTRY            41742   20211025                             420241742  0    1 
SUBENT        41742001   20211025                             420241742  1    1 
BIB                 13         26                                 41742  1    2 
TITLE       Application of Kalman filter to the estimation of     41742  1    3 
           8-group delayed neutron spectra for the 235U thermal   41742  1    4 
           neutron fission                                        41742  1    5 
AUTHOR     (A.S.Egorov, V.M.Piksaikin, D.E.Gremyachkin,           41742  1    6 
           K.V.Mitrofanov, V.F.Mitrofanov)                        41742  1    7 
INSTITUTE  (4RUSFEI)                                              41742  1    8 
REFERENCE  (J,YK,,(3),11,2021)                                    41742  1    9 
           (W,PIKSAIKIN,20211109) Exp.details - see comments.     41742  1   10 
REL-REF    (I,41650001,V.M.Piksaikin+,J,ANE,102,408,2017)         41742  1   11 
FACILITY   (VDGT,4RUSFEI) Electrostatic accelerator KG-2.5        41742  1   12 
INC-SOURCE (P-T) Neutrons from T(p,n) reaction were slowed down   41742  1   13 
           in polyethylene block.                                 41742  1   14 
METHOD     (ACTIV)                                                41742  1   15 
DETECTOR   (HE3SP)                                                41742  1   16 
SAMPLE     Metallic U-235 sample weight 2.466 g.                  41742  1   17 
ADD-RES     Table 1 - uncertainties of delayed neutrons integral  41742  1   18 
           spectra at U-235 thermal neutron fission for several   41742  1   19 
           times intervals .                                      41742  1   20 
COMMENT    Of author V.Piksaikin:                                 41742  1   21 
           1) Neutron source-T(p,n) neutrons slowed down in a     41742  1   22 
           polyethylene block                                     41742  1   23 
           2) Electrostatic accelerator KG-2.5 of IPPE            41742  1   24 
           3) Sample was made from metallic U235. The weight of   41742  1   25 
           the sample 2.466 g.                                    41742  1   26 
           4) Mean energy of incident neutrons - 2.85 eV          41742  1   27 
HISTORY    (20211025C) M.M.                                       41742  1   28 
ENDBIB              26          0                                 41742  1   29 
COMMON               1          3                                 41742  1   30 
EN-MEAN                                                           41742  1   31 
EV                                                                41742  1   32 
 2.85                                                             41742  1   33 
ENDCOMMON            3          0                                 41742  1   34 
ENDSUBENT           33          0                                 41742  199999 
SUBENT        41742002   20211025                             420241742  2    1 
BIB                  4         17                                 41742  2    2 
REACTION   (92-U-235(N,F),DL/GRP,NU/DE,,REL)                      41742  2    3 
                 8-group delayed neutron spectra, relative units -41742  2    4 
           see comment of author.                                 41742  2    5 
COMMENT    Of author V.Piksaikin:                                 41742  2    6 
           - data in neutron/keV (relative units, each spectrum   41742  2    7 
           normalized on 100);                                    41742  2    8 
           - In table 1 uncertainties without efficiencies (4.7%) 41742  2    9 
           and transmission (1%). To get total uncertainties one  41742  2   10 
           should add to "table 1 uncertainties" efficiency and   41742  2   11 
           transmission uncertainties;                            41742  2   12 
           - in processing data we used total uncertainties of    41742  2   13 
           aggregate spectra (which include the efficiency and    41742  2   14 
           transmission uncertainties).                           41742  2   15 
           Database for Beta-Delayed Neutron Emission Data        41742  2   16 
           www-nds.iaea.org/beta-delayed-neutron/database.html .  41742  2   17 
ERR-ANALYS (DATA-ERR) Total uncertainties.                        41742  2   18 
STATUS     (TABLE) Tables 2-9 of Yad.Konst.,is.3,p.11,2021        41742  2   19 
ENDBIB              17          0                                 41742  2   20 
NOCOMMON             0          0                                 41742  2   21 
DATA                 5       1288                                 41742  2   22 
HL         E-MIN      E-MAX      DATA       DATA-ERR              41742  2   23 
SEC        KEV        KEV        ARB-UNITS  ARB-UNITS             41742  2   24 
  55.6         0.        10.      0.42066      0.02308            41742  2   25 
  55.6        10.        20.      3.58672      0.18784            41742  2   26 
  55.6        20.        30.      4.7591       0.24672            41742  2   27 
  55.6        30.        40.      1.95746      0.09636            41742  2   28 
  55.6        40.        50.      2.4255       0.11793            41742  2   29 
  55.6        50.        60.      3.95554      0.19576            41742  2   30 
  55.6        60.        70.      2.97647      0.14772            41742  2   31 
  55.6        70.        80.      2.74704      0.13695            41742  2   32 
  55.6        80.        90.      2.17674      0.10919            41742  2   33 
  55.6        90.       100.      1.26265      0.0627             41742  2   34 
  55.6       100.       110.      1.14148      0.05624            41742  2   35 
  55.6       110.       120.      1.88487      0.09318            41742  2   36 
  55.6       120.       130.      2.59134      0.12999            41742  2   37 
  55.6       130.       140.      3.16575      0.16024            41742  2   38 
  55.6       140.       150.      3.50169      0.17792            41742  2   39 
  55.6       150.       160.      2.91227      0.14788            41742  2   40 
  55.6       160.       170.      2.1173       0.10702            41742  2   41 
  55.6       170.       180.      2.79678      0.14118            41742  2   42 
  55.6       180.       190.      3.31097      0.16784            41742  2   43 
  55.6       190.       200.      2.64047      0.134              41742  2   44 
  55.6       200.       210.      2.24072      0.11327            41742  2   45 
  55.6       210.       220.      2.1498       0.10862            41742  2   46 
  55.6       220.       230.      2.08155      0.10567            41742  2   47 
  55.6       230.       240.      2.3116       0.11783            41742  2   48 
  55.6       240.       250.      3.41996      0.17523            41742  2   49 
  55.6       250.       260.      3.79944      0.19629            41742  2   50 
  55.6       260.       270.      2.98435      0.15514            41742  2   51 
  55.6       270.       280.      2.20001      0.11435            41742  2   52 
  55.6       280.       290.      1.47404      0.0758             41742  2   53 
  55.6       290.       300.      1.19355      0.06097            41742  2   54 
  55.6       300.       310.      1.02603      0.05202            41742  2   55 
  55.6       310.       320.      1.26176      0.06468            41742  2   56 
  55.6       320.       330.      0.89169      0.04576            41742  2   57 
  55.6       330.       340.      0.83583      0.04298            41742  2   58 
  55.6       340.       350.      0.68625      0.03507            41742  2   59 
  55.6       350.       360.      0.54768      0.028              41742  2   60 
  55.6       360.       370.      0.52329      0.02692            41742  2   61 
  55.6       370.       380.      0.51791      0.02693            41742  2   62 
  55.6       380.       390.      0.66053      0.0345             41742  2   63 
  55.6       390.       400.      0.75331      0.03913            41742  2   64 
  55.6       400.       410.      0.81709      0.04216            41742  2   65 
  55.6       410.       420.      0.6716       0.03464            41742  2   66 
  55.6       420.       430.      0.7161       0.03694            41742  2   67 
  55.6       430.       440.      0.74914      0.0384             41742  2   68 
  55.6       440.       450.      1.15552      0.0592             41742  2   69 
  55.6       450.       460.      0.79421      0.04079            41742  2   70 
  55.6       460.       470.      0.56565      0.02914            41742  2   71 
  55.6       470.       480.      0.44587      0.02304            41742  2   72 
  55.6       480.       490.      0.30868      0.01595            41742  2   73 
  55.6       490.       500.      0.32165      0.01659            41742  2   74 
  55.6       500.       510.      0.37884      0.0196             41742  2   75 
  55.6       510.       520.      0.21323      0.01101            41742  2   76 
  55.6       520.       530.      0.33632      0.0173             41742  2   77 
  55.6       530.       540.      0.40191      0.02063            41742  2   78 
  55.6       540.       550.      0.25748      0.01304            41742  2   79 
