ENTRY            A0113   20210211                             A096A0113  0    1 
SUBENT        A0113001   20210211                             A096A0113  1    1 
BIB                 10         21                                 A0113  1    2 
TITLE      Projectile-fragment yields as a probe for the          A0113  1    3 
           collective enhancement in the nuclear level density    A0113  1    4 
AUTHOR     (A.R.Junghans, M.De Jong, H.-G.Clerc,                  A0113  1    5 
           A.V.Ignatyuk, G.A.Kudyaev, K.-H.Schmidt)               A0113  1    6 
INSTITUTE  (2GERTHD,4RUSFEI,2GERGSI)                              A0113  1    7 
REFERENCE  (J,NP/A,629,635,1998)                                  A0113  1    8 
REL-REF    (M,O0956001,H.-G.Clerc+,J,NP/A,590,785,1995)           A0113  1    9 
           (I,A0106001,M.de Jong+,J,NP/A,628,479,1998)            A0113  1   10 
FACILITY   (SYNCH,2GERGSI)                                        A0113  1   11 
           (OLMS,2GERGSI)                                         A0113  1   12 
METHOD     (SITA,OLMS,TOF,EDE)                                    A0113  1   13 
ERR-ANALYS (DATA-ERR) No information about source of uncertainty  A0113  1   14 
STATUS     (TABLE) All data were received from Web-site of GSI.   A0113  1   15 
HISTORY    (20010321C)                                            A0113  1   16 
           (20010613U) Last checking has been done.               A0113  1   17 
           (20200530A) SD: Corrections in all Subents. COMMENT    A0113  1   18 
           deleted (abstract of the article useless in the entry).A0113  1   19 
           Energy units in the COMMON changed. Subents 002-251    A0113  1   20 
           were merged.                                           A0113  1   21 
           (20210211A) SD: Subents 003-251 deleted (info moves to A0113  1   22 
           Subent 002).                                           A0113  1   23 
ENDBIB              21          0                                 A0113  1   24 
COMMON               1          3                                 A0113  1   25 
EN                                                                A0113  1   26 
MEV/A                                                             A0113  1   27 
      950.                                                        A0113  1   28 
ENDCOMMON            3          0                                 A0113  1   29 
ENDSUBENT           28          0                                 A0113  199999 
SUBENT        A0113002   20200530                             A095A0113  2    1 
BIB                  2          4                                 A0113  2    2 
REACTION   (29-CU-0(92-U-238,X)ELEM/MASS,,SIG)                    A0113  2    3 
HISTORY    (20200529A) SD: SF4=U-237 -> ELEM/MASS; SF5=IND and    A0113  2    4 
           SF9=EXP deleted from REACTION code. Data from Subents  A0113  2    5 
           003-251 added.                                         A0113  2    6 
ENDBIB               4          0                                 A0113  2    7 
NOCOMMON             0          0                                 A0113  2    8 
DATA                 4        250                                 A0113  2    9 
ELEMENT    MASS       DATA       DATA-ERR                         A0113  2   10 
NO-DIM     NO-DIM     MB         MB                               A0113  2   11 
        92.       237.     715.39     134.87                      A0113  2   12 
        92.       236.     239.34      45.14                      A0113  2   13 
        92.       235.      35.32       6.66                      A0113  2   14 
        92.       234.      13.08       2.47                      A0113  2   15 
        92.       233.       3.69        0.7                      A0113  2   16 
        92.       232.       1.71       0.33                      A0113  2   17 
        92.       231.       0.56       0.11                      A0113  2   18 
        92.       230.       0.13       0.03                      A0113  2   19 
        92.       229.      0.051      0.016                      A0113  2   20 
        92.       228.      0.007      0.004                      A0113  2   21 
        91.       237.      22.73       4.31                      A0113  2   22 
        91.       236.      18.56       3.52                      A0113  2   23 
        91.       235.      22.63        4.3                      A0113  2   24 
        91.       234.      17.49       3.33                      A0113  2   25 
        91.       233.      13.44       2.57                      A0113  2   26 
        91.       232.       8.98        1.7                      A0113  2   27 
        91.       231.       6.11       1.15                      A0113  2   28 
        91.       230.       3.68        0.7                      A0113  2   29 
        91.       229.       1.81       0.34                      A0113  2   30 
        91.       228.       1.04        0.2                      A0113  2   31 
        91.       227.       0.46       0.09                      A0113  2   32 
        91.       226.       0.28       0.05                      A0113  2   33 
        91.       225.      0.062      0.013                      A0113  2   34 
        91.       224.       0.07      0.016                      A0113  2   35 
        91.       223.      0.031      0.007                      A0113  2   36 
        90.       236.       0.37       0.07                      A0113  2   37 
        90.       234.       2.08       0.41                      A0113  2   38 
        90.       232.       5.31       1.05                      A0113  2   39 
        90.       231.         3.       0.57                      A0113  2   40 
        90.       230.       4.03       0.76                      A0113  2   41 
        90.       229.       4.05       0.77                      A0113  2   42 
        90.       228.       3.22       0.61                      A0113  2   43 
        90.       227.       2.61        0.5                      A0113  2   44 
        90.       226.       2.54       0.48                      A0113  2   45 
        90.       225.       1.99       0.38                      A0113  2   46 
        90.       224.       1.21       0.23                      A0113  2   47 
        90.       223.       0.92       0.17                      A0113  2   48 
        90.       222.       0.56       0.11                      A0113  2   49 
        90.       221.        0.3       0.06                      A0113  2   50 
        90.       220.       0.22       0.04                      A0113  2   51 
        90.       219.       0.14       0.03                      A0113  2   52 
        90.       217.      0.056      0.013                      A0113  2   53 
        90.       216.      0.034       0.01                      A0113  2   54 
        90.       215.      0.016      0.003                      A0113  2   55 
        89.       234.      0.024      0.005                      A0113  2   56 
        89.       233.      0.088      0.018                      A0113  2   57 
        89.       228.       1.31       0.25                      A0113  2   58 
        89.       227.       1.73       0.33                      A0113  2   59 
        89.       226.       1.94       0.37                      A0113  2   60 
        89.       225.       2.33       0.44                      A0113  2   61 
        89.       224.       2.23       0.42                      A0113  2   62 
        89.       223.       2.68       0.51                      A0113  2   63 
        89.       222.        2.4       0.45                      A0113  2   64 
        89.       221.       2.08       0.39                      A0113  2   65 
        89.       220.       1.95       0.37                      A0113  2   66 
        89.       219.       1.72       0.32                      A0113  2   67 
        89.       218.        1.3       0.24                      A0113  2   68 
        89.       216.       0.66       0.12                      A0113  2   69 
        89.       215.       0.45       0.08                      A0113  2   70 
        89.       214.       0.23       0.04                      A0113  2   71 
        89.       213.      0.083      0.017                      A0113  2   72 
        89.       212.       0.03      0.006                      A0113  2   73 
        89.       211.      0.012      0.007                      A0113  2   74 
        88.       225.       0.44       0.09                      A0113  2   75 
        88.       224.       0.67       0.13                      A0113  2   76 
        88.       223.       0.77       0.15                      A0113  2   77 
        88.       222.         1.       0.19                      A0113  2   78 
        88.       221.       1.39       0.27                      A0113  2   79 
        88.       220.       1.72       0.32                      A0113  2   80 
        88.       219.       1.52       0.29                      A0113  2   81 
        88.       218.       2.03       0.38                      A0113  2   82 
        88.       217.       1.92       0.36                      A0113  2   83 
        88.       215.       1.71       0.32                      A0113  2   84 
        88.       214.       1.69       0.32                      A0113  2   85 
        88.       213.       1.18       0.22                      A0113  2   86 
        88.       212.       0.89       0.17                      A0113  2   87 
        88.       211.       0.43       0.08                      A0113  2   88 
        88.       210.       0.22       0.04                      A0113  2   89 
        88.       209.       0.07      0.022                      A0113  2   90 
        88.       208.       0.03      0.014                      A0113  2   91 
