ENTRY            A0301   19870425                             0000A030100000001 
SUBENT        A0301001   19870425                             0000A030100100001 
BIB                  9         17                                 A030100100002 
INSTITUTE  (4CCPFEI)                                              A030100100003 
REFERENCE  (C,83KIEV,3,283,84)                                    A030100100004 
AUTHOR     (N.S.BIRYUKOV, B.V.ZHURAVLEV, A.P.RUDENKO,             A030100100005 
           O.A.SALNIKOV, V.I.TRYKOVA)                             A030100100006 
TITLE      NEUTRONS FROM (D,N) REACTION ON 115IN.                 A030100100007 
FACILITY   (CYCLO,4CCPFEI)                                        A030100100008 
METHOD     (TOF,BCINT,SITA)                                       A030100100009 
PART-DET   (N)                                                    A030100100010 
ERR-ANALYS (EN-ERR).ANY ADDITIONAL INFORMATION IS ABSENT.         A030100100011 
           (DATA-ERR).TOTAL UNCERTAINTY.                          A030100100012 
HISTORY    (860215C).BY AUTHORS.                                  A030100100013 
           (860517T).BY CAJAD.                                    A030100100014 
           (860620L).                                             A030100100015 
           (860915U)                                              A030100100016 
           (870422A). ACCORDING TO MEMO CP-D/161.                 A030100100017 
           (860915U)                                              A030100100018 
           (870425U)                                              A030100100019 
ENDBIB              17          0                                 A030100100020 
COMMON               2          3                                 A030100100021 
EN         EN-ERR                                                 A030100100022 
MEV        MEV                                                    A030100100023 
    22.3        0.3                                               A030100100024 
ENDCOMMON            3          0                                 A030100100025 
ENDSUBENT           24          0                                 A030100199999 
SUBENT        A0301002   19870425                             0000A030100200001 
BIB                  2          2                                 A030100200002 
REACTION   (49-IN-115(D,X)0-NN-1,,DA/DE,,,EXP)                    A030100200003 
SAMPLE     IN-115(99.98 PERCENT).THICKNESS OF FOIL=4.00E-3G/CM**2 A030100200004 
ENDBIB               2          0                                 A030100200005 
NOCOMMON             0          0                                 A030100200006 
DATA                 4        343                                 A030100200007 
E          ANG        DATA       DATA-ERR                         A030100200008 
MEV        ADEG       MB/SR/MEV  MB/SR/MEV                        A030100200009 
    1.00      30.       119.14       4.34                         A030100200010 
    1.00      60.       131.51       4.79                         A030100200011 
    1.00      90.       132.16       4.82                         A030100200012 
    1.00     120.       103.20       3.77                         A030100200013 
    1.00     150.       153.16       5.68                         A030100200014 
    1.20      30.       101.91       3.71                         A030100200015 
    1.20      60.       114.10       4.15                         A030100200016 
    1.20      90.       114.59       4.17                         A030100200017 
    1.20     120.        93.02       3.40                         A030100200018 
    1.20     150.       134.99       5.00                         A030100200019 
    1.40      30.        90.18       3.28                         A030100200020 
    1.40      60.        90.82       3.31                         A030100200021 
    1.40      90.        95.38       3.48                         A030100200022 
    1.40     120.        78.38       2.87                         A030100200023 
    1.40     150.       109.07       4.05                         A030100200024 
    1.59      30.        79.91       2.93                         A030100200025 
    1.59      60.        78.71       2.89                         A030100200026 
    1.59      90.        79.81       2.93                         A030100200027 
    1.59     120.        63.32       2.34                         A030100200028 
    1.59     150.        87.22       3.29                         A030100200029 
    1.79      30.        71.30       2.64                         A030100200030 
    1.79      60.        70.78       2.62                         A030100200031 
    1.79      90.        60.55       2.24                         A030100200032 
    1.79     120.        53.48       1.99                         A030100200033 
    1.79     150.        68.91       2.61                         A030100200034 
    2.00      30.        62.55       2.34                         A030100200035 
    2.00      60.        63.98       2.39                         A030100200036 
    2.00      90.        59.63       2.23                         A030100200037 
    2.00     120.        47.36       1.78                         A030100200038 
    2.00     150.        62.25       2.39                         A030100200039 
    2.20      30.        56.13       2.12                         A030100200040 
    2.20      60.        57.09       2.16                         A030100200041 
    2.20      90.        54.92       2.08                         A030100200042 
    2.20     120.        42.11       1.60                         A030100200043 
    2.20     150.        56.69       2.22                         A030100200044 
    2.39      30.        49.85       1.88                         A030100200045 
    2.39      60.        50.48       1.91                         A030100200046 
    2.39      90.        48.93       1.85                         A030100200047 
    2.39     120.        37.07       1.41                         A030100200048 
    2.39     150.        49.99       1.96                         A030100200049 
    2.59      30.        45.19       1.72                         A030100200050 
    2.59      60.        44.23       1.69                         A030100200051 
    2.59      90.        42.22       1.62                         A030100200052 
    2.59     120.        32.22       1.24                         A030100200053 
    2.59     150.        43.97       1.75                         A030100200054 
    2.79      30.        41.66       1.59                         A030100200055 
    2.79      60.        39.04       1.50                         A030100200056 
    2.79      90.        36.49       1.40                         A030100200057 
    2.79     120.        28.13       1.09                         A030100200058 
    2.79     150.        37.94       1.55                         A030100200059 
    2.98      30.        38.08       1.47                         A030100200060 
    2.98      60.        34.78       1.35                         A030100200061 
    2.98      90.        32.89       1.28                         A030100200062 
    2.98     120.        24.30       0.95                         A030100200063 
    2.98     150.        31.73       1.30                         A030100200064 
    3.20      30.        34.16       1.32                         A030100200065 
    3.20      60.        30.75       1.19                         A030100200066 
    3.20      90.        28.77       1.12                         A030100200067 
    3.20     120.        21.40       0.84                         A030100200068 
    3.20     150.        29.39       1.21                         A030100200069 
    3.42      30.        31.59       1.23                         A030100200070 
    3.42      60.        27.26       1.06                         A030100200071 
    3.42      90.        25.69       1.01                         A030100200072 
    3.42     120.        18.37       0.73                         A030100200073 
    3.42     150.        25.04       1.07                         A030100200074 
    3.60      30.        29.24       1.16                         A030100200075 
    3.60      60.        25.12       1.00                         A030100200076 
    3.60      90.        23.36       0.94                         A030100200077 
