ENTRY            A0908   20111215                             A075A090800000001 
SUBENT        A0908001   20111215                             A075A090800100001 
BIB                 13         37                                 A090800100002 
TITLE      Experimental study of fragmentation products in the    A090800100003 
           reactions 112Sn + 112Sn and 124Sn + 124Sn at 1 A*GeV.  A090800100004 
AUTHOR     (V.Foehr, A.Bacquias, E.Casarejos, T.Enqvist,          A090800100005 
           A.R.Junghans, A.Kelic-Heil, T.Kurtukian, S.Lukic,      A090800100006 
           D.Perez-Loureiro, R.Pleskac, M.V.Ricciardi,            A090800100007 
           K.-H.Schmidt, J.Taieb)                                 A090800100008 
REFERENCE  (J,PR/C,84,054605,2011)                                A090800100009 
REL-REF    (I,O1504001,J.Pereira+,J,PR/C,75,014602,2007)          A090800100010 
INSTITUTE  (2GERGSI)                                              A090800100011 
           (2SF HLS)                                              A090800100012 
           (2SPNSAU)                                              A090800100013 
           (2SF SF) CUPP Project, FI-86801, Pyhaesalmi, Finland   A090800100014 
           (2GERZFK)                                              A090800100015 
           (2FR BRC)                                              A090800100016 
DETECTOR   (SCIN) Two plastic scintillators, one placed at the    A090800100017 
            intermediate focal plane of the FRS and another at theA090800100018 
            final focal plane.                                    A090800100019 
           (IOCH) Two music ionization chambers, placed at the endA090800100020 
            of the FRS, provided the energy loss of the nuclei.   A090800100021 
            Finally, two multiwire chambers were used to track theA090800100022 
            transmitted nuclei.                                   A090800100023 
FACILITY   (SYNCH,2GERGSI) The SIS18 synchrotron                  A090800100024 
           (FRS,2GERGSI)                                          A090800100025 
METHOD     (TOF)                                                  A090800100026 
PART-DET   (RSD)                                                  A090800100027 
SAMPLE     A 126.7+-0.6 mg/cm**2 thick Sn-112 target with         A090800100028 
            99.5+-0.2 enrichment and a 141.8+-0.7 mg/cm**2 thick  A090800100029 
           Sn-124Sn target with 97.5+-0.2 enrichment, were used.  A090800100030 
ERR-ANALYS (DATA-ERR).The uncertainty is reported by authors in   A090800100031 
           tables. Uncertainties of the cross sections are based  A090800100032 
           on the uncertainty of the integral of the velocity     A090800100033 
           distributions given by the fitting routine. An         A090800100034 
           additional uncertainty was introduced by the estimationA090800100035 
           of the parts of the velocity distributions outside     A090800100036 
           the angular acceptance.                                A090800100037 
STATUS     (TABLE).Tables of J,PR/C,84,054605,2011                A090800100038 
HISTORY    (20111215C) S.B                                        A090800100039 
ENDBIB              37          0                                 A090800100040 
COMMON               1          3                                 A090800100041 
EN                                                                A090800100042 
GEV/A                                                             A090800100043 
         1.                                                       A090800100044 
ENDCOMMON            3          0                                 A090800100045 
ENDSUBENT           44          0                                 A090800199999 
SUBENT        A0908002   20111215                             A075A090800200001 
BIB                  2          2                                 A090800200002 
REACTION   (50-SN-112(50-SN-112,X)ELEM/MASS,,SIG)                 A090800200003 
STATUS     (TABLE).Table 2 of J,PR/C,84,054605,2011               A090800200004 
ENDBIB               2          0                                 A090800200005 
NOCOMMON             0          0                                 A090800200006 
DATA                 4        249                                 A090800200007 
ELEMENT    MASS       DATA       DATA-ERR                         A090800200008 
NO-DIM     NO-DIM     MB         PER-CENT                         A090800200009 
10.        21.        18.        4.                               A090800200010 
10.        22.        11.        2.                               A090800200011 
10.        23.        1.9        0.8                              A090800200012 
10.        24.        0.9        0.4                              A090800200013 
11.        23.        16.        3.                               A090800200014 
11.        24.        8.         2.                               A090800200015 
11.        25.        2.9        0.6                              A090800200016 
11.        26.        0.8        0.2                              A090800200017 
12.        25.        13.        3.                               A090800200018 
12.        26.        11.        2.                               A090800200019 
12.        27.        3.8        0.8                              A090800200020 
12.        28.        1.0        0.2                              A090800200021 
13.        27.        15.        3.                               A090800200022 
13.        28.        8.         2.                               A090800200023 
13.        29.        4.4        0.9                              A090800200024 
13.        30.        0.6        0.2                              A090800200025 
14.        29.        12.        2.                               A090800200026 
14.        30.        11.        2.                               A090800200027 
14.        31.        3.9        0.8                              A090800200028 
14.        32.        0.9        0.2                              A090800200029 
15.        31.        9.         2.                               A090800200030 
15.        32.        7.         1.                               A090800200031 
15.        33.        4.4        0.9                              A090800200032 
15.        34.        0.8        0.3                              A090800200033 
15.        35.        0.4        0.1                              A090800200034 
16.        33.        7.         1.                               A090800200035 
16.        34.        12.        2.                               A090800200036 
16.        35.        4.4        0.9                              A090800200037 
16.        36.        1.1        0.2                              A090800200038 
16.        37.        0.37       0.08                             A090800200039 
17.        35.        6.         1.                               A090800200040 
17.        36.        8.         2.                               A090800200041 
17.        37.        4.9        1.0                              A090800200042 
17.        38.        2.1        0.4                              A090800200043 
17.        39.        0.5        0.1                              A090800200044 
18.        37.        4.5        0.9                              A090800200045 
18.        38.        8.         2.                               A090800200046 
18.        39.        5.         1.                               A090800200047 
18.        40.        2.5        0.5                              A090800200048 
18.        41.        0.6        0.1                              A090800200049 
18.        42.        0.22       0.05                             A090800200050 
19.        39.        3.5        0.7                              A090800200051 
19.        40.        7.         1.                               A090800200052 
19.        41.        5.         1.                               A090800200053 
19.        42.        2.8        0.6                              A090800200054 
19.        43.        1.5        0.3                              A090800200055 
19.        44.        0.29       0.06                             A090800200056 
20.        41.        3.3        0.7                              A090800200057 
20.        42.        7.         1.                               A090800200058 
20.        43.        6.         1.                               A090800200059 
20.        44.        3.6        0.7                              A090800200060 
20.        45.        1.4        0.3                              A090800200061 
20.        46.        0.34       0.07                             A090800200062 
21.        43.        2.2        0.4                              A090800200063 
21.        44.        6.         1.                               A090800200064 
21.        45.        8.         2.                               A090800200065 
21.        46.        3.6        0.7                              A090800200066 
21.        47.        1.6        0.3                              A090800200067 
21.        48.        0.40       0.08                             A090800200068 
22.        45.        1.9        0.4                              A090800200069 
22.        46.        6.         1.                               A090800200070 
22.        47.        8.         2.                               A090800200071 
22.        48.        4.7        0.9                              A090800200072 
22.        49.        1.8        0.4                              A090800200073 
22.        50.        0.44       0.09                             A090800200074 
23.        47.        1.3        0.3                              A090800200075 
