ENTRY            A1025   19990319                             0000A102500000001 
SUBENT        A1025001   19990319                             0000A102500100001 
BIB                 11         26                                 A102500100002 
INSTITUTE  (3AULCBR)                                              A102500100003 
REFERENCE  (J,NP,52,(1),134,196403)                               A102500100004 
AUTHOR     (G.G.OHLSEN,P.G.YOUNG)                                 A102500100005 
TITLE      Deuteron-alpha elastic scattering                      A102500100006 
FACILITY   (VDGT)                                                 A102500100007 
SAMPLE     A gas target                                           A102500100008 
METHOD     (PHD)                                                  A102500100009 
DETECTOR   (SOLST) Surface-barrier                                A102500100010 
ERR-ANALYS (ERR-1) Uncertainty in charge collection and           A102500100011 
           integration                                            A102500100012 
           (ERR-2) Uncertainty in gas pressure and impurity       A102500100013 
           measurements                                           A102500100014 
           (ERR-3) Uncertainty in absolute temperature measurementA102500100015 
           (ERR-4) Uncertainty in detector slit geometry          A102500100016 
           (ERR-5) Uncertainty in angle setting and beam alignmentA102500100017 
           (ERR-6) Uncertainty in beam heating                    A102500100018 
           (ERR-7) Uncertainty in multiple scatter. by mylar foil A102500100019 
           (ERR-S) The statistical errors refers to the error     A102500100020 
           associated with a single datum point.                  A102500100021 
FLAG       (1.) The data are in the form of excitations functions A102500100022 
           at seven centre-of-mass angles: 30.6, 40.7, 51.9, 76.2,A102500100023 
           90.0, 125.3, and 139.1 degr.                           A102500100024 
           (2.) The data  at 139.1 and part of the data at 125.3  A102500100025 
           were obtained by observing the recoil alpha group.     A102500100026 
HISTORY    (19810604C) Compilation produced by Arzamas RFNC-VNIIEFA102500100027 
           (19990115U)CNPD: corrected 4-dig. year and lower cases.A102500100028 
ENDBIB              26          0                                 A102500100029 
COMMON               7          6                                 A102500100030 
ERR-1      ERR-2      ERR-3      ERR-4      ERR-5      ERR-6      A102500100031 
ERR-7                                                             A102500100032 
PER-CENT   PER-CENT   PER-CENT   PER-CENT   PER-CENT   PER-CENT   A102500100033 
PER-CENT                                                          A102500100034 
 0.3        0.5        0.3        0.3        1.0        1.0       A102500100035 
  1.0                                                             A102500100036 
ENDCOMMON            6          0                                 A102500100037 
ENDSUBENT           36          0                                 A102500199999 
SUBENT        A1025002   19990319                             0000A102500200001 
BIB                  2          2                                 A102500200002 
REACTION   (2-HE-4(D,EL)2-HE-4,,DA,,,EXP)                         A102500200003 
STATUS     (TABLE) Table 3                                        A102500200004 
ENDBIB               2          0                                 A102500200005 
NOCOMMON             0          0                                 A102500200006 
DATA                 5        221                                 A102500200007 
EN         ANG-CM     DATA-CM    ERR-S      FLAG                  A102500200008 
MEV        ADEG       MB/SR      PER-CENT   NO-DIM                A102500200009 
     3.4       30.6      205.1        0.4        1.               A102500200010 
     3.4       90.        62.2        0.5        1.               A102500200011 
     3.6       30.6      196.8        0.4        1.               A102500200012 
     3.6       90.        54.5        0.5        1.               A102500200013 
     3.8       30.6      205.3        0.4        1.               A102500200014 
     3.8       90.        49.7        0.5        1.               A102500200015 
     4.        30.6      234.         0.4        1.               A102500200016 
     4.        40.7      170.5        0.5        1.               A102500200017 
     4.        51.9      121.2        0.7        1.               A102500200018 
     4.        76.2       53.8        1.3        1.               A102500200019 
     4.        90.        47.5        0.5        1.               A102500200020 
     4.       139.1      185.         0.6        2.               A102500200021 
     4.2       30.6      273.3        0.4        1.               A102500200022 
     4.2       40.7      194.         0.5        1.               A102500200023 
     4.2       51.9      128.         0.7        1.               A102500200024 
     4.2       76.2       55.1        1.3        1.               A102500200025 
     4.2       90.        49.1        0.5        1.               A102500200026 
     4.2      139.1      204.3        0.6        2.               A102500200027 
     4.4       30.6      311.3        0.3        1.               A102500200028 
     4.4       40.7      208.         0.5        1.               A102500200029 
     4.4       51.9      128.8        0.7        1.               A102500200030 
     4.4       76.2       56.8        1.3        1.               A102500200031 
     4.4       90.        54.2        0.5        1.               A102500200032 
     4.4      125.3      118.5        3.5        2.               A102500200033 
     4.4      139.1      214.5        0.6        2.               A102500200034 
     4.6       30.6      326.2        0.3        1.               A102500200035 
     4.6       40.7      210.         0.5        1.               A102500200036 
     4.6       51.9      125.2        0.7        1.               A102500200037 
     4.6       76.2       58.8        1.2        1.               A102500200038 
     4.6       90.        60.         0.5        1.               A102500200039 
     4.6      125.3      116.5        3.5        2.               A102500200040 
     4.6      139.1      210.2        0.6        2.               A102500200041 
     4.8       30.6      327.2        0.3        1.               A102500200042 
     4.8       40.7      202.5        0.5        1.               A102500200043 
     4.8       51.9      118.         0.8        1.               A102500200044 
     4.8       76.2       59.5        1.2        1.               A102500200045 
     4.8       90.        63.5        0.5        1.               A102500200046 
     4.8      125.3      113.7        2.         2.               A102500200047 
     4.8      139.1      201.5        0.6        2.               A102500200048 
     5.        30.6      315.8        0.3        1.               A102500200049 
     5.        40.7      193.         0.5        1.               A102500200050 
     5.        51.9      111.         0.8        1.               A102500200051 
     5.        76.2       57.4        1.3        1.               A102500200052 
     5.        90.        64.8        0.5        1.               A102500200053 
     5.       125.3      110.         1.5        2.               A102500200054 
     5.       139.1      188.7        0.5        2.               A102500200055 
     5.2       30.6      303.4        0.3        1.               A102500200056 
     5.2       40.7      184.5        0.5        1.               A102500200057 
     5.2       51.9      104.7        0.8        1.               A102500200058 
     5.2       76.2       55.2        1.3        1.               A102500200059 
     5.2       90.        64.         0.5        1.               A102500200060 
     5.2      125.3      106.3        1.3        2.               A102500200061 
     5.2      139.1      176.         0.5        2.               A102500200062 
     5.4       30.6      294.8        0.3        1.               A102500200063 
     5.4       40.7      177.         0.5        1.               A102500200064 
     5.4       51.9       99.8        0.8        1.               A102500200065 
     5.4       76.2       53.4        1.3        1.               A102500200066 
     5.4       90.        62.3        0.5        1.               A102500200067 
     5.4      125.3      102.3        1.3        2.               A102500200068 
     5.4      139.1      167.2        0.6        2.               A102500200069 
     5.6       30.6      286.7        0.3        1.               A102500200070 
     5.6       40.7      170.5        0.5        1.               A102500200071 
     5.6       51.9       94.8        0.9        1.               A102500200072 
     5.6       76.2       51.2        1.3        1.               A102500200073 
     5.6       90.        61.2        0.5        1.               A102500200074 
     5.6      125.3       97.5        1.3        2.               A102500200075 
     5.6      139.1      158.3        0.6        1.               A102500200076 
     5.8       30.6      280.6        0.4        1.               A102500200077 
     5.8       40.7      166.         0.5        1.               A102500200078 
     5.8       51.9       90.4        0.9        1.               A102500200079 
     5.8       76.2       49.5        1.4        1.               A102500200080 
     5.8       90.        60.2        0.5        1.               A102500200081 
     5.8      125.3       92.7        1.3        2.               A102500200082 
     5.8      139.1      150.1        0.6        2.               A102500200083 
