ENTRY            A1035   20240321                             A110A1035  0    1 
SUBENT        A1035001   20240321                             A110A1035  1    1 
BIB                  9         11                                 A1035  1    2 
TITLE      Excited states of 6Li observed through 4He(d,d)4He     A1035  1    3 
AUTHOR     (L.S.Senhouse,A.Tombrello)                             A1035  1    4 
REFERENCE  (J,NP,57,624,1964)                                     A1035  1    5 
INSTITUTE  (1USACAL)                                              A1035  1    6 
FACILITY   (VDGT,1USACAL)                                         A1035  1    7 
SAMPLE     The gas target                                         A1035  1    8 
METHOD     (BCINT)                                                A1035  1    9 
DETECTOR   (DRFTC) a lithium-dried solid-state detector.          A1035  1   10 
HISTORY    (19810310C) Compilation produced by Arzamas RFNC-VNIIEFA1035  1   11 
           (19990115U)CNPD: corrected 4-dig. year and lower cases.A1035  1   12 
           (20240321A) SD: Corrections in all Subents.            A1035  1   13 
ENDBIB              11          0                                 A1035  1   14 
NOCOMMON             0          0                                 A1035  1   15 
ENDSUBENT           14          0                                 A1035  199999 
SUBENT        A1035002   20240321                             A110A1035  2    1 
BIB                  4         12                                 A1035  2    2 
REACTION   (2-HE-4(D,EL)2-HE-4,,DA)                               A1035  2    3 
ERR-ANALYS (ERR-2) The total angle-dependent error. The angle     A1035  2    4 
           dependent errors arises from several factors. The errorA1035  2    5 
           in estimating the background (taken to be 1/4 of the   A1035  2    6 
           background) contributes. Also, the statistics of the   A1035  2    7 
           total number of counts in the peak, including the back-A1035  2    8 
           ground, and separately the statistics of the backgroundA1035  2    9 
           contribute.                                            A1035  2   10 
           (ERR-1) Uncertainty in the alignment of the chamber    A1035  2   11 
STATUS     (TABLE,,L.S.Senhouse+,J,NP,57,624,1964) Table 2,3,4,5  A1035  2   12 
HISTORY    (20240321A) SD: SF9=EXP deleted from REACTION code.    A1035  2   13 
           STATUS updated. DATA-ERR -> ERR-2.                     A1035  2   14 
ENDBIB              12          0                                 A1035  2   15 
COMMON               2          3                                 A1035  2   16 
ANG-ERR    ERR-1                                                  A1035  2   17 
ADEG       PER-CENT                                               A1035  2   18 
 0.1         0.1                                                  A1035  2   19 
ENDCOMMON            3          0                                 A1035  2   20 
DATA                 5        353                                 A1035  2   21 
EN         EN-ERR     ANG-CM     DATA-CM    ERR-2                 A1035  2   22 
MEV        MEV        ADEG       MB/SR      PER-CENT              A1035  2   23 
     2.935      0.006     50.       123.1        2.               A1035  2   24 
     2.935      0.006     60.        98.         2.               A1035  2   25 
     2.935      0.006     70.        86.         2.               A1035  2   26 
     2.935      0.006     80.        76.9        2.               A1035  2   27 
     2.935      0.006     90.        76.2        2.               A1035  2   28 
     2.935      0.006    100.        77.1        1.5              A1035  2   29 
     2.935      0.006    110.        82.2        1.5              A1035  2   30 
     2.935      0.006    120.        89.8        1.5              A1035  2   31 
     2.935      0.006    130.        95.4        1.               A1035  2   32 
     3.441      0.01      50.       110.         2.5              A1035  2   33 
     3.441      0.01      60.        85.9        2.5              A1035  2   34 
     3.441      0.01      70.        73.5        2.5              A1035  2   35 
     3.441      0.01      80.        65.5        2.               A1035  2   36 
     3.441      0.01      90.        62.6        2.               A1035  2   37 
     3.441      0.01     100.        62.9        2.               A1035  2   38 
     3.441      0.01     110.        73.4        1.5              A1035  2   39 
     3.441      0.01     120.        90.5        1.5              A1035  2   40 
     3.441      0.01     130.       101.8        1.               A1035  2   41 
     3.946      0.012     50.       122.2        2.               A1035  2   42 
     3.946      0.012     60.        86.8        2.5              A1035  2   43 
     3.946      0.012     70.        65.3        2.5              A1035  2   44 
     3.946      0.012     80.        52.         2.5              A1035  2   45 
     3.946      0.012     90.        44.9        2.5              A1035  2   46 
     3.946      0.012    100.        54.4        2.               A1035  2   47 
     3.946      0.012    110.        69.7        1.5              A1035  2   48 
     3.946      0.012    120.        94.6        1.5              A1035  2   49 
     3.946      0.012    130.       128.8        1.               A1035  2   50 
     4.45       0.013     50.       141.         2.               A1035  2   51 
     4.45       0.013     60.        87.9        2.5              A1035  2   52 
     4.45       0.013     70.        61.9        2.5              A1035  2   53 
     4.45       0.013     80.        53.7        2.5              A1035  2   54 
     4.45       0.013     90.        56.2        2.5              A1035  2   55 
     4.45       0.013    100.        61.5        2.               A1035  2   56 
     4.45       0.013    110.        76.1        1.5              A1035  2   57 
     4.45       0.013    120.       100.9        1.5              A1035  2   58 
     4.45       0.013    130.       148.5        1.               A1035  2   59 
     4.731      0.005     17.97     790.7        3.               A1035  2   60 
     4.731      0.005     22.44     477.         1.5              A1035  2   61 
     4.731      0.005     29.85     321.         1.               A1035  2   62 
     4.731      0.005     37.2      226.         1.               A1035  2   63 
     4.731      0.005     44.48     162.7        1.               A1035  2   64 
     4.731      0.005     51.67     113.1        1.               A1035  2   65 
     4.731      0.005     58.75      81.4        1.5              A1035  2   66 
     4.731      0.005     65.7       66.1        1.5              A1035  2   67 
     4.731      0.005     72.52      58.5        1.5              A1035  2   68 
     4.731      0.005     79.18      58.         2.               A1035  2   69 
     4.731      0.005     85.66      55.9        2.5              A1035  2   70 
     4.731      0.005     91.95      62.         2.5              A1035  2   71 
     4.731      0.005     98.02      64.2        3.               A1035  2   72 
     4.731      0.005    103.9       65.4        4.               A1035  2   73 
     4.731      0.005    110.        69.5        3.               A1035  2   74 
     4.731      0.005    120.        91.1        2.               A1035  2   75 
     4.731      0.005    130.       129.5        1.5              A1035  2   76 
     4.731      0.005    140.       199.5        1.5              A1035  2   77 
     4.731      0.005    150.       261.         1.5              A1035  2   78 
     4.731      0.005    156.       303.         3.               A1035  2   79 
     4.955      0.015     17.97     800.         3.               A1035  2   80 
     4.955      0.015     22.44     489.         1.5              A1035  2   81 
     4.955      0.015     29.85     322.         1.               A1035  2   82 
     4.955      0.015     37.2      223.         1.               A1035  2   83 
     4.955      0.015     44.48     157.7        1.               A1035  2   84 
     4.955      0.015     51.67     109.3        1.               A1035  2   85 
     4.955      0.015     58.75      77.2        1.5              A1035  2   86 
     4.955      0.015     65.7       62.8        1.5              A1035  2   87 
     4.955      0.015     72.52      55.4        2.               A1035  2   88 
     4.955      0.015     79.18      56.4        2.               A1035  2   89 
     4.955      0.015     85.66      57.6        3.5              A1035  2   90 
     4.955      0.015     98.02      69.1        5.               A1035  2   91 
     4.955      0.015    110.        71.9        2.               A1035  2   92 
     4.955      0.015    120.        92.2        1.               A1035  2   93 
     4.955      0.015    130.       130.9        1.               A1035  2   94 
     4.955      0.015    140.       185.7        1.5              A1035  2   95 
     4.955      0.015    150.       258.         1.5              A1035  2   96 
     4.955      0.015    156.       302.         3.               A1035  2   97 
     5.473      0.005     17.97     707.         3.               A1035  2   98 
     5.473      0.005     22.44     449.         1.5              A1035  2   99 
     5.473      0.005     29.85     282.5        1.               A1035  2  100 
     5.473      0.005     37.2      195.6        1.               A1035  2  101 
     5.473      0.005     44.48     137.8        1.               A1035  2  102 
     5.473      0.005     51.67      94.8        1.5              A1035  2  103 
     5.473      0.005     58.75      67.9        1.5              A1035  2  104 
     5.473      0.005     65.7       54.         1.5              A1035  2  105 
     5.473      0.005     72.52      49.         2.               A1035  2  106 
     5.473      0.005     79.18      51.9        2.5              A1035  2  107 
     5.473      0.005     85.66      56.6        2.               A1035  2  108 
     5.473      0.005     91.95      60.8        2.5              A1035  2  109 
     5.473      0.005     98.02      64.4        2.5              A1035  2  110 
     5.473      0.005    100.        61.6        1.               A1035  2  111 
     5.473      0.005    103.9       65.6        3.5              A1035  2  112 
     5.473      0.005    110.        67.5        2.5              A1035  2  113 
     5.473      0.005    120.        83.1        1.5              A1035  2  114 
     5.473      0.005    130.       107.5        1.5              A1035  2  115 
     5.473      0.005    140.       157.8        1.5              A1035  2  116 
     5.473      0.005    150.       204.         1.5              A1035  2  117 
     5.473      0.005    156.       252.         2.5              A1035  2  118 
     5.961      0.018     17.97     655.7        3.               A1035  2  119 
     5.961      0.018     22.44     417.5        1.5              A1035  2  120 
     5.961      0.018     29.85     268.         1.               A1035  2  121 
     5.961      0.018     37.2      188.7        1.               A1035  2  122 
     5.961      0.018     44.48     125.8        1.               A1035  2  123 
     5.961      0.018     51.67      86.1        1.               A1035  2  124 
     5.961      0.018     58.75      59.5        1.5              A1035  2  125 
     5.961      0.018     65.7       47.9        2.               A1035  2  126 
     5.961      0.018     72.52      44.7        2.               A1035  2  127 
     5.961      0.018     79.18      49.2        2.               A1035  2  128 
     5.961      0.018     85.66      57.7        4.5              A1035  2  129 
     5.961      0.018     91.95      60.1        3.               A1035  2  130 
     5.961      0.018    100.        61.6        3.               A1035  2  131 
     5.961      0.018    110.        66.6        2.               A1035  2  132 
     5.961      0.018    120.        74.7        2.5              A1035  2  133 
     5.961      0.018    130.        98.1        1.5              A1035  2  134 
     5.961      0.018    140.       139.2        1.5              A1035  2  135 
     5.961      0.018    150.       190.7        2.               A1035  2  136 
     5.961      0.018    156.       224.7        2.5              A1035  2  137 
     6.476      0.006     17.97     593.         3.               A1035  2  138 
     6.476      0.006     22.44     405.         1.               A1035  2  139 
     6.476      0.006     29.85     261.         1.               A1035  2  140 
     6.476      0.006     37.2      171.         1.               A1035  2  141 
     6.476      0.006     44.48     112.8        1.               A1035  2  142 
     6.476      0.006     51.67      71.3        1.5              A1035  2  143 
     6.476      0.006     58.75      49.9        2.               A1035  2  144 
     6.476      0.006     65.7       39.3        2.               A1035  2  145 
     6.476      0.006     72.52      42.1        2.               A1035  2  146 
     6.476      0.006     79.18      46.7        2.               A1035  2  147 
     6.476      0.006     85.66      55.1        2.               A1035  2  148 
     6.476      0.006     91.95      59.         2.5              A1035  2  149 
     6.476      0.006     98.02      62.5        3.               A1035  2  150 
     6.476      0.006    100.        60.         3.               A1035  2  151 
     6.476      0.006    103.9       62.4        3.               A1035  2  152 
     6.476      0.006    110.        63.3        1.5              A1035  2  153 
     6.476      0.006    120.        67.5        1.5              A1035  2  154 
     6.476      0.006    130.        81.6        1.5              A1035  2  155 
     6.476      0.006    140.       119.         1.5              A1035  2  156 
     6.476      0.006    150.       166.3        1.5              A1035  2  157 
     6.476      0.006    156.       188.         2.5              A1035  2  158 
     6.965      0.021     17.97     594.         3.               A1035  2  159 
     6.965      0.021     22.44     382.5        1.               A1035  2  160 
     6.965      0.021     29.85     250.5        1.               A1035  2  161 
     6.965      0.021     37.2      161.4        1.               A1035  2  162 
     6.965      0.021     44.48     103.9        1.               A1035  2  163 
     6.965      0.021     51.67      63.4        1.5              A1035  2  164 
     6.965      0.021     58.75      41.1        2.               A1035  2  165 
     6.965      0.021     65.7       37.7        2.               A1035  2  166 
     6.965      0.021     72.52      40.1        2.               A1035  2  167 
     6.965      0.021     79.18      47.2        2.               A1035  2  168 
     6.965      0.021     85.66      55.7        2.5              A1035  2  169 
     6.965      0.021     91.95      61.6        2.5              A1035  2  170 
     6.965      0.021     98.02      65.5        3.5              A1035  2  171 
     6.965      0.021    100.        65.9        1.5              A1035  2  172 
     6.965      0.021    103.9       63.9        4.5              A1035  2  173 
     6.965      0.021    109.5       60.2        4.               A1035  2  174 
     6.965      0.021    110.        62.1        1.5              A1035  2  175 
     6.965      0.021    120.        61.5        1.5              A1035  2  176 
     6.965      0.021    130.        68.6        1.5              A1035  2  177 
     6.965      0.021    140.       102.2        1.5              A1035  2  178 
     6.965      0.021    150.       143.8        1.5              A1035  2  179 
     6.965      0.021    156.       176.1        2.5              A1035  2  180 
     7.479      0.007     17.97     522.         3.               A1035  2  181 
     7.479      0.007     22.44     354.         1.5              A1035  2  182 
     7.479      0.007     29.85     220.         1.5              A1035  2  183 
     7.479      0.007     37.2      140.4        1.5              A1035  2  184 
     7.479      0.007     44.48      87.         1.5              A1035  2  185 
     7.479      0.007     51.67      50.1        1.5              A1035  2  186 
     7.479      0.007     58.75      31.6        2.5              A1035  2  187 
     7.479      0.007     65.7       30.1        2.5              A1035  2  188 
     7.479      0.007     72.52      36.7        2.5              A1035  2  189 
     7.479      0.007     79.18      48.9        2.               A1035  2  190 
     7.479      0.007     85.66      58.5        2.5              A1035  2  191 
     7.479      0.007     91.95      63.4        2.5              A1035  2  192 
     7.479      0.007     98.02      64.6        2.5              A1035  2  193 
     7.479      0.007    103.9       63.4        3.5              A1035  2  194 
     7.479      0.007    109.5       61.8        4.5              A1035  2  195 
     7.479      0.007    120.        54.         3.               A1035  2  196 
     7.479      0.007    130.        50.7        2.5              A1035  2  197 
     7.479      0.007    140.        78.2        1.5              A1035  2  198 
     7.479      0.007    150.       114.2        2.5              A1035  2  199 
     7.479      0.007    156.       135.7        4.               A1035  2  200 
     7.968      0.024     17.97     531.         3.               A1035  2  201 
     7.968      0.024     22.44     356.         1.5              A1035  2  202 
     7.968      0.024     29.85     222.         1.               A1035  2  203 
     7.968      0.024     37.2      134.         1.               A1035  2  204 
     7.968      0.024     44.48      78.7        1.               A1035  2  205 
     7.968      0.024     51.67      43.8        1.5              A1035  2  206 
     7.968      0.024     58.75      27.9        2.               A1035  2  207 
     7.968      0.024     65.7       26.6        2.               A1035  2  208 
     7.968      0.024     72.52      34.9        2.               A1035  2  209 
     7.968      0.024     79.18      48.8        2.               A1035  2  210 
     7.968      0.024     85.66      59.2        2.               A1035  2  211 
     7.968      0.024     90.        60.6        4.               A1035  2  212 
     7.968      0.024     91.95      66.5        1.               A1035  2  213 
     7.968      0.024     98.02      68.1        2.5              A1035  2  214 
     7.968      0.024    100.        65.6        2.               A1035  2  215 
     7.968      0.024    103.9       63.4        3.5              A1035  2  216 
     7.968      0.024    109.5       60.8        4.5              A1035  2  217 
     7.968      0.024    110.        59.         1.5              A1035  2  218 
     7.968      0.024    120.        48.2        2.5              A1035  2  219 
     7.968      0.024    130.        49.7        1.5              A1035  2  220 
     7.968      0.024    140.        70.3        1.5              A1035  2  221 
     7.968      0.024    150.       106.4        1.5              A1035  2  222 
     7.968      0.024    156.       131.6        2.5              A1035  2  223 
     8.481      0.008     17.97     470.7        3.               A1035  2  224 
     8.481      0.008     22.44     329.5        1.5              A1035  2  225 
