ENTRY            A1039   19990319                             0000A103900000001 
SUBENT        A1039001   19990319                             0000A103900100001 
BIB                 10         23                                 A103900100002 
INSTITUTE  (1USACAL)                                              A103900100003 
REFERENCE  (J,PR,130,(3),1108,196305)                             A103900100004 
AUTHOR     (T.A.TOMBRELLO,A.D.BACHER)                             A103900100005 
TITLE      Scattering of3 He from 3He                             A103900100006 
FACILITY   (VDGT)                                                 A103900100007 
SAMPLE     Gas scattering chamber                                 A103900100008 
DETECTOR   (SOLST) Two detectors                                  A103900100009 
ERR-ANALYS (EN-ERR1) Scale error                                  A103900100010 
           (DATA-ERR1) Estimated error is to be less than 5%,     A103900100011 
           excluding statistical uncertainties.                   A103900100012 
           variation of statistical uncertainty:                  A103900100013 
           ------------------------------------------------------ A103900100014 
           theta(c.m.) energies below 5 MeV  energies above 5MeV  A103900100015 
           ------------------------------------------------------ A103900100016 
             30.6 degr.   0.3-0.6%            0.3-1.0%            A103900100017 
             54.8 degr.   1.2-2.0%            1.2-1.6%            A103900100018 
             70.1 degr.   2.0-3.0%            1.6-1.0%            A103900100019 
             90.0 degr.   2.5-3.0%            2.0-1.5%            A103900100020 
COMMENT    The points below 5 MeV were taken with the singly      A103900100021 
           charged 3He beam, while the points above 5 MeV were    A103900100022 
           obtained with the doubly charged beam                  A103900100023 
HISTORY    (19810311C) Compilation produced by Arzamas RFNC-VNIIEFA103900100024 
           (19990115U)CNPD: corrected 4-dig. year and lower cases.A103900100025 
ENDBIB              23          0                                 A103900100026 
COMMON               2          3                                 A103900100027 
EN-ERR1    DATA-ERR1                                              A103900100028 
MEV        PER-CENT                                               A103900100029 
 0.015         5.                                                 A103900100030 
ENDCOMMON            3          0                                 A103900100031 
ENDSUBENT           30          0                                 A103900199999 
SUBENT        A1039002   19990319                             0000A103900200001 
BIB                  3          4                                 A103900200002 
REACTION   (2-HE-3(HE3,EL)2-HE-3,,DA,,,EXP)                       A103900200003 
ERR-ANALYS (EN-ERR) Digitizing error                              A103900200004 
           (DATA-ERR) Digitizing error                            A103900200005 
STATUS     (CURVE) Fig 1,2                                        A103900200006 
ENDBIB               4          0                                 A103900200007 
COMMON               1          3                                 A103900200008 
EN-ERR                                                            A103900200009 
MEV                                                               A103900200010 
 0.06                                                             A103900200011 
ENDCOMMON            3          0                                 A103900200012 
DATA                 4         92                                 A103900200013 
EN         ANG-CM     DATA-CM    DATA-ERR                         A103900200014 
MEV        ADEG       MB/SR      MB/SR                            A103900200015 
     2.973     54.8      200.1        1.205                       A103900200016 
     2.984     90.        88.68       0.5988                      A103900200017 
     2.992     70.1      106.6        0.5988                      A103900200018 
     3.491     90.        77.34       0.5988                      A103900200019 
     3.5       30.6     1398.        29.3                         A103900200020 
     3.511     54.8      154.4        1.205                       A103900200021 
     3.53      70.1       89.32       0.5988                      A103900200022 
     3.68      30.6     1215.        25.47                        A103900200023 
     3.7       90.        76.75       0.5988                      A103900200024 
     3.709     70.1       77.35       0.5988                      A103900200025 
     3.719     54.8      149.6        1.205                       A103900200026 
     3.89      30.6     1014.        21.26                        A103900200027 
     3.918     70.1       73.77       0.5988                      A103900200028 
     3.93      54.8       96.62       1.205                       A103900200029 
     3.939     90.        64.19       0.5988                      A103900200030 
     4.1       30.6      939.4       19.69                        A103900200031 
     4.117     90.        66.         0.5988                      A103900200032 
     4.127     70.1       67.8        0.5988                      A103900200033 
     4.138     54.8      103.9        1.205                       A103900200034 
     4.28      30.6      816.6       17.12                        A103900200035 
     4.296     90.        61.22       0.5988                      A103900200036 
     4.317     54.8       94.26       1.205                       A103900200037 
     4.336     70.1       63.02       0.5988                      A103900200038 
     4.49      30.6      740.6       15.52                        A103900200039 
     4.526     54.8       87.05       1.205                       A103900200040 
     4.534     90.        61.83       0.5988                      A103900200041 
     4.544     70.1       58.24       0.5988                      A103900200042 
     4.693     70.1       60.05       0.5988                      A103900200043 
     4.731     30.6      672.3       14.09                        A103900200044 
     4.743     90.        58.85       0.5988                      A103900200045 
     4.791     30.6      607.1       12.72                        A103900200046 
     4.833     90.        50.47       0.5988                      A103900200047 
     4.842     70.1       54.67       0.5988                      A103900200048 
     4.853     54.8       82.28       1.205                       A103900200049 
     4.911     30.6      572.5       12.                          A103900200050 
     4.943     54.8       77.47       1.205                       A103900200051 
     5.332     30.6      480.8       10.08                        A103900200052 
     5.339     90.        43.32       0.5988                      A103900200053 
     5.379     70.1       49.31       0.5988                      A103900200054 
     5.39      54.8       65.47       1.205                       A103900200055 
     5.846     90.        41.55       0.5988                      A103900200056 
     5.855     70.1       43.95       0.5988                      A103900200057 
     5.866     54.8       57.1        1.205                       A103900200058 
     5.872     30.6      380.7        7.98                        A103900200059 
     6.352     90.        41.58       0.5988                      A103900200060 
     6.353     30.6      313.7        6.576                       A103900200061 
     6.361     70.1       42.18       0.5988                      A103900200062 
     6.402     54.8       49.93       1.205                       A103900200063 
     6.828     90.        39.81       0.5988                      A103900200064 
     6.834     30.6      263.9        5.532                       A103900200065 
     6.838     70.1       40.41       0.5988                      A103900200066 
     6.879     54.8       45.17       1.205                       A103900200067 
     7.344     70.1       39.85       0.5988                      A103900200068 
     7.346     30.6      222.2        4.658                       A103900200069 
     7.355     54.8       40.41       1.205                       A103900200070 
     7.364     90.        36.25       0.5988                      A103900200071 
     7.82      70.1       36.88       0.5988                      A103900200072 
     7.84      90.        35.08       0.5988                      A103900200073 
     7.861     54.8       39.27       1.205                       A103900200074 
     7.887     30.6      179.7        3.766                       A103900200075 
     8.316     90.        34.51       0.5988                      A103900200076 
     8.326     70.1       35.12       0.5988                      A103900200077 
     8.397     54.8       36.92       1.205                       A103900200078 
     8.398     30.6      164.4        3.446                       A103900200079 
     8.832     70.1       33.95       0.5988                      A103900200080 
     8.852     90.        35.15       0.5988                      A103900200081 
     8.909     30.6      141.3        2.962                       A103900200082 
     8.933     54.8       33.37       1.205                       A103900200083 
     9.329     90.        31.58       0.5988                      A103900200084 
     9.338     70.1       32.18       0.5988                      A103900200085 
     9.38      54.8       29.81       1.205                       A103900200086 
     9.391     30.6      123.9        2.598                       A103900200087 
     9.805     90.        30.41       0.5988                      A103900200088 
     9.815     70.1       30.41       0.5988                      A103900200089 
     9.886     54.8       28.67       1.205                       A103900200090 
     9.932     30.6      111.2        2.33                        A103900200091 
    10.28      90.        30.44       0.5988                      A103900200092 
    10.32      70.1       19.07       0.5988                      A103900200093 
    10.39      54.8       26.32       1.205                       A103900200094 
    10.41      30.6       93.52       1.96                        A103900200095 
    10.8       70.1       28.68       0.5988                      A103900200096 
    10.82      90.        27.48       0.5988                      A103900200097 
    10.87      54.8       25.17       1.205                       A103900200098 
    10.95      30.6       87.43       1.833                       A103900200099 
    11.29      90.        29.9        0.5988                      A103900200100 
    11.33      70.1       26.31       0.5988                      A103900200101 
