ENTRY            A1047   19990319                             0000A104700000001 
SUBENT        A1047001   19990319                             0000A104700100001 
BIB                  7          8                                 A104700100002 
INSTITUTE  (1USALAS)                                              A104700100003 
REFERENCE  (J,PRL,25,(1),34,197007)                               A104700100004 
AUTHOR     (N.JARMIE,J.H.JETT,J.L.DETCH,R.L.HUTSON)               A104700100005 
TITLE      Proton-proton scattering at 9.690,9.918 and 13.600 MeV A104700100006 
FACILITY   (VDGT)                                                 A104700100007 
METHOD     (PHD)                                                  A104700100008 
HISTORY    (19810323C) Compilation produced by Arzamas RFNC-VNIIEFA104700100009 
           (19990115U)CNPD: corrected 4-dig. year and lower cases.A104700100010 
ENDBIB               8          0                                 A104700100011 
NOCOMMON             0          0                                 A104700100012 
ENDSUBENT           11          0                                 A104700199999 
SUBENT        A1047002   19990319                             0000A104700200001 
BIB                  3          4                                 A104700200002 
REACTION   (1-H-1(P,EL)1-H-1,,DA,,,EXP)                           A104700200003 
ERR-ANALYS (DATA-ERR) Relative error                              A104700200004 
           (DATA-ERR1) Total error                                A104700200005 
STATUS     (TABLE) Table 1,2                                      A104700200006 
ENDBIB               4          0                                 A104700200007 
NOCOMMON             0          0                                 A104700200008 
DATA                 5         27                                 A104700200009 
EN         ANG        DATA       DATA-ERR   DATA-ERR1             A104700200010 
MEV        ADEG       MB/SR      PER-CENT   PER-CENT              A104700200011 
     9.69      13.       215.3        0.41       0.55             A104700200012 
     9.69      15.       201.8        0.39       0.53             A104700200013 
     9.69      20.       196.1        0.36       0.52             A104700200014 
     9.69      25.       192.6        0.4        0.54             A104700200015 
     9.69      30.       186.9        0.41       0.55             A104700200016 
     9.918     10.       296.2        0.8        0.9              A104700200017 
     9.918     12.5      212.6        0.41       0.56             A104700200018 
     9.918     15.       194.8        0.39       0.54             A104700200019 
     9.918     17.5      191.7        0.37       0.52             A104700200020 
     9.918     20.       189.         0.37       0.52             A104700200021 
     9.918     25.       185.9        0.41       0.55             A104700200022 
     9.918     30.       180.3        0.34       0.5              A104700200023 
     9.918     35.       172.4        0.34       0.5              A104700200024 
     9.918     40.       161.6        0.34       0.5              A104700200025 
     9.918     45.       148.4        0.36       0.52             A104700200026 
     9.918     50.       135.6        0.36       0.51             A104700200027 
    13.6       10.       180.4        0.94       1.               A104700200028 
    13.6       12.5      141.9        0.57       0.66             A104700200029 
    13.6       15.       137.2        0.51       0.61             A104700200030 
    13.6       17.5      135.4        0.58       0.67             A104700200031 
    13.6       20.       136.         0.31       0.45             A104700200032 
    13.6       25.       134.         0.35       0.48             A104700200033 
    13.6       30.       130.1        0.51       0.61             A104700200034 
    13.6       35.       123.1        0.35       0.48             A104700200035 
    13.6       40.       115.3        0.36       0.48             A104700200036 
    13.6       50.        96.24       0.38       0.5              A104700200037 
    13.6       55.        85.15       0.38       0.51             A104700200038 
ENDDATA             29          0                                 A104700200039 
ENDSUBENT           38          0                                 A104700299999 
ENDENTRY             2          0                                 A104799999999 
