ENTRY            A1080   19990319                             0000A108000000001 
SUBENT        A1080001   19990319                             0000A108000100001 
BIB                 10         14                                 A108000100002 
INSTITUTE  (2FR STR)                                              A108000100003 
REFERENCE  (J,NP/A,224,(1),45,197405)                             A108000100004 
AUTHOR     (L.KRAUS,I.LINCK)                                      A108000100005 
TITLE      Study of P3/2 and P1/2 states for nuclei 5He and 5Li   A108000100006 
           by measurement of n + 4He and p + 4He differential     A108000100007 
           cross section                                          A108000100008 
FACILITY   (VDG)                                                  A108000100009 
SAMPLE     A gas target                                           A108000100010 
METHOD     (PHD)                                                  A108000100011 
DETECTOR   (SOLST) Surface-barrier                                A108000100012 
ERR-ANALYS (ERR-1) Systematic error                               A108000100013 
           (DATA-ERR) Digitizing error                            A108000100014 
HISTORY    (19810402C) Compilation produced by Arzamas RFNC-VNIIEFA108000100015 
           (19990205U)CNPD: corrected 4-dig. year and lower cases.A108000100016 
ENDBIB              14          0                                 A108000100017 
COMMON               1          3                                 A108000100018 
ERR-1                                                             A108000100019 
PER-CENT                                                          A108000100020 
  6.0                                                             A108000100021 
ENDCOMMON            3          0                                 A108000100022 
ENDSUBENT           21          0                                 A108000199999 
SUBENT        A1080002   19990319                             0000A108000200001 
BIB                  3          3                                 A108000200002 
REACTION   (2-HE-4(P,EL)2-HE-4,,DA,,,EXP)                         A108000200003 
ERR-ANALYS (EN-ERR) Digitizing error                              A108000200004 
STATUS     (CURVE) Fig 2                                          A108000200005 
ENDBIB               3          0                                 A108000200006 
COMMON               3          3                                 A108000200007 
EN-ERR     ANG-CM     DATA-ERR                                    A108000200008 
MEV        ADEG       MB/SR                                       A108000200009 
 0.1         167.2      2.040                                     A108000200010 
ENDCOMMON            3          0                                 A108000200011 
DATA                 2         12                                 A108000200012 
EN         DATA-CM                                                A108000200013 
MEV        MB/SR                                                  A108000200014 
     0.5293    80.1                                               A108000200015 
     0.834     88.6                                               A108000200016 
     0.9827   101.                                                A108000200017 
     1.269    150.3                                               A108000200018 
     1.536    244.4                                               A108000200019 
     1.792    365.1                                               A108000200020 
     2.065    445.                                                A108000200021 
     2.316    457.5                                               A108000200022 
     2.482    431.2                                               A108000200023 
     2.776    347.8                                               A108000200024 
     2.963    274.6                                               A108000200025 
     3.289    234.1                                               A108000200026 
ENDDATA             14          0                                 A108000200027 
ENDSUBENT           26          0                                 A108000299999 
SUBENT        A1080003   19990319                             0000A108000300001 
BIB                  3          3                                 A108000300002 
REACTION   (2-HE-4(P,EL)2-HE-4,,DA,,,EXP)                         A108000300003 
ERR-ANALYS (ANG-ERR) Digitizing error                             A108000300004 
STATUS     (CURVE) Fig 3a                                         A108000300005 
ENDBIB               3          0                                 A108000300006 
COMMON               1          3                                 A108000300007 
ANG-ERR                                                           A108000300008 
ADEG                                                              A108000300009 
  1.                                                              A108000300010 
ENDCOMMON            3          0                                 A108000300011 
DATA                 4        129                                 A108000300012 
EN         ANG        DATA       DATA-ERR                         A108000300013 
MEV        ADEG       MB/SR      MB/SR                            A108000300014 
     0.5       58.64     727.7        2.3                         A108000300015 
     0.5       76.43     316.1        1.2                         A108000300016 
     0.5       86.76     221.3        0.8                         A108000300017 
     0.5       92.4      179.7        0.8                         A108000300018 
     0.5      108.4      133.7        0.5                         A108000300019 
     0.5      116.9      115.3        0.4                         A108000300020 
     0.5      121.6      108.7        0.4                         A108000300021 
     0.5      171.8       81.42       0.3                         A108000300022 
     0.75      56.84     319.8        0.9                         A108000300023 
     0.75      72.       164.7        0.4                         A108000300024 
     0.75      90.       114.9        0.3                         A108000300025 
     0.75     105.2       90.48       0.2                         A108000300026 
     0.75     121.3       85.44       0.2                         A108000300027 
     0.75     145.9       83.3        0.2                         A108000300028 
     0.75     156.3       86.04       0.2                         A108000300029 
     0.75     168.6       86.26       0.2                         A108000300030 
     0.95      47.94     263.         0.8                         A108000300031 
     0.95      54.69     195.3        0.8                         A108000300032 
     0.95      60.44     168.3        0.6                         A108000300033 
     0.95      72.9      117.9        0.5                         A108000300034 
     0.95      82.46      95.8        0.4                         A108000300035 
     0.95      88.17      90.34       0.4                         A108000300036 
     0.95      92.93      85.18       0.3                         A108000300037 
     0.95     103.3       87.95       0.3                         A108000300038 
     0.95     112.8       93.54       0.4                         A108000300039 
     0.95     117.5       90.87       0.4                         A108000300040 
     0.95     143.1       96.96       0.4                         A108000300041 
     0.95     147.8      100.         0.4                         A108000300042 
     0.95     155.4      103.2        0.4                         A108000300043 
     0.95     162.9      106.5        0.4                         A108000300044 
     0.95     166.7      106.6        0.4                         A108000300045 
     1.49      49.26      97.99       0.6                         A108000300046 
     1.49      54.95      84.32       0.6                         A108000300047 
     1.49      74.84      77.3        0.5                         A108000300048 
     1.49      94.74      90.31       0.6                         A108000300049 
     1.49     105.2      105.3        0.6                         A108000300050 
     1.49     114.6      126.5        0.6                         A108000300051 
     1.49     119.4      138.7        0.65                        A108000300052 
     1.49     144.       213.         1.2                         A108000300053 
     1.49     149.7      219.8        1.2                         A108000300054 
     1.49     157.3      248.5        1.3                         A108000300055 
     1.49     164.8      241.5        1.3                         A108000300056 
     1.49     168.6      249.1        1.3                         A108000300057 
     1.75      39.2      171.5        0.4                         A108000300058 
     1.75      56.34     120.2        0.4                         A108000300059 
     1.75      73.48     103.9        0.4                         A108000300060 
     1.75      90.62     101.2        0.4                         A108000300061 
     1.75     121.1      185.1        0.4                         A108000300062 
     1.75     147.8      282.8        0.6                         A108000300063 
     1.75     159.2      339.2        0.6                         A108000300064 
     1.75     171.6      371.9        0.7                         A108000300065 
     2.        40.15     253.1        0.7                         A108000300066 
     2.        45.86     253.3        0.7                         A108000300067 
     2.        57.29     206.         0.6                         A108000300068 
     2.        59.2      194.1        0.6                         A108000300069 
     2.        63.01     183.         0.6                         A108000300070 
     2.        68.72     162.5        0.5                         A108000300071 
     2.        70.63     153.1        0.5                         A108000300072 
     2.        74.44     140.1        0.5                         A108000300073 
     2.        79.2      140.2        0.5                         A108000300074 
     2.        85.86     124.6        0.4                         A108000300075 
     2.        91.58     124.7        0.4                         A108000300076 
     2.        93.48     132.5        0.45                        A108000300077 
     2.        97.29     124.9        0.4                         A108000300078 
     2.       101.1      128.8        0.4                         A108000300079 
     2.       105.9      141.         0.5                         A108000300080 
     2.       109.7      159.         0.55                        A108000300081 
     2.       112.5      163.9        0.55                        A108000300082 
     2.       122.1      196.5        0.6                         A108000300083 
     2.       124.9      202.6        0.6                         A108000300084 
     2.       126.8      221.7        0.6                         A108000300085 
     2.       130.6      242.7        0.65                        A108000300086 
     2.       134.4      265.7        0.65                        A108000300087 
     2.       140.1      299.8        0.7                         A108000300088 
     2.       146.8      328.4        0.7                         A108000300089 
     2.       150.6      348.9        0.75                        A108000300090 
     2.       155.4      382.         0.8                         A108000300091 
     2.       159.2      393.9        0.8                         A108000300092 
     2.       163.       418.4        0.8                         A108000300093 
     2.       167.8      431.6        0.85                        A108000300094 
     2.       171.6      445.         0.85                        A108000300095 
     2.25      40.15     403.5        1.2                         A108000300096 
     2.25      52.53     358.4        1.                          A108000300097 
     2.25      56.34     290.1        0.9                         A108000300098 
     2.25      60.15     273.3        0.9                         A108000300099 
     2.25      63.96     257.4        0.75                        A108000300100 
     2.25      74.44     202.4        0.6                         A108000300101 
     2.25      80.15     174.2        0.55                        A108000300102 
     2.25      84.91     154.4        0.5                         A108000300103 
     2.25      91.58     145.6        0.5                         A108000300104 
     2.25      96.34     145.7        0.5                         A108000300105 
     2.25     101.1      145.8        0.5                         A108000300106 
