ENTRY            A1100   19990319                             0000A110000000001 
SUBENT        A1100001   19990319                             0000A110000100001 
BIB                 10         16                                 A110000100002 
INSTITUTE  (2BLGBLG)                                              A110000100003 
REFERENCE  (J,BSL,36,466,196809)                                  A110000100004 
AUTHOR     (A.PEETERMANS)                                         A110000100005 
TITLE      Angular distribution of T(p,n)3He reaction             A110000100006 
           in proton energy range 2.5 to 3.0 MeV                  A110000100007 
FACILITY   (VDG)                                                  A110000100008 
SAMPLE     TiT (200 mu-g/cm2) on thick backing                    A110000100009 
METHOD     (BCINT)                                                A110000100010 
DETECTOR   (PROPC) A methane filled                               A110000100011 
ERR-ANALYS (ERR-T) Total uncertainty.                             A110000100012 
           The  experimental  results have estimated errors withinA110000100013 
           3-5%.                                                  A110000100014 
HISTORY    (19810422C) Compilation produced by Arzamas RFNC-VNIIEFA110000100015 
           (19961027A) Err-Analys is Corrected by CAJAD.          A110000100016 
           (19961028U) Last checking has been done.               A110000100017 
           (19990205U)CNPD: corrected 4-dig. year and lower cases.A110000100018 
ENDBIB              16          0                                 A110000100019 
NOCOMMON             0          0                                 A110000100020 
ENDSUBENT           19          0                                 A110000199999 
SUBENT        A1100002   19990319                             0000A110000200001 
BIB                  2          2                                 A110000200002 
REACTION   (1-H-3(P,N)2-HE-3,,DA,,REL,EXP)                        A110000200003 
STATUS     (TABLE) Table 1                                        A110000200004 
ENDBIB               2          0                                 A110000200005 
NOCOMMON             0          0                                 A110000200006 
DATA                 4         34                                 A110000200007 
EN         ANG        DATA       ERR-T                            A110000200008 
MEV        ADEG       ARB-UNITS  ARB-UNITS                        A110000200009 
     2.5        0.94       0.991      0.03                        A110000200010 
     2.5        4.01       0.977      0.03                        A110000200011 
     2.5        8.         0.98       0.03                        A110000200012 
     2.5       14.         0.934      0.028                       A110000200013 
     2.5       22.         0.81       0.025                       A110000200014 
     2.5       30.         0.62       0.018                       A110000200015 
     2.5       36.         0.537      0.016                       A110000200016 
     2.5       44.         0.433      0.013                       A110000200017 
     2.5       52.         0.356      0.011                       A110000200018 
     2.5       60.         0.321      0.01                        A110000200019 
     2.5       68.         0.308      0.009                       A110000200020 
     2.5       76.         0.343      0.011                       A110000200021 
     2.5       98.         0.43       0.022                       A110000200022 
     2.5      110.         0.422      0.021                       A110000200023 
     2.5      120.         0.411      0.02                        A110000200024 
     2.5      130.         0.384      0.019                       A110000200025 
     2.5      140.         0.374      0.019                       A110000200026 
     3.         0.94       0.999      0.03                        A110000200027 
     3.         4.01       0.988      0.03                        A110000200028 
     3.         8.         0.957      0.029                       A110000200029 
     3.        14.         0.894      0.027                       A110000200030 
     3.        22.         0.788      0.024                       A110000200031 
     3.        30.         0.61       0.018                       A110000200032 
     3.        36.         0.488      0.015                       A110000200033 
     3.        44.         0.383      0.012                       A110000200034 
     3.        52.         0.295      0.009                       A110000200035 
     3.        60.         0.28       0.008                       A110000200036 
     3.        70.         0.27       0.008                       A110000200037 
     3.        80.         0.313      0.009                       A110000200038 
     3.        98.         0.401      0.02                        A110000200039 
     3.       110.         0.439      0.022                       A110000200040 
     3.       120.         0.438      0.022                       A110000200041 
     3.       130.         0.449      0.023                       A110000200042 
     3.       140.         0.425      0.021                       A110000200043 
ENDDATA             36          0                                 A110000200044 
ENDSUBENT           43          0                                 A110000299999 
ENDENTRY             2          0                                 A110099999999 
