ENTRY            A1113   19990319                             0000A111300000001 
SUBENT        A1113001   19990319                             0000A111300100001 
BIB                 10         14                                 A111300100002 
INSTITUTE  (1USARIC)                                              A111300100003 
REFERENCE  (J,NP,50,(4),604,196401)                               A111300100004 
AUTHOR     (A.C.L.BARNARD,C.M.JONES,J.L.WEIL)                     A111300100005 
TITLE      Elastic scattering of 2 - 11 MeV protons by 4He        A111300100006 
FACILITY   (VDGT)                                                 A111300100007 
SAMPLE     A gas target                                           A111300100008 
METHOD     (PHD)                                                  A111300100009 
DETECTOR   (SOLST) Surface-barrier three                          A111300100010 
           (CSICR) One for angle less than 35 degrees             A111300100011 
ERR-ANALYS (ANG-ERR) Angular accuracy                             A111300100012 
           (ERR-T) Total rms error                                A111300100013 
           (EN-ERR) Scale energy uncertainty                      A111300100014 
HISTORY    (19810602C) Compilation produced by Arzamas RFNC-VNIIEFA111300100015 
           (19990214U)CNPD: corrected 4-dig. year and lower cases.A111300100016 
ENDBIB              14          0                                 A111300100017 
COMMON               3          3                                 A111300100018 
EN-ERR     ANG-ERR    ERR-T                                       A111300100019 
MEV        ADEG       PER-CENT                                    A111300100020 
 0.01       0.05        2.0                                       A111300100021 
ENDCOMMON            3          0                                 A111300100022 
ENDSUBENT           21          0                                 A111300199999 
SUBENT        A1113002   19990319                             0000A111300200001 
BIB                  3          5                                 A111300200002 
REACTION   (2-HE-4(P,EL)2-HE-4,,DA,,,EXP)                         A111300200003 
ERR-ANALYS (EN-ERR1) Digitizing error                             A111300200004 
           (DATA-ERR) Digitizing error                            A111300200005 
           (ERR-S) Statistical error                              A111300200006 
STATUS     (CURVE) Fig 2                                          A111300200007 
ENDBIB               5          0                                 A111300200008 
COMMON               2          3                                 A111300200009 
ERR-S      EN-ERR1                                                A111300200010 
PER-CENT   MEV                                                    A111300200011 
 1.0        0.03                                                  A111300200012 
ENDCOMMON            3          0                                 A111300200013 
DATA                 4        278                                 A111300200014 
EN         ANG-CM     DATA-CM    DATA-ERR                         A111300200015 
MEV        ADEG       MB/SR      MB/SR                            A111300200016 
     4.01      30.88     308.7        5.596                       A111300200017 
     4.02     109.7       86.01       0.5617                      A111300200018 
     4.036     90.       125.3        0.5617                      A111300200019 
     4.043    109.7       84.35       0.5617                      A111300200020 
     4.047    164.4      161.3        0.5617                      A111300200021 
     4.053     30.88     302.7        5.596                       A111300200022 
     4.053    164.4      155.1        0.5617                      A111300200023 
     4.061     90.       122.5        0.5617                      A111300200024 
     4.085    109.7       83.17       0.5617                      A111300200025 
     4.101     90.       121.4        0.5617                      A111300200026 
     4.111    164.4      152.8        0.5617                      A111300200027 
     4.163     30.88     296.2        5.596                       A111300200028 
     4.212     90.       121.3        4.491                       A111300200029 
     4.217    164.4      148.8        1.702                       A111300200030 
     4.218    109.7       83.06       4.491                       A111300200031 
     4.296     30.88     295.1        5.596                       A111300200032 
     4.337     90.       113.3        0.5617                      A111300200033 
     4.345    164.4      143.1        0.5617                      A111300200034 
     4.348    109.7       80.71       0.5617                      A111300200035 
     4.405     30.88     271.8        5.596                       A111300200036 
     4.432    109.7       75.58       0.5617                      A111300200037 
     4.448     90.       113.8        0.5617                      A111300200038 
     4.452    164.4      139.6        0.5617                      A111300200039 
     4.515     30.88     270.9        5.596                       A111300200040 
     4.539    109.7       72.12       0.5617                      A111300200041 
     4.559     90.       114.2        0.5617                      A111300200042 
     4.583    164.4      137.3        0.5617                      A111300200043 
     4.604     30.88     270.2        5.596                       A111300200044 
     4.665    164.4      131.         1.104                       A111300200045 
     4.673    109.7       73.13       1.702                       A111300200046 
     4.689     90.       111.3        1.684                       A111300200047 
     4.737     30.88     269.1        5.596                       A111300200048 
     4.772     90.       108.4        0.5617                      A111300200049 
     4.795    164.4      129.8        0.5617                      A111300200050 
     4.797     90.       105.1        0.5617                      A111300200051 
     4.797    164.4      128.7        0.5617                      A111300200052 
     4.801    109.7       67.97       0.5617                      A111300200053 
     4.869     30.88     262.4        5.596                       A111300200054 
     4.904     90.       105.         0.5617                      A111300200055 
     4.909    109.7       66.76       0.5617                      A111300200056 
     4.91     109.7       65.63       0.5617                      A111300200057 
     4.926    164.4      127.4        0.5617                      A111300200058 
     4.927    164.4      126.3        0.5617                      A111300200059 
     4.991     90.       102.6        0.5617                      A111300200060 
     4.998    109.7       65.56       0.5617                      A111300200061 
     5.002     30.88     261.3        5.596                       A111300200062 
     5.015    164.4      126.2        0.5617                      A111300200063 
     5.035     90.       102.6        0.5617                      A111300200064 
     5.04      90.       107.1        0.5617                      A111300200065 
     5.041    109.7       64.4        0.5617                      A111300200066 
     5.055    164.4      125.1        0.5617                      A111300200067 
     5.058    164.4      122.8        0.5617                      A111300200068 
     5.127    109.7       62.08       0.5617                      A111300200069 
     5.134     30.88     254.6        5.596                       A111300200070 
     5.166     90.       102.5        0.5617                      A111300200071 
     5.168     90.       100.3        0.5617                      A111300200072 
     5.189    164.4      123.3        0.5617                      A111300200073 
     5.244     30.88     242.5        5.596                       A111300200074 
     5.26     109.7       61.97       0.5617                      A111300200075 
     5.278    109.7       58.02       0.5617                      A111300200076 
     5.297     90.        98.46       0.5617                      A111300200077 
     5.299    164.4      122.6        0.5617                      A111300200078 
     5.378     30.88     252.6        5.596                       A111300200079 
     5.385     90.        98.39       0.5617                      A111300200080 
     5.391    109.7       60.18       0.5617                      A111300200081 
     5.404     90.        96.69       0.5617                      A111300200082 
     5.406     90.        95.         0.5617                      A111300200083 
     5.408    164.4      120.8        0.5617                      A111300200084 
     5.41     109.7       57.35       0.5617                      A111300200085 
     5.41     109.7       56.79       0.5617                      A111300200086 
     5.45     164.4      119.1        0.5617                      A111300200087 
