ENTRY            A1114   19990319                             0000A111400000001 
SUBENT        A1114001   19990319                             0000A111400100001 
BIB                  9         11                                 A111400100002 
INSTITUTE  (1USAMIN)                                              A111400100003 
REFERENCE  (J,PR,96,(1),80,195410)                                A111400100004 
AUTHOR     (R.J.S.BROWN,K.F.FAMULARO,H.D.HOLMGREN,D.RANKIN,       A111400100005 
           T.F.STRATTON)                                          A111400100006 
TITLE      Elastic scattering of deuterons by 3He                 A111400100007 
FACILITY   (VDG)                                                  A111400100008 
SAMPLE     A gas target                                           A111400100009 
METHOD     (PHD)                                                  A111400100010 
DETECTOR   (PROPC)                                                A111400100011 
HISTORY    (19810526C)                                            A111400100012 
           (19990115U)CNPD: corrected 4-dig. year and lower cases.A111400100013 
ENDBIB              11          0                                 A111400100014 
NOCOMMON             0          0                                 A111400100015 
ENDSUBENT           14          0                                 A111400199999 
SUBENT        A1114002   19990319                             0000A111400200001 
BIB                  3          3                                 A111400200002 
REACTION   (2-HE-3(D,EL)2-HE-3,,DA,,,EXP)                         A111400200003 
ERR-ANALYS (ERR-T) Estimated probable error                       A111400200004 
STATUS     (TABLE) Table 1                                        A111400200005 
ENDBIB               3          0                                 A111400200006 
NOCOMMON             0          0                                 A111400200007 
DATA                 4         44                                 A111400200008 
EN         ANG-CM     DATA-CM    ERR-T                            A111400200009 
MEV        ADEG       MB/SR      PER-CENT                         A111400200010 
     1.02      45.25     406.         6.                          A111400200011 
     1.02      54.73     226.         4.                          A111400200012 
     1.5       45.25     216.         4.                          A111400200013 
     1.5       54.73     130.         4.                          A111400200014 
     1.5       65.42      98.         4.                          A111400200015 
     1.5       73.18      81.         4.                          A111400200016 
     1.5       80.76      80.         4.                          A111400200017 
     1.5       90.        85.         5.                          A111400200018 
     1.5      108.9      115.         8.                          A111400200019 
     1.5      125.3      155.         5.                          A111400200020 
     2.        45.25     128.         4.                          A111400200021 
     2.        54.73      82.         4.                          A111400200022 
     2.        65.42      59.         4.                          A111400200023 
     2.        73.18      55.         4.                          A111400200024 
     2.        80.76      50.         4.                          A111400200025 
     2.        90.        52.         5.                          A111400200026 
     2.       108.9       82.         4.                          A111400200027 
     2.       125.3      126.         4.                          A111400200028 
     2.5       45.25     102.         3.                          A111400200029 
     2.5       54.73      65.         3.                          A111400200030 
     2.5       65.42      45.4        4.                          A111400200031 
     2.5       73.18      41.3        4.                          A111400200032 
     2.5       80.76      36.         5.                          A111400200033 
     2.5       90.        34.         5.                          A111400200034 
     2.5      108.9       54.9        3.                          A111400200035 
     2.5      125.3      106.         3.                          A111400200036 
     3.        45.25      80.9        3.                          A111400200037 
     3.        54.73      55.8        3.                          A111400200038 
     3.        65.42      38.2        4.                          A111400200039 
     3.        73.18      32.2        4.                          A111400200040 
     3.        80.76      23.3        5.                          A111400200041 
     3.        90.        21.1        6.                          A111400200042 
     3.        98.65      20.5        8.                          A111400200043 
     3.       108.9       31.5        5.                          A111400200044 
     3.       125.3       89.3        3.                          A111400200045 
     3.25      45.25      77.         4.                          A111400200046 
     3.25      54.73      55.         6.                          A111400200047 
     3.25      65.42      38.6        6.                          A111400200048 
     3.25      73.18      28.8        5.                          A111400200049 
     3.25      80.76      22.2        6.                          A111400200050 
     3.25      90.        17.3        7.                          A111400200051 
     3.25      98.65      16.         7.                          A111400200052 
     3.25     108.9       24.         7.                          A111400200053 
     3.25     125.3       84.8        3.                          A111400200054 
ENDDATA             46          0                                 A111400200055 
ENDSUBENT           54          0                                 A111400299999 
ENDENTRY             2          0                                 A111499999999 
