ENTRY            A1126   19990319                             0000A112600000001 
SUBENT        A1126001   19990319                             0000A112600100001 
BIB                  9         13                                 A112600100002 
INSTITUTE  (1USALAS)                                              A112600100003 
REFERENCE  (J,PR/C,15,(2),518,197702)                             A112600100004 
AUTHOR     (D.C.DODDER,G.M.HALE,N.JARMIE,J.H.JETT,P.W.KEATON,     A112600100005 
           R.A.NISLEY,K.WITTE)                                    A112600100006 
TITLE      Elasting scattering of protons by helium4 : new        A112600100007 
           experiment and analysis                                A112600100008 
FACILITY   (VDGT)                                                 A112600100009 
SAMPLE     The helium target gas purity                           A112600100010 
METHOD     (EDE,PHD)                                              A112600100011 
DETECTOR   (SOLST) A single E -deltaE detector arrangement using  A112600100012 
           solid-state detectors                                  A112600100013 
HISTORY    (19810526C) Compilation produced by Arzamas RFNC-VNIIEFA112600100014 
           (19990214U)CNPD: corrected 4-dig. year and lower cases.A112600100015 
ENDBIB              13          0                                 A112600100016 
NOCOMMON             0          0                                 A112600100017 
ENDSUBENT           16          0                                 A112600199999 
SUBENT        A1126002   19990319                             0000A112600200001 
BIB                  3          4                                 A112600200002 
REACTION   (2-HE-4(P,EL)2-HE-4,,DA,,,EXP)                         A112600200003 
ERR-ANALYS (DATA-ERR) Relative error                              A112600200004 
           (DATA-ERR1) Scale error                                A112600200005 
STATUS     (TABLE) Table 2,3,4,5                                  A112600200006 
ENDBIB               4          0                                 A112600200007 
COMMON               1          3                                 A112600200008 
DATA-ERR1                                                         A112600200009 
PER-CENT                                                          A112600200010 
 0.37                                                             A112600200011 
ENDCOMMON            3          0                                 A112600200012 
DATA                 4         35                                 A112600200013 
EN         ANG-CM     DATA-CM    DATA-ERR                         A112600200014 
MEV        ADEG       MB/SR      PER-CENT                         A112600200015 
    11.16      25.08     332.6        0.52                        A112600200016 
    11.16      35.06     283.1        0.56                        A112600200017 
    11.16      49.01     213.         0.49                        A112600200018 
    11.16      70.05     110.8        1.                          A112600200019 
    12.04      18.76     353.         0.6                         A112600200020 
    12.04      24.98     311.8        0.49                        A112600200021 
    12.04      31.16     280.7        0.45                        A112600200022 
    12.04      37.29     255.2        0.47                        A112600200023 
    12.04      43.37     228.5        0.44                        A112600200024 
    12.04      49.39     197.6        0.5                         A112600200025 
    12.04      55.34     171.2        0.45                        A112600200026 
    12.04      61.21     144.2        0.52                        A112600200027 
    12.04      67.       117.7        0.52                        A112600200028 
    12.04      78.29      73.42       0.51                        A112600200029 
    12.04      89.18      42.22       0.72                        A112600200030 
    12.04      99.63      22.66       0.85                        A112600200031 
    12.04     109.6       14.01       1.01                        A112600200032 
    12.04     119.2       15.15       1.5                         A112600200033 
    12.04     128.3       22.48       1.02                        A112600200034 
    12.04     137.        33.6        0.82                        A112600200035 
    12.04     145.3       44.23       0.69                        A112600200036 
    12.04     153.3       56.         0.55                        A112600200037 
    12.04     161.1       65.59       0.6                         A112600200038 
    12.04     168.7       72.6        0.46                        A112600200039 
    13.6       25.5      271.7        0.41                        A112600200040 
    13.6       49.35     181.9        0.44                        A112600200041 
    13.6       61.22     128.5        0.42                        A112600200042 
    13.6       83.8       49.9        0.68                        A112600200043 
    14.32      24.71     263.2        0.41                        A112600200044 
    14.32      55.36     147.5        0.48                        A112600200045 
    14.32      72.71      80.27       0.5                         A112600200046 
    14.32      89.2       34.52       0.71                        A112600200047 
    14.32     119.2       11.4        2.                          A112600200048 
    14.32     153.4       46.27       0.63                        A112600200049 
    14.32     168.8       61.07       0.6                         A112600200050 
ENDDATA             37          0                                 A112600200051 
ENDSUBENT           50          0                                 A112600299999 
ENDENTRY             2          0                                 A112699999999 
