ENTRY            A1183   19990319                             0000A118300000001 
SUBENT        A1183001   19990319                             0000A118300100001 
BIB                  8         11                                 A118300100002 
INSTITUTE  (2SWTETH)                                              A118300100003 
REFERENCE  (J,NP/A,324,(1),99,197907)                             A118300100004 
AUTHOR     (B.JENNY,W.GRUEBLER,V.KONIG,P.A.SCHMELZBACH,R.RISLER,  A118300100005 
           H.R.BURGI,D.O.BOERMA)                                  A118300100006 
TITLE      Analyzing power and cross-section measurements for     A118300100007 
           3He(d,d)3He scattering                                 A118300100008 
FACILITY   (VDGT)                                                 A118300100009 
SAMPLE     3He gas target (purity 99.9%)                          A118300100010 
DETECTOR   (SOLST) SILICON SURFACE-BARRIER                        A118300100011 
HISTORY    (19830818C) Compilation produced by Arzamas RFNC-VNIIEFA118300100012 
           (19990220U)CNPD: corrected 4-dig. year and lower cases.A118300100013 
ENDBIB              11          0                                 A118300100014 
NOCOMMON             0          0                                 A118300100015 
ENDSUBENT           14          0                                 A118300199999 
SUBENT        A1183002   19990319                             0000A118300200001 
BIB                  4          8                                 A118300200002 
REACTION   (2-HE-3(D,EL)2-HE-3,,DA,,,EXP)                         A118300200003 
ERR-ANALYS (ANG-ERR) Digitizing error                             A118300200004 
           (DATA-ERR) Digitizing error                            A118300200005 
           (DATA-ERR1) Absolute error above 5 MeV                 A118300200006 
           (DATA-ERR2) Absolute error later 5 MeV                 A118300200007 
FLAG       (1.) REACTION (2-HE-3(D,EL)2-HE-3,,DA,D,EXP)           A118300200008 
           (2.) REACTION (2-HE-3(D,EL)2-HE-3,,DA,HE3,EXP)         A118300200009 
STATUS     (CURVE) fig 1                                          A118300200010 
ENDBIB               8          0                                 A118300200011 
COMMON               3          3                                 A118300200012 
ANG-ERR    DATA-ERR1  DATA-ERR2                                   A118300200013 
ADEG       PER-CENT   PER-CENT                                    A118300200014 
  1.         3.         7.                                        A118300200015 
ENDCOMMON            3          0                                 A118300200016 
DATA                 5        376                                 A118300200017 
EN         ANG-CM     DATA-CM    DATA-ERR   FLAG                  A118300200018 
MEV        ADEG       MB/SR      MB/SR      NO-DIM                A118300200019 
     2.        36.28     226.2        9.875      1.               A118300200020 
     2.        39.62     174.3        7.607      2.               A118300200021 
     2.        44.1      127.4        5.559      2.               A118300200022 
     2.        48.61     103.2        4.505      2.               A118300200023 
     2.        52.        88.17       3.848      2.               A118300200024 
     2.        56.53      75.24       3.284      2.               A118300200025 
     2.        59.93      67.68       2.954      2.               A118300200026 
     2.        64.5       64.05       2.796      2.               A118300200027 
     2.        67.91      57.61       2.515      2.               A118300200028 
     2.        71.33      54.57       2.382      2.               A118300200029 
     2.        74.75      51.69       2.256      2.               A118300200030 
     2.        79.34      51.51       2.248      2.               A118300200031 
     2.        90.81      51.07       2.229      1.               A118300200032 
     2.       125.6      132.9        5.801      1.               A118300200033 
     3.        34.32     164.8        6.895      2.               A118300200034 
     3.        39.92     113.8        4.764      2.               A118300200035 
     3.        44.41      87.38       3.656      2.               A118300200036 
     3.        47.8       74.5        3.117      2.               A118300200037 
     3.        51.21      66.92       2.8        2.               A118300200038 
     3.        55.73      54.11       2.264      2.               A118300200039 
     3.        60.29      48.55       2.031      2.               A118300200040 
     3.        63.68      41.39       1.732      2.               A118300200041 
     3.        68.24      37.14       1.554      2.               A118300200042 
     3.        70.48      31.7        1.326      2.               A118300200043 
     3.        75.02      27.         1.13       2.               A118300200044 
     3.        78.45      25.55       1.069      2.               A118300200045 
     3.        83.02      22.92       0.9591     2.               A118300200046 
     3.        86.43      20.59       0.8615     2.               A118300200047 
     3.        89.86      19.48       0.8152     2.               A118300200048 
     3.        93.3       18.43       0.7713     2.               A118300200049 
     3.        97.93      19.34       0.8091     2.               A118300200050 
     3.       101.4       20.3        0.8495     2.               A118300200051 
     3.       102.6       20.28       4.669      2.               A118300200052 
     3.       107.2       22.41       5.189      2.               A118300200053 
     3.       110.7       24.79       5.74       2.               A118300200054 
     3.       114.2       22.27       8.165      2.               A118300200055 
     3.       115.6       46.1        1.929      2.               A118300200056 
     3.       122.5       43.48      12.99       1.               A118300200057 
