ENTRY            A1212   19990319                             0000A121200000001 
SUBENT        A1212001   19990319                             0000A121200100001 
BIB                  9         10                                 A121200100002 
INSTITUTE  (1USABRK)                                              A121200100003 
REFERENCE  (J,PR,174,(4),1122,196810)                             A121200100004 
AUTHOR     (R.J.SLOBODRIAN,H.E.CONZETT,E.SHIELD,W.F.TIVOL)        A121200100005 
TITLE      Proton-proton elastic scattering between 6 and 10 MeV  A121200100006 
FACILITY   (CYCLO) Berkeley 88-in. sector-focused cyclotron       A121200100007 
METHOD     (EXTB)                                                 A121200100008 
DETECTOR   (SOLST) Two lithium-drifted silicon detectors          A121200100009 
ADD-RES     Phase analysis data also present in the paper         A121200100010 
HISTORY    (19861030C) Compilation produced by Arzamas RFNC-VNIIEFA121200100011 
           (19990305U)CNPD: corrected 4-dig. year and lower cases.A121200100012 
ENDBIB              10          0                                 A121200100013 
NOCOMMON             0          0                                 A121200100014 
ENDSUBENT           13          0                                 A121200199999 
SUBENT        A1212002   19990319                             0000A121200200001 
BIB                  4          7                                 A121200200002 
REACTION   (1-H-1(P,EL)1-H-1,,DA,,,EXP)                           A121200200003 
ERR-ANALYS (ERR-T) TOTAL ERROR                                    A121200200004 
FLAG       (0.) CROSS SECTIONS WERE OBTAINED WITH THE BACKGROUND  A121200200005 
           SUBTRACTION TECHNIQUE (BGS)                            A121200200006 
           (2.) CROSS SECTIONS WERE OBTAINED WITH THE             A121200200007 
           DISCRIMINATOR METHOD (D)                               A121200200008 
STATUS     (TABLE) TABLE 2                                        A121200200009 
ENDBIB               7          0                                 A121200200010 
NOCOMMON             0          0                                 A121200200011 
DATA                 5        100                                 A121200200012 
EN         ANG        DATA-CM    ERR-T      FLAG                  A121200200013 
MEV        ADEG       MB/SR      MB/SR      NO-DIM                A121200200014 
     6.141      6.       976.3       30.07       0.               A121200200015 
     6.141      6.       989.5       30.48       2.               A121200200016 
     6.141      7.       516.3       16.62       0.               A121200200017 
     6.141      7.       526.        16.62       2.               A121200200018 
     6.141      8.       309.7        9.97       0.               A121200200019 
     6.141      8.       313.         9.11       2.               A121200200020 
     6.141      9.       213.         5.86       0.               A121200200021 
     6.141      9.       214.8        5.91       2.               A121200200022 
     6.141     10.       152.8        1.02       0.               A121200200023 
     6.141     10.       154.         1.02       2.               A121200200024 
     6.141     11.       121.7        0.7        0.               A121200200025 
     6.141     11.       122.5        0.71       2.               A121200200026 
     6.141     12.       103.4        0.55       0.               A121200200027 
     6.141     12.       104.         0.55       2.               A121200200028 
     6.141     14.        85.74       0.45       0.               A121200200029 
     6.141     14.        86.21       0.45       2.               A121200200030 
     6.141     16.        80.52       0.42       0.               A121200200031 
     6.141     16.        80.97       0.43       2.               A121200200032 
     6.141     18.        78.89       0.39       0.               A121200200033 
     6.141     18.        79.29       0.39       2.               A121200200034 
     6.141     20.        78.99       0.4        0.               A121200200035 
     6.141     20.        79.41       0.4        2.               A121200200036 
     6.141     25.        80.7        0.38       0.               A121200200037 
     6.141     25.        81.06       0.38       2.               A121200200038 
     6.141     30.        81.94       0.33       0.               A121200200039 
     6.141     30.        82.2        0.34       2.               A121200200040 
     6.141     35.        82.74       0.39       0.               A121200200041 
     6.141     35.        83.12       0.39       2.               A121200200042 
     6.141     40.        82.95       0.5        0.               A121200200043 
     6.141     40.        83.51       0.5        2.               A121200200044 
     6.141     45.        82.93       0.91       0.               A121200200045 
     6.141     45.        84.         0.92       2.               A121200200046 
