ENTRY            A1251   19990322                             0000A125100000001 
SUBENT        A1251001   19990322                             0000A125100100001 
BIB                  9         10                                 A125100100002 
INSTITUTE  (4UKRIFU)                                              A125100100003 
REFERENCE  (J,UFZ,30,(3),328,198503)                              A125100100004 
AUTHOR     (O.F.NEMEC,V.V.OSTASHKO,V.N.URIN,A.M.JASNOGORODSKIJ)   A125100100005 
TITLE      D-D elastic scattering at energies 9.8 - 36 MeV        A125100100006 
FACILITY   (CYCLO)                                                A125100100007 
SAMPLE     A deuterium target diam 60 mm. pressure 250 torr.      A125100100008 
METHOD     (EXTB,EDE)                                             A125100100009 
DETECTOR   (TELES) Two deltaE-E semiconductor detectors           A125100100010 
HISTORY    (19871109C) Compilation produced by Arzamas RFNC-VNIIEFA125100100011 
           (19990315U)CNPD: corrected 4-dig. year and lower cases.A125100100012 
ENDBIB              10          0                                 A125100100013 
NOCOMMON             0          0                                 A125100100014 
ENDSUBENT           13          0                                 A125100199999 
SUBENT        A1251002   19990322                             0000A125100200001 
BIB                  3          6                                 A125100200002 
REACTION   (1-H-2(D,EL)1-H-2,,DA,,,EXP)                           A125100200003 
ERR-ANALYS (ANG-ERR) Digitizing error                             A125100200004 
           (DATA-ERR) Digitizing error                            A125100200005 
           (ERR-S) Statistical error                              A125100200006 
           (ERR-T) Absolute error                                 A125100200007 
STATUS     (CURVE) Fig 1                                          A125100200008 
ENDBIB               6          0                                 A125100200009 
COMMON               3          3                                 A125100200010 
ANG-ERR    ERR-S      ERR-T                                       A125100200011 
ADEG       PER-CENT   PER-CENT                                    A125100200012 
  1.0        3.         10.                                       A125100200013 
ENDCOMMON            3          0                                 A125100200014 
DATA                 4         77                                 A125100200015 
EN         ANG-CM     DATA-CM    DATA-ERR                         A125100200016 
MEV        ADEG       MB/SR      MB/SR                            A125100200017 
     9.8       21.61     581.2      125.1                         A125100200018 
     9.8       25.78     538.        43.75                        A125100200019 
     9.8       32.47     394.2       66.59                        A125100200020 
     9.8       38.32     324.6       11.63                        A125100200021 
     9.8       46.68     228.9        8.2                         A125100200022 
     9.8       51.7      195.9        7.021                       A125100200023 
     9.8       59.21     167.9        6.015                       A125100200024 
     9.8       65.05     149.5        5.356                       A125100200025 
     9.8       72.57     123.2        4.412                       A125100200026 
     9.8       79.23     118.6        4.249                       A125100200027 
     9.8       85.91     109.8        3.934                       A125100200028 
    10.54      21.24     575.2       72.68                        A125100200029 
    10.54      27.08     491.2       62.05                        A125100200030 
    10.54      33.77     372.4       64.08                        A125100200031 
    10.54      39.61     293.7       10.25                        A125100200032 
    10.54      47.97     214.         7.467                       A125100200033 
    10.54      53.81     175.6        6.128                       A125100200034 
    10.54      59.65     144.1        5.029                       A125100200035 
    10.54      65.5      128.1        4.468                       A125100200036 
    10.54      73.84     105.1        3.668                       A125100200037 
    10.54      79.67     105.2        3.671                       A125100200038 
    10.54      85.51      97.26       3.393                       A125100200039 
    11.3       20.48     603.8      101.9                         A125100200040 
    11.3       27.16     497.3       61.77                        A125100200041 
    11.3       33.01     393.8       32.02                        A125100200042 
    11.3       39.69     288.5       10.04                        A125100200043 
    11.3       48.05     211.4        7.357                       A125100200044 
    11.3       53.06     181.         6.298                       A125100200045 
    11.3       59.74     149.1        5.187                       A125100200046 
    11.3       65.58     132.7        4.618                       A125100200047 
    11.3       73.08     122.9        4.276                       A125100200048 
    11.3       79.75     113.8        3.959                       A125100200049 
