ENTRY            A1357   19990322                             0000A135700000001 
SUBENT        A1357001   19990322                             0000A135700100001 
BIB                 10         13                                 A135700100002 
INSTITUTE  (2FR SAC)                                              A135700100003 
REFERENCE  (J,NP,38,11,196210)                                    A135700100004 
AUTHOR     (J.M.F.JERONYMO,G.S.MANI,F.PICARD,A.SADEGHI)           A135700100005 
TITLE      The 6Li(d,alpha)alpha reaction                         A135700100006 
FACILITY   (VDG)                                                  A135700100007 
SAMPLE     6Li(99.6%, 10 mu-g/cm2) on the carbon backing          A135700100008 
METHOD     (PHD)                                                  A135700100009 
DETECTOR   (SOLST) Excitation curves for 12 angles from 85 to 165 A135700100010 
           degrees in the lab.system were obtained using solid    A135700100011 
           state counters.                                        A135700100012 
COMMENT    Solid state detector at 90 degr was used as a monitor  A135700100013 
HISTORY    (19800714C) Compilation produced by Arzamas RFNC-VNIIEFA135700100014 
           (19990317U)CNPD: corrected 4-dig. year and lower cases.A135700100015 
ENDBIB              13          0                                 A135700100016 
NOCOMMON             0          0                                 A135700100017 
ENDSUBENT           16          0                                 A135700199999 
SUBENT        A1357002   19990322                             0000A135700200001 
BIB                  3         10                                 A135700200002 
REACTION   (3-LI-6(D,A)2-HE-4,,DA,,REL,EXP)                       A135700200003 
           Curves were normalized for target deterioration using  A135700200004 
           monitor counts                                         A135700200005 
ERR-ANALYS (EN-ERR) Digitizing error                              A135700200006 
           (DATA-ERR) Digitizing error                            A135700200007 
           (ERR-T) Total error comprises the counting statistics  A135700200008 
           of the detector and the monitor and the experimental   A135700200009 
           errors in charge measurement, fluctuations in the      A135700200010 
           electronics etc.                                       A135700200011 
STATUS     (CURVE) Fig 1                                          A135700200012 
ENDBIB              10          0                                 A135700200013 
COMMON               2          3                                 A135700200014 
EN-ERR     ERR-T                                                  A135700200015 
MEV        PER-CENT                                               A135700200016 
 0.03        5.                                                   A135700200017 
ENDCOMMON            3          0                                 A135700200018 
DATA                 4        304                                 A135700200019 
EN         ANG        DATA       DATA-ERR                         A135700200020 
MEV        ADEG       ARB-UNITS  ARB-UNITS                        A135700200021 
     0.8311   100.         8.531      0.1125                      A135700200022 
     0.8322    95.         8.105      0.0206                      A135700200023 
     0.8657   125.         8.514      0.0206                      A135700200024 
     0.8658    90.         8.327      0.0254                      A135700200025 
     0.867     85.         8.018      0.1097                      A135700200026 
     0.8987   115.         8.625      0.0254                      A135700200027 
     0.8995   105.         8.203      0.033                       A135700200028 
     0.901    155.        10.15       0.1111                      A135700200029 
     0.9037   135.         9.595      0.1097                      A135700200030 
     0.9323   165.        10.82       0.1125                      A135700200031 
     0.9328   145.         9.585      0.1125                      A135700200032 
     0.959    130.         9.41       0.1091                      A135700200033 
     0.9836   100.         7.743      0.1125                      A135700200034 
     0.9848    95.         7.326      0.0206                      A135700200035 
     1.018     90.         7.437      0.0254                      A135700200036 
     1.021     85.         7.578      0.1097                      A135700200037 
     1.049    130.         8.641      0.1091                      A135700200038 
     1.05     125.         8.513      0.0206                      A135700200039 
     1.052    105.         7.653      0.033                       A135700200040 
     1.082    115.         8.068      0.0254                      A135700200041 
     1.086    155.         9.922      0.1111                      A135700200042 
     1.087    145.         9.471      0.1125                      A135700200043 
     1.088    135.         9.154      0.1097                      A135700200044 
     1.117    165.        10.37       0.1125                      A135700200045 
     1.135    100.         6.729      0.1125                      A135700200046 
     1.169     95.         6.769      0.0206                      A135700200047 
     1.17      90.         6.547      0.0254                      A135700200048 
     1.173     85.         6.699      0.1097                      A135700200049 
     1.202    125.         7.845      0.0206                      A135700200050 
     1.203    105.         6.774      0.033                       A135700200051 
     1.23     130.         7.542      0.1091                      A135700200052 
     1.233    115.         7.4        0.0254                      A135700200053 
     1.24     135.         8.166      0.1097                      A135700200054 
     1.269    165.         9.47       0.1125                      A135700200055 
     1.271    155.         9.365      0.1111                      A135700200056 
     1.272    145.         9.02       0.1125                      A135700200057 
     1.289    100.         6.166      0.1125                      A135700200058 
     1.32      95.         5.324      0.0206                      A135700200059 
     1.355     90.         6.212      0.0254                      A135700200060 
     1.357     85.         6.039      0.1097                      A135700200061 
     1.385    105.         6.114      0.033                       A135700200062 
     1.385    115.         6.844      0.0254                      A135700200063 
     1.385    125.         7.399      0.0206                      A135700200064 
     1.394    155.         9.253      0.1111                      A135700200065 
     1.395    135.         8.165      0.1097                      A135700200066 
     1.414    130.         7.431      0.1091                      A135700200067 
     1.454    145.         7.668      0.1125                      A135700200068 
     1.455    165.         9.581      0.1125                      A135700200069 
     1.503    100.         5.376      0.1125                      A135700200070 
     1.506     95.         5.545      0.0206                      A135700200071 
     1.507     90.         5.211      0.0254                      A135700200072 
     1.51      85.         5.38       0.1097                      A135700200073 
     1.536    125.         6.509      0.0206                      A135700200074 
     1.568    115.         6.176      0.0254                      A135700200075 
     1.598    105.         5.454      0.033                       A135700200076 
     1.598    130.         7.1        0.1091                      A135700200077 
     1.609    155.         8.585      0.1111                      A135700200078 
     1.61     145.         8.005      0.1125                      A135700200079 
     1.64     135.         7.285      0.1097                      A135700200080 
     1.641    165.         9.355      0.1125                      A135700200081 
     1.689    100.         5.375      0.1125                      A135700200082 
     1.694     85.         4.939      0.1097                      A135700200083 
     1.722     95.         5.099      0.0206                      A135700200084 
     1.723     90.         4.765      0.0254                      A135700200085 
     1.751    125.         6.175      0.0206                      A135700200086 
     1.782    105.         5.233      0.033                       A135700200087 
     1.782    115.         5.73       0.0254                      A135700200088 
     1.794    135.         6.954      0.1097                      A135700200089 
     1.794    165.         8.678      0.1125                      A135700200090 
     1.824    155.         8.028      0.1111                      A135700200091 
     1.825    145.         7.216      0.1125                      A135700200092 
     1.874    100.         4.811      0.1125                      A135700200093 
     1.906     95.         4.431      0.0206                      A135700200094 
     1.908     90.         4.542      0.0254                      A135700200095 
