ENTRY            A1475   20240204                             A108A1475  0    1 
SUBENT        A1475001   20240204                             A108A1475  1    1 
BIB                  9         30                                 A1475  1    2 
TITLE      The 7Li(p,alpha)alpha reaction                         A1475  1    3 
AUTHOR     (Y.Cassagnou,J.M.F.Jeronymo,G.S.Mani,A.Sadeghi,        A1475  1    4 
           P.D.Forsyth)                                           A1475  1    5 
REFERENCE  (J,NP,33,449,1962)                                     A1475  1    6 
INSTITUTE  (2FR SAC,1USARIC)                                      A1475  1    7 
FACILITY   (VDG,1USARIC) The reaction was studied up to 3.5 MeV   A1475  1    8 
           using the Rice University Van de Graaff and            A1475  1    9 
           (VDG,2FR SAC) Up to 4.8 MeV Using the Machine at SaclayA1475  1   10 
SAMPLE     The Rice experiments were done with natural lithium    A1475  1   11 
           target of about 20 ug/cm2 deposited on 50 ug/cm2 carbonA1475  1   12 
           backing. The target used in the Saclay experiments was A1475  1   13 
           about 10 to 15 ug/cm2 deposited on carbon foils        A1475  1   14 
           about 10 ug/cm2 thick.                                 A1475  1   15 
DETECTOR   (SOLST)                                                A1475  1   16 
           In the Rice experiments:                               A1475  1   17 
           The excitation curves at eight angles were obtained    A1475  1   18 
           using solid state counters as detectors of alpha       A1475  1   19 
           particles. The target deterioration was checked after  A1475  1   20 
           each excitation curve and was found to be less than 5%.A1475  1   21 
           In the Saclay experiments: the angular distribution at A1475  1   22 
           each energy was studied from 90 to 170 Degr. using a   A1475  1   23 
           solid state detector. A solid state detector at 90 degrA1475  1   24 
           was used as a monitor.                                 A1475  1   25 
ERR-ANALYS (ERR-1) Uncertainty due to monitor reaction and        A1475  1   26 
           error in current integrator.                           A1475  1   27 
HISTORY    (19810807C) Compilation produced by RFNC-VNIIEF Sarov  A1475  1   28 
           (19970922A) Subent A1475004 is corrected.              A1475  1   29 
           (19970923U) Last checking has been done.               A1475  1   30 
           (19990321U)CNPD: corrected 4-dig. year and lower cases.A1475  1   31 
           (20240204A) SD: Corrections in all Subents.            A1475  1   32 
ENDBIB              30          0                                 A1475  1   33 
COMMON               1          3                                 A1475  1   34 
ERR-1                                                             A1475  1   35 
PER-CENT                                                          A1475  1   36 
     5.                                                           A1475  1   37 
ENDCOMMON            3          0                                 A1475  1   38 
ENDSUBENT           37          0                                 A1475  199999 
SUBENT        A1475002   20240204                             A108A1475  2    1 
BIB                  5          7                                 A1475  2    2 
REACTION   (3-LI-7(P,A)2-HE-4,,DA,,REL)                           A1475  2    3 
            Counts per unit monitor reading                       A1475  2    4 
ERR-ANALYS (ERR-S) Statistical error                              A1475  2    5 
COMMENT    The angular distributions obtained at Saclay           A1475  2    6 
STATUS     (CURVE,,Y.Cassagnou+,J,NP,33,449,1962) Fig 2           A1475  2    7 
HISTORY    (20240204A) SD: SF9=EXP deleted from REACTION code.    A1475  2    8 
           ANG-ERR -> ANG-ERR-D; DATA-ERR -> ERR-S.               A1475  2    9 
ENDBIB               7          0                                 A1475  2   10 
COMMON               1          3                                 A1475  2   11 
ANG-ERR-D                                                         A1475  2   12 
ADEG                                                              A1475  2   13 
        0.7                                                       A1475  2   14 
ENDCOMMON            3          0                                 A1475  2   15 
DATA                 4        263                                 A1475  2   16 
EN         ANG-CM     DATA-CM    ERR-S                            A1475  2   17 
MEV        ADEG       ARB-UNITS  ARB-UNITS                        A1475  2   18 
         2.       62.2      0.874      0.029                      A1475  2   19 
         2.       71.7      0.816      0.030                      A1475  2   20 
         2.       81.9      0.738      0.030                      A1475  2   21 
         2.       93.7      0.730      0.029                      A1475  2   22 
         2.       99.5      0.750      0.029                      A1475  2   23 
         2.      101.5      0.741      0.020                      A1475  2   24 
         2.      112.8      0.822      0.030                      A1475  2   25 
         2.      115.9      0.961      0.030                      A1475  2   26 
         2.      121.7      0.982      0.030                      A1475  2   27 
         2.      127.4      1.012      0.030                      A1475  2   28 
         2.      129.2      1.042      0.040                      A1475  2   29 
         2.      136.8      1.093      0.040                      A1475  2   30 
         2.      140.4      1.143      0.020                      A1475  2   31 
         2.      143.9      1.213      0.030                      A1475  2   32 
         2.      147.8      1.224      0.050                      A1475  2   33 
         2.      153.5      1.254      0.030                      A1475  2   34 
         2.      157.4      1.255      0.040                      A1475  2   35 
         2.      161.0      1.305      0.030                      A1475  2   36 
         2.      165.1      1.286      0.030                      A1475  2   37 
         2.      170.6      1.356      0.040                      A1475  2   38 
         3.       93.2      0.796      0.005                      A1475  2   39 
         3.       97.4      0.756      0.005                      A1475  2   40 
         3.      102.0      0.647      0.005                      A1475  2   41 
         3.      107.4      0.718      0.005                      A1475  2   42 
         3.      113.3      0.719      0.005                      A1475  2   43 
         3.      115.6      0.669      0.005                      A1475  2   44 
         3.      121.4      0.670      0.005                      A1475  2   45 
         3.      125.7      0.621      0.005                      A1475  2   46 
         3.      131.8      0.582      0.005                      A1475  2   47 
         3.      134.0      0.542      0.005                      A1475  2   48 
         3.      141.9      0.533      0.005                      A1475  2   49 
         3.      144.0      0.503      0.005                      A1475  2   50 
         3.      148.0      0.484      0.005                      A1475  2   51 
         3.      154.0      0.448      0.005                      A1475  2   52 
         3.      158.1      0.446      0.005                      A1475  2   53 
         3.      162.0      0.436      0.005                      A1475  2   54 
         3.      166.1      0.417      0.005                      A1475  2   55 
         3.      169.9      0.427      0.005                      A1475  2   56 
       3.55       87.0      0.730      0.030                      A1475  2   57 
       3.55       92.8      0.731      0.020                      A1475  2   58 
       3.55       96.9      0.711      0.020                      A1475  2   59 
       3.55      102.7      0.712      0.020                      A1475  2   60 
       3.55      105.1      0.653      0.030                      A1475  2   61 
       3.55      111.2      0.604      0.004                      A1475  2   62 
       3.55      117.3      0.566      0.004                      A1475  2   63 
       3.55      121.6      0.517      0.004                      A1475  2   64 
       3.55      127.6      0.488      0.004                      A1475  2   65 
       3.55      131.6      0.469      0.004                      A1475  2   66 
       3.55      135.8      0.420      0.004                      A1475  2   67 
       3.55      140.1      0.371      0.004                      A1475  2   68 
       3.55      145.8      0.391      0.004                      A1475  2   69 
       3.55      148.4      0.293      0.004                      A1475  2   70 
       3.55      152.4      0.264      0.004                      A1475  2   71 
       3.55      158.4      0.244      0.004                      A1475  2   72 
       3.55      160.5      0.225      0.004                      A1475  2   73 
       3.55      166.5      0.206      0.004                      A1475  2   74 
       3.55      172.5      0.187      0.004                      A1475  2   75 
       3.65       85.7      0.774      0.020                      A1475  2   76 
