ENTRY            A1493   20110819                             A074A149300000001 
SUBENT        A1493001   20110819                             A074A149300100001 
BIB                 11         18                                 A149300100002 
INSTITUTE  (2FR STR)                                              A149300100003 
REFERENCE  (J,JPR,30,(1),17,196901)                               A149300100004 
AUTHOR     (I.Linck,R.Bilwes,L.Kraus,R.Seltz,D.Magnac-Valette)    A149300100005 
TITLE      Investigation of the five first excited states of 6Li  A149300100006 
FACILITY   (VDG,2FR STR) Double charged He3 ions.                 A149300100007 
SAMPLE     Enriched 7Li evaporated on formvar                     A149300100008 
METHOD     (PHD)                                                  A149300100009 
DETECTOR   (SOLST) 7 semiconductor detectors                      A149300100010 
           and one detector at 90 degr. for normalization         A149300100011 
MONITOR    (3-LI-7(HE3,A)3-LI-6,,DA)                              A149300100012 
MONIT-REF  (A1486001,Forsith+,J,NP,67,517,1965)                   A149300100013 
HISTORY    (19800811C) Compilation Produced by RFNC-VNIIEF Sarov  A149300100014 
           (19990321U)CNPD: corrected 4-dig. year and lower cases.A149300100015 
           (20110819A) SD: from Subent 002 one point was deleted -A149300100016 
           wasn't belong to the dataset presented on fig.         A149300100017 
           SF9=EXP deleted from REACTION code in Subent 002-004.  A149300100018 
           Titles of digitizing errors changed according to Dict. A149300100019 
           E-LVL was added to Subent 002.                         A149300100020 
ENDBIB              18          0                                 A149300100021 
NOCOMMON             0          0                                 A149300100022 
ENDSUBENT           21          0                                 A149300199999 
SUBENT        A1493002   20110819                             A074A149300200001 
BIB                  4          7                                 A149300200002 
REACTION   (3-LI-7(HE3,A)3-LI-6,PAR,DA)                           A149300200003 
ERR-ANALYS (ANG-ERR-D) Digitizing error                           A149300200004 
           (DATA-ERR) From graphic bars (statistical)             A149300200005 
           and digitizing error                                   A149300200006 
STATUS     (CURVE) Fig 4                                          A149300200007 
HISTORY    (20110819A) SD: one point was deleted - wasn't belong  A149300200008 
            to the dataset presented on fig. 4. E-LVL was added.  A149300200009 
ENDBIB               7          0                                 A149300200010 
COMMON               2          3                                 A149300200011 
ANG-ERR-D  E-LVL                                                  A149300200012 
ADEG       MEV                                                    A149300200013 
  1.0       0.0                                                   A149300200014 
ENDCOMMON            3          0                                 A149300200015 
DATA                 4        176                                 A149300200016 
EN         ANG-CM     DATA-CM    DATA-ERR                         A149300200017 
MEV        ADEG       MB/SR      MB/SR                            A149300200018 
        5.5       20.4      1.772      0.205                      A149300200019 
        5.5       25.1      1.658      0.205                      A149300200020 
        5.5       32.5      1.544      0.159                      A149300200021 
        5.5       44.5      1.317      0.159                      A149300200022 
        5.5       49.1      1.135      0.136                      A149300200023 
        5.5       54.7      1.271      0.136                      A149300200024 
        5.5       65.8      0.907      0.227                      A149300200025 
        5.5       70.4      0.907      0.114                      A149300200026 
        5.5       78.7      0.816      0.068                      A149300200027 
        5.5       88.0      0.633      0.091                      A149300200028 
        5.5       94.5      0.610      0.068                      A149300200029 
        5.5       99.1      0.724      0.136                      A149300200030 
        5.5      128.8      0.814      0.137                      A149300200031 
        5.5      132.5      1.018      0.068                      A149300200032 
        5.5      136.2      1.132      0.136                      A149300200033 
        5.5      149.2      1.904      0.227                      A149300200034 
        5.5      151.1      2.086      0.273                      A149300200035 
        5.5      162.2      2.813      0.273                      A149300200036 
        5.5      165.9      2.994      0.409                      A149300200037 
        5.5      169.7      3.176      0.455                      A149300200038 
        5.5      177.1      3.312      0.341                      A149300200039 
        5.8       21.6      0.978      0.230                      A149300200040 
        5.8       27.1      1.054      0.172                      A149300200041 
        5.8       32.7      1.130      0.172                      A149300200042 
        5.8       39.2      1.015      0.077                      A149300200043 
        5.8       45.6      0.861      0.191                      A149300200044 
        5.8       51.2      0.899      0.115                      A149300200045 
        5.8       56.7      0.899      0.230                      A149300200046 
        5.8       62.3      0.746      0.077                      A149300200047 
        5.8       66.0      0.592      0.134                      A149300200048 
        5.8       73.4      0.592      0.077                      A149300200049 
        5.8       78.9      0.553      0.077                      A149300200050 
        5.8       84.5      0.476      0.268                      A149300200051 
        5.8       90.0      0.438      0.077                      A149300200052 
        5.8       95.6      0.476      0.038                      A149300200053 
        5.8      101.1      0.226      0.364                      A149300200054 
        5.8      106.7      0.513  1.056E-04                      A149300200055 
        5.8      126.2      0.589      0.019                      A149300200056 
        5.8      129.0      0.665      0.077                      A149300200057 
        5.8      132.7      0.703      0.115                      A149300200058 
        5.8      136.4      0.760      0.172                      A149300200059 
        5.8      142.0      0.818      0.077                      A149300200060 
