ENTRY            A1509   20040216                             0000A150900000001 
SUBENT        A1509001   20040216                             0000A150900100001 
BIB                  9         14                                 A150900100002 
INSTITUTE  (1USAVIR)                                              A150900100003 
REFERENCE  (J,NP/A,169,131,197106)                                A150900100004 
AUTHOR     (S.T.THORNTON,C.L.MORRIS,J.R.SMITH,R.P.FOGEL)          A150900100005 
TITLE      7Li(p,n)7Be neutron polarization measurements for      A150900100006 
            Ep=3.0 to 5.5 MeV                                     A150900100007 
FACILITY   (VDG)                                                  A150900100008 
SAMPLE     Targets were made by evaporating Li from LiH onto Ta   A150900100009 
           backings                                               A150900100010 
METHOD     (TOF)                                                  A150900100011 
DETECTOR   (SCIN) Rectangular NE102 plastic scintillators: 15 cm  A150900100012 
           high, 5 cm wide and 7.5 cm deep.                       A150900100013 
HISTORY    (19800813C) Compilation produced by RFNC-VNIIEF Sarov  A150900100014 
           (19990323U)CNPD: corrected 4-dig. year and lower cases.A150900100015 
           (20040216A)Change of E-LVL in sub-002                  A150900100016 
ENDBIB              14          0                                 A150900100017 
NOCOMMON             0          0                                 A150900100018 
ENDSUBENT           17          0                                 A150900199999 
SUBENT        A1509002   20040216                             0000A150900200001 
BIB                  4          6                                 A150900200002 
REACTION   (3-LI-7(P,N)4-BE-7,PAR,DA,,LEG,CALC)                   A150900200003 
COMMENT    Differential cross section data taken from Bevington P.A150900200004 
           Rolland W.W.,Lewis H.W. and Borchers R.R.,Poppe C.H.   A150900200005 
REL-REF    (R,A1480001,BEVINGTON+,J,PR,121,(3),871,196102)        A150900200006 
           (R,A1514001,BORCHERS+,J,PR,129,(6),2679,196303)        A150900200007 
STATUS     (TABLE) Table 2                                        A150900200008 
ENDBIB               6          0                                 A150900200009 
NOCOMMON             0          0                                 A150900200010 
DATA                 4         42                                 A150900200011 
E-LVL      EN         NUMBER-CM  DATA-CM                          A150900200012 
MEV        MEV        NO-DIM     MB/SR                            A150900200013 
 0.0000     3.0000     0.0000     19.530                          A150900200014 
 0.0000     3.0000     1.0000     10.910                          A150900200015 
 0.0000     3.0000     2.0000     1.2030                          A150900200016 
 0.0000     3.5000     0.0000     19.520                          A150900200017 
 0.0000     3.5000     1.0000     9.8610                          A150900200018 
 0.0000     3.5000     2.0000     3.4190                          A150900200019 
 0.0000     4.0000     0.0000     18.720                          A150900200020 
 0.0000     4.0000     1.0000     2.4890                          A150900200021 
 0.0000     4.0000     2.0000     4.1540                          A150900200022 
 0.0000     4.5000     0.0000     25.000                          A150900200023 
 0.0000     4.5000     1.0000     1.5870                          A150900200024 
 0.0000     4.5000     2.0000     13.470                          A150900200025 
 0.0000     4.5000     3.0000    -6.1220                          A150900200026 
 0.0000     5.0000     0.0000     28.330                          A150900200027 
 0.0000     5.0000     1.0000    -1.9050                          A150900200028 
 0.0000     5.0000     2.0000     19.750                          A150900200029 
 0.0000     5.0000     3.0000    -3.6490                          A150900200030 
 0.0000     5.5000     0.0000     22.580                          A150900200031 
 0.0000     5.5000     1.0000    -1.9490                          A150900200032 
 0.0000     5.5000     2.0000     10.780                          A150900200033 
 0.0000     5.5000     3.0000    0.60700                          A150900200034 
0.43200     3.0000     0.0000     3.1910                          A150900200035 
0.43200     3.0000     1.0000    0.26600                          A150900200036 
0.43200     3.0000     2.0000    -.74400                          A150900200037 
0.43200     3.5000     0.0000     5.0500                          A150900200038 
0.43200     3.5000     1.0000    -1.3820                          A150900200039 
0.43200     3.5000     2.0000    -.22400                          A150900200040 
0.43200     4.0000     0.0000     4.1010                          A150900200041 
0.43200     4.0000     1.0000    -1.5870                          A150900200042 
0.43200     4.0000     2.0000    0.54100                          A150900200043 
0.43200     4.5000     0.0000     4.2760                          A150900200044 
0.43200     4.5000     1.0000    -2.6330                          A150900200045 
0.43200     4.5000     2.0000     2.6690                          A150900200046 
0.43200     4.5000     3.0000    -1.0860                          A150900200047 
0.43200     5.0000     0.0000     4.4630                          A150900200048 
0.43200     5.0000     1.0000    -2.5610                          A150900200049 
0.43200     5.0000     2.0000     3.1960                          A150900200050 
0.43200     5.0000     3.0000    -1.3210                          A150900200051 
0.43200     5.5000     0.0000     3.6350                          A150900200052 
0.43200     5.5000     1.0000    -.30100                          A150900200053 
0.43200     5.5000     2.0000     2.1500                          A150900200054 
0.43200     5.5000     3.0000    -.97800                          A150900200055 
ENDDATA             44          0                                 A150900200056 
ENDSUBENT           55          0                                 A150900299999 
ENDENTRY             2          0                                 A150999999999 
