ENTRY            A1536   20160707                             A085A1536  0    1 
SUBENT        A1536001   20160707                             A085A1536  1    1 
BIB                 10         21                                 A1536  1    2 
INSTITUTE  (2SWTETH)                                              A1536  1    3 
REFERENCE  (J,NP/A,286,115,1977)                                  A1536  1    4 
           #doi:10.1016/0375-9474(77)90011-2                      A1536  1    5 
AUTHOR     (R.Risler,W.Gruebler,A.A.Debenham,V.Koenig,            A1536  1    6 
           P.A.Schmelzbach,D.O.Boerma)                            A1536  1    7 
TITLE      Investigation of the 6Li(d,alpha)4He reaction between  A1536  1    8 
           1.5 and 11.5 MeV.                                      A1536  1    9 
FACILITY   (VDGT,2SWTETH)                                         A1536  1   10 
SAMPLE     6Li (96%) self-supporting Li targets with thickness    A1536  1   11 
           between 270 and 3000 mu-g/cm**2.                       A1536  1   12 
DETECTOR   (SOLST) 8 detectors are mounted on two turntable       A1536  1   13 
           segments which can be rotated independently by remote  A1536  1   14 
           control.                                               A1536  1   15 
INC-SOURCE (POLIS) Target current was 90 nA.                      A1536  1   16 
ERR-ANALYS (ERR-1) The uncertainty in the target thickness        A1536  1   17 
HISTORY    (19800820C) Compilation produced by RFNC-VNIIEF Sarov  A1536  1   18 
           (19990323U)CNPD: corrected 4-dig. year and lower cases.A1536  1   19 
           (20160707A) Recompiled. In sub 001 FACILITY,           A1536  1   20 
           REFERENCE corrected, INC-SOURCE added. In sub 002-003  A1536  1   21 
           SAMPLE was added. Data from sub 003 were redigitized.  A1536  1   22 
           Sub 004-053 were added.                                A1536  1   23 
ENDBIB              21          0                                 A1536  1   24 
COMMON               1          3                                 A1536  1   25 
ERR-1                                                             A1536  1   26 
PER-CENT                                                          A1536  1   27 
        20.                                                       A1536  1   28 
ENDCOMMON            3          0                                 A1536  1   29 
ENDSUBENT           28          0                                 A1536  199999 
SUBENT        A1536002   20160707                             A085A1536  2    1 
BIB                  4          9                                 A1536  2    2 
REACTION   (3-LI-6(D,A)2-HE-4,,DA)                                A1536  2    3 
SAMPLE     Targets were evaporated onto 2.2 mg/cm2 thick Ni foil  A1536  2    4 
           or thin carbon foil.                                   A1536  2    5 
           For EN>5 MeV 6Li thickness was 630 mu-g/cm2,           A1536  2    6 
           for EN<5 MeV 6Li thicknesses were 380 and 280 mu-g/cm2.A1536  2    7 
ERR-ANALYS (ANG-ERR-D) Angle digitizing error                     A1536  2    8 
           (ERR-DIG)   Data digitizing error (the dots are larger A1536  2    9 
           than the statistical errors)                           A1536  2   10 
STATUS     (CURVE) Fig.1                                          A1536  2   11 
ENDBIB               9          0                                 A1536  2   12 
COMMON               1          3                                 A1536  2   13 
ANG-ERR-D                                                         A1536  2   14 
ADEG                                                              A1536  2   15 
        0.5                                                       A1536  2   16 
ENDCOMMON            3          0                                 A1536  2   17 
DATA                 4        244                                 A1536  2   18 
EN         ANG-CM     DATA-CM    ERR-DIG                          A1536  2   19 
MEV        ADEG       MB/SR      MB/SR                            A1536  2   20 
         1.      9.733       2.58      0.059                      A1536  2   21 
         1.      14.88      2.507      0.059                      A1536  2   22 
         1.      20.03      2.507      0.059                      A1536  2   23 
         1.      25.17      2.508      0.059                      A1536  2   24 
         1.      31.06      2.361      0.059                      A1536  2   25 
         1.      36.22      2.288      0.059                      A1536  2   26 
         1.      41.37      2.178      0.059                      A1536  2   27 
         1.      44.31      2.031      0.059                      A1536  2   28 
         1.      47.25      2.105      0.059                      A1536  2   29 
         1.      51.67      1.959      0.059                      A1536  2   30 
         1.       60.5      1.849      0.059                      A1536  2   31 
         1.      64.18       1.85      0.059                      A1536  2   32 
         1.      68.59      1.813      0.059                      A1536  2   33 
         1.      72.26      1.814      0.059                      A1536  2   34 
         1.      75.94      1.778      0.059                      A1536  2   35 
         1.      79.62      1.741      0.059                      A1536  2   36 
        1.5      8.578      2.063     0.0574                      A1536  2   37 
        1.5      13.73      1.991     0.0574                      A1536  2   38 
        1.5      18.88      1.955     0.0574                      A1536  2   39 
        1.5      24.76      1.883     0.0574                      A1536  2   40 
        1.5      30.65      1.775     0.0574                      A1536  2   41 
        1.5       35.8      1.703     0.0574                      A1536  2   42 
        1.5      40.95      1.595     0.0574                      A1536  2   43 
        1.5      43.89      1.523     0.0574                      A1536  2   44 
        1.5      47.57      1.487     0.0574                      A1536  2   45 
        1.5      52.72      1.379     0.0574                      A1536  2   46 
        1.5      60.81      1.235     0.0574                      A1536  2   47 
        1.5      63.76      1.199     0.0574                      A1536  2   48 
        1.5      68.17        1.2     0.0574                      A1536  2   49 
        1.5      72.58      1.164     0.0574                      A1536  2   50 
        1.5      76.99      1.128     0.0574                      A1536  2   51 
        1.5      80.67      1.129     0.0574                      A1536  2   52 
         2.      7.618      2.023     0.0597                      A1536  2   53 
         2.      13.51      1.916     0.0597                      A1536  2   54 
         2.       19.4      1.809     0.0597                      A1536  2   55 
         2.      24.55      1.739     0.0597                      A1536  2   56 
         2.      29.71      1.596     0.0597                      A1536  2   57 
         2.       35.6      1.489     0.0597                      A1536  2   58 
         2.      40.75      1.454     0.0597                      A1536  2   59 
         2.      43.71      1.239     0.0597                      A1536  2   60 
         2.      47.38      1.311     0.0597                      A1536  2   61 
         2.      52.53      1.204     0.0597                      A1536  2   62 
         2.      60.63      1.026     0.0597                      A1536  2   63 
         2.      65.04      1.027     0.0597                      A1536  2   64 
         2.      68.72     0.9918     0.0597                      A1536  2   65 
         2.      73.13     0.9926     0.0597                      A1536  2   66 
         2.      76.81     0.9573     0.0597                      A1536  2   67 
         2.      81.23     0.9222     0.0597                      A1536  2   68 
        2.5      7.274      2.012     0.0604                      A1536  2   69 
        2.5      13.15      2.013     0.0604                      A1536  2   70 
        2.5      19.04      1.903     0.0604                      A1536  2   71 
        2.5      24.93      1.792     0.0604                      A1536  2   72 
        2.5      30.09      1.607     0.0604                      A1536  2   73 
        2.5      35.98      1.497     0.0604                      A1536  2   74 
        2.5       40.4      1.349     0.0604                      A1536  2   75 
        2.5      44.81      1.349     0.0604                      A1536  2   76 
        2.5      47.76      1.238     0.0604                      A1536  2   77 
        2.5      52.91      1.128     0.0604                      A1536  2   78 
        2.5      60.27      1.054     0.0604                      A1536  2   79 
        2.5      63.95     0.9436     0.0604                      A1536  2   80 
        2.5      68.36     0.9443     0.0604                      A1536  2   81 
        2.5      73.51      0.908     0.0604                      A1536  2   82 
        2.5      77.19     0.8343     0.0604                      A1536  2   83 
        2.5       81.6     0.8722     0.0604                      A1536  2   84 
         3.      8.215      2.316     0.0602                      A1536  2   85 
         3.      14.11      2.171     0.0602                      A1536  2   86 
         3.      20.73      2.099     0.0602                      A1536  2   87 
         3.      25.15      1.917     0.0602                      A1536  2   88 
         3.      31.04      1.808     0.0602                      A1536  2   89 
         3.      36.93      1.662     0.0602                      A1536  2   90 
         3.      42.82      1.627     0.0602                      A1536  2   91 
         3.      45.76      1.554     0.0602                      A1536  2   92 
         3.      48.71      1.444     0.0602                      A1536  2   93 
         3.      53.86      1.485     0.0602                      A1536  2   94 
         3.      58.27       1.41     0.0602                      A1536  2   95 
         3.      61.22       1.42     0.0602                      A1536  2   96 
         3.      67.84      1.265     0.0602                      A1536  2   97 
         3.      70.78      1.229     0.0602                      A1536  2   98 
         3.      74.46      1.156     0.0602                      A1536  2   99 
         3.      78.87      1.193     0.0602                      A1536  2  100 
         3.      81.82      1.157     0.0602                      A1536  2  101 
         3.       85.5      1.121     0.0602                      A1536  2  102 
        3.5      8.409      2.631     0.0614                      A1536  2  103 
        3.5       14.3      2.558     0.0614                      A1536  2  104 
        3.5      20.18      2.486     0.0614                      A1536  2  105 
        3.5      26.07      2.375     0.0614                      A1536  2  106 
        3.5      31.23      2.191     0.0614                      A1536  2  107 
        3.5      37.86      2.118     0.0614                      A1536  2  108 
        3.5        43.      2.194     0.0614                      A1536  2  109 
        3.5      46.68      2.083     0.0614                      A1536  2  110 
        3.5       48.9      1.972     0.0614                      A1536  2  111 
        3.5      54.78      1.974     0.0614                      A1536  2  112 
        3.5      62.86      1.975     0.0614                      A1536  2  113 
        3.5      67.28      1.865     0.0614                      A1536  2  114 
        3.5      70.96      1.903     0.0614                      A1536  2  115 
        3.5      75.37      1.829     0.0614                      A1536  2  116 
        3.5      79.77      1.979     0.0614                      A1536  2  117 
        3.5      83.46      1.868     0.0614                      A1536  2  118 
         4.      8.771      1.826     0.0382                      A1536  2  119 
         4.      14.63      1.718     0.0382                      A1536  2  120 
         4.      21.22      1.719     0.0382                      A1536  2  121 
         4.       27.8       1.72     0.0382                      A1536  2  122 
         4.      33.66      1.758     0.0382                      A1536  2  123 
         4.      38.78      1.722     0.0382                      A1536  2  124 
         4.      44.62      1.905     0.0382                      A1536  2  125 
         4.      48.27      1.978     0.0382                      A1536  2  126 
         4.      51.94      1.943     0.0382                      A1536  2  127 
         4.      57.78      2.017     0.0382                      A1536  2  128 
         4.       60.7      2.162     0.0382                      A1536  2  129 
         4.       65.1      2.054     0.0382                      A1536  2  130 
         4.      69.48      2.201     0.0382                      A1536  2  131 
         4.      73.13      2.238     0.0382                      A1536  2  132 
         4.      77.52      2.275     0.0382                      A1536  2  133 
         4.      80.45      2.239     0.0382                      A1536  2  134 
         4.      84.84      2.276     0.0382                      A1536  2  135 
        4.5      8.864     0.8908     0.0393                      A1536  2  136 
        4.5      14.72      0.892     0.0393                      A1536  2  137 
        4.5      20.57     0.9673     0.0393                      A1536  2  138 
