ENTRY            C0064   20040310                             0000C006400000001 
SUBENT        C0064001   20040310                             0000C006400100001 
BIB                 12         25                                 C006400100002 
INSTITUTE  (2GERMUN)                                              C006400100003 
REFERENCE  (J,NP/A,465,291,1987)                                  C006400100004 
AUTHOR     (R.Plaga,H.W.Becker,A.Redder,C.Rolfs,H.P.Trautvetter)  C006400100005 
TITLE      The scattering of alpha particles from 12C and the     C006400100006 
            12C(alpha,gamma) stellar reaction rate                C006400100007 
FACILITY   (DYNAM,2GERBOC)                                        C006400100008 
INC-SPECT  Effective energy at center of target determined from   C006400100009 
            known target thickness and stopping powers.           C006400100010 
SAMPLE     Self-supporting carbon targets, 17 - 37 microg/cm2,    C006400100011 
            of carbon powder, enriched to 99.96% 12C, and         C006400100012 
            evaporated onto organic backing.  A gold layer was    C006400100013 
            evaporated over the carbon layer with a thickness     C006400100014 
            of about 20% of the carbon layer.                     C006400100015 
           Target impurities (in mole % relative to 12C):         C006400100016 
            13C (0.05), 14N (1.0), and 16O (0.6), plus a small    C006400100017 
            amount of 28Si.                                       C006400100018 
DETECTOR   (SOLST) Surface-barrier detectors                      C006400100019 
MONITOR    (79-AU-197(A,EL)79-AU-197,,DA)                         C006400100020 
ERR-ANALYS (ERR-T) Total uncertainty includes system and          C006400100021 
            statistical uncertainties.  See article for a         C006400100022 
            complete discussion of contributions.                 C006400100023 
STATUS     Data received from G. Hale, and were taken from        C006400100024 
            thesis of R. Plaga (1986).                            C006400100025 
HISTORY    (19970417C)                                            C006400100026 
           (20040310A) Converted to new date formats.             C006400100027 
ENDBIB              25          0                                 C006400100028 
NOCOMMON             0          0                                 C006400100029 
ENDSUBENT           28          0                                 C006400199999 
SUBENT        C0064002   19970417                             0000C006400200001 
BIB                  1          1                                 C006400200002 
REACTION   (6-C-12(A,EL)6-C-12,,DA)                               C006400200003 
ENDBIB               1          0                                 C006400200004 
NOCOMMON             0          0                                 C006400200005 
DATA                 4       1617                                 C006400200006 
EN         ANG        DATA       ERR-T                            C006400200007 
MEV        ADEG       MB/SR      MB/SR                            C006400200008 
 1.466      46.1720    3774.720   117.658                         C006400200009 
 1.466      52.1760    2405.939    73.547                         C006400200010 
 1.466      59.1910    1502.000    49.828                         C006400200011 
 1.466      67.1840     952.233    11.841                         C006400200012 
 1.466      68.2070     871.422    14.237                         C006400200013 
 1.466      73.1910     681.209     8.158                         C006400200014 
 1.466      77.2170     545.012    12.343                         C006400200015 
 1.466      82.1970     450.993     5.280                         C006400200016 
 1.466      83.2210     427.335    13.380                         C006400200017 
 1.466      91.1990     319.131     4.500                         C006400200018 
 1.466      92.2220     306.371     3.347                         C006400200019 
 1.466      97.2210     253.143     4.243                         C006400200020 
 1.466      98.1970     248.632     2.780                         C006400200021 
 1.466      99.2200     242.225     3.628                         C006400200022 
 1.466      103.217     211.704     3.119                         C006400200023 
 1.466      108.211     182.832     2.474                         C006400200024 
 1.466      112.206     160.830     2.210                         C006400200025 
 1.466      112.206     168.748     1.944                         C006400200026 
 1.466      117.198     142.060     2.400                         C006400200027 
 1.466      119.194     134.931     2.354                         C006400200028 
 1.466      121.190     122.660     2.242                         C006400200029 
 1.466      123.186     123.320     2.688                         C006400200030 
 1.466      128.175     110.522     1.667                         C006400200031 
 1.466      132.165     100.782     1.317                         C006400200032 
 1.466      137.151      94.116     1.796                         C006400200033 
 1.466      139.146      90.366     2.000                         C006400200034 
 1.466      143.133      88.348     2.075                         C006400200035 
 1.466      148.118      80.968     1.459                         C006400200036 
 1.466      157.087      76.371     1.754                         C006400200037 
 1.466      163.065      67.995     2.030                         C006400200038 
 1.973      58.8100     801.795    28.986                         C006400200039 
 1.973      66.8170     520.439     7.733                         C006400200040 
 1.973      67.7940     470.620     9.410                         C006400200041 
 1.973      72.8100     380.066     6.652                         C006400200042 
 1.973      76.7830     291.368    13.522                         C006400200043 
 1.973      81.8030     250.550     3.388                         C006400200044 
 1.973      82.7790     237.251    10.111                         C006400200045 
 1.973      90.8010     178.950     2.655                         C006400200046 
 1.973      91.7780     171.939     2.542                         C006400200047 
 1.973      96.7790     142.501     2.924                         C006400200048 
 1.973      97.8030     139.716     2.212                         C006400200049 
 1.973      98.7800     133.831     2.087                         C006400200050 
 1.973      102.783     119.805     3.007                         C006400200051 
 1.973      107.788      99.983     1.613                         C006400200052 
 1.973      111.793      90.542     1.495                         C006400200053 
 1.973      111.793      92.395     1.601                         C006400200054 
 1.973      116.801      79.390     2.367                         C006400200055 
 1.973      118.805      77.521     1.400                         C006400200056 
 1.973      120.809      70.420     1.310                         C006400200057 
 1.973      122.813      67.156     1.879                         C006400200058 
 1.973      127.824      61.190     1.124                         C006400200059 
 1.973      131.834      58.693     1.205                         C006400200060 
 1.973      136.848      52.646     1.851                         C006400200061 
 1.973      138.854      49.768     1.063                         C006400200062 
 1.973      142.866      48.067     1.510                         C006400200063 
 1.973      147.882      43.936     0.935                         C006400200064 
 1.973      156.913      40.439     1.670                         C006400200065 
 1.973      162.935      37.443     1.368                         C006400200066 
 2.067      52.1760    1162.489    36.802                         C006400200067 
 2.067      59.1910     710.981    22.662                         C006400200068 
 2.067      67.1840     447.109     4.950                         C006400200069 
 2.067      68.2070     426.405     7.815                         C006400200070 
 2.067      73.1910     330.744     3.746                         C006400200071 
 2.067      77.2170     273.215     5.232                         C006400200072 
 2.067      82.1970     223.274     2.770                         C006400200073 
 2.067      83.2210     205.650     4.456                         C006400200074 
 2.067      91.1990     155.454     1.972                         C006400200075 
 2.067      92.2220     149.197     1.951                         C006400200076 
 2.067      97.2210     125.057     1.610                         C006400200077 
 2.067      98.1970     122.577     1.711                         C006400200078 
 2.067      99.2200     117.991     1.552                         C006400200079 
 2.067      103.217     104.188     1.376                         C006400200080 
 2.067      108.211      87.462     1.298                         C006400200081 
 2.067      112.206      79.413     1.206                         C006400200082 
 2.067      112.206      79.773     1.212                         C006400200083 
 2.067      117.198      69.871     1.017                         C006400200084 
 2.067      119.194      66.613     0.995                         C006400200085 
 2.067      121.190      62.449     0.952                         C006400200086 
 2.067      123.186      60.680     0.934                         C006400200087 
 2.067      128.175      54.100     0.921                         C006400200088 
 2.067      132.165      49.508     0.943                         C006400200089 
 2.067      137.151      45.454     0.743                         C006400200090 
 2.067      139.146      42.945     0.804                         C006400200091 
 2.067      143.133      41.892     0.718                         C006400200092 
 2.067      148.118      38.550     0.805                         C006400200093 
 2.067      157.087      34.345     0.673                         C006400200094 
 2.067      163.065      31.751     0.650                         C006400200095 
 2.073      58.8100     727.654    24.013                         C006400200096 
 2.073      66.8170     477.206     5.281                         C006400200097 
 2.073      67.7940     430.252     7.767                         C006400200098 
 2.073      72.8100     347.000     4.013                         C006400200099 
 2.073      76.7830     286.771     6.244                         C006400200100 
 2.073      81.8030     228.896     2.790                         C006400200101 
 2.073      82.7790     225.763     5.229                         C006400200102 
 2.073      90.8010     159.843     2.170                         C006400200103 
 2.073      91.7780     160.279     2.146                         C006400200104 
 2.073      96.7790     128.838     1.665                         C006400200105 
 2.073      98.7800     121.803     1.726                         C006400200106 
 2.073      102.783     107.068     1.478                         C006400200107 
 2.073      107.788      92.911     1.330                         C006400200108 
 2.073      111.793      81.181     1.187                         C006400200109 
 2.073      111.793      82.945     1.294                         C006400200110 
 2.073      116.801      71.349     1.100                         C006400200111 
 2.073      118.805      68.799     1.144                         C006400200112 
 2.073      120.809      63.007     1.062                         C006400200113 
 2.073      122.813      61.610     0.953                         C006400200114 
 2.073      127.824      57.391     0.930                         C006400200115 
 2.073      131.834      52.527     0.970                         C006400200116 
 2.073      136.848      47.088     0.811                         C006400200117 
 2.073      138.854      45.814     0.887                         C006400200118 
 2.073      142.866      43.487     0.744                         C006400200119 
 2.073      147.882      39.847     0.748                         C006400200120 
 2.073      156.913      36.482     0.717                         C006400200121 
 2.073      162.935      33.779     0.653                         C006400200122 
 2.272      58.8100     572.032    18.746                         C006400200123 
 2.272      66.8170     387.818     4.315                         C006400200124 
 2.272      67.7940     349.401     6.413                         C006400200125 
 2.272      72.8100     286.842     3.293                         C006400200126 
 2.272      76.7830     236.971     4.809                         C006400200127 
 2.272      81.8030     186.307     2.333                         C006400200128 
 2.272      82.7790     183.233     4.061                         C006400200129 
 2.272      90.8010     131.727     1.784                         C006400200130 
 2.272      91.7780     124.495     1.683                         C006400200131 
 2.272      96.7790     107.923     1.407                         C006400200132 
 2.272      97.8030     100.704     1.463                         C006400200133 
 2.272      98.7800      98.302     1.383                         C006400200134 
 2.272      102.783      87.194     1.185                         C006400200135 
 2.272      107.788      73.198     1.089                         C006400200136 
 2.272      111.793      64.867     0.997                         C006400200137 
 2.272      111.793      65.726     1.047                         C006400200138 
 2.272      116.801      58.101     0.875                         C006400200139 
 2.272      118.805      52.757     0.864                         C006400200140 
 2.272      120.809      48.666     0.822                         C006400200141 
 2.272      122.813      49.846     0.782                         C006400200142 
 2.272      127.824      43.986     0.749                         C006400200143 
 2.272      131.834      39.299     0.756                         C006400200144 
 2.272      136.848      37.044     0.630                         C006400200145 
 2.272      138.854      34.631     0.671                         C006400200146 
 2.272      142.866      33.596     0.588                         C006400200147 
 2.272      147.882      30.642     0.608                         C006400200148 
 2.272      156.913      28.260     0.546                         C006400200149 
 2.272      162.935      26.894     0.537                         C006400200150 
 2.493      58.8100     450.717    14.583                         C006400200151 
 2.493      66.8170     307.177     3.370                         C006400200152 
 2.493      67.7940     288.854     5.121                         C006400200153 
 2.493      72.8100     231.833     2.634                         C006400200154 
 2.493      76.7830     194.231     3.858                         C006400200155 
 2.493      81.8030     156.597     1.910                         C006400200156 
 2.493      82.7790     148.572     3.253                         C006400200157 
 2.493      90.8010     109.008     1.410                         C006400200158 
 2.493      91.7780     105.186     1.396                         C006400200159 
 2.493      96.7790      86.754     1.096                         C006400200160 
 2.493      97.8030      83.298     1.193                         C006400200161 
 2.493      98.7800      81.750     1.098                         C006400200162 
 2.493      102.783      70.868     0.944                         C006400200163 
 2.493      107.788      59.904     0.861                         C006400200164 
 2.493      111.793      52.532     0.777                         C006400200165 
 2.493      111.793      51.153     0.803                         C006400200166 
 2.493      116.801      45.073     0.670                         C006400200167 
 2.493      118.805      41.944     0.657                         C006400200168 
 2.493      120.809      39.798     0.630                         C006400200169 
 2.493      122.813      37.687     0.574                         C006400200170 
 2.493      127.824      33.921     0.564                         C006400200171 
 2.493      131.834      29.203     0.564                         C006400200172 
 2.493      136.848      27.478     0.465                         C006400200173 
 2.493      138.854      26.147     0.487                         C006400200174 
 2.493      142.866      24.352     0.416                         C006400200175 
 2.493      147.882      22.239     0.436                         C006400200176 
 2.493      156.913      19.285     0.380                         C006400200177 
 2.493      162.935      18.758     0.363                         C006400200178 
 2.671      58.8100     388.991    12.207                         C006400200179 
 2.671      66.8170     264.872     2.836                         C006400200180 
 2.671      67.7940     248.420     3.831                         C006400200181 
 2.671      72.8100     204.083     2.244                         C006400200182 
 2.671      76.7830     173.272     3.038                         C006400200183 
 2.671      81.8030     139.722     1.603                         C006400200184 
 2.671      82.7790     136.292     2.566                         C006400200185 
 2.671      90.8010      97.214     1.152                         C006400200186 
