ENTRY            C0077   20040310                             0000C007700000001 
SUBENT        C0077001   20040310                             0000C007700100001 
BIB                 13         26                                 C007700100002 
INSTITUTE  (1USACLA)                                              C007700100003 
REFERENCE  (J,PR,167,915,196803)                                  C007700100004 
AUTHOR     (H.B.Eldridge,S.N.Bunker,J.M.Cameron,J.R.Richardson,   C007700100005 
           W.T.H.van Oers)                                        C007700100006 
TITLE      Studies of the Energy Dependence of p-O16 Interactions C007700100007 
            between 20 and 50 MeV.  II. Measurements of the       C007700100008 
            Polarizations of Protons Elastically Scattered by O16 C007700100009 
            at 24.5, 27.3, 30.1, 34.1, 36.8, and 39.7 MeV         C007700100010 
FACILITY   (CYCLO,1USACLA) UCLA sector-focused cyclotron.         C007700100011 
INC-SOURCE (POLIS) Beam polarized by carbon scatterer.            C007700100012 
SAMPLE     Disk of ice held in copper frame using Mylar foils.    C007700100013 
            Copper frame attached via a manifold to a reservoir   C007700100014 
            filled with liquid nitrogen, both target and manifold C007700100015 
            encased in evacuated scattering chamber.              C007700100016 
METHOD     (PHD)                                                  C007700100017 
           Beam energy determined by measuring range of protons   C007700100018 
            in calibrated aluminum absorbers.                     C007700100019 
DETECTOR   (NAICR) Scattered protons detected using 4 NaI(Tl)     C007700100020 
            integral line detectors, placed in pairs at equal     C007700100021 
            angles to left and right of incident beam.            C007700100022 
CORRECTION Corrected for scattering from hydrogen.                C007700100023 
ERR-ANALYS (DATA-ERR) No information on source of uncertainty     C007700100024 
STATUS     Data received from W.H.T. vanOers, 97/9.               C007700100025 
           (APRVD) Approved by W.T.H. vanOers, 97/12/10.          C007700100026 
HISTORY    (19970716C)                                            C007700100027 
           (20040310A) Updated to new date formats.               C007700100028 
ENDBIB              26          0                                 C007700100029 
COMMON               1          3                                 C007700100030 
ANG-ERR                                                           C007700100031 
ADEG                                                              C007700100032 
 0.1                                                              C007700100033 
ENDCOMMON            3          0                                 C007700100034 
ENDSUBENT           33          0                                 C007700199999 
SUBENT        C0077002   19970716                             0000C007700200001 
BIB                  1          1                                 C007700200002 
REACTION   (8-O-16(P,EL)8-O-16,,POL/DA,,ANA)                      C007700200003 
ENDBIB               1          0                                 C007700200004 
NOCOMMON             0          0                                 C007700200005 
DATA                 5        258                                 C007700200006 
EN         EN-RSL-FW  ANG-CM     DATA       DATA-ERR              C007700200007 
MEV        MEV        ADEG       NO-DIM     NO-DIM                C007700200008 
 24.5       2.5        16.       -0.020      0.002                C007700200009 
 24.5       2.5        18.5      -0.061      0.003                C007700200010 
 24.5       2.5        21.5      -0.096      0.004                C007700200011 
 24.5       2.5        24.0      -0.143      0.006                C007700200012 
 24.5       2.5        26.5      -0.163      0.007                C007700200013 
 24.5       2.5        29.3      -0.180      0.007                C007700200014 
 24.5       2.5        32.       -0.207      0.009                C007700200015 
 24.5       2.5        34.5      -0.294      0.012                C007700200016 
 24.5       2.5        37.5      -0.246      0.011                C007700200017 
 24.5       2.5        39.8      -0.314      0.013                C007700200018 
 24.5       2.5        42.4      -0.347      0.014                C007700200019 
 24.5       2.5        45.0      -0.338      0.014                C007700200020 
 24.5       2.5        47.6      -0.277      0.012                C007700200021 
 24.5       2.5        50.3      -0.124      0.007                C007700200022 
 24.5       2.5        52.9      -0.024      0.005                C007700200023 
 24.5       2.5        55.5      -0.015      0.006                C007700200024 
 24.5       2.5        63.3      +0.103      0.008                C007700200025 
 24.5       2.5        65.8       0.124      0.007                C007700200026 
 24.5       2.5        68.4       0.083      0.006                C007700200027 
 24.5       2.5        71.0       0.023      0.007                C007700200028 
 24.5       2.5        73.5      -0.022      0.002                C007700200029 
 24.5       2.5        78.6      -0.014      0.002                C007700200030 
 24.5       2.5        83.7       0.019      0.003                C007700200031 
 24.5       2.5        88.7       0.049      0.004                C007700200032 
 24.5       2.5        93.7       0.158      0.008                C007700200033 
 24.5       2.5        98.7       0.180      0.008                C007700200034 
 24.5       2.5       103.7       0.284      0.012                C007700200035 
 24.5       2.5       108.6       0.367      0.016                C007700200036 
 24.5       2.5       115.5       0.387      0.017                C007700200037 
 24.5       2.5       118.4       0.222      0.020                C007700200038 
 24.5       2.5       123.2       0.236      0.023                C007700200039 
 24.5       2.5       128.1       0.344      0.022                C007700200040 
 24.5       2.5       132.9       0.371      0.024                C007700200041 
 24.5       2.5       137.6       0.467      0.025                C007700200042 
 24.5       2.5       142.9       0.658      0.027                C007700200043 
 24.5       2.5       147.1       0.624      0.027                C007700200044 
 24.5       2.5       151.9       0.582      0.029                C007700200045 
 24.5       2.5       156.6       0.572      0.044                C007700200046 
 24.5       2.5       161.3       0.439      0.036                C007700200047 
 27.3       2.4        16.0      -0.030      0.005                C007700200048 
