ENTRY            C0734   20001215                             0000C073400000001 
SUBENT        C0734001   20001215                             0000C073400100001 
BIB                 12         24                                 C073400100002 
INSTITUTE  (1USADKE,1USATNL)                                      C073400100003 
REFERENCE  (J,NP/A,155,659,1970)                                  C073400100004 
           (T,THOMASON,1969) Duke University.                     C073400100005 
AUTHOR     (R.S.THOMASON,G.SPALEK,R.L.WALTER)                     C073400100006 
TITLE      Neutron polarizasions in the 6Li(d,n) and 7Li(d,n)     C073400100007 
            reactions for deuteron energies from 2.5 to 3.7 MeV   C073400100008 
FACILITY   (VDG,1USATNL)                                          C073400100009 
INC-SPECT  Energy spreads given are due to target thickness.      C073400100010 
METHOD     Polarization determined using a 4He polarization       C073400100011 
            analyzer.                                             C073400100012 
DETECTOR   (SCIN) Two 5.1x7.6x15.2 cm3 organic scintillators      C073400100013 
            mounted symmetrically above and bellow the He cell at C073400100014 
            25 cm separation for neutron scattered by 120 degr.   C073400100015 
            (lab).                                                C073400100016 
MONITOR    (2-HE-4(N,EL)2-HE-4,,POL/DA,,ANA) Emitted neutrons     C073400100017 
            scattered by 4He analyzer.                            C073400100018 
ERR-ANALYS (ERR-S) Indicated errors include statistical           C073400100019 
            uncertainties from the accidental coincidence         C073400100020 
            background substraction and also from the tails of    C073400100021 
            the adjacent peaks.                                   C073400100022 
STATUS     (COREL,C0736001) 9Be(3He,n) data                       C073400100023 
           (COREL,C0745001) 11B(3He,n) data                       C073400100024 
            No reply to author proof from R.L. Walter.            C073400100025 
HISTORY    (20001102C) SD                                         C073400100026 
ENDBIB              24          0                                 C073400100027 
NOCOMMON             0          0                                 C073400100028 
ENDSUBENT           27          0                                 C073400199999 
SUBENT        C0734002   20001113                             0000C073400200001 
BIB                  3          3                                 C073400200002 
REACTION   (3-LI-6(D,N)4-BE-7,PAR,POL/DA)                         C073400200003 
SAMPLE     99.3% enriched 6Li.                                    C073400200004 
STATUS     Data taken from Table 3 in Thomason's thesis.          C073400200005 
ENDBIB               3          0                                 C073400200006 
NOCOMMON             0          0                                 C073400200007 
DATA                 6         92                                 C073400200008 
EN         EN-RSL     E-LVL      ANG-CM     DATA       ERR-S      C073400200009 
MEV        MEV        MEV        ADEG       NO-DIM     NO-DIM     C073400200010 
  2.52       0.12       0.0         11.31      0.051     0.026    C073400200011 
  2.52       0.12       0.0         33.75      0.101     0.028    C073400200012 
  2.52       0.12       0.0         50.28      0.208     0.035    C073400200013 
  2.52       0.12       0.0         66.45      0.293     0.036    C073400200014 
  2.52       0.12       0.0         87.31      0.152     0.032    C073400200015 
  2.52       0.12       0.0        107.31      0.037     0.025    C073400200016 
  2.52       0.12       0.0        126.45      0.026     0.027    C073400200017 
  2.52       0.12       0.0        140.28     -0.009     0.026    C073400200018 
  2.52       0.12       0.432       11.36      0.105     0.033    C073400200019 
  2.52       0.12       0.432       33.91      0.038     0.033    C073400200020 
  2.52       0.12       0.432       50.51     -0.060     0.038    C073400200021 
  2.52       0.12       0.432       66.72     -0.032     0.037    C073400200022 
  2.52       0.12       0.432       87.62      0.171     0.054    C073400200023 
  2.52       0.12       0.432      107.62      0.372     0.060    C073400200024 
  2.52       0.12       0.432      126.72      0.272     0.083    C073400200025 
  2.52       0.12       0.432      140.51      0.363     0.127    C073400200026 
  2.86       0.11       0.0         11.36      0.054     0.030    C073400200027 
  2.86       0.11       0.0         22.67      0.078     0.032    C073400200028 
  2.86       0.11       0.0         33.90      0.085     0.029    C073400200029 
  2.86       0.11       0.0         50.49      0.212     0.041    C073400200030 
  2.86       0.11       0.0         66.70      0.318     0.041    C073400200031 
  2.86       0.11       0.0         87.59      0.154     0.038    C073400200032 
  2.86       0.11       0.0         97.71      0.066     0.026    C073400200033 
  2.86       0.11       0.0        107.59      0.015     0.026    C073400200034 
  2.86       0.11       0.0        126.70      0.054     0.021    C073400200035 
  2.86       0.11       0.0        140.49     -0.051     0.026    C073400200036 
  2.86       0.11       0.432       11.41      0.068     0.029    C073400200037 
  2.86       0.11       0.432       22.78      0.066     0.036    C073400200038 
  2.86       0.11       0.432       34.06      0.015     0.035    C073400200039 
  2.86       0.11       0.432       50.71     -0.029     0.039    C073400200040 
  2.86       0.11       0.432       66.97     -0.029     0.036    C073400200041 
  2.86       0.11       0.432       87.90      0.089     0.049    C073400200042 
