ENTRY            C0827   20080521                             C086C082700000001 
SUBENT        C0827001   20080521                             C086C082700100001 
BIB                 11         22                                 C082700100002 
INSTITUTE  (1USANOT,3MEXINI,1USAHPE)                              C082700100003 
REFERENCE  (J,NP/A,429,218,1984)                                  C082700100004 
AUTHOR     (S.E.Darden,S.Sen,G.Murillo,M.Fernandez,J.Ramirez,     C082700100005 
           A.Galindo,P.L.Jolivette,B.P.Hichwa)                    C082700100006 
TITLE      15N(p(pol),p0)15N and the levels of 16O for E(x) =     C082700100007 
            14.8-18.6 MeV                                         C082700100008 
FACILITY   (ACCEL,1USANOT) Notre Dame tandem accelerator.         C082700100009 
SAMPLE     Two targets used:                                      C082700100010 
           1) Nitrogen gas target, enriched to 99% 15N, with havarC082700100011 
             entrance and exit windows. Gas pressure 0.3 atm.     C082700100012 
             In most cases, about 0.25 atm. of 4He added for use  C082700100013 
             in measuring beam polarization.                      C082700100014 
           2) Solid melamine (C3H6N6) target; areal density 175   C082700100015 
             microg/cm3.                                          C082700100016 
DETECTOR   (SOLST) 14 solid state detectors.                      C082700100017 
MONITOR    (54-XE-0(P,EL)54-XE-0,,DA) Normalization using gas     C082700100018 
            target. Melamine data normalized to gas target data.  C082700100019 
ERR-ANALYS (EN-ERR) Center of target energy uncertainty.          C082700100020 
STATUS     (APRVD) Approved by S. Darden, 18 May 2002.            C082700100021 
HISTORY    (20020515C) VM                                         C082700100022 
           (20080520A) SD: digitized curves from figs.1-5 to      C082700100023 
           Subents 002, 003,005 were added.                       C082700100024 
ENDBIB              22          0                                 C082700100025 
COMMON               2          3                                 C082700100026 
EN-ERR     EN-NRM                                                 C082700100027 
KEV        MEV                                                    C082700100028 
  8.         4.0                                                  C082700100029 
ENDCOMMON            3          0                                 C082700100030 
ENDSUBENT           29          0                                 C082700199999 
SUBENT        C0827002   20080521                             C086C082700200001 
BIB                  3          7                                 C082700200002 
REACTION   (7-N-15(P,EL)7-N-15,,DA)                               C082700200003 
ERR-ANALYS (ERR-S) Error bars given on curves are statistical     C082700200004 
            uncertainties, and do not include normalization       C082700200005 
            incertainty (estimated 8%).                           C082700200006 
           (EN-ERR-DIG)  Digitizing error                         C082700200007 
           (ERR-DIG)    Digitizing error                          C082700200008 
STATUS     (CURVE) SD: Data from figs. 1,2 were digitized at NDS. C082700200009 
ENDBIB               7          0                                 C082700200010 
COMMON               2          3                                 C082700200011 
EN-ERR-DIG ERR-DIG                                                C082700200012 
MEV        MB/SR                                                  C082700200013 
 0.005      0.2                                                   C082700200014 
ENDCOMMON            3          0                                 C082700200015 
DATA                 4        417                                 C082700200016 
ANG        EN         DATA       ERR-S                            C082700200017 
ADEG       MEV        MB/SR      MB/SR                            C082700200018 
       98.8     2.8784     117.87     6.1347                      C082700200019 
       98.8      2.896     114.68      5.227                      C082700200020 
       98.8     2.9179     110.36     5.4543                      C082700200021 
       98.8     2.9397      104.9     6.1361                      C082700200022 
       98.8     2.9613     97.162     4.7738                      C082700200023 
       98.8     2.9782     88.294     4.5452                      C082700200024 
       98.8     3.0001     83.287      4.318                      C082700200025 
       98.8     3.0174     77.827     3.8648                      C082700200026 
       98.8     3.0408     86.229      5.227                      C082700200027 
       98.8     3.0632     85.313     5.6815                      C082700200028 
       98.8     3.0862     90.079     5.0011                      C082700200029 
       98.8     3.0958     95.076     4.5439                      C082700200030 
       98.8      3.122     88.477      5.227                      C082700200031 
       98.8     3.1392     82.336     5.4543                      C082700200032 
       98.8     3.1616     82.102     5.4543                      C082700200033 
       98.8     3.1784      71.87      4.318                      C082700200034 
       98.8     3.2001     65.499     3.4089                      C082700200035 
       98.8     3.2089      64.36     3.4116                      C082700200036 
       98.8     3.2365     69.579     3.8634                      C082700200037 
       98.8     3.2554     77.073     4.7725                      C082700200038 
       98.8     3.2711     95.932     6.1374                      C082700200039 
       98.8     3.2948     106.38      5.227                      C082700200040 
       98.8     3.3172     105.92     4.7725                      C082700200041 
       98.8     3.3389       100.     4.5452                      C082700200042 
       98.8     3.3565     96.133     4.5452                      C082700200043 
       98.8     3.3833     95.443      3.183                      C082700200044 
       98.8     3.4056     93.846      4.318                      C082700200045 
       98.8     3.4229     88.159     4.5452                      C082700200046 
       98.8     3.4459      92.47     4.9997                      C082700200047 
       98.8     3.4628     84.056     3.4103                      C082700200048 
       98.8     3.4859     89.049      5.227                      C082700200049 
       98.8     3.5081     87.224      5.227                      C082700200050 
       98.8     3.5267     91.991     5.6829                      C082700200051 
       98.8     3.5534     89.937     4.7725                      C082700200052 
       98.8     3.5717     93.114     4.7738                      C082700200053 
       98.8     3.5943     93.789     4.0907                      C082700200054 
       98.8     3.6163     90.146     4.9997                      C082700200055 
       98.8      3.634     87.868      5.227                      C082700200056 
       98.8     3.6564     87.406     3.1817                      C082700200057 
       98.8     3.6743     86.719     4.3193                      C082700200058 
       98.8     3.6966     85.803     3.6362                      C082700200059 
       98.8     3.7191     85.569      4.318                      C082700200060 
       98.8     3.7415     85.335     5.2257                      C082700200061 
       98.8     3.7548     83.967     3.1817                      C082700200062 
       98.8     3.7773     84.188      2.953                      C082700200063 
       98.8     3.7814      80.55     2.9544                      C082700200064 
       98.8     3.7992     79.181     2.7271                      C082700200065 
       98.8     3.8165     74.176     4.0893                      C082700200066 
       98.8     3.8342     71.444     2.2726                      C082700200067 
       98.8     3.8653     68.934     4.0921                      C082700200068 
       98.8     3.8835     70.747      2.274                      C082700200069 
       98.8     3.8965     66.652     2.2726                      C082700200070 
       98.8     3.9176     55.055     2.2726                      C082700200071 
       98.8     3.9361      59.14     1.8181                      C082700200072 
       98.8     3.9585     58.679      2.274                      C082700200073 
       98.8     3.9717     56.629     1.3636                      C082700200074 
       98.8     3.9939      54.35     2.5012                      C082700200075 
       98.8     4.0166     56.388     2.0467                      C082700200076 
       98.8     4.0385     51.609     2.4999                      C082700200077 
       98.8     4.0608     50.466     1.3636                      C082700200078 
       98.8     4.0919     47.275     1.8167                      C082700200079 
       98.8     4.1145     48.859     1.3649                      C082700200080 
       98.8     4.1278     46.809     2.0453                      C082700200081 
       98.8     4.1547     46.801     1.1363                      C082700200082 
       98.8     4.1679      44.07     1.3649                      C082700200083 
       98.8     4.1949     44.744     1.3636                      C082700200084 
       98.8     4.2126     42.466      2.044                      C082700200085 
       98.8      4.253     42.226     1.8181                      C082700200086 
       98.8     4.3024     42.211     1.8181                      C082700200087 
       98.8     4.3426     40.381     1.8181                      C082700200088 
       98.8       4.36      35.83     2.0453                      C082700200089 
       98.8      4.387     35.595     1.8181                      C082700200090 
       98.8     4.4047     33.317     1.8181                      C082700200091 
       98.8     4.4178     30.585     1.8181                      C082700200092 
