ENTRY            C0897   20170615                             C167C0897  0    1 
SUBENT        C0897001   20170615                             C167C0897  1    1 
BIB                  9         23                                 C0897  1    2 
TITLE      Neutron yields from 435 MeV/nucleon Nb stopping in Nb  C0897  1    3 
            and 272 MeV/nucleon Nb stopping in Nb and Al          C0897  1    4 
AUTHOR     (L.Heilbronn, R.Madey, M.Elaasar, M.Htun, K.Frankel,   C0897  1    5 
            W.G.Gong, B.D.Anderson, A.R.Baldwin, J.Jiang, D.Keane,C0897  1    6 
            M.A.McMahan, W.H.Rathbun, A.Scott, Y.SHao, J.W.Watson,C0897  1    7 
            G.D.Westfall, S.Yennello, W.-M.Zhang)                 C0897  1    8 
INSTITUTE  (1USABRK,1USAKNT,1USAMSU)                              C0897  1    9 
           (2GERGER) Max-Planck-Institut fuer Physik, Munich      C0897  1   10 
REFERENCE  (J,PR/C,58,3451,1998)                                  C0897  1   11 
           (X,LBNL-41429,1998) Double differential yields in tableC0897  1   12 
           (B,NAKAMURA,,10,2006) Tabulated data in CD-ROM         C0897  1   13 
FACILITY   (SYNCH,1USABRK) Bevalac                                C0897  1   14 
DETECTOR   (SCIN) 14 NE102 (10.16 cm thick) neutron detectors     C0897  1   15 
            followed by NE102 (6.4 mm thick) veto detectors       C0897  1   16 
            placed between 3 and 80 deg                           C0897  1   17 
METHOD     (TOF) Flight path of 840 cm (3 to 40 deg),             C0897  1   18 
            800 cm (48 deg), 750 cm (56 deg), 700 cm (64 deg),    C0897  1   19 
            620 cm (72 deg), 600 cm (80 deg)                      C0897  1   20 
CORRECTION Corrected for                                          C0897  1   21 
           - detector efficiency calculated by Cecil's code       C0897  1   22 
           - neutron loss by materials between target and detectorC0897  1   23 
           - background (could not be measured due to time limit) C0897  1   24 
HISTORY    (20170615C) On                                         C0897  1   25 
ENDBIB              23          0                                 C0897  1   26 
NOCOMMON             0          0                                 C0897  1   27 
ENDSUBENT           26          0                                 C0897  199999 
SUBENT        C0897002   20170615                             C167C0897  2    1 
BIB                  4          5                                 C0897  2    2 
REACTION   (41-NB-93(41-NB-93,X)0-NN-1,,PY/DA/DE,,TT)             C0897  2    3 
SAMPLE     1-cm-thick (8.57 g/cm2) at 435 MeV/A, and              C0897  2    4 
            0.51-cm-thick (4.37 g/cm2) at 272 MeV/A               C0897  2    5 
ERR-ANALYS (DATA-ERR) No information on the source of uncertainty C0897  2    6 
STATUS     (TABLE) Data received from Lowrence Heilbronn          C0897  2    7 
ENDBIB               5          0                                 C0897  2    8 
NOCOMMON             0          0                                 C0897  2    9 
DATA                 5        877                                 C0897  2   10 
EN         ANG        E          DATA       DATA-ERR              C0897  2   11 
MEV/A      ADEG       MEV        P/IN/MEVSR P/IN/MEVSR            C0897  2   12 
 272.        3.         25.         1.01E-05   1.18E-06           C0897  2   13 
 272.        3.         35.         1.39E-05   1.36E-06           C0897  2   14 
 272.        3.         45.         1.33E-05   1.24E-06           C0897  2   15 
 272.        3.         55.         1.45E-05   1.26E-06           C0897  2   16 
 272.        3.         65.         1.90E-05   1.53E-06           C0897  2   17 
 272.        3.         75.         2.10E-05   1.65E-06           C0897  2   18 
 272.        3.         85.         2.48E-05   1.89E-06           C0897  2   19 
 272.        3.         95.         2.74E-05   2.05E-06           C0897  2   20 
 272.        3.        105.         3.09E-05   2.27E-06           C0897  2   21 
 272.        3.        115.         3.22E-05   2.36E-06           C0897  2   22 
 272.        3.        125.         3.06E-05   2.27E-06           C0897  2   23 
 272.        3.        135.         3.35E-05   2.45E-06           C0897  2   24 
 272.        3.        145.         3.52E-05   2.55E-06           C0897  2   25 
 272.        3.        155.         3.66E-05   2.63E-06           C0897  2   26 
 272.        3.        165.         4.10E-05   2.89E-06           C0897  2   27 
 272.        3.        175.         4.35E-05   3.05E-06           C0897  2   28 
 272.        3.        185.         4.44E-05   3.11E-06           C0897  2   29 
 272.        3.        195.         4.61E-05   3.22E-06           C0897  2   30 
 272.        3.        210.         5.04E-05   3.22E-06           C0897  2   31 
 272.        3.        230.         4.82E-05   3.09E-06           C0897  2   32 
 272.        3.        250.         4.59E-05   2.96E-06           C0897  2   33 
 272.        3.        270.         4.20E-05   2.74E-06           C0897  2   34 
 272.        3.        290.         3.46E-05   2.31E-06           C0897  2   35 
 272.        3.        310.         2.55E-05   1.77E-06           C0897  2   36 
 272.        3.        340.         1.24E-05   8.66E-07           C0897  2   37 
 272.        3.        380.         4.24E-06   3.75E-07           C0897  2   38 
 272.        3.        420.         1.37E-06   1.79E-07           C0897  2   39 
 272.        3.        460.         6.54E-07   1.17E-07           C0897  2   40 
 272.        3.        500.         3.90E-07   9.03E-08           C0897  2   41 
 272.        3.        560.         2.20E-07   4.84E-08           C0897  2   42 
 272.        3.        640.         1.20E-07   3.57E-08           C0897  2   43 
 272.        3.        720.         4.14E-08   2.11E-08           C0897  2   44 
 272.        6.         25.         9.79E-06   1.11E-06           C0897  2   45 
 272.        6.         35.         1.58E-05   1.39E-06           C0897  2   46 
 272.        6.         45.         1.70E-05   1.35E-06           C0897  2   47 
 272.        6.         55.         1.76E-05   1.33E-06           C0897  2   48 
 272.        6.         65.         1.93E-05   1.40E-06           C0897  2   49 
 272.        6.         75.         2.23E-05   1.55E-06           C0897  2   50 
 272.        6.         85.         2.36E-05   1.62E-06           C0897  2   51 
