ENTRY            C1017   20040412                             0000C101700000001 
SUBENT        C1017001   20040412                             0000C101700100001 
BIB                 10         11                                 C101700100002 
INSTITUTE  (1USAROC)                                              C101700100003 
REFERENCE  (J,PR,115,389,195907)                                  C101700100004 
AUTHOR     (C.A.Preskitt,W.P.Alford)                              C101700100005 
TITLE      Elastic Scattering of Protons by Vanadium, Chromium,   C101700100006 
            Iron, and Cobalt                                      C101700100007 
FACILITY   (CYCLO,1USAROC)                                        C101700100008 
DETECTOR   (CSICR)                                                C101700100009 
MONITOR    (79-AU-197(P,EL)79-AU-197,,DA)                         C101700100010 
ERR-ANALYS (ERR-S) Statistical uncertainty.                       C101700100011 
STATUS     Data taken from tables in reference.                   C101700100012 
HISTORY    (20040412C) VM                                         C101700100013 
ENDBIB              11          0                                 C101700100014 
COMMON               1          3                                 C101700100015 
ERR-S                                                             C101700100016 
PER-CENT                                                          C101700100017 
  2.                                                              C101700100018 
ENDCOMMON            3          0                                 C101700100019 
ENDSUBENT           18          0                                 C101700199999 
SUBENT        C1017002   20040412                             0000C101700200001 
BIB                  2          2                                 C101700200002 
REACTION   (23-V-0(P,EL)23-V-0,,DA,,RTH)                          C101700200003 
SAMPLE     Natural vanadium sample, areal density 1.4 mg/cm2.     C101700200004 
ENDBIB               2          0                                 C101700200005 
NOCOMMON             0          0                                 C101700200006 
DATA                 3        184                                 C101700200007 
EN         ANG        DATA                                        C101700200008 
MEV        ADEG       NO-DIM                                      C101700200009 
  3.49       30.       0.985                                      C101700200010 
  3.49       40.       1.015                                      C101700200011 
  3.49       50.       1.015                                      C101700200012 
  3.49       60.       1.005                                      C101700200013 
  3.49       65.       0.980                                      C101700200014 
  3.49       70.       1.015                                      C101700200015 
  3.49       75.       1.000                                      C101700200016 
  3.49       80.       0.960                                      C101700200017 
  3.49       90.       0.925                                      C101700200018 
  3.49      100.       0.860                                      C101700200019 
  3.49      105.       0.865                                      C101700200020 
  3.49      110.       0.840                                      C101700200021 
  3.49      115.       0.850                                      C101700200022 
  3.49      120.       0.865                                      C101700200023 
  3.49      125.       0.870                                      C101700200024 
  3.49      135.       0.925                                      C101700200025 
  3.49      140.       0.975                                      C101700200026 
  3.49      150.       1.010                                      C101700200027 
  3.49      155.       1.050                                      C101700200028 
  4.12       30.       1.010                                      C101700200029 
  4.12       35.       1.000                                      C101700200030 
  4.12       40.       1.005                                      C101700200031 
  4.12       45.       1.000                                      C101700200032 
  4.12       50.       1.015                                      C101700200033 
  4.12       53.       1.035                                      C101700200034 
  4.12       60.       1.025                                      C101700200035 
  4.12       65.       0.960                                      C101700200036 
  4.12       70.       0.865                                      C101700200037 
  4.12       80.       0.755                                      C101700200038 
  4.12       85.       0.740                                      C101700200039 
  4.12       90.       0.705                                      C101700200040 
  4.12       95.       0.680                                      C101700200041 
  4.12      100.       0.695                                      C101700200042 
  4.12      105.       0.700                                      C101700200043 
  4.12      110.       0.703                                      C101700200044 
  4.12      115.       0.775                                      C101700200045 
  4.12      120.       0.820                                      C101700200046 
  4.12      125.       0.855                                      C101700200047 
  4.12      130.       0.940                                      C101700200048 
  4.12      140.       1.015                                      C101700200049 
  4.12      145.       1.090                                      C101700200050 
  4.12      150.       1.120                                      C101700200051 
  4.12      160.       1.160                                      C101700200052 
  4.88       20.       1.010                                      C101700200053 
  4.88       25.       1.000                                      C101700200054 
  4.88       30.       1.005                                      C101700200055 
  4.88       35.       1.040                                      C101700200056 
  4.88       40.       1.080                                      C101700200057 
  4.88       45.       1.105                                      C101700200058 
  4.88       50.       1.135                                      C101700200059 
  4.88       53.       1.100                                      C101700200060 
  4.88       60.       1.055                                      C101700200061 
  4.88       65.       0.945                                      C101700200062 
  4.88       70.       0.855                                      C101700200063 
  4.88       80.       0.720                                      C101700200064 
  4.88       85.       0.675                                      C101700200065 
  4.88       90.       0.675                                      C101700200066 
  4.88       95.       0.650                                      C101700200067 
  4.88      100.       0.665                                      C101700200068 
  4.88      105.       0.720                                      C101700200069 
  4.88      110.       0.780                                      C101700200070 
  4.88      120.       0.940                                      C101700200071 
  4.88      130.       1.040                                      C101700200072 
  4.88      135.       1.155                                      C101700200073 
  4.88      140.       1.230                                      C101700200074 
  4.88      145.       1.280                                      C101700200075 
  4.88      150.       1.280                                      C101700200076 
  4.88      160.       1.260                                      C101700200077 
  5.21       20.       0.990                                      C101700200078 
  5.21       25.       1.000                                      C101700200079 
  5.21       30.       0.990                                      C101700200080 
  5.21       35.       1.030                                      C101700200081 
  5.21       40.       1.065                                      C101700200082 
  5.21       45.       1.115                                      C101700200083 
  5.21       50.       1.110                                      C101700200084 
  5.21       53.       1.090                                      C101700200085 
  5.21       60.       1.030                                      C101700200086 
  5.21       65.       0.960                                      C101700200087 
  5.21       75.       0.790                                      C101700200088 
  5.21       80.       0.710                                      C101700200089 
  5.21       85.       0.695                                      C101700200090 
  5.21       90.       0.620                                      C101700200091 
  5.21       95.       0.655                                      C101700200092 
  5.21      100.       0.680                                      C101700200093 
  5.21      105.       0.765                                      C101700200094 
  5.21      115.       0.910                                      C101700200095 
  5.21      120.       1.030                                      C101700200096 
  5.21      130.       1.160                                      C101700200097 
  5.21      135.       1.270                                      C101700200098 
  5.21      140.       1.315                                      C101700200099 
  5.21      145.       1.315                                      C101700200100 
  5.21      150.       1.330                                      C101700200101 
  5.21      155.       1.260                                      C101700200102 
  5.21      160.       1.240                                      C101700200103 
  5.67       15.       0.995                                      C101700200104 
  5.67       25.       0.980                                      C101700200105 
  5.67       30.       1.015                                      C101700200106 
  5.67       35.       1.075                                      C101700200107 
  5.67       40.       1.100                                      C101700200108 
  5.67       45.       1.110                                      C101700200109 
  5.67       50.       1.150                                      C101700200110 
  5.67       53.       1.145                                      C101700200111 
  5.67       60.       1.030                                      C101700200112 
  5.67       70.       0.830                                      C101700200113 
  5.67       75.       0.655                                      C101700200114 
  5.67       80.       0.595                                      C101700200115 
  5.67       85.       0.535                                      C101700200116 
  5.67       90.       0.555                                      C101700200117 
  5.67       95.       0.560                                      C101700200118 
  5.67      100.       0.635                                      C101700200119 
  5.67      110.       0.770                                      C101700200120 
  5.67      120.       0.915                                      C101700200121 
  5.67      125.       1.050                                      C101700200122 
  5.67      130.       1.130                                      C101700200123 
  5.67      135.       1.190                                      C101700200124 
  5.67      140.       1.230                                      C101700200125 
  5.67      145.       1.260                                      C101700200126 
  5.67      150.       1.230                                      C101700200127 
  5.67      155.       1.195                                      C101700200128 
  5.91       20.       1.010                                      C101700200129 
  5.91       25.       1.005                                      C101700200130 
  5.91       30.       0.990                                      C101700200131 
  5.91       35.       1.055                                      C101700200132 
  5.91       40.       1.080                                      C101700200133 
  5.91       45.       1.130                                      C101700200134 
  5.91       50.       1.105                                      C101700200135 
  5.91       53.       1.090                                      C101700200136 
  5.91       60.       1.010                                      C101700200137 
  5.91       65.       0.925                                      C101700200138 
  5.91       70.       0.755                                      C101700200139 
  5.91       75.       0.605                                      C101700200140 
  5.91       80.       0.545                                      C101700200141 
  5.91       85.       0.500                                      C101700200142 
  5.91       90.       0.530                                      C101700200143 
  5.91       95.       0.560                                      C101700200144 
  5.91      100.       0.665                                      C101700200145 
  5.91      120.       1.105                                      C101700200146 
  5.91      135.       1.255                                      C101700200147 
  5.91      140.       1.315                                      C101700200148 
  5.91      145.       1.290                                      C101700200149 
  5.91      150.       1.265                                      C101700200150 
  5.91      155.       1.270                                      C101700200151 
  5.91      160.       1.210                                      C101700200152 
  6.11       30.       1.000                                      C101700200153 
  6.11       35.       0.985                                      C101700200154 
  6.11       40.       1.030                                      C101700200155 
  6.11       45.       1.100                                      C101700200156 
  6.11       50.       1.130                                      C101700200157 
  6.11       53.       1.110                                      C101700200158 
  6.11       60.       1.015                                      C101700200159 
  6.11       65.       0.870                                      C101700200160 
  6.11       70.       0.735                                      C101700200161 
  6.11       75.       0.580                                      C101700200162 
  6.11       80.       0.480                                      C101700200163 
  6.11       85.       0.460                                      C101700200164 
  6.11       90.       0.475                                      C101700200165 
  6.11       95.       0.505                                      C101700200166 
  6.11      105.       0.690                                      C101700200167 
  6.11      110.       0.860                                      C101700200168 
  6.11      115.       1.005                                      C101700200169 
