ENTRY            C1254   20050609                             C074C125400000001 
SUBENT        C1254001   20050609                             C074C125400100001 
BIB                 10         14                                 C125400100002 
INSTITUTE  (1USADKE,1USANCS,1USAWMU)                              C125400100003 
REFERENCE  (J,PR/C,25,2823,1982)                                  C125400100004 
AUTHOR     (M.C.Wright,N.R.Roberson,H.R.Weller,D.R.Tilley,        C125400100005 
            D.Halderson)                                          C125400100006 
TITLE      Proton capture in the 19 MeV region of 12C             C125400100007 
FACILITY   (ACCEL,1USATNL) Triangle University Nuclear            C125400100008 
            Laboratory                                            C125400100009 
INC-SPECT  Proton beam                                            C125400100010 
SAMPLE     Self supporting enriched  target (97% 11B),            C125400100011 
            500 microg/cm2 thick                                  C125400100012 
METHOD     (TOF)                                                  C125400100013 
DETECTOR   (NAICR) NaI crystal, 25.4 x 25.4 cm surrounded by      C125400100014 
            a plastic NE110                                       C125400100015 
HISTORY    (20050609C) DR                                         C125400100016 
ENDBIB              14          0                                 C125400100017 
NOCOMMON             0          0                                 C125400100018 
ENDSUBENT           17          0                                 C125400199999 
SUBENT        C1254002   20050609                             C074C125400200001 
BIB                  4          4                                 C125400200002 
REACTION   (5-B-11(P,G)6-C-12,PAR,DA)                             C125400200003 
EN-SEC     (E-EXC,6-C-12)                                         C125400200004 
ERR-ANALYS (DATA-ERR) No information                              C125400200005 
STATUS     (CURVE) Data read from Figures 2 and 3                 C125400200006 
ENDBIB               4          0                                 C125400200007 
NOCOMMON             0          0                                 C125400200008 
DATA                 5        113                                 C125400200009 
ANG        E-EXC      EN         DATA       DATA-ERR              C125400200010 
ADEG       MEV        MEV        MU-B/SR    MU-B/SR               C125400200011 
60.        0.0           2.90E+00   8.75E-01   3.80E-02           C125400200012 
60.        0.0           3.01E+00   9.30E-01   3.25E-02           C125400200013 
60.        0.0           3.11E+00   8.70E-01   3.26E-02           C125400200014 
60.        0.0           3.21E+00   1.26E+00   2.71E-02           C125400200015 
60.        0.0           3.32E+00   1.42E+00   3.80E-02           C125400200016 
60.        0.0           3.41E+00   1.54E+00   4.34E-02           C125400200017 
60.        0.0           3.51E+00   1.61E+00   4.89E-02           C125400200018 
60.        0.0           3.61E+00   1.51E+00   3.80E-02           C125400200019 
60.        0.0           3.72E+00   1.45E+00   2.71E-02           C125400200020 
60.        0.0           3.82E+00   1.33E+00   3.25E-02           C125400200021 
60.        0.0           3.91E+00   1.39E+00   3.25E-02           C125400200022 
60.        0.0           3.97E+00   1.39E+00   3.26E-02           C125400200023 
60.        0.0           4.02E+00   1.49E+00   3.25E-02           C125400200024 
60.        0.0           4.07E+00   1.56E+00   3.80E-02           C125400200025 
60.        0.0           4.12E+00   1.62E+00   3.26E-02           C125400200026 
60.        0.0           4.22E+00   1.82E+00   3.80E-02           C125400200027 
60.        0.0           4.32E+00   2.11E+00   3.80E-02           C125400200028 
60.        0.0           4.43E+00   2.25E+00   3.80E-02           C125400200029 
60.        0.0           4.63E+00   2.83E+00   4.34E-02           C125400200030 
60.        4.439         3.00E+00   7.60E-01   2.71E-02           C125400200031 
60.        4.439         3.10E+00   1.33E+00   2.44E-02           C125400200032 
60.        4.439         3.20E+00   1.44E+00   3.25E-02           C125400200033 
60.        4.439         3.30E+00   7.86E-01   2.44E-02           C125400200034 
60.        4.439         3.40E+00   8.30E-01   2.17E-02           C125400200035 
60.        4.439         3.50E+00   1.00E+00   2.98E-02           C125400200036 
60.        4.439         3.60E+00   1.09E+00   2.71E-02           C125400200037 
60.        4.439         3.70E+00   9.84E-01   2.44E-02           C125400200038 
60.        4.439         3.80E+00   7.80E-01   2.44E-02           C125400200039 
60.        4.439         3.90E+00   7.01E-01   2.17E-02           C125400200040 
60.        4.439         3.94E+00   6.87E-01   1.90E-02           C125400200041 
60.        4.439         4.00E+00   6.36E-01   2.44E-02           C125400200042 
60.        4.439         4.05E+00   6.63E-01   2.44E-02           C125400200043 
60.        4.439         4.09E+00   7.14E-01   2.44E-02           C125400200044 
60.        4.439         4.20E+00   8.39E-01   2.98E-02           C125400200045 
60.        4.439         4.30E+00   9.01E-01   2.44E-02           C125400200046 
60.        4.439         4.40E+00   8.74E-01   2.99E-02           C125400200047 
60.        4.439         4.60E+00   1.12E+00   2.98E-02           C125400200048 
60.        9.641         2.91E+00   6.38E-01   1.99E-02           C125400200049 
60.        9.641         3.00E+00   4.59E-01   1.27E-02           C125400200050 
60.        9.641         3.10E+00   3.26E-01   1.08E-02           C125400200051 
60.        9.641         3.20E+00   5.02E-01   9.98E-03           C125400200052 
60.        9.641         3.31E+00   4.65E-01   9.98E-03           C125400200053 
60.        9.641         3.40E+00   3.96E-01   1.54E-02           C125400200054 
60.        9.641         3.50E+00   3.66E-01   1.54E-02           C125400200055 
60.        9.641         3.60E+00   3.24E-01   1.27E-02           C125400200056 
60.        9.641         3.70E+00   3.52E-01   1.27E-02           C125400200057 
60.        9.641         3.80E+00   2.82E-01   1.27E-02           C125400200058 
60.        9.641         3.90E+00   2.81E-01   1.27E-02           C125400200059 
60.        9.641         3.95E+00   2.84E-01   1.17E-02           C125400200060 
60.        9.641         4.00E+00   2.54E-01   1.27E-02           C125400200061 
60.        9.641         4.05E+00   2.27E-01   1.08E-02           C125400200062 
60.        9.641         4.10E+00   2.49E-01   9.98E-03           C125400200063 
60.        9.641         4.20E+00   1.78E-01   9.98E-03           C125400200064 
60.        9.641         4.30E+00   1.99E-01   9.98E-03           C125400200065 
60.        9.641         4.40E+00   1.89E-01   9.98E-03           C125400200066 
60.        9.641         4.60E+00   1.84E-01   8.16E-03           C125400200067 
90.        0.0           2.90E+00   1.24E+00   4.06E-02           C125400200068 
90.        0.0           3.01E+00   1.22E+00   2.95E-02           C125400200069 
90.        0.0           3.11E+00   1.22E+00   2.58E-02           C125400200070 
90.        0.0           3.21E+00   1.38E+00   2.95E-02           C125400200071 
90.        0.0           3.31E+00   1.48E+00   2.95E-02           C125400200072 
90.        0.0           3.41E+00   1.58E+00   3.32E-02           C125400200073 
90.        0.0           3.51E+00   1.54E+00   2.95E-02           C125400200074 
90.        0.0           3.61E+00   1.45E+00   2.59E-02           C125400200075 
90.        0.0           3.71E+00   1.30E+00   2.95E-02           C125400200076 
90.        0.0           3.81E+00   1.32E+00   2.58E-02           C125400200077 
90.        0.0           3.90E+00   1.36E+00   2.95E-02           C125400200078 
90.        0.0           3.96E+00   1.52E+00   2.95E-02           C125400200079 
90.        0.0           4.01E+00   1.60E+00   3.32E-02           C125400200080 
90.        0.0           4.07E+00   1.70E+00   2.58E-02           C125400200081 
