ENTRY            C1279   20050727                             C075C127900000001 
SUBENT        C1279001   20050727                             C075C127900100001 
BIB                  9         17                                 C127900100002 
INSTITUTE  (1CANQU,1CANTOR)                                       C127900100003 
REFERENCE  (J,NP/A,343,79,1980)                                   C127900100004 
AUTHOR     (H.B.Mak,G.T.Ewan,H.C.Evans,J.D.MacArthur,W.McLatchie, C127900100005 
            R.E.Azuma)                                            C127900100006 
TITLE      The alpha widths of the 5603, 5605 and 5668 keV states C127900100007 
            in 18F                                                C127900100008 
FACILITY   (VDG,1CANKQU) 4 MV Van de Graaff accelerator at Queen'sC127900100009 
             University                                           C127900100010 
INC-SOURCE Beam of 4He+.                                          C127900100011 
SAMPLE     The target gas was a mixture of approximately 99 % N2  C127900100012 
            and 1 % Xe, and the gas pressure was kept at 0.01     C127900100013 
            torr, corresponding to an effective target thickness  C127900100014 
            of 60 eV                                              C127900100015 
DETECTOR   (SIBAR) Four surface barrier detectors offset from the C127900100016 
            beam axis.                                            C127900100017 
           (NAICR) 76.2 mm x 76.2 mm NaI(Tl)                      C127900100018 
HISTORY    (20050727C) DR                                         C127900100019 
ENDBIB              17          0                                 C127900100020 
NOCOMMON             0          0                                 C127900100021 
ENDSUBENT           20          0                                 C127900199999 
SUBENT        C1279002   20050727                             C075C127900200001 
BIB                  3          3                                 C127900200002 
REACTION   (7-N-14(A,INL)7-N-14,,DA)                              C127900200003 
ERR-ANALYS (DATA-ERR) No information                              C127900200004 
STATUS     (CURVE) Data taken from Figs. 4 and 5                  C127900200005 
ENDBIB               3          0                                 C127900200006 
NOCOMMON             0          0                                 C127900200007 
DATA                 4        409                                 C127900200008 
ANG-CM     EN         DATA-CM    DATA-ERR                         C127900200009 
ADEG       MEV        MB/SR      MB/SR                            C127900200010 
 50.2       1.5177E+00  5.632E+03  2.089E+01                      C127900200011 
 50.2       1.5181E+00  5.629E+03  2.089E+01                      C127900200012 
 50.2       1.5186E+00  5.626E+03  2.686E+01                      C127900200013 
 50.2       1.5189E+00  5.614E+03  1.492E+01                      C127900200014 
 50.2       1.5194E+00  5.650E+03  2.089E+01                      C127900200015 
 50.2       1.5199E+00  5.611E+03  2.089E+01                      C127900200016 
 50.2       1.5204E+00  5.629E+03  2.985E+01                      C127900200017 
 50.2       1.5209E+00  5.588E+03  2.388E+01                      C127900200018 
 50.2       1.5212E+00  5.611E+03  2.686E+01                      C127900200019 
 50.2       1.5217E+00  5.623E+03  2.388E+01                      C127900200020 
 50.2       1.5227E+00  5.585E+03  2.388E+01                      C127900200021 
 50.2       1.5232E+00  5.594E+03  3.283E+01                      C127900200022 
 50.2       1.5236E+00  5.588E+03  2.985E+01                      C127900200023 
 50.2       1.5242E+00  5.591E+03  2.686E+01                      C127900200024 
 50.2       1.5244E+00  5.567E+03  2.686E+01                      C127900200025 
 50.2       1.5247E+00  5.555E+03  2.686E+01                      C127900200026 
 50.2       1.5248E+00  5.546E+03  2.686E+01                      C127900200027 
 50.2       1.5250E+00  5.573E+03  2.985E+01                      C127900200028 
 50.2       1.5252E+00  5.549E+03  2.388E+01                      C127900200029 
 50.2       1.5254E+00  5.567E+03  2.985E+01                      C127900200030 
 50.2       1.5256E+00  5.525E+03  2.985E+01                      C127900200031 
 50.2       1.5259E+00  5.561E+03  2.985E+01                      C127900200032 
 50.2       1.5261E+00  5.513E+03  2.985E+01                      C127900200033 
 50.2       1.5263E+00  5.564E+03  2.686E+01                      C127900200034 
 50.2       1.5264E+00  5.504E+03  2.686E+01                      C127900200035 
 50.2       1.5266E+00  5.564E+03  2.686E+01                      C127900200036 
 50.2       1.5269E+00  5.582E+03  2.686E+01                      C127900200037 
 50.2       1.5270E+00  5.605E+03  3.880E+01                      C127900200038 
 50.2       1.5273E+00  5.597E+03  2.686E+01                      C127900200039 
 50.2       1.5275E+00  5.647E+03  1.791E+01                      C127900200040 
 50.2       1.5277E+00  5.579E+03  2.388E+01                      C127900200041 
 50.2       1.5278E+00  5.617E+03  2.388E+01                      C127900200042 
 50.2       1.5280E+00  5.638E+03  3.582E+01                      C127900200043 
 50.2       1.5281E+00  5.608E+03  2.089E+01                      C127900200044 
 50.2       1.5283E+00  5.629E+03  2.985E+01                      C127900200045 
 50.2       1.5285E+00  5.582E+03  2.089E+01                      C127900200046 
 50.2       1.5286E+00  5.611E+03  3.880E+01                      C127900200047 
 50.2       1.5289E+00  5.570E+03  2.686E+01                      C127900200048 
 50.2       1.5291E+00  5.549E+03  2.985E+01                      C127900200049 
 50.2       1.5293E+00  5.567E+03  2.686E+01                      C127900200050 
 50.2       1.5294E+00  5.546E+03  2.388E+01                      C127900200051 
 50.2       1.5299E+00  5.561E+03  2.089E+01                      C127900200052 
 50.2       1.5302E+00  5.519E+03  2.388E+01                      C127900200053 
 50.2       1.5306E+00  5.564E+03  3.283E+01                      C127900200054 
 50.2       1.5310E+00  5.543E+03  2.686E+01                      C127900200055 
 50.2       1.5315E+00  5.561E+03  2.388E+01                      C127900200056 
 50.2       1.5318E+00  5.540E+03  2.985E+01                      C127900200057 
 50.2       1.5320E+00  5.519E+03  2.686E+01                      C127900200058 
 50.2       1.5325E+00  5.552E+03  2.985E+01                      C127900200059 
 50.2       1.5330E+00  5.510E+03  3.582E+01                      C127900200060 
 50.2       1.5334E+00  5.516E+03  2.686E+01                      C127900200061 
 50.2       1.5339E+00  5.540E+03  2.686E+01                      C127900200062 
 50.2       1.5345E+00  5.522E+03  2.388E+01                      C127900200063 
 50.2       1.5352E+00  5.516E+03  2.985E+01                      C127900200064 
 69.5       1.6078E+00  1.542E+03  1.388E+01                      C127900200065 
 69.5       1.6087E+00  1.547E+03  1.296E+01                      C127900200066 
 69.5       1.6098E+00  1.537E+03  1.203E+01                      C127900200067 
 69.5       1.6102E+00  1.537E+03  1.203E+01                      C127900200068 
 69.5       1.6108E+00  1.531E+03  9.259E+00                      C127900200069 
 69.5       1.6112E+00  1.536E+03  9.259E+00                      C127900200070 
 69.5       1.6118E+00  1.528E+03  9.259E+00                      C127900200071 
 69.5       1.6120E+00  1.532E+03  9.259E+00                      C127900200072 
 69.5       1.6125E+00  1.526E+03  1.018E+01                      C127900200073 
 69.5       1.6126E+00  1.533E+03  9.259E+00                      C127900200074 
 69.5       1.6133E+00  1.537E+03  1.018E+01                      C127900200075 
 69.5       1.6135E+00  1.524E+03  1.111E+01                      C127900200076 
 69.5       1.6140E+00  1.534E+03  8.333E+00                      C127900200077 
 69.5       1.6145E+00  1.509E+03  9.259E+00                      C127900200078 
 69.5       1.6147E+00  1.528E+03  8.333E+00                      C127900200079 
 69.5       1.6151E+00  1.535E+03  9.259E+00                      C127900200080 
 69.5       1.6155E+00  1.515E+03  1.111E+01                      C127900200081 
 69.5       1.6157E+00  1.525E+03  1.018E+01                      C127900200082 
 69.5       1.6161E+00  1.527E+03  1.111E+01                      C127900200083 
 69.5       1.6166E+00  1.515E+03  8.333E+00                      C127900200084 
 69.5       1.6168E+00  1.530E+03  1.111E+01                      C127900200085 
 69.5       1.6173E+00  1.498E+03  1.111E+01                      C127900200086 
 69.5       1.6174E+00  1.480E+03  1.203E+01                      C127900200087 
 69.5       1.6176E+00  1.493E+03  1.111E+01                      C127900200088 
 69.5       1.6178E+00  1.500E+03  1.018E+01                      C127900200089 
 69.5       1.6180E+00  1.494E+03  8.333E+00                      C127900200090 
 69.5       1.6183E+00  1.507E+03  1.111E+01                      C127900200091 
 69.5       1.6185E+00  1.512E+03  1.018E+01                      C127900200092 
 69.5       1.6188E+00  1.524E+03  1.203E+01                      C127900200093 
 69.5       1.6192E+00  1.524E+03  1.111E+01                      C127900200094 
 69.5       1.6195E+00  1.516E+03  1.018E+01                      C127900200095 
 69.5       1.6198E+00  1.517E+03  1.111E+01                      C127900200096 
 69.5       1.6203E+00  1.517E+03  1.018E+01                      C127900200097 
 69.5       1.6205E+00  1.514E+03  9.259E+00                      C127900200098 
 69.5       1.6210E+00  1.522E+03  1.111E+01                      C127900200099 
 69.5       1.6215E+00  1.513E+03  9.259E+00                      C127900200100 
 69.5       1.6218E+00  1.514E+03  1.018E+01                      C127900200101 
 69.5       1.6222E+00  1.524E+03  1.296E+01                      C127900200102 
 69.5       1.6228E+00  1.509E+03  1.111E+01                      C127900200103 
 69.5       1.6232E+00  1.515E+03  1.018E+01                      C127900200104 
 69.5       1.6236E+00  1.528E+03  1.018E+01                      C127900200105 
 69.5       1.6240E+00  1.512E+03  9.259E+00                      C127900200106 
 69.5       1.6242E+00  1.511E+03  1.018E+01                      C127900200107 
 69.5       1.6246E+00  1.512E+03  1.111E+01                      C127900200108 
 69.5       1.6249E+00  1.498E+03  9.259E+00                      C127900200109 
 69.5       1.6254E+00  1.504E+03  1.111E+01                      C127900200110 
 69.5       1.6257E+00  1.503E+03  1.481E+01                      C127900200111 
 69.5       1.6262E+00  1.497E+03  1.296E+01                      C127900200112 
 90.        1.5177E+00  7.369E+02  2.405E+00                      C127900200113 
 90.        1.5181E+00  7.302E+02  3.007E+00                      C127900200114 
 90.        1.5186E+00  7.299E+02  2.706E+00                      C127900200115 
 90.        1.5190E+00  7.212E+02  3.009E+00                      C127900200116 
 90.        1.5195E+00  7.235E+02  2.410E+00                      C127900200117 
 90.        1.5199E+00  7.283E+02  2.708E+00                      C127900200118 
 90.        1.5204E+00  7.277E+02  2.708E+00                      C127900200119 
 90.        1.5210E+00  7.204E+02  3.308E+00                      C127900200120 
 90.        1.5213E+00  7.237E+02  2.706E+00                      C127900200121 
 90.        1.5218E+00  7.273E+02  3.312E+00                      C127900200122 
 90.        1.5228E+00  7.296E+02  2.711E+00                      C127900200123 
 90.        1.5232E+00  7.235E+02  2.704E+00                      C127900200124 
 90.        1.5236E+00  7.277E+02  2.408E+00                      C127900200125 
 90.        1.5242E+00  7.238E+02  2.706E+00                      C127900200126 
 90.        1.5244E+00  7.277E+02  3.310E+00                      C127900200127 
 90.        1.5246E+00  7.303E+02  3.308E+00                      C127900200128 
 90.        1.5248E+00  7.252E+02  3.308E+00                      C127900200129 
 90.        1.5249E+00  7.294E+02  3.608E+00                      C127900200130 
 90.        1.5252E+00  7.231E+02  2.706E+00                      C127900200131 
 90.        1.5253E+00  7.297E+02  3.308E+00                      C127900200132 
 90.        1.5257E+00  7.243E+02  3.611E+00                      C127900200133 
 90.        1.5258E+00  7.369E+02  3.613E+00                      C127900200134 
 90.        1.5261E+00  7.335E+02  3.608E+00                      C127900200135 
 90.        1.5262E+00  7.371E+02  2.401E+00                      C127900200136 
 90.        1.5265E+00  7.197E+02  4.208E+00                      C127900200137 
 90.        1.5266E+00  7.140E+02  2.704E+00                      C127900200138 
 90.        1.5269E+00  7.001E+02  3.007E+00                      C127900200139 
 90.        1.5270E+00  6.986E+02  3.305E+00                      C127900200140 
 90.        1.5273E+00  6.992E+02  3.916E+00                      C127900200141 
 90.        1.5275E+00  7.016E+02  3.606E+00                      C127900200142 
 90.        1.5277E+00  6.943E+02  3.308E+00                      C127900200143 
 90.        1.5278E+00  7.081E+02  2.706E+00                      C127900200144 
 90.        1.5280E+00  7.145E+02  3.009E+00                      C127900200145 
 90.        1.5281E+00  7.084E+02  3.009E+00                      C127900200146 
 90.        1.5282E+00  7.111E+02  3.009E+00                      C127900200147 
 90.        1.5284E+00  7.111E+02  3.009E+00                      C127900200148 
 90.        1.5286E+00  7.123E+02  3.007E+00                      C127900200149 
 90.        1.5287E+00  7.177E+02  3.310E+00                      C127900200150 
 90.        1.5289E+00  7.204E+02  3.310E+00                      C127900200151 
 90.        1.5292E+00  7.135E+02  2.410E+00                      C127900200152 
 90.        1.5293E+00  7.180E+02  3.310E+00                      C127900200153 
 90.        1.5295E+00  7.152E+02  3.310E+00                      C127900200154 
 90.        1.5300E+00  7.167E+02  3.011E+00                      C127900200155 
 90.        1.5303E+00  7.110E+02  3.009E+00                      C127900200156 
 90.        1.5306E+00  7.170E+02  3.608E+00                      C127900200157 
 90.        1.5310E+00  7.136E+02  3.608E+00                      C127900200158 
 90.        1.5314E+00  7.208E+02  3.303E+00                      C127900200159 
 90.        1.5318E+00  7.121E+02  3.007E+00                      C127900200160 
 90.        1.5321E+00  7.132E+02  3.312E+00                      C127900200161 
 90.        1.5325E+00  7.135E+02  3.314E+00                      C127900200162 
 90.        1.5330E+00  7.059E+02  2.706E+00                      C127900200163 
 90.        1.5334E+00  7.101E+02  3.009E+00                      C127900200164 
 90.        1.5339E+00  7.161E+02  3.615E+00                      C127900200165 
 90.        1.5345E+00  7.146E+02  3.613E+00                      C127900200166 
