ENTRY            C1454   20060727                             C078C145400000001 
SUBENT        C1454001   20060727                             C078C145400100001 
BIB                 10         29                                 C145400100002 
INSTITUTE  (1CANMCM,2SWTFRS,3CROZAG)                              C145400100003 
REFERENCE  (J,NP/A,579,103,1994)                                  C145400100004 
AUTHOR     (P.E.Garrett,D.G.Burke,T.Qu,V.Paar,S.Brant)            C145400100005 
TITLE      The nuclear structure of 194Ir studied with the        C145400100006 
            193Ir(d,p)194Ir reaction                              C145400100007 
FACILITY   (VDGT,1CANMCM) the model FN tandem Van de Graaff       C145400100008 
            accelerator at McMaster University                    C145400100009 
INC-SOURCE 16 MeV deuterons were used                             C145400100010 
DETECTOR   (PLATE,MAGSP) The products of the reaction were        C145400100011 
            analyzed by an Enge split-pole magnetic spectrograph  C145400100012 
            and detected by photographic plates placed in the     C145400100013 
            focal plane.                                          C145400100014 
           (SIBAR) A silicon surface-barrier monitor detector     C145400100015 
            was placed at an angle of 30 degree to the beam and   C145400100016 
            was used to measure the number of elastically         C145400100017 
            scattered deuterons from the target.                  C145400100018 
SAMPLE     Approximately 30 microg/cm2 thick and had a            C145400100019 
            composition of 1.3% 191Ir and 98.7% 193Ir.            C145400100020 
           A target that had isotopic abundances of 0.65% 191Ir   C145400100021 
            and 99.35% 193Ir and a thickness of approximately     C145400100022 
            45 microg/cm2.                                        C145400100023 
           All targets were produced by vacuum evaporation of     C145400100024 
            metal samples onto carbon foil backings approximately C145400100025 
            30 microg/cm2 thick.                                  C145400100026 
CORRECTION The numbers of elastic-scattered events were used to   C145400100027 
            obtain normalization values by which the peak         C145400100028 
            intensities on the photographic plates could be       C145400100029 
            converted into absolute cross sections.               C145400100030 
HISTORY    (20060727C) DR                                         C145400100031 
ENDBIB              29          0                                 C145400100032 
COMMON               1          3                                 C145400100033 
EN                                                                C145400100034 
MEV                                                               C145400100035 
16.                                                               C145400100036 
ENDCOMMON            3          0                                 C145400100037 
ENDSUBENT           36          0                                 C145400199999 
SUBENT        C1454002   20060727                             C078C145400200001 
BIB                  4          4                                 C145400200002 
REACTION   (77-IR-193(D,P)77-IR-194,PAR,DA)                       C145400200003 
EN-SEC     (E-EXC,77-IR-194)                                      C145400200004 
ERR-ANALYS (ERR-S) Statistical error                              C145400200005 
STATUS     (CURVE) Data taken from Fig. 2                         C145400200006 
ENDBIB               4          0                                 C145400200007 
NOCOMMON             0          0                                 C145400200008 
DATA                 4        228                                 C145400200009 
E-EXC      ANG        DATA       ERR-S                            C145400200010 
KEV        ADEG       MU-B/SR    MU-B/SR                          C145400200011 
  0.0        1.269E+01  3.984E+01  6.157E+00                      C145400200012 
  0.0        1.521E+01  3.718E+01  5.745E+00                      C145400200013 
  0.0        1.773E+01  2.792E+01  6.108E+00                      C145400200014 
  0.0        2.024E+01  3.335E+01  4.874E+00                      C145400200015 
  0.0        2.263E+01  2.684E+01  3.923E+00                      C145400200016 
  0.0        2.514E+01  2.684E+01  4.371E+00                      C145400200017 
  0.0        3.016E+01  3.335E+01  6.246E+00                      C145400200018 
  0.0        3.518E+01  3.206E+01  5.485E+00                      C145400200019 
  0.0        4.524E+01  2.738E+01  5.989E+00                      C145400200020 
  0.0        5.040E+01  2.384E+01  5.398E+00                      C145400200021 
  0.0        7.013E+01  1.413E+01  2.417E+00                      C145400200022 
 43.3        1.051E+01  4.372E+01  5.989E+00                      C145400200023 
 43.3        1.262E+01  5.120E+01  8.287E+00                      C145400200024 
 43.3        1.514E+01  4.646E+01  5.160E+00                      C145400200025 
 43.3        2.533E+01  2.913E+01  4.232E+00                      C145400200026 
 43.3        3.035E+01  3.283E+01  5.583E+00                      C145400200027 
 43.3        3.511E+01  3.737E+01  6.047E+00                      C145400200028 
 43.3        4.014E+01  3.017E+01  4.884E+00                      C145400200029 
 43.3        4.516E+01  3.238E+01  4.704E+00                      C145400200030 
 43.3        5.019E+01  2.213E+01  4.471E+00                      C145400200031 
 43.3        6.025E+01  1.899E+01  4.843E+00                      C145400200032 
 43.3        7.030E+01  1.983E+01  3.374E+00                      C145400200033 
 83.8        6.095E+00  1.231E+02  2.783E+01                      C145400200034 
 83.8        8.178E+00  1.998E+02  1.698E+01                      C145400200035 
 83.8        1.028E+01  2.295E+02  2.160E+01                      C145400200036 
 83.8        1.266E+01  2.586E+02  1.965E+01                      C145400200037 
 83.8        1.503E+01  2.801E+02  2.881E+01                      C145400200038 
 83.8        1.768E+01  2.617E+02  4.041E+01                      C145400200039 
 83.8        2.019E+01  2.594E+02  2.439E+01                      C145400200040 
 83.8        2.271E+01  2.284E+02  2.551E+01                      C145400200041 
 83.8        2.510E+01  1.991E+02  2.048E+01                      C145400200042 
 83.8        3.025E+01  2.314E+02  2.783E+01                      C145400200043 
 83.8        3.527E+01  2.715E+02  2.062E+01                      C145400200044 
 83.8        4.017E+01  2.277E+02  2.542E+01                      C145400200045 
 83.8        4.520E+01  1.968E+02  2.539E+01                      C145400200046 
