ENTRY            C1506   20070306                             C080C150600000001 
SUBENT        C1506001   20070306                             C080C150600100001 
BIB                 10         30                                 C150600100002 
INSTITUTE  (1USABRK,1USATAM,1USAFSU,1USANOT,1USAMSU)              C150600100003 
REFERENCE  (J,PR/C,74,024306,2006)                                C150600100004 
AUTHOR     (K.Perajarvi,C.Fu,G.V.Rogachev,G.Chubarian,            C150600100005 
            V.Z.Goldberg,F.Q.Guo,D.Lee,D.M.Moltz,J.Powell,        C150600100006 
            B.B.Skorodumov,G.Tabacaru,X.D.Tang,R.E.Tribble,       C150600100007 
            B.A.Brown,A.Volya,J.Cerny)                            C150600100008 
TITLE      Structure of 12N using 11C+p resonance scattering      C150600100009 
FACILITY   (CYCLO,1USALBL) Lawrence Berkeley National Laboratory'sC150600100010 
            (LBNL) 88-inch cyclotron.                             C150600100011 
           (CYCLO,1USATAM) K500 superconducting cyclotron         C150600100012 
INC-SPECT  Berkeley: 10-MeV proton cyclotron was used as a driver C150600100013 
            accelerator, producing 11C, which was then transportedC150600100014 
            as CO2 and injected into the Advanced ECR ion source  C150600100015 
            (AECR-U)                                              C150600100016 
           TAM: a 11C secondary beam,with a beam purity of 99.9%. C150600100017 
SAMPLE     Berkeley: The target ladder held a 12.4-mg/cm2-thick   C150600100018 
            nickel degrader followed by a 18.4-mg/cm2-thick (CH2)nC150600100019 
            (= polyethylene) foil.                                C150600100020 
           TAM: a scattering chamber filled with methane (CH4) gasC150600100021 
            that was placed at the MARS focal plane               C150600100022 
DETECTOR   (IOCH) A parallel plate avalanche counter (PPAC) was   C150600100023 
            placed in the front of the entrance to this scatteringC150600100024 
            chamber at T & AM.                                    C150600100025 
           (SIBAR) A DE (thickness 72 microm)-E (thickness 3 mm)  C150600100026 
            Si-detector telescope was mounted on one scattering   C150600100027 
            chamber arm, about 14.6 cm away from the target at    C150600100028 
            Berkeley                                              C150600100029 
METHOD     (TTM) Thick target inverse kinematics (TTIK) method at C150600100030 
            Berkeley                                              C150600100031 
HISTORY    (20070119C) DR                                         C150600100032 
ENDBIB              30          0                                 C150600100033 
NOCOMMON             0          0                                 C150600100034 
ENDSUBENT           33          0                                 C150600199999 
SUBENT        C1506002   20070306                             C080C150600200001 
BIB                  3          5                                 C150600200002 
REACTION   (1-H-1(6-C-11,EL)1-H-1,,DA)                            C150600200003 
ERR-ANALYS (DATA-ERR) No information                              C150600200004 
STATUS     (CURVE) For 5,10 degr. data taken from Figs. 3 to 5.   C150600200005 
           (TABLE) For 0 and 15 degree, data received from        C150600200006 
            K. Perajarvi on 2/27/2007                             C150600200007 
ENDBIB               5          0                                 C150600200008 
NOCOMMON             0          0                                 C150600200009 
DATA                 4        822                                 C150600200010 
ANG        EN-CM      DATA-CM    DATA-ERR                         C150600200011 
ADEG       MEV        MB/SR      MB/SR                            C150600200012 
 0.          1.600E+00  1.334E+02  2.420E+01                      C150600200013 
 0.          1.611E+00  1.366E+02  2.420E+01                      C150600200014 
 0.          1.623E+00  1.247E+02  2.380E+01                      C150600200015 
 0.          1.634E+00  1.408E+02  2.410E+01                      C150600200016 
 0.          1.645E+00  1.267E+02  2.370E+01                      C150600200017 
 0.          1.657E+00  1.419E+02  2.400E+01                      C150600200018 
 0.          1.668E+00  1.280E+02  2.360E+01                      C150600200019 
 0.          1.680E+00  1.409E+02  2.380E+01                      C150600200020 
 0.          1.691E+00  1.298E+02  2.350E+01                      C150600200021 
 0.          1.703E+00  1.290E+02  2.340E+01                      C150600200022 
 0.          1.715E+00  1.218E+02  2.310E+01                      C150600200023 
 0.          1.726E+00  1.280E+02  2.320E+01                      C150600200024 
 0.          1.738E+00  1.116E+02  2.270E+01                      C150600200025 
 0.          1.749E+00  9.470E+01  2.230E+01                      C150600200026 
 0.          1.761E+00  1.133E+02  2.260E+01                      C150600200027 
 0.          1.773E+00  1.104E+02  2.240E+01                      C150600200028 
 0.          1.784E+00  9.550E+01  2.200E+01                      C150600200029 
 0.          1.796E+00  1.098E+02  2.220E+01                      C150600200030 
 0.          1.808E+00  1.114E+02  2.210E+01                      C150600200031 
 0.          1.820E+00  1.072E+02  2.200E+01                      C150600200032 
 0.          1.831E+00  1.144E+02  2.200E+01                      C150600200033 
 0.          1.843E+00  1.310E+02  2.230E+01                      C150600200034 
 0.          1.855E+00  1.214E+02  2.200E+01                      C150600200035 
 0.          1.867E+00  1.412E+02  2.230E+01                      C150600200036 
 0.          1.879E+00  1.437E+02  2.230E+01                      C150600200037 
 0.          1.890E+00  1.386E+02  2.200E+01                      C150600200038 
 0.          1.902E+00  1.537E+02  2.230E+01                      C150600200039 
 0.          1.914E+00  1.437E+02  2.200E+01                      C150600200040 
 0.          1.926E+00  1.622E+02  2.230E+01                      C150600200041 
 0.          1.938E+00  1.331E+02  2.150E+01                      C150600200042 
 0.          1.950E+00  1.470E+02  2.170E+01                      C150600200043 
 0.          1.962E+00  1.528E+02  2.180E+01                      C150600200044 
 0.          1.974E+00  1.450E+02  2.150E+01                      C150600200045 
 0.          1.986E+00  1.539E+02  2.160E+01                      C150600200046 
 0.          1.998E+00  1.374E+02  2.110E+01                      C150600200047 
 0.          2.010E+00  1.538E+02  2.140E+01                      C150600200048 
 0.          2.022E+00  1.570E+02  2.130E+01                      C150600200049 
 0.          2.034E+00  1.360E+02  2.070E+01                      C150600200050 
 0.          2.046E+00  1.448E+02  2.080E+01                      C150600200051 
