ENTRY            C1775   20100123                             C100C177500000001 
SUBENT        C1775001   20100123                             C100C177500100001 
BIB                 10         28                                 C177500100002 
TITLE      Measurement of neutron multiplicity from fission of    C177500100003 
           228U and nuclear dissipation                           C177500100004 
AUTHOR     (Hardev Singh,B.R.Behera,Gulzar Singh,I.M.Govil,       C177500100005 
           K.S.Golda,Akhil Jhingan,R.P.Singh,P.Sugathan,          C177500100006 
           M.B.Chatterjee,S.K.Datta,Santanu Pal,Ranjeet,          C177500100007 
           S.Mandal,P.D.Shidling,G.Viesti)                        C177500100008 
INSTITUTE  (3INDPUC,3INDNSD,3INDVEC,3INDDLH,3INDKUD,2ITYPAD)      C177500100009 
REFERENCE  (J,PR/C,80,064615,2009)                                C177500100010 
FACILITY   (VDGT,3INDNSD)The experiment was performed             C177500100011 
           using a pulsed beam obtained from the 15UD Pelletron   C177500100012 
           of the Inter University Accelerator Centre, New Delhi. C177500100013 
SAMPLE     A self-supporting 209Bi target with thickness of       C177500100014 
           350  mu-g/cm2                                          C177500100015 
DETECTOR   (SCIN) Four liquid scintillator neutron detectors of   C177500100016 
           dimension 5in x 5in were used for the detection of     C177500100017 
           neutrons. The detectors were placed outside the        C177500100018 
           scattering chamber at angles of 30,60,90 and 120deg    C177500100019 
           with respect to the beam direction and at a distance   C177500100020 
           of 100 cm from the target.                             C177500100021 
           (MWPC) Two large-area (20 x 10 cm2) position-          C177500100022 
           sensitive multiwire proportional counters were         C177500100023 
           placed at the folding angle for symmetric fission.     C177500100024 
           Detectors were placed on movable arms on both sides    C177500100025 
           of the beam at distances/angles of 60 cm/90deg and     C177500100026 
METHOD     (COINC) Coincidence between fission fragments and      C177500100027 
           emitted neutrons was required                          C177500100028 
ERR-ANALYS (ERR-S) Statistical uncertainty                        C177500100029 
HISTORY    (20100123C) Compiled by S.H.                           C177500100030 
ENDBIB              28          0                                 C177500100031 
NOCOMMON             0          0                                 C177500100032 
ENDSUBENT           31          0                                 C177500199999 
SUBENT        C1775002   20100123                             C100C177500200001 
BIB                  3          4                                 C177500200002 
REACTION   (83-BI-209(9-F-19,F),,NU/DA/DE,N+FF/N)                 C177500200003 
STATUS     (TABLE) Data presented in fig.1 of the reference       C177500200004 
                   sent by author (H.S.)                          C177500200005 
EN-SEC     (E,N) Energy of the neutron emitted at an angle adeg   C177500200006 
ENDBIB               4          0                                 C177500200007 
COMMON               1          3                                 C177500200008 
EN                                                                C177500200009 
MEV                                                               C177500200010 
108.0                                                             C177500200011 
ENDCOMMON            3          0                                 C177500200012 
DATA                 4        108                                 C177500200013 
ANG-RL     E          DATA       ERR-S                            C177500200014 
ADEG       MEV        P/FS/MEVSR P/FS/MEVSR                       C177500200015 
  -155.0     0.95        1.23E-01   5.19E-03                      C177500200016 
  -155.0     1.45        1.24E-01   5.19E-03                      C177500200017 
  -155.0     1.95        1.26E-01   5.22E-03                      C177500200018 
  -155.0     2.45        1.28E-01   5.28E-03                      C177500200019 
  -155.0     2.95        1.18E-01   5.06E-03                      C177500200020 
  -155.0     3.45        1.05E-01   4.77E-03                      C177500200021 
  -155.0     3.95        8.95E-02   4.41E-03                      C177500200022 
  -155.0     4.45        8.26E-02   4.24E-03                      C177500200023 
  -155.0     4.95        6.48E-02   3.75E-03                      C177500200024 
  -155.0     5.45        5.62E-02   3.50E-03                      C177500200025 
  -155.0     5.95        4.34E-02   3.07E-03                      C177500200026 
  -155.0     6.45        3.72E-02   2.84E-03                      C177500200027 
  -155.0     6.95        3.18E-02   2.63E-03                      C177500200028 
  -155.0     7.45        2.37E-02   2.27E-03                      C177500200029 
  -155.0     7.95        2.09E-02   2.13E-03                      C177500200030 
  -155.0     8.45        1.64E-02   1.89E-03                      C177500200031 
  -155.0     8.95        1.26E-02   1.66E-03                      C177500200032 
  -155.0     9.45        9.03E-03   1.40E-03                      C177500200033 
  -125.0     0.85        1.15E-01   4.12E-03                      C177500200034 
  -125.0     1.35        1.31E-01   4.40E-03                      C177500200035 
  -125.0     1.85        1.28E-01   3.39E-03                      C177500200036 
  -125.0     2.35        1.15E-01   3.67E-03                      C177500200037 
  -125.0     2.85        1.01E-01   3.69E-03                      C177500200038 
  -125.0     3.35        8.62E-02   3.33E-03                      C177500200039 
  -125.0     3.85        7.35E-02   3.00E-03                      C177500200040 
  -125.0     4.35        6.11E-02   2.90E-03                      C177500200041 
  -125.0     4.85        4.83E-02   2.70E-03                      C177500200042 
  -125.0     5.35        4.08E-02   2.42E-03                      C177500200043 
  -125.0     5.85        3.10E-02   2.28E-03                      C177500200044 
  -125.0     6.35        2.51E-02   1.91E-03                      C177500200045 
  -125.0     6.85        2.17E-02   1.91E-03                      C177500200046 
  -125.0     7.35        1.62E-02   1.75E-03                      C177500200047 
  -125.0     7.85        1.37E-02   1.62E-03                      C177500200048 
  -125.0     8.35        1.05E-02   1.52E-03                      C177500200049 
  -125.0     8.85        7.83E-03   1.30E-03                      C177500200050 
  -125.0     9.35        5.73E-03   9.73E-04                      C177500200051 
   -95.0     0.95        1.11E-01   5.32E-03                      C177500200052 
   -95.0     1.45        1.12E-01   5.34E-03                      C177500200053 
   -95.0     1.95        1.11E-01   5.31E-03                      C177500200054 
   -95.0     2.45        1.09E-01   5.27E-03                      C177500200055 
   -95.0     2.95        8.40E-02   4.55E-03                      C177500200056 
   -95.0     3.45        7.85E-02   4.48E-03                      C177500200057 
   -95.0     3.95        5.97E-02   3.73E-03                      C177500200058 
