ENTRY            C1881   20120707                             C120C188100000001 
SUBENT        C1881001   20120707                             C120C188100100001 
BIB                 11         45                                 C188100100002 
TITLE      Single-nucleon transfer reactions on 18F               C188100100003 
AUTHOR     (A.S.Adekola,C.R.Brune,D.W.Bardayan,J.C.Blackmon,      C188100100004 
           K.Y.Chae,C.Domizioli,U.Greife,Z.Heinen,M.J.Hornish,    C188100100005 
           K.L.Jones,R.L.Kozub,R.J.Livesay,Z.Ma,T.N.Massey,       C188100100006 
           B.Moazen,C.D.Nesaraja,S.D.Pain,J.F.Shriner Jr,         C188100100007 
           N.D.Smith,M.S.Smith,J.S.Thomas,D.W.Visser,A.V.Voinov)  C188100100008 
INSTITUTE  (1USAOHO,1USAORL,1USATEN,1USACSM,1USARUT,1USATTU,      C188100100009 
           1USANCA)                                               C188100100010 
           (3KORKOR) Sungkyunkwan University,Suwon,Korea          C188100100011 
REFERENCE  (J,PR/C,84,054611,2011)                                C188100100012 
FACILITY   (VDGT,1USAORL) Experiment performed at the Oak Ridge   C188100100013 
           National Laboratory's Holifield Radioactive Ion Beam   C188100100014 
           Facility using the Isotope Separator On-line (ISOL)    C188100100015 
           technique.                                             C188100100016 
SAMPLE     CD2 target with thickness of 716 mu-g/cm2              C188100100017 
DETECTOR   (TELES,SISD,SI) The detection system was made up of    C188100100018 
           six telescopes and each consisted of a dE detector     C188100100019 
           followed by an E detector, both with area of 5x5 cm2.  C188100100020 
           The dE detectors have 16 strips and are position       C188100100021 
           sensitive while the rear detectors were pads that      C188100100022 
           simply measured energy. Detector telescopes allowed    C188100100023 
           for energy measurement as well as both position        C188100100024 
           determination and particle identification              C188100100025 
METHOD     (EDE,COINC) dE-E method was used for particle          C188100100026 
           identification and coincidence between alpha           C188100100027 
           particles and heavy fragments was required             C188100100028 
           Inverse kinematics was used                            C188100100029 
INC-SOURCE Atoms of 18F were produced via the 16O(alpha,pn)18F    C188100100030 
           reaction at energy of 85 MeV using HfO2 target. The    C188100100031 
           HfO2 target was in fibrous form and was heated for     C188100100032 
           fast diffusion of 18F atoms out of the target. The     C188100100033 
           fluorine atoms produced diffuse through the target     C188100100034 
           material and effuse through a transport line to the    C188100100035 
           cesium ion source to be negatively ionized. The beam   C188100100036 
           passes through two stages of mass separation before    C188100100037 
           injection into a 25-MV tandem electrostatic acceleratorC188100100038 
ERR-ANALYS (ERR-T) Total uncertainty                              C188100100039 
           (ERR-1) Uncertainty in number of target nuclei         C188100100040 
           (ERR-2) Uncertainty in number of 18F ions on target    C188100100041 
           (ERR-3) Uncertainty in Monte Carlo simulation and fit  C188100100042 
           (ERR-4) Uncertainty in beam spot size                  C188100100043 
           (ERR-5) Uncertainty in beam spot position              C188100100044 
HISTORY    (20111209C) Compiled by S.H.                           C188100100045 
           (20120707A) SD:  SF7=RSD moved from second record to   C188100100046 
           first record of REACTION codes of Subents 2,3.         C188100100047 
ENDBIB              45          0                                 C188100100048 
COMMON               7          6                                 C188100100049 
EN-CM      EN-ERR     ERR-1      ERR-2      ERR-3      ERR-4      C188100100050 
ERR-5                                                             C188100100051 
MEV        KEV        PER-CENT   PER-CENT   PER-CENT   PER-CENT   C188100100052 
PER-CENT                                                          C188100100053 
14.9       10.0       10.0       6.0        2.0        1.8        C188100100054 
0.5                                                               C188100100055 
ENDCOMMON            6          0                                 C188100100056 
ENDSUBENT           55          0                                 C188100199999 
SUBENT        C1881002   20120707                             C120C188100200001 
BIB                  3          6                                 C188100200002 
REACTION   ((1-H-2(9-F-18,P)9-F-19,PAR,DA,RSD)=                   C188100200003 
           (9-F-18(D,P)9-F-19,PAR,DA))                            C188100200004 
STATUS     (CURVE) Data taken from  fig. 8 of PR/C 84,054611      C188100200005 
                   Waiting for data from author                   C188100200006 
HISTORY    (20120707A) SD:  SF7=RSD moved from second record to   C188100200007 
           first record of REACTION code                          C188100200008 
ENDBIB               6          0                                 C188100200009 
NOCOMMON             0          0                                 C188100200010 
DATA                 4        455                                 C188100200011 
E-LVL      ANG-CM     DATA-CM    ERR-T                            C188100200012 
KEV        ADEG       MB/SR      MB/SR                            C188100200013 
     6080.0        1.0   1.38E+00   4.72E-01                      C188100200014 
     6080.0        2.0   1.74E+00   3.64E-01                      C188100200015 
     6080.0        3.0   1.22E+00   2.56E-01                      C188100200016 
     6080.0        4.0   1.57E+00   2.82E-01                      C188100200017 
     6080.0        5.0   1.94E+00   2.77E-01                      C188100200018 
     6080.0        6.0   1.63E+00   2.33E-01                      C188100200019 
     6080.0        7.0   1.50E+00   2.33E-01                      C188100200020 
     6080.0        8.0   1.55E+00   2.40E-01                      C188100200021 
     6080.0        9.0   1.57E+00   2.15E-01                      C188100200022 
     6080.0       10.0   1.37E+00   1.78E-01                      C188100200023 
     6080.0       11.0   1.56E+00   1.93E-01                      C188100200024 
     6080.0       12.0   1.24E+00   1.76E-01                      C188100200025 
     6080.0       13.0   1.01E+00   1.51E-01                      C188100200026 
     6080.0       14.0   1.21E+00   1.57E-01                      C188100200027 
     6080.0       15.0   1.21E+00   1.65E-01                      C188100200028 
     6080.0       16.0   1.01E+00   1.31E-01                      C188100200029 
     6080.0       17.0   1.17E+00   1.60E-01                      C188100200030 
     6080.0       18.0   1.22E+00   1.66E-01                      C188100200031 
     6080.0       19.0   8.70E-01   1.30E-01                      C188100200032 
     6080.0       20.0   1.06E+00   1.45E-01                      C188100200033 
     6080.0       21.0   8.15E-01   1.27E-01                      C188100200034 
     6080.0       22.0   1.13E+00   1.55E-01                      C188100200035 
     6080.0       23.0   1.02E+00   1.52E-01                      C188100200036 
     6080.0       24.0   6.99E-01   1.13E-01                      C188100200037 
     6080.0       25.0   8.97E-01   1.28E-01                      C188100200038 
     6080.0       26.0   7.98E-01   1.29E-01                      C188100200039 
     6080.0       27.0   8.78E-01   1.52E-01                      C188100200040 
     6080.0       28.0   6.55E-01   1.37E-01                      C188100200041 
     6080.0       29.0   8.91E-01   1.33E-01                      C188100200042 
     6080.0       30.0   5.87E-01   1.16E-01                      C188100200043 
     6080.0       31.0   6.14E-01   1.35E-01                      C188100200044 
     6080.0       32.0   2.74E-01   8.27E-02                      C188100200045 
     6080.0       33.0   4.96E-01   1.07E-01                      C188100200046 
     6080.0       34.0   5.19E-01   1.14E-01                      C188100200047 
     6080.0       35.0   1.82E-01   6.81E-02                      C188100200048 
     6080.0       36.0   3.27E-01   9.70E-02                      C188100200049 
     6080.0       37.0   4.61E-01   1.22E-01                      C188100200050 
     6080.0       38.0   1.51E-01   6.78E-02                      C188100200051 
     6080.0       39.0   9.61E-02   5.44E-02                      C188100200052 
     6080.0       40.0   2.40E-01   9.44E-02                      C188100200053 
     6080.0       41.0   1.82E-01   8.22E-02                      C188100200054 
     6080.0       42.0   2.72E-01   1.01E-01                      C188100200055 
     6080.0       43.0   1.68E-01   8.30E-02                      C188100200056 
     6080.0       44.0   2.73E-01   1.15E-01                      C188100200057 
     6080.0       45.0   2.48E-01   1.12E-01                      C188100200058 
     6080.0       46.0   2.71E-01   1.23E-01                      C188100200059 
     6080.0       47.0   2.41E-01   1.20E-01                      C188100200060 
     6080.0       48.0   3.35E-01   1.49E-01                      C188100200061 
     6080.0       49.0   1.51E-01   1.02E-01                      C188100200062 
     6080.0       50.0   2.57E-01                                 C188100200063 
     6333.0        1.0   1.38E+00   4.72E-01                      C188100200064 
     6333.0        2.0   1.74E+00   3.64E-01                      C188100200065 
     6333.0        3.0   1.22E+00   2.56E-01                      C188100200066 
     6333.0        4.0   1.57E+00   2.82E-01                      C188100200067 
     6333.0        5.0   1.94E+00   2.77E-01                      C188100200068 
     6333.0        6.0   1.63E+00   2.33E-01                      C188100200069 
     6333.0        7.0   1.50E+00   2.33E-01                      C188100200070 
     6333.0        8.0   1.55E+00   2.40E-01                      C188100200071 
     6333.0        9.0   1.57E+00   2.15E-01                      C188100200072 
     6333.0       10.0   1.37E+00   1.78E-01                      C188100200073 
