ENTRY            C2030   20130530                             C133C203000000001 
SUBENT        C2030001   20130530                             C133C203000100001 
BIB                  9         34                                 C203000100002 
TITLE      Production cross sections from 82Se fragmentation as   C203000100003 
           indications of shell effects in neutron-rich isotopes  C203000100004 
           close to the drip-line                                 C203000100005 
AUTHOR     (O.B.Tarasov,M.Portillo,D.J.Morrissey,A.M.Amthor,      C203000100006 
           L.Bandura,T.Baumann,D.Bazin,J.S.Berryman,B.A.Brown,    C203000100007 
           G.Chubarian,N.Fukuda,A.Gade,T.N.Ginter,M.Hausmann,     C203000100008 
           N.Inabe,T.Kubo,J.Pereira,B.M.Sherrill,A.Stolz,         C203000100009 
           C.Sumithrarachichi,M.Thoennessen,D.Weisshaar)          C203000100010 
INSTITUTE  (1USAMSU,1USATAM,2JPNIPC)                              C203000100011 
REFERENCE  (J,PR/C,87,054612,2013)                                C203000100012 
FACILITY   (CYCTM,1USAMSU) Experiment performed at coupled        C203000100013 
           cyclotron facility at the National Superconducting     C203000100014 
           Cyclotron Laboratory, East Lansing                     C203000100015 
DETECTOR   (MAGSP) Reaction products were analyzed by             C203000100016 
           combination of A1800 fragment separator and S800 beam  C203000100017 
           analyzing spectrometer. Momentum analyzed particles    C203000100018 
           were detected in focal plane of the S800 beam line     C203000100019 
           (TELES,SI,SCIN) At the end of the S800 analysis beam   C203000100020 
           line, the particles of interest were stopped in a      C203000100021 
           telescope of eight silicon PIN diodes (50 x 50 mm2     C203000100022 
           each) with a total thickness of 8.0 mm. A 50-mm-thick  C203000100023 
           plastic scintillator positioned behind the Si          C203000100024 
           telescope served as a veto detector against reactions  C203000100025 
           in the Si telescope and provided a measurement of the  C203000100026 
           residual energy of lighter ions that were not stopped  C203000100027 
           in the Si telescope.                                   C203000100028 
           (PPAC)A position-sensitive parallel plate avalanche    C203000100029 
           counter was located in front of the Si telescope to    C203000100030 
           determine position of charged particles.               C203000100031 
ERR-ANALYS (DATA-ERR) Total uncertainties include statistical,    C203000100032 
            systematic and transmission correction uncertainties  C203000100033 
CORRECTION  Data corrected for different transmission of A1800    C203000100034 
            fragment separator                                    C203000100035 
HISTORY    (20130630C) Compiled by S.H.                           C203000100036 
ENDBIB              34          0                                 C203000100037 
COMMON               1          3                                 C203000100038 
EN                                                                C203000100039 
MEV/A                                                             C203000100040 
139.0                                                             C203000100041 
ENDCOMMON            3          0                                 C203000100042 
ENDSUBENT           41          0                                 C203000199999 
SUBENT        C2030002   20130630                             C133C203000200001 
BIB                  4          7                                 C203000200002 
REACTION   (4-BE-9(34-SE-82,X)ELEM/MASS,,SIG)                     C203000200003 
STATUS     (TABLE) Data presented in fig. 6 of the reference      C203000200004 
                   sent by author (O.B.T.)                        C203000200005 
SAMPLE     Beryllium targets with thicknesses of 9.7, 68, 138,    C203000200006 
           230, 314, 413, and 513 mg/cm2                          C203000200007 
ANALYSIS   Cross sections normalized using LISE++ transmission    C203000200008 
           calculations                                           C203000200009 
ENDBIB               7          0                                 C203000200010 
NOCOMMON             0          0                                 C203000200011 
DATA                 5        330                                 C203000200012 
ELEMENT    MASS       DATA       -DATA-ERR  +DATA-ERR             C203000200013 
NO-DIM     NO-DIM     MB         MB         MB                    C203000200014 
       11.0       27.0   4.99E-03   2.22E-03   3.76E-03           C203000200015 
       11.0       28.0   8.51E-04   3.70E-04   6.02E-04           C203000200016 
       11.0       29.0   1.86E-04   1.11E-04   1.97E-04           C203000200017 
       11.0       30.0   2.62E-05   1.34E-05   2.79E-05           C203000200018 
       11.0       31.0   7.75E-06   3.17E-06   4.13E-06           C203000200019 
       11.0       32.0   3.81E-07   2.19E-07   1.99E-07           C203000200020 
       11.0       33.0   1.46E-08   1.39E-08   1.12E-08           C203000200021 
       12.0       29.0   5.17E-03   1.87E-03   3.48E-03           C203000200022 
       12.0       30.0   2.63E-03   1.12E-03   1.58E-03           C203000200023 
       12.0       31.0   3.79E-04   1.72E-04   2.89E-04           C203000200024 
       12.0       32.0   9.64E-05   4.34E-05   8.25E-05           C203000200025 
       12.0       33.0   8.27E-06   4.83E-06   4.68E-06           C203000200026 
       12.0       34.0   1.38E-06   5.75E-07   6.41E-07           C203000200027 
       12.0       35.0   4.13E-08   2.91E-08   3.00E-08           C203000200028 
       12.0       36.0   1.75E-09   1.48E-09   2.23E-09           C203000200029 
       12.0       37.0   8.91E-11   8.10E-11   1.64E-10           C203000200030 
       13.0       32.0   3.72E-03   1.21E-03   1.53E-03           C203000200031 
       13.0       33.0   1.60E-03   6.05E-04   1.05E-03           C203000200032 
       13.0       34.0   1.69E-04   7.10E-05   1.26E-04           C203000200033 
       13.0       35.0   4.03E-05   2.03E-05   3.26E-05           C203000200034 
       13.0       36.0   3.23E-06   1.86E-06   1.70E-06           C203000200035 
       13.0       37.0   5.62E-07   2.69E-07   2.07E-07           C203000200036 
       13.0       38.0   2.47E-08   1.90E-08   2.16E-08           C203000200037 
       13.0       39.0   7.40E-10   5.30E-10   5.35E-10           C203000200038 
       14.0       29.0   1.54E+00   1.46E+00   5.79E+00           C203000200039 
       14.0       30.0   2.44E+00   1.97E+00   4.95E+00           C203000200040 
       14.0       31.0   8.22E-01   5.08E-01   1.15E+00           C203000200041 
       14.0       32.0   2.25E-01   2.13E-01   3.00E+00           C203000200042 
       14.0       34.0   7.70E-03   1.32E-03   1.58E-03           C203000200043 
       14.0       35.0   1.12E-03   4.67E-04   9.25E-04           C203000200044 
       14.0       36.0   4.08E-04   2.02E-04   3.79E-04           C203000200045 
       14.0       37.0   4.89E-05   2.25E-05   3.88E-05           C203000200046 
       14.0       38.0   9.26E-06   4.85E-06   6.73E-06           C203000200047 
       14.0       39.0   9.52E-07   3.10E-07   4.64E-07           C203000200048 
       14.0       40.0   1.00E-07   4.95E-08   6.11E-08           C203000200049 
       14.0       41.0   3.71E-09   2.33E-09   2.08E-09           C203000200050 
       14.0       42.0   1.58E-10   1.30E-10   1.29E-10           C203000200051 
       15.0       31.0   8.52E-01   6.79E-01   1.75E+00           C203000200052 
       15.0       32.0   1.37E+00   8.10E-01   1.70E+00           C203000200053 
       15.0       33.0   1.00E+00   4.87E-01   8.53E-01           C203000200054 
       15.0       34.0   2.93E-01   2.32E-01   4.70E-01           C203000200055 
       15.0       35.0   7.36E-02   5.72E-02   2.65E-01           C203000200056 
       15.0       36.0   1.31E-02   3.26E-03   3.54E-03           C203000200057 
       15.0       37.0   4.36E-03   1.57E-03   2.76E-03           C203000200058 
       15.0       38.0   9.98E-04   4.32E-04   1.17E-03           C203000200059 
       15.0       39.0   2.35E-04   1.16E-04   1.90E-04           C203000200060 
       15.0       40.0   2.18E-05   1.07E-05   1.85E-05           C203000200061 
       15.0       41.0   3.50E-06   1.45E-06   2.32E-06           C203000200062 
       15.0       42.0   2.01E-07   6.66E-08   9.23E-08           C203000200063 
