ENTRY            C2120   20140703                             C145C212000000001 
SUBENT        C2120001   20140703                             C145C212000100001 
BIB                 11         43                                 C212000100002 
TITLE      Beta+ Gamow-Teller Transition Strengths from 46Ti and  C212000100003 
           Stellar Electron- Capture Rates                        C212000100004 
AUTHOR     (S.Noji,R.G.T.Zegers,S.M.Austin,T.Baugher,D.Bazin,     C212000100005 
           B.A.Brown,C.M.Campbell,A.L.Cole,H.J.Doster,A.Gade,     C212000100006 
           C.J.Guess,S.Gupta,G.W.Hitt,C.Langer,S.Lipschutz,       C212000100007 
           E.Lunderberg,R.Meharchand,Z.Meisel,G.Perdikakis,       C212000100008 
           J.Pereira,F.Recchia,H.Schatz,M.Scott,S.R.Stroberg,     C212000100009 
            C.Sullivan,L.Valdez,C.Walz,D.Weisshaar,S.J.Williams,  C212000100010 
           K.Wimmer)                                              C212000100011 
INSTITUTE  (1USAMSU,1USAWMU,1USABRK,1USALTI,1USALAS)              C212000100012 
           (1USAUSA) Rowan University, Glassboro, New Jersey      C212000100013 
           (3INDIND) Indian Institute of Technology Ropar,        C212000100014 
                     Rupnagar, Punjab                             C212000100015 
           (3UAEUAE) Khalifa University of Science, Technology    C212000100016 
                     and Research, Abu Dhabi                      C212000100017 
           (1USAUSA) Central Michigan University, Mt. Pleasant,   C212000100018 
                     Michigan                                     C212000100019 
REFERENCE  (J,PRL,112,252501,2014)                                C212000100020 
FACILITY   (CYCTM,1USAMSU) Superconducting cyclotrons with A1900  C212000100021 
           fragment separator were used in the experiment         C212000100022 
SAMPLE     (22-TI-46,ENR=0.771)                                   C212000100023 
           (22-TI-47,ENR=0.023)                                   C212000100024 
           (22-TI-48,ENR=0.173)                                   C212000100025 
           (22-TI-49,ENR=0.015)                                   C212000100026 
           (22-TI-50,ENR=0.018)                                   C212000100027 
           Selfsupporting target with thickness of 10 mg/cm2      C212000100028 
DETECTOR   (MAGSP,DRFTC,SCIN) 3He reaction products were          C212000100029 
           momentum analyzed by the S800 magnetic spectrometer    C212000100030 
           and detected at the focal plane by two                 C212000100031 
           cathode-readout drift chambers and a 5-mm-thick        C212000100032 
           plastic scintillator.                                  C212000100033 
ANALYSIS   The drift chamber data were used to reconstruct        C212000100034 
           angles and momenta of the 3He particles at the         C212000100035 
           target. Excitation energies of 46Sc over the range 0 - C212000100036 
            20 MeV with a resolution of 0.3 MeV(FWHM) were        C212000100037 
           obtained using a missing mass analysis.                C212000100038 
INC-SOURCE Beam of 16-O with energy of 150 MeV/u impinged on a    C212000100039 
           3525 mg/cm2 thick Be target. Tritons were selected     C212000100040 
           from other reaction products using the A1900 fragment  C212000100041 
           separator                                              C212000100042 
ERR-ANALYS (ERR-SYS) Systematic uncertainty                       C212000100043 
           (ERR-S) Statistical uncertainty                        C212000100044 
HISTORY    (20140703C) Compiled by S.H.                           C212000100045 
ENDBIB              43          0                                 C212000100046 
COMMON               2          3                                 C212000100047 
EN         ERR-SYS                                                C212000100048 
MEV/A      PER-CENT                                               C212000100049 
115.0      6.0                                                    C212000100050 
ENDCOMMON            3          0                                 C212000100051 
ENDSUBENT           50          0                                 C212000199999 
SUBENT        C2120002   20140703                             C145C212000200001 
BIB                  2          3                                 C212000200002 
REACTION   (22-TI-46(T,HE3)21-SC-46,ICL,DA/DE,HE3/RSD)            C212000200003 
STATUS     (TABLE) Data presented in left panel of fig. 1 of the  C212000200004 
                   reference sent by author (S.N.)                C212000200005 
ENDBIB               3          0                                 C212000200006 
NOCOMMON             0          0                                 C212000200007 
DATA                 4        118                                 C212000200008 
ANG-CM     E-EXC      DATA       ERR-S                            C212000200009 
ADEG       MEV        MB/SR/MEV  MB/SR/MEV                        C212000200010 
       0.67      -0.38      0.035      0.035                      C212000200011 
       0.67      -0.13      0.104      0.060                      C212000200012 
       0.67       0.13      0.242      0.092                      C212000200013 
       0.67       0.38      0.519      0.134                      C212000200014 
       0.67       0.63      0.242      0.092                      C212000200015 
       0.67       0.88      0.138      0.069                      C212000200016 
       0.67       1.13      0.380      0.115                      C212000200017 
       0.67       1.38      0.207      0.085                      C212000200018 
       0.67       1.63      0.380      0.115                      C212000200019 
       0.67       1.90      0.576      0.129                      C212000200020 
       0.67       2.20      1.210      0.187                      C212000200021 
       0.67       2.50      1.296      0.193                      C212000200022 
       0.67       2.80      1.556      0.212                      C212000200023 
       0.67       3.10      1.469      0.206                      C212000200024 
       0.67       3.50      1.124      0.139                      C212000200025 
       0.67       4.00      1.106      0.138                      C212000200026 
       0.67       4.50      1.020      0.133                      C212000200027 
       0.67       5.13      1.187      0.117                      C212000200028 
       0.67       5.88      1.406      0.127                      C212000200029 
       0.67       6.63      1.521      0.132                      C212000200030 
       0.67       7.38      1.740      0.142                      C212000200031 
       0.67       8.13      1.913      0.149                      C212000200032 
       0.67       9.00      2.014      0.132                      C212000200033 
       0.67      10.00      2.308      0.141                      C212000200034 
       0.67      11.00      2.619      0.150                      C212000200035 
       0.67      12.00      2.714      0.153                      C212000200036 
       0.67      13.25      2.858      0.128                      C212000200037 
       0.67      14.75      2.720      0.125                      C212000200038 
       0.67      16.25      2.639      0.123                      C212000200039 
       0.67      18.00      2.684      0.108                      C212000200040 
       2.11      -0.38      0.151      0.046                      C212000200041 
       2.11      -0.13      0.110      0.039                      C212000200042 
       2.11       0.13      0.398      0.074                      C212000200043 
       2.11       0.38      0.480      0.081                      C212000200044 
       2.11       0.63      0.220      0.055                      C212000200045 
       2.11       0.88      0.137      0.043                      C212000200046 
       2.11       1.13      0.192      0.051                      C212000200047 
       2.11       1.38      0.192      0.051                      C212000200048 
       2.11       1.63      0.398      0.074                      C212000200049 
       2.11       1.90      0.526      0.078                      C212000200050 
       2.11       2.20      0.732      0.092                      C212000200051 
       2.11       2.50      0.640      0.086                      C212000200052 
       2.11       2.80      1.121      0.113                      C212000200053 
       2.11       3.10      1.178      0.116                      C212000200054 
       2.11       3.50      0.926      0.080                      C212000200055 
       2.11       4.00      0.858      0.077                      C212000200056 
       2.11       4.50      1.173      0.090                      C212000200057 
       2.11       5.13      1.340      0.078                      C212000200058 
       2.11       5.88      1.477      0.082                      C212000200059 
       2.11       6.63      2.099      0.098                      C212000200060 
       2.11       7.38      2.026      0.096                      C212000200061 
       2.11       8.13      2.616      0.109                      C212000200062 
       2.11       9.00      2.672      0.096                      C212000200063 
       2.11      10.00      2.967      0.101                      C212000200064 
       2.11      11.00      3.091      0.103                      C212000200065 
       2.11      12.00      3.163      0.104                      C212000200066 
       2.11      13.25      3.012      0.083                      C212000200067 
       2.11      14.75      2.998      0.083                      C212000200068 
       2.11      16.25      2.785      0.080                      C212000200069 
       2.11      18.00      2.705      0.068                      C212000200070 
       3.80      -0.13      0.035      0.020                      C212000200071 
       3.80       0.13      0.212      0.050                      C212000200072 
       3.80       0.38      0.343      0.064                      C212000200073 
       3.80       0.63      0.166      0.044                      C212000200074 
       3.80       0.88      0.035      0.020                      C212000200075 
       3.80       1.13      0.103      0.034                      C212000200076 
       3.80       1.38      0.137      0.040                      C212000200077 
       3.80       1.63      0.240      0.052                      C212000200078 
