ENTRY            C2796   20220817                             C228C2796000    1 
SUBENT        C2796001   20220817                             C228C2796001    1 
BIB                 13         24                                 C2796001    2 
TITLE      Assignment of Jpi=6+ to two states of 16O via the      C2796001    3 
           12C(alpha,8Be)8Be reaction                             C2796001    4 
AUTHOR     (D.R.James,J.L.Artz,M.B.Greenfield,N.R.Fletcher)       C2796001    5 
INSTITUTE  (1USAFSU)                                              C2796001    6 
REFERENCE  (J,NP/A,227,349,1974)                                  C2796001    7 
           #doi:10.1016/0375-9474(74)90803-3                      C2796001    8 
FACILITY   (VDGT,1USAFSU) The Florida State super FN tandem       C2796001    9 
           accelerator.                                           C2796001   10 
DETECTOR   (SIBAR) Silicon surface barrier detector having an     C2796001   11 
           area of 200 mm2 and a central dead strip 1 mm wide     C2796001   12 
           between electrically independent semicircular halves.  C2796001   13 
SAMPLE     Foil targets of natural carbon with the thickness of   C2796001   14 
           20-60 mu-g/cm2.                                        C2796001   15 
METHOD     (COINC) Two alpha-particles from the decay of          C2796001   16 
           residual Be-8 detected in coincidence.                 C2796001   17 
PART-DET   (A)                                                    C2796001   18 
MONITOR    The absolute cross section was determined through the  C2796001   19 
           use of a target thickness measurement utilizing the    C2796001   20 
           Rutherford cross section and the data from the elastic C2796001   21 
           scattering of 16O from 12C at 20 MeV and forward anglesC2796001   22 
EN-SEC     (E-LVL1,4-BE-8) Excitation energy of the outgoing Be-8.C2796001   23 
           (E-LVL2,4-BE-8) Excitation energy of the recoil Be-8.  C2796001   24 
ERR-ANALYS (ERR-1) Absolute cross section uncertainty             C2796001   25 
HISTORY    (20220817C) OG                                         C2796001   26 
ENDBIB              24          0                                 C2796001   27 
COMMON               3          3                                 C2796001   28 
ERR-1      E-LVL1     E-LVL2                                      C2796001   29 
PER-CENT   MEV        MEV                                         C2796001   30 
10.        0.         0.                                          C2796001   31 
ENDCOMMON            3          0                                 C2796001   32 
ENDSUBENT           31          0                                 C279600199999 
SUBENT        C2796002   20220817                             C228C2796002    1 
BIB                  3          4                                 C2796002    2 
REACTION   (6-C-12(A,4-BE-8)4-BE-8,,DA)                           C2796002    3 
ERR-ANALYS (DATA-ERR) No information on source of uncertainties.  C2796002    4 
STATUS     (CURVE) Fig.3 (p.353) in J,NP/A,227,349,1974 was       C2796002    5 
           digitized by GSYS-2.4.9.                               C2796002    6 
ENDBIB               4          0                                 C2796002    7 
NOCOMMON             0          0                                 C2796002    8 
DATA                 4        228                                 C2796002    9 
ANG-CM     EN         DATA-CM    DATA-ERR                         C2796002   10 
ADEG       MEV        MB/SR      MB/SR                            C2796002   11 
        48.     19.387      1.409      0.038                      C2796002   12 
        48.     19.437      1.550      0.036                      C2796002   13 
        48.     19.490      1.386      0.031                      C2796002   14 
        48.     19.540      1.292      0.034                      C2796002   15 
        48.     19.586      1.146      0.048                      C2796002   16 
        48.     19.632      1.019      0.027                      C2796002   17 
        48.     19.680      0.961      0.031                      C2796002   18 
        48.     19.734      0.901      0.026                      C2796002   19 
        48.     19.778      0.898      0.027                      C2796002   20 
        48.     19.834      1.063      0.027                      C2796002   21 
        48.     19.881      1.262      0.032                      C2796002   22 
        48.     19.936      1.271      0.032                      C2796002   23 
        48.     19.975      1.104      0.027                      C2796002   24 
        48.     20.030      1.156      0.031                      C2796002   25 
        48.     20.087      1.008      0.031                      C2796002   26 
        48.     20.131      1.008      0.053                      C2796002   27 
        48.     20.161      0.975      0.072                      C2796002   28 
        48.     20.184      0.880      0.048                      C2796002   29 
        48.     20.212      0.914      0.053                      C2796002   30 
        48.     20.243      0.936      0.043                      C2796002   31 
        48.     20.259      0.856      0.039                      C2796002   32 
        48.     20.275      1.017      0.048                      C2796002   33 
        48.     20.309      0.992      0.051                      C2796002   34 
        48.     20.321      0.855      0.066                      C2796002   35 
        48.     20.358      0.833      0.058                      C2796002   36 
        48.     20.381      0.758      0.041                      C2796002   37 
        48.     20.404      0.685      0.058                      C2796002   38 
        48.     20.426      0.830      0.034                      C2796002   39 
        48.     20.446      0.792      0.039                      C2796002   40 
        48.     20.473      0.760      0.032                      C2796002   41 
        48.     20.523      0.582      0.029                      C2796002   42 
        48.     20.573      0.468      0.027                      C2796002   43 
        48.     20.616      0.389      0.029                      C2796002   44 
        48.     20.674      0.343      0.017                      C2796002   45 
        48.     20.728      0.305      0.027                      C2796002   46 
        48.     20.769      0.288      0.022                      C2796002   47 
        48.     20.823      0.237      0.020                      C2796002   48 
        48.     20.875      0.302      0.022                      C2796002   49 
        48.     20.923      0.368      0.031                      C2796002   50 
        48.     20.968      0.417      0.026                      C2796002   51 
        48.     21.019      0.402      0.022                      C2796002   52 
        48.     21.075      0.463      0.031                      C2796002   53 
        48.     21.130      0.500      0.020                      C2796002   54 
        48.     21.174      0.510      0.026                      C2796002   55 
        48.     21.222      0.466      0.024                      C2796002   56 
        48.     21.269      0.398      0.024                      C2796002   57 
        48.     21.328      0.457      0.029                      C2796002   58 
