ENTRY            C2870   20230131                             C234C2870000    1 
SUBENT        C2870001   20230131                             C234C2870001    1 
BIB                 10         23                                 C2870001    2 
TITLE      Study of the alpha+alpha system below 15 MeV (c.m.)    C2870001    3 
AUTHOR     (W.S.Chien,R.E.Brown)                                  C2870001    4 
INSTITUTE  (1USAMIN)                                              C2870001    5 
REFERENCE  (J,PR/C,10,1767,1974)                                  C2870001    6 
           #doi:10.1103/PhysRevC.10.1767                          C2870001    7 
FACILITY   (VDGT,1USAMIN)                                         C2870001    8 
DETECTOR   (SIBAR) Detector assemblies were used. One served as   C2870001    9 
           a monitor at a fixed angle and the other served to     C2870001   10 
           measure differential cross sections.The particle       C2870001   11 
           detector was a silicon, surface-barrier type, having   C2870001   12 
           a sensitive area of 100 mm2 and a maximum depletion    C2870001   13 
           depth of 700 mu-m.                                     C2870001   14 
SAMPLE     The 4He target gas was contained in gas cells          C2870001   15 
           enclosed by 6-mu-m-thick Kapton plastic foil. Most of  C2870001   16 
           the data were obtained using a 2.3-cm-diam             C2870001   17 
           cylindrical brass cell having 1-cm-high windows        C2870001   18 
           separated by two posts. Some forward-angle data were   C2870001   19 
           obtained using a 3.8-cm-diam brass cell having a       C2870001   20 
           3.5-cm-long snout.                                     C2870001   21 
METHOD     (EXTB)                                                 C2870001   22 
ADD-RES    (POT) A phase-shift analysis, a two-level R-matrix     C2870001   23 
           and potential analyses.                                C2870001   24 
HISTORY    (20230129C) OG                                         C2870001   25 
ENDBIB              23          0                                 C2870001   26 
NOCOMMON             0          0                                 C2870001   27 
ENDSUBENT           26          0                                 C287000199999 
SUBENT        C2870002   20230131                             C234C2870002    1 
BIB                  4         20                                 C2870002    2 
REACTION   (2-HE-4(A,EL)2-HE-4,,DA)                               C2870002    3 
CORRECTION Corrected for gas purity, 4He equation of state,       C2870002    4 
           electronic dead time, slit scattering, detector        C2870002    5 
           efficiency.                                            C2870002    6 
ERR-ANALYS (ERR-1) The lowest-order geometry factor               C2870002    7 
           (ERR-2) Gas pressure                                   C2870002    8 
           (ERR-3) Gas temperature                                C2870002    9 
           (ERR-4) Gas purity                                     C2870002   10 
           (ERR-5) Beam-charge collection                         C2870002   11 
           (ERR-6,,0.4) Counting statistics                       C2870002   12 
           (ERR-7,,0.1) Background subtraction                    C2870002   13 
           (ERR-8,,0.05) Electronic dead time                     C2870002   14 
           (ERR-9) Slit scattering                                C2870002   15 
           (ERR-10,,0.06) Detector efficiency                     C2870002   16 
           (ERR-11,,0.02) Angular asymmetry                       C2870002   17 
           (ERR-12,,0.80) Absolute angle                          C2870002   18 
           (ERR-13) An additional standard deviation in the       C2870002   19 
           absolute cross section scale                           C2870002   20 
           (DATA-ERR) Relative uncertainty given.                 C2870002   21 
STATUS     (TABLE,,W.S.Chien+,J,PR/C,10,1767,1974) Table II       C2870002   22 
ENDBIB              20          0                                 C2870002   23 
COMMON               7          6                                 C2870002   24 
ERR-1      ERR-2      ERR-3      ERR-4      ERR-5      ERR-9      C2870002   25 
ERR-13                                                            C2870002   26 
PER-CENT   PER-CENT   PER-CENT   PER-CENT   PER-CENT   PER-CENT   C2870002   27 
PER-CENT                                                          C2870002   28 
       0.23        0.1        0.1       0.04        0.1       0.03C2870002   29 
       0.30                                                       C2870002   30 
ENDCOMMON            6          0                                 C2870002   31 
DATA                 4        249                                 C2870002   32 
EN         ANG-CM     DATA-CM    DATA-ERR                         C2870002   33 
MEV        ADEG       MB/SR      PER-CENT                         C2870002   34 
      18.00      22.03      961.9       0.37                      C2870002   35 
      18.00      24.03      856.0       0.49                      C2870002   36 
      18.00      26.03      747.8       0.47                      C2870002   37 
      18.00      28.03      652.9       0.51                      C2870002   38 
      18.00      30.04      557.6       0.55                      C2870002   39 
      18.00      32.04      478.1       0.63                      C2870002   40 
      18.00      34.04      399.9       0.62                      C2870002   41 
      18.00      36.04      328.0       0.65                      C2870002   42 
      18.00      38.04      270.9       0.70                      C2870002   43 
      18.00      40.04      219.2       0.70                      C2870002   44 
      18.00      42.05      181.4       0.75                      C2870002   45 
      18.00      44.05      145.6       0.78                      C2870002   46 
      18.00      46.05     120.24       0.74                      C2870002   47 
      18.00      48.05      97.60       0.73                      C2870002   48 
      18.00      50.05      79.81       0.72                      C2870002   49 
      18.00      52.05      69.17       0.60                      C2870002   50 
      18.00      54.06      60.35       0.57                      C2870002   51 
      18.00      56.06      56.78       0.51                      C2870002   52 
      18.00      58.06      54.64       0.48                      C2870002   53 
      18.00      60.06      55.79       0.53                      C2870002   54 
      18.00      62.06      60.18       0.53                      C2870002   55 
      18.00      64.06      65.85       0.56                      C2870002   56 
      18.00      66.06      74.78       0.57                      C2870002   57 
      18.00      68.06      84.77       0.60                      C2870002   58 
      18.00      70.07      97.20       0.62                      C2870002   59 
      18.00      72.07     110.83       0.59                      C2870002   60 
      18.00      74.07     126.28       0.55                      C2870002   61 
      18.00      76.07     138.16       0.52                      C2870002   62 
      18.00      78.07     152.67       0.49                      C2870002   63 
      18.00      80.07     165.18       0.47                      C2870002   64 
      18.00      82.07     177.75       0.38                      C2870002   65 
      18.00      84.07     189.06       0.43                      C2870002   66 
      18.00      86.07     193.00       0.36                      C2870002   67 
      18.00      88.07     198.71       0.42                      C2870002   68 
      18.00      90.07     199.16       0.42                      C2870002   69 
      21.12      22.03     1227.8       0.57                      C2870002   70 
      21.12      24.03     1030.4       0.67                      C2870002   71 
      21.12      26.04      831.9       0.76                      C2870002   72 
      21.12      28.04      667.7       0.84                      C2870002   73 
      21.12      30.04      523.6       0.88                      C2870002   74 
      21.12      32.04      398.0       0.96                      C2870002   75 
      21.12      34.05      302.1       0.86                      C2870002   76 
      21.12      35.05      269.4       0.91                      C2870002   77 
      21.12      36.05      237.5       0.92                      C2870002   78 
      21.12      38.05      188.8       0.71                      C2870002   79 
      21.12      40.05      164.8       0.65                      C2870002   80 
      21.12      42.05     154.05       0.47                      C2870002   81 
      21.12      45.06     155.02       0.49                      C2870002   82 
      21.12      48.06     168.51       0.45                      C2870002   83 
      21.12      50.06     176.70       0.27                      C2870002   84 
      21.12      52.06     181.92       0.44                      C2870002   85 
      21.12      54.07     181.34       0.44                      C2870002   86 
      21.12      56.07     176.21       0.48                      C2870002   87 
      21.12      58.07     167.30       0.40                      C2870002   88 
      21.12      60.07     154.43       0.44                      C2870002   89 
      21.12      62.07     141.27       0.61                      C2870002   90 
      21.12      64.07     120.32       0.64                      C2870002   91 
      21.12      65.07     114.01       0.71                      C2870002   92 
      21.12      68.08      87.89       0.67                      C2870002   93 
      21.12      72.08      64.23       0.65                      C2870002   94 
      21.12      75.08      54.57       0.61                      C2870002   95 
      21.12      78.08      51.79       0.47                      C2870002   96 
      21.12      80.08      53.33       0.41                      C2870002   97 
      21.12      82.08      56.73       0.48                      C2870002   98 
      21.12      84.08      59.67       0.48                      C2870002   99 
      21.12      85.08      61.93       0.58                      C2870002  100 
      21.12      86.08      63.12       0.47                      C2870002  101 
      21.12      88.08      64.01       0.51                      C2870002  102 
      21.12      90.08      64.51       0.75                      C2870002  103 
      24.11      22.04      2017.       0.75                      C2870002  104 
      24.11      24.04      1540.       0.95                      C2870002  105 
      24.11      26.04      1125.       1.06                      C2870002  106 
      24.11      28.04      781.0       1.25                      C2870002  107 
      24.11      30.05      504.4       1.50                      C2870002  108 
      24.11      32.05      296.2       1.83                      C2870002  109 
      24.11      34.05      152.5       2.29                      C2870002  110 
      24.11      36.05       67.2       2.70                      C2870002  111 
      24.11      37.06       44.4       2.47                      C2870002  112 
      24.11      38.06      31.86       1.58                      C2870002  113 
      24.11      39.06      28.33       0.78                      C2870002  114 
      24.11      40.06      34.52       1.70                      C2870002  115 
      24.11      42.06       65.8       1.86                      C2870002  116 
