ENTRY            C2964   20240630                             C238C296400000001 
SUBENT        C2964001   20240630                             C238C296400100001 
BIB                 10         19                                 C296400100002 
TITLE      Intrinsic states in odd-A rhenium isotopes             C296400100003 
AUTHOR     (M.T.Lu,W.P.Alford)                                    C296400100004 
INSTITUTE  (1USAROC)                                              C296400100005 
REFERENCE  (J,PR/C,3,1243,1971)                                   C296400100006 
           #doi:10.1103/PhysRevC.3.1243                           C296400100007 
FACILITY   (VDGT,1USAROC)                                         C296400100008 
DETECTOR   (MAGSP) Reaction products were detected in Kodak-type  C296400100009 
           NTB nuclear emulsions in the focal surface of an Enge  C296400100010 
           broad-range spectrograph.                              C296400100011 
SAMPLE     Targets were prepared by evaporating tungsten metal    C296400100012 
           in an electron-gun evaporator. The thickness of the    C296400100013 
           target material was about 50 mu-g/cm2, and was         C296400100014 
           deposited on carbon foil 20 mu-g/cm2 in thickness.     C296400100015 
METHOD     (EXTB)                                                 C296400100016 
ADD-RES    (POT,COMP) Transfer l-values were obtained from cross- C296400100017 
           section ratios of the two stripping reactions and      C296400100018 
           spectroscopic factors were extracted using DWBA        C296400100019 
           calculations.                                          C296400100020 
HISTORY    (20240626C) OG                                         C296400100021 
ENDBIB              19          0                                 C296400100022 
NOCOMMON             0          0                                 C296400100023 
ENDSUBENT           22          0                                 C296400199999 
SUBENT        C2964002   20240630                             C238C296400200001 
BIB                  5         10                                 C296400200002 
REACTION   (74-W-182(HE3,D)75-RE-183,PAR,DA)                      C296400200003 
SAMPLE     (74-W-182,ENR=0.944)                                   C296400200004 
           (74-W-180,ENR=0.0005)                                  C296400200005 
           (74-W-183,ENR=0.0253)                                  C296400200006 
           (74-W-184,ENR=0.0232)                                  C296400200007 
           (74-W-186,ENR=0.008)                                   C296400200008 
DETECTOR   For the (He3,d) reaction the emulsions were covered by C296400200009 
           aluminum absorber 0.9 mm in thickness.                 C296400200010 
ERR-ANALYS (DATA-ERR) No information on source of uncertainties   C296400200011 
STATUS     (CURVE,,M.T.Lu+,J,PR/C,3,1243,1971) Fig.3 (p.1248)     C296400200012 
ENDBIB              10          0                                 C296400200013 
COMMON               2          3                                 C296400200014 
EN         E-EXC-ERR                                              C296400200015 
MEV        KEV                                                    C296400200016 
28.        3.                                                     C296400200017 
ENDCOMMON            3          0                                 C296400200018 
DATA                 4        138                                 C296400200019 
E-EXC      ANG-CM     DATA-CM    DATA-ERR                         C296400200020 
KEV        ADEG       MU-B/SR    MU-B/SR                          C296400200021 
         0.     14.447  3.815E+01  3.090E+00                      C296400200022 
         0.     19.754  3.282E+01  1.974E+00                      C296400200023 
         0.     24.255  5.262E+01  3.711E+00                      C296400200024 
         0.     29.161  6.120E+01  5.604E+00                      C296400200025 
         0.     34.601  5.804E+01  3.491E+00                      C296400200026 
         0.     39.398  5.609E+01  3.956E+00                      C296400200027 
         0.     44.284  7.052E+01  4.254E+00                      C296400200028 
         0.     49.630  5.242E+01  2.615E+00                      C296400200029 
         0.     54.458  4.508E+01  4.136E+00                      C296400200030 
       603.     13.250  1.866E+01  1.104E+00                      C296400200031 
       603.     17.542  2.465E+01  1.468E+00                      C296400200032 
       603.     23.090  2.214E+01  1.515E+00                      C296400200033 
       603.     28.556  2.898E+01  2.538E+00                      C296400200034 
       603.     32.730  3.059E+01  1.814E+00                      C296400200035 
       603.     37.593  2.949E+01  2.300E+00                      C296400200036 
       603.     42.914  3.486E+01  1.718E+00                      C296400200037 
       603.     48.141  2.944E+01  2.308E+00                      C296400200038 
       603.     53.390  2.245E+01  1.326E+00                      C296400200039 
       603.     55.679  4.397E+01  2.596E+00                      C296400200040 
       620.     14.392  1.534E+00  5.460E-01                      C296400200041 
       620.     19.384  5.938E+00  8.459E-01                      C296400200042 
       620.     23.442  1.420E+01  1.509E+00                      C296400200043 
       620.     29.460  1.500E+01  1.597E+00                      C296400200044 
       620.     34.352  1.164E+01  1.256E+00                      C296400200045 
       620.     38.848  1.375E+01  1.335E+00                      C296400200046 
       620.     44.160  1.875E+01  1.469E+00                      C296400200047 
       620.     49.577  1.248E+01  1.556E+00                      C296400200048 
       620.     54.093  1.277E+01  1.122E+00                      C296400200049 
       665.     20.268  1.537E+00  4.194E-01                      C296400200050 
       665.     25.038  3.329E+00  1.053E+00                      C296400200051 
       665.     29.925  2.476E+00  5.009E-01                      C296400200052 
       665.     34.858  5.647E+00  7.413E-01                      C296400200053 
       665.     40.210  5.897E+00  6.388E-01                      C296400200054 
       665.     44.742  5.276E+00  8.459E-01                      C296400200055 
       665.     49.743  6.427E+00  9.736E-01                      C296400200056 
       665.     54.796  4.880E+00  7.826E-01                      C296400200057 
       704.     13.411  3.061E+00  5.895E-01                      C296400200058 
