ENTRY            D0038   20060726                             D048D003800000001 
SUBENT        D0038001   20060726                             D048D003800100001 
BIB                 13         25                                 D003800100002 
TITLE      Angular distribution for the 3-Li-7(p,n)4-Be-7 reactionD003800100003 
           between 4.2 and 26 MeV.                                D003800100004 
AUTHOR     (C.H.Poppe,J.D.Anderson,J.C.Davis,S..M.Grimes,C.Wong)  D003800100005 
INSTITUTE  (1USALRL)                                              D003800100006 
EXP-YEAR   (1976)                                                 D003800100007 
REFERENCE  (J,PR/C,14,438,1976) graph.data                        D003800100008 
           (W,POPPE,19790507) numerical data sent to H.Liskien.   D003800100009 
SAMPLE     self-supporting metallic Li foils 2.3 or 4.7 mg/cm-sq. D003800100010 
FACILITY   (VDGT,1USALRL) between 4.25 and 12 MeV                 D003800100011 
           (CYGFF,1USALRL) between 15.2 and 26 MeV                D003800100012 
METHOD     (TOF) faraday cup                                      D003800100013 
DETECTOR   (SCIN)                                                 D003800100014 
PART-DET   (N)                                                    D003800100015 
ERR-ANALYS (DATA-ERR) Uncertainties include:                      D003800100016 
              * target thickness,                                 D003800100017 
              * background,                                       D003800100018 
              * peak separatiion procedure for the                D003800100019 
                cyclograaff runs,integrator                       D003800100020 
STATUS     (TABLE) data taken from priv.comm.by H.Poppe 1979/05/07D003800100021 
           numerical data sent to Liskien.it corresponded to the  D003800100022 
           fig.7 and 8 of Phys.Rev.C14,(1976),438.                D003800100023 
           (APRVD) approved by H.Liskien 83/06/24.                D003800100024 
HISTORY    (19830222C) DG.-                                       D003800100025 
           (19840309U) DG.-(aprvd) added.-                        D003800100026 
           (20060726A) BIB section upgrated                       D003800100027 
ENDBIB              25          0                                 D003800100028 
NOCOMMON             0          0                                 D003800100029 
ENDSUBENT           28          0                                 D003800199999 
SUBENT        D0038002   20060726                             D048D003800200001 
BIB                  1          2                                 D003800200002 
REACTION   (3-LI-7(P,N)4-BE-7,PAR,DA)                             D003800200003 
           partial (ground state) differential cross-section      D003800200004 
ENDBIB               2          0                                 D003800200005 
COMMON               1          3                                 D003800200006 
E-LVL                                                             D003800200007 
MEV                                                               D003800200008 
 0.                                                               D003800200009 
ENDCOMMON            3          0                                 D003800200010 
DATA                 4        372                                 D003800200011 
EN         ANG-CM     DATA-CM    DATA-ERR                         D003800200012 
MEV        ADEG       MB/SR      MB/SR                            D003800200013 
 4.25        4.17     27.2       1.90                             D003800200014 
 4.25       10.95     28.3       1.98                             D003800200015 
 4.25       28.2      30.3       2.1                              D003800200016 
 4.25       38.2      35.4       2.5                              D003800200017 
 4.25       45.6      27.0       1.9                              D003800200018 
 4.25       54.2      26.5       1.86                             D003800200019 
 4.25       62.6      26.0       1.8                              D003800200020 
 4.25       71.1      21.0       1.48                             D003800200021 
 4.25       79.0      13.6       0.96                             D003800200022 
 4.25       94.3      19.5       1.36                             D003800200023 
 4.25      109.6      17.7       1.25                             D003800200024 
 4.25      123.3      14.8       1.04                             D003800200025 
 4.25      137.3      15.9       1.1                              D003800200026 
 4.25      150.4      19.1       1.3                              D003800200027 
 4.25      162.9      24.5       1.72                             D003800200028 
 4.5         4.16     33.5       2.35                             D003800200029 
 4.5        10.9      34.1       2.4                              D003800200030 
 4.5        28.1      35.8       2.5                              D003800200031 
 4.5        39.0      38.9       2.72                             D003800200032 
 4.5        45.4      30.6       2.14                             D003800200033 
 4.5        54.1      29.2       2.05                             D003800200034 
 4.5        62.4      29.0       2.0                              D003800200035 
 4.5        70.9      23.0       1.62                             D003800200036 
 4.5        78.7      16.5       1.15                             D003800200037 
 4.5        94.1      20.5       1.4                              D003800200038 
 4.5       109.4      19.0       1.3                              D003800200039 
 4.5       123.1      17.5       1.2                              D003800200040 
 4.5       137.1      23.0       1.6                              D003800200041 
 4.5       150.2      29.2       2.0                              D003800200042 
 4.5       162.8      36.7       2.6                              D003800200043 
 4.75        4.14     42.1       2.95                             D003800200044 
 4.75       10.9      43.0       3.01                             D003800200045 
 4.75       28.1      41.5       2.9                              D003800200046 
 4.75       37.9      43.3       3.03                             D003800200047 
 4.75       45.3      34.6       2.4                              D003800200048 
 4.75       53.9      30.8       2.16                             D003800200049 
 4.75       62.2      30.3       2.12                             D003800200050 
 4.75       70.7      24.0       1.68                             D003800200051 
 4.75       78.6      18.9       1.32                             D003800200052 
 4.75       93.9      22.2       1.55                             D003800200053 
 4.75      109.2      21.3       1.49                             D003800200054 
 4.75      122.9      20.7       1.45                             D003800200055 
 4.75      136.9      29.0       2.03                             D003800200056 
 4.75      150.1      36.6       2.56                             D003800200057 
 4.75      162.8      48.6       3.40                             D003800200058 
 5.00        4.13     48.4       3.39                             D003800200059 
 5.00       10.9      48.8       3.4                              D003800200060 
 5.00       28.0      43.9       3.1                              D003800200061 
 5.00       37.8      43.5       3.05                             D003800200062 
 5.00       45.2      34.0       2.4                              D003800200063 
 5.00       53.8      30.2       2.1                              D003800200064 
 5.00       62.1      30.1       2.1                              D003800200065 
 5.00       70.5      26.9       1.9                              D003800200066 
 5.00       78.4      20.6       1.4                              D003800200067 
 5.00       93.7      24.6       1.7                              D003800200068 
 5.00      109.0      24.3       1.7                              D003800200069 
 5.00      122.8      25.1       1.8                              D003800200070 
 5.00      136.8      33.0       2.3                              D003800200071 
 5.00      150.0      43.0       3.0                              D003800200072 
 5.00      162.1      59.5       4.2                              D003800200073 
 5.5         4.12     39.1       2.73                             D003800200074 
 5.5        10.8      38.6       2.70                             D003800200075 
 5.5        27.9      33.75      2.36                             D003800200076 
 5.5        37.7      30.6       2.14                             D003800200077 
 5.5        45.0      24.7       1.72                             D003800200078 
 5.5        53.6      22.5       1.58                             D003800200079 
 5.5        61.9      22.3       1.57                             D003800200080 
 5.5        70.3      19.8       1.39                             D003800200081 
 5.5        78.1      18.5       1.30                             D003800200082 
 5.5        93.5      23.4       1.64                             D003800200083 
 5.5       108.7      23.4       1.63                             D003800200084 
 5.5       122.5      23.5       1.65                             D003800200085 
 5.5       136.6      29.2       2.05                             D003800200086 
 5.5       149.9      33.9       2.37                             D003800200087 
 5.5       162.6      47.6       3.33                             D003800200088 
 6.0         4.10     28.6       2.0                              D003800200089 
 6.0        10.78     27.9       1.95                             D003800200090 
 6.0        27.8      23.2       1.62                             D003800200091 
 6.0        37.6      20.2       1.41                             D003800200092 
 6.0        44.9      15.7       1.10                             D003800200093 
 6.0        53.5      13.9       0.97                             D003800200094 
 6.0        61.7      13.7       0.96                             D003800200095 
 6.0        70.1      12.8       0.90                             D003800200096 
 6.0        77.9      13.1       0.92                             D003800200097 
 6.0        93.3      17.9       1.25                             D003800200098 
 6.0       108.5      20.4       1.43                             D003800200099 
