ENTRY            D0183   20040929                             0000D018300000001 
SUBENT        D0183001   20040929                             0000D018300100001 
BIB                 10         19                                 D018300100002 
TITLE      Particle spectroscopy of low-lying                     D018300100003 
           collective states in 100Ru                             D018300100004 
AUTHOR     (L.B.Horodynski-Matsushigue,C.L.Rodrigues,             D018300100005 
           F.C.Sampaio,T.Borello-Lewin)                           D018300100006 
INSTITUTE  (3BZLIPE)                                              D018300100007 
REFERENCE  (J,NP/A,709,73,2002)                                   D018300100008 
FACILITY   (VDG) Pelletron facility                               D018300100009 
SAMPLE     99Ru target (enriched to 97.6%).                       D018300100010 
DETECTOR   (PLATE) The products of the reaction were momentum     D018300100011 
           analysed by the Enge split-pole spectrograph and       D018300100012 
           detected in nuclear emulsion, resulting in proton      D018300100013 
           spectra with approx. 15 keV of energy resolution.      D018300100014 
STATUS     (TABLE) Tables received from                           D018300100015 
             Dr. L.B.Horodynski-Matsushigue                       D018300100016 
           (APRVD) Entry was approved by                          D018300100017 
             Dr. L.B.Horodynski-Matsushigue                       D018300100018 
COMMENT    The data were given in fm2/sr unit. Compiler           D018300100019 
           tranfered the data into mb/sr multiplying by 10.       D018300100020 
HISTORY    (20040929C) SD                                         D018300100021 
ENDBIB              19          0                                 D018300100022 
COMMON               2          3                                 D018300100023 
EN         EN-RSL                                                 D018300100024 
MEV        KEV                                                    D018300100025 
  15.        15.                                                  D018300100026 
ENDCOMMON            3          0                                 D018300100027 
ENDSUBENT           26          0                                 D018300199999 
SUBENT        D0183002   20040929                             0000D018300200001 
BIB                  1          1                                 D018300200002 
REACTION   (44-RU-99(D,P)44-RU-100,PAR,DA)                        D018300200003 
ENDBIB               1          0                                 D018300200004 
NOCOMMON             0          0                                 D018300200005 
DATA                 4         57                                 D018300200006 
E          ANG-CM     DATA-CM    DATA-ERR                         D018300200007 
MEV        ADEG       MB/SR      MB/SR                            D018300200008 
      0.0      8.10     1.617E-01  1.432E-02                      D018300200009 
      0.0     15.18     3.487E-01  2.015E-02                      D018300200010 
      0.0     18.21     4.862E-01  3.207E-02                      D018300200011 
      0.0     28.32     2.129E-01  1.668E-02                      D018300200012 
      0.0     35.39     7.051E-02  6.909E-03                      D018300200013 
      0.0     45.48     1.559E-01  9.872E-03                      D018300200014 
    540.0      8.10     3.910E-01  2.570E-02                      D018300200015 
    540.0     15.18     1.247E-01  7.976E-03                      D018300200016 
    540.0     18.21     1.976E-01  1.291E-02                      D018300200017 
    540.0     28.32     1.820E-01  1.301E-02                      D018300200018 
    540.0     35.40     7.656E-02  8.501E-03                      D018300200019 
    540.0     45.49     7.127E-02  5.031E-03                      D018300200020 
   1129.0      8.10     7.264E-02  7.958E-03                      D018300200021 
   1129.0     15.18     1.355E-01  1.306E-02                      D018300200022 
   1129.0     18.22     2.153E-01  2.293E-02                      D018300200023 
   1129.0     28.33     9.959E-02  2.066E-02                      D018300200024 
   1129.0     35.40     3.035E-02  3.920E-03                      D018300200025 
   1129.0     45.49     6.235E-02  5.231E-03                      D018300200026 
   1224.0     15.18     1.655E-01  5.683E-02                      D018300200027 
   1224.0     18.22     1.347E-01  1.275E-02                      D018300200028 
   1224.0     28.33     7.601E-02  1.110E-02                      D018300200029 
   1224.0     35.40     3.473E-02  1.225E-02                      D018300200030 
   1224.0     45.50     4.212E-02  5.219E-03                      D018300200031 
   1867.0     15.18     4.156E-02  3.896E-03                      D018300200032 
   1867.0     18.22     4.514E-02  5.360E-03                      D018300200033 
   1867.0     28.33     5.547E-02  1.296E-02                      D018300200034 
   1867.0     35.41     2.191E-02  3.994E-03                      D018300200035 
   1867.0     45.50     2.256E-02  2.410E-03                      D018300200036 
   1882.0     15.18     4.268E-02  3.945E-03                      D018300200037 
   1882.0     18.22     4.635E-02  5.235E-03                      D018300200038 
   1882.0     28.33     8.330E-02  2.007E-02                      D018300200039 
   1882.0     35.41     4.551E-02  5.053E-03                      D018300200040 
   1882.0     45.50     2.477E-02  2.650E-03                      D018300200041 
   2063.0      8.10     5.488E-02  8.494E-03                      D018300200042 
   2063.0     15.19     1.085E-01  1.170E-02                      D018300200043 
   2063.0     18.22     1.671E-01  1.154E-02                      D018300200044 
   2063.0     28.34     5.485E-02  6.343E-03                      D018300200045 
   2063.0     35.41     1.601E-02  5.416E-03                      D018300200046 
   2063.0     45.51     4.378E-02  4.232E-03                      D018300200047 
   2100.0      8.10     9.373E-02  9.815E-03                      D018300200048 
   2100.0     15.19     3.820E-02  3.860E-03                      D018300200049 
   2100.0     18.22     7.307E-02  5.786E-03                      D018300200050 
   2100.0     28.34     4.998E-02  6.091E-03                      D018300200051 
   2100.0     35.41     1.887E-02  4.735E-03                      D018300200052 
   2100.0     45.51     2.243E-02  2.323E-03                      D018300200053 
   2167.0      8.10     1.044E-02  4.118E-03                      D018300200054 
   2167.0     15.19     2.685E-02  2.568E-03                      D018300200055 
   2167.0     18.22     2.807E-02  3.779E-03                      D018300200056 
   2167.0     28.34     3.210E-02  5.550E-03                      D018300200057 
   2167.0     35.41     4.247E-02  9.257E-03                      D018300200058 
   2167.0     45.51     2.691E-02  4.004E-03                      D018300200059 
   2242.0      8.10     1.661E-01  1.482E-02                      D018300200060 
   2242.0     15.19     3.537E-01  2.121E-02                      D018300200061 
   2242.0     18.22     5.910E-01  3.852E-02                      D018300200062 
   2242.0     28.34     2.119E-01  1.523E-02                      D018300200063 
   2242.0     35.41     6.993E-02  1.016E-02                      D018300200064 
   2242.0     45.51     1.914E-01  1.379E-02                      D018300200065 
ENDDATA             59          0                                 D018300200066 
ENDSUBENT           65          0                                 D018300299999 
ENDENTRY             2          0                                 D018399999999 
