ENTRY            D0229   20110913                             D079D022900000001 
SUBENT        D0229001   20110913                             D079D022900100001 
BIB                  9         15                                 D022900100002 
TITLE      Tensor polarization and differential cross sections    D022900100003 
           for the elastic scattering of deuterons by Si at       D022900100004 
           low energies                                           D022900100005 
AUTHOR     (A.Djaloeis,J.Nurzynski)                               D022900100006 
INSTITUTE  (3AULCBR)                                              D022900100007 
REFERENCE  (J,NP/A,181,280,1972)                                  D022900100008 
REL-REF    (M,F0176001,A.Djaloeis+,J,NP/A,163,131,1971)           D022900100009 
              The experimental techniques and data-reduction      D022900100010 
              procedure were described. (F0176)                   D022900100011 
FACILITY   (VDG)                                                  D022900100012 
DETECTOR   (SOLST) Four silicon surface-barrier detectors.        D022900100013 
ERR-ANALYS (ERR-DIG) Digitizing error                             D022900100014 
           (ANG-ERR-D) Digitizing error                           D022900100015 
HISTORY    (20041019C) SD                                         D022900100016 
           (20110815A) VS. Reference corrected.                   D022900100017 
ENDBIB              15          0                                 D022900100018 
NOCOMMON             0          0                                 D022900100019 
ENDSUBENT           18          0                                 D022900199999 
SUBENT        D0229002   20041019                             0000D022900200001 
BIB                  4         15                                 D022900200002 
REACTION   (14-SI-28(D,EL)14-SI-28,,DA,,RTH)                      D022900200003 
SAMPLE     A self-supporting Si target of thickness               D022900200004 
           42.2+-1.3 mu-g/cm2. The target was prepared by         D022900200005 
           evaporation onto a glass slide. The target thickness   D022900200006 
           was measured by observing the yield of scattered       D022900200007 
           alpha-particles at low bombarding energy (4.0 MeV and  D022900200008 
           5.0 MeV) and at forward angles (15.-50.degr.) when the D022900200009 
           cross section is expected to be described by the       D022900200010 
           Rutherford formula (report ANU-P/532).                 D022900200011 
ERR-ANALYS (DATA-ERR) The absolute error of the cross sections.   D022900200012 
           The errors considered were due to statistics,          D022900200013 
           background subtractions and the errors involved in the D022900200014 
           measurement of the target thickness, the solid angle   D022900200015 
           and the collected charge.                              D022900200016 
STATUS     (CURVE) Curves from fig.1 from the article             D022900200017 
ENDBIB              15          0                                 D022900200018 
COMMON               2          3                                 D022900200019 
ANG-ERR-D  ERR-DIG                                                D022900200020 
ADEG       PER-CENT                                               D022900200021 
 0.5        0.003                                                 D022900200022 
ENDCOMMON            3          0                                 D022900200023 
DATA                 4        129                                 D022900200024 
EN         ANG-CM     DATA-CM    DATA-ERR                         D022900200025 
MEV        ADEG       NO-DIM     NO-DIM                           D022900200026 
 7.0000     15.948    0.66728    0.79691E-01                      D022900200027 
 7.0000     20.960    0.64245    0.82947E-01                      D022900200028 
 7.0000     26.440    0.70636    0.94579E-01                      D022900200029 
 7.0000     31.813    0.65429    0.84465E-01                      D022900200030 
 7.0000     37.309    0.57346    0.74049E-01                      D022900200031 
 7.0000     42.212    0.47818    0.50058E-01                      D022900200032 
 7.0000     47.459    0.48658    0.62814E-01                      D022900200033 
 7.0000     52.814    0.57802    0.69041E-01                      D022900200034 
 7.0000     57.924    0.75430    0.90060E-01                      D022900200035 
 7.0000     63.045    0.83851    0.91917E-01                      D022900200036 
 7.0000     68.053    0.86747    0.11615                          D022900200037 
 7.0000     73.189    0.78591    0.90048E-01                      D022900200038 
 7.0000     78.562    0.72396    0.10043                          D022900200039 
 7.0000     83.596    0.51426    0.58906E-01                      D022900200040 
 7.0000     88.298    0.25642    0.47441E-01                      D022900200041 
 7.0000     93.294    0.30798    0.44166E-01                      D022900200042 
 7.0000     98.410    0.36788    0.51020E-01                      D022900200043 
 7.0000     103.41    0.44430    0.61612E-01                      D022900200044 
 7.0000     108.41    0.48309    0.62380E-01                      D022900200045 
 7.0000     113.30    0.48345    0.64733E-01                      D022900200046 
 7.0000     118.20    0.41214    0.53212E-01                      D022900200047 
 7.0000     122.86    0.39678    0.49300E-01                      D022900200048 
 7.0000     127.75    0.36548    0.45423E-01                      D022900200049 
 7.0000     132.39    0.46134    0.63968E-01                      D022900200050 
 7.0000     137.27    0.48793    0.72292E-01                      D022900200051 
 7.0000     141.92    0.49920    0.62042E-01                      D022900200052 
 7.0000     146.82    0.45476    0.54311E-01                      D022900200053 
 8.0000     15.984    0.44080    0.56887E-01                      D022900200054 
 8.0000     21.085    0.66399    0.82477E-01                      D022900200055 
 8.0000     26.204    0.77568    0.10754                          D022900200056 
 8.0000     32.189    0.56034    0.85623E-01                      D022900200057 
 8.0000     37.100    0.41376    0.59324E-01                      D022900200058 
 8.0000     42.361    0.34125    0.53744E-01                      D022900200059 
 8.0000     47.593    0.43312    0.66177E-01                      D022900200060 
 8.0000     52.939    0.60055    0.74596E-01                      D022900200061 
