ENTRY            D0302   20050401                             D040D030200000001 
SUBENT        D0302001   20050401                             D040D030200100001 
BIB                 13         37                                 D030200100002 
TITLE      Emission of 8Be(gs) in the Interaction of 12C with     D030200100003 
           Nuclei at Incident Energies up to 33 MeV/amu           D030200100004 
AUTHOR     (E.Gadioli, G.F.Steyn, C.Birattari, M.Cavinato,        D030200100005 
           S.H.Connell, A.A.Cowley, E.Fabrici, S.V.Fortsch,       D030200100006 
           E.Gadioli Erba, J.J.Lawrie, F.M.Nortier,               D030200100007 
           J.P.F.Sellschop, E.Sideras-Haddad)                     D030200100008 
INSTITUTE  (2ITYMIL,3SAFITH,3SAFUSF,3SAFSTL)                      D030200100009 
REFERENCE  (J,EPJ/A,11,161,2001)                                  D030200100010 
           (J,EPJ/A,8,373,2000) Results are published partly.     D030200100011 
FACILITY   (CYCLO,3SAFITH) Cyclotron facility of the National     D030200100012 
           Accelerator Centre (NAC), Faure, South Africa.         D030200100013 
SAMPLE     Targets were mounted in aluminium frames with 25 mm    D030200100014 
           diameter apertures, which again were mounted on an     D030200100015 
           aluminium target ladder that fits onto a target        D030200100016 
           drive mechanism at the centre of the large NAC         D030200100017 
           scattering chamber.                                    D030200100018 
METHOD     (EDE,COINC)                                            D030200100019 
PART-DET   (A)                                                    D030200100020 
DETECTOR   (TELES,SISD,NAICR) Two detector telescopes were mountedD030200100021 
           on rotatable arms on opposite sides of the beam axis,  D030200100022 
           in the same reaction plane. Each telescope consisted ofD030200100023 
           a single doublesided SSD as a dE detector, followed by D030200100024 
           a single NaI stopping E detector.                      D030200100025 
           The SSD have 16 vertical anode strips and 16 horizontalD030200100026 
           cathode strips each, with an active area of            D030200100027 
           50 mm x 50 mm. The inter-strip gaps are 100 mu-min     D030200100028 
           width. Several detector thicknesses were utilized,     D030200100029 
           depending on the incident beam energy. (See SUBENTs).  D030200100030 
           The stopping detectors used have NaI(Tl) crystals of   D030200100031 
           3 inch in diam. and 2 inch thickness.                  D030200100032 
EN-SEC     (E-LVL,4-BE-8)                                         D030200100033 
           (E,4-BE-8)                                             D030200100034 
ERR-ANALYS (ERR-SYS) Systematic uncertainty                       D030200100035 
           (ERR-S) Statistical uncertainty                        D030200100036 
STATUS     (TABLE) Tables received from Dr. G.F.Steyn             D030200100037 
           (APRVD) Entry approved by Dr. G.F.Steyn                D030200100038 
HISTORY    (20050401C) SD                                         D030200100039 
ENDBIB              37          0                                 D030200100040 
COMMON               2          3                                 D030200100041 
E-LVL      ERR-SYS                                                D030200100042 
MEV        PER-CENT                                               D030200100043 
  0.0        10.0                                                 D030200100044 
ENDCOMMON            3          0                                 D030200100045 
ENDSUBENT           44          0                                 D030200199999 
SUBENT        D0302002   20050401                             D040D030200200001 
BIB                  3          3                                 D030200200002 
REACTION   (27-CO-59(6-C-12,X)4-BE-8,PAR,DA/DE)                   D030200200003 
SAMPLE     Target of 59CO with thickness of 1.00 mg/cm2 was used. D030200200004 
DETECTOR   The 1.0 mm thick detectors were used at 100 MeV.       D030200200005 
ENDBIB               3          0                                 D030200200006 
COMMON               1          3                                 D030200200007 
EN                                                                D030200200008 
MEV                                                               D030200200009 
  100.                                                            D030200200010 
ENDCOMMON            3          0                                 D030200200011 
DATA                 4        131                                 D030200200012 
ANG        E          DATA       ERR-S                            D030200200013 
ADEG       MEV        MUB/SR/MEV MUB/SR/MEV                       D030200200014 
   7.0      33.000     58.022     547.38                          D030200200015 
   7.0      35.000     324.41     524.22                          D030200200016 
   7.0      37.000     406.12     497.39                          D030200200017 
   7.0      39.000     1390.9     518.79                          D030200200018 
   7.0      41.000     1321.2     492.78                          D030200200019 
   7.0      43.000     1565.1     484.11                          D030200200020 
   7.0      45.000     1999.4     485.78                          D030200200021 
   7.0      47.000     3604.8     534.38                          D030200200022 
   7.0      49.000     4713.2     559.84                          D030200200023 
   7.0      51.000     5418.3     570.39                          D030200200024 
   7.0      53.000     6992.7     607.35                          D030200200025 
   7.0      55.000     7464.4     609.85                          D030200200026 
   7.0      57.000     8296.9     622.81                          D030200200027 
   7.0      59.000     9598.5     647.65                          D030200200028 
   7.0      61.000     10359.     657.62                          D030200200029 
   7.0      63.000     10744.     658.44                          D030200200030 
   7.0      65.000     11562.     669.83                          D030200200031 
   7.0      67.000     10790.     644.09                          D030200200032 
   7.0      69.000     8816.8     588.60                          D030200200033 
   7.0      71.000     8223.7     567.20                          D030200200034 
   7.0      73.000     6778.9     522.69                          D030200200035 
   7.0      75.000     5181.1     471.21                          D030200200036 
   7.0      77.000     3944.6     427.57                          D030200200037 
   7.0      79.000     3248.0     399.92                          D030200200038 
   7.0      81.000     2101.1     354.04                          D030200200039 
   7.0      83.000     1038.0     306.62                          D030200200040 
   7.0      85.000     189.04     263.21                          D030200200041 
   9.0      35.000     445.82     289.44                          D030200200042 
   9.0      37.000     266.37     260.88                          D030200200043 
   9.0      39.000     754.99     280.79                          D030200200044 
   9.0      41.000     1058.6     287.75                          D030200200045 
   9.0      43.000     1727.2     314.27                          D030200200046 
   9.0      45.000     1623.7     299.49                          D030200200047 
   9.0      47.000     1651.3     292.63                          D030200200048 
   9.0      49.000     3011.7     347.50                          D030200200049 
   9.0      51.000     3305.2     352.09                          D030200200050 
   9.0      53.000     4399.7     386.00                          D030200200051 
   9.0      55.000     4961.8     398.52                          D030200200052 
   9.0      57.000     5242.7     401.44                          D030200200053 
   9.0      59.000     6818.9     442.82                          D030200200054 
   9.0      61.000     7838.3     464.75                          D030200200055 
   9.0      63.000     7766.1     457.31                          D030200200056 
   9.0      65.000     7140.1     435.62                          D030200200057 
   9.0      67.000     6452.0     412.21                          D030200200058 
   9.0      69.000     5907.3     392.68                          D030200200059 
   9.0      71.000     5563.6     378.98                          D030200200060 
   9.0      73.000     4052.0     328.54                          D030200200061 
   9.0      75.000     2826.5     282.15                          D030200200062 
   9.0      77.000     2276.1     257.92                          D030200200063 
   9.0      79.000     1658.1     228.96                          D030200200064 
   9.0      81.000     766.76     181.85                          D030200200065 
   9.0      83.000     552.84     167.60                          D030200200066 
  12.0      33.000     270.82     86.307                          D030200200067 
  12.0      35.000     315.46     83.462                          D030200200068 
  12.0      37.000     370.23     81.786                          D030200200069 
  12.0      39.000     503.69     83.949                          D030200200070 
  12.0      41.000     631.28     85.873                          D030200200071 
  12.0      43.000     995.57     95.960                          D030200200072 
  12.0      45.000     1196.9     99.651                          D030200200073 
  12.0      47.000     1822.8     114.48                          D030200200074 
  12.0      49.000     1944.1     115.07                          D030200200075 
  12.0      51.000     2338.2     122.00                          D030200200076 
  12.0      53.000     2711.1     127.82                          D030200200077 
  12.0      55.000     2783.5     127.26                          D030200200078 
  12.0      57.000     3450.5     138.04                          D030200200079 
  12.0      59.000     3692.8     140.46                          D030200200080 
  12.0      61.000     4008.5     144.02                          D030200200081 
  12.0      63.000     4188.4     145.26                          D030200200082 
  12.0      65.000     4012.7     140.87                          D030200200083 
  12.0      67.000     3959.2     138.57                          D030200200084 
  12.0      69.000     3316.3     126.50                          D030200200085 
  12.0      71.000     2611.2     112.51                          D030200200086 
  12.0      73.000     2267.3     104.74                          D030200200087 
  12.0      75.000     1624.8     89.948                          D030200200088 
  12.0      77.000     1204.5     78.865                          D030200200089 
  12.0      79.000     641.20     61.803                          D030200200090 
  12.0      81.000     411.31     53.192                          D030200200091 
  12.0      83.000     239.06     45.776                          D030200200092 
  12.0      85.000     114.23     39.586                          D030200200093 
  16.0      33.000     135.38     45.902                          D030200200094 
  16.0      35.000     288.83     48.680                          D030200200095 
  16.0      37.000     423.92     50.646                          D030200200096 
  16.0      39.000     427.02     48.659                          D030200200097 
  16.0      41.000     654.58     53.223                          D030200200098 
  16.0      43.000     760.79     54.250                          D030200200099 
  16.0      45.000     808.24     53.895                          D030200200100 
  16.0      47.000     1111.6     59.229                          D030200200101 
  16.0      49.000     1278.6     61.264                          D030200200102 
  16.0      51.000     1468.5     63.586                          D030200200103 
  16.0      53.000     1721.9     66.815                          D030200200104 
  16.0      55.000     1967.4     69.654                          D030200200105 
  16.0      57.000     2058.9     70.011                          D030200200106 
  16.0      59.000     2384.2     73.728                          D030200200107 
  16.0      61.000     2548.2     75.022                          D030200200108 
  16.0      63.000     2668.3     75.714                          D030200200109 
  16.0      65.000     2428.0     71.729                          D030200200110 
  16.0      67.000     2097.1     66.441                          D030200200111 
  16.0      69.000     1928.2     63.363                          D030200200112 
  16.0      71.000     1547.7     56.980                          D030200200113 
  16.0      73.000     1160.8     49.946                          D030200200114 
  16.0      75.000     830.68     43.220                          D030200200115 
  16.0      77.000     484.42     35.111                          D030200200116 
  16.0      79.000     388.55     32.348                          D030200200117 
  16.0      81.000     179.94     25.967                          D030200200118 
  16.0      83.000     77.154     22.124                          D030200200119 
  16.0      85.000     18.240     19.550                          D030200200120 
  20.0      33.000     136.40     40.060                          D030200200121 
  20.0      35.000     213.90     40.775                          D030200200122 
  20.0      37.000     215.39     38.833                          D030200200123 
  20.0      39.000     313.49     40.603                          D030200200124 
