ENTRY            D0352   20050522                             D042D035200000001 
SUBENT        D0352001   20050522                             D042D035200100001 
BIB                 10         29                                 D035200100002 
TITLE      Investigation of the a-cluster structure of            D035200100003 
           22Ne and 22Mg                                          D035200100004 
AUTHOR     (V.Z.Goldberg,G.V.Rogachev,W.H.Trzaska,J.J.Kolata,     D035200100005 
           A.Andreyev,C.Angulo,M.J.G.Borge,S.Cherubini,           D035200100006 
           G.Chubarian,G.Crowley,P.Van Duppen,M.Gorska,M.Gulino,  D035200100007 
           M.Huyse,P.Jesinger,K.-M.Kallman,M.Lattuada,T.Lonnroth, D035200100008 
           M.Mutterer,R.Raabe,S.Romano,M.V.Rozhkov,               D035200100009 
           B.B.Skorodumov,C.Spitaleri,O.Tengblad,A.Tumino)        D035200100010 
INSTITUTE  (1USANOT,4RUSKUR,1USAETS,2SF JYV,2BLGLEU,2BLGPCL,      D035200100011 
           2SPNSPN,4ZZZDUB,1USASCA,2GERTHD,2SF ABA,2ITYLNS)       D035200100012 
REFERENCE  (J,PR/C,69,024602,2004)                                D035200100013 
METHOD     The method of inverse kinematics using a               D035200100014 
           very thick target                                      D035200100015 
SAMPLE     The chamber was filled with helium gas of 99.9% purity D035200100016 
           at a pressure of 360 Torr. The beam entered a large    D035200100017 
           scattering chamber via a 3 mu-m thick Havar window.    D035200100018 
           18O ions backscattered from this foil were used to     D035200100019 
           monitor the beam intensity.                            D035200100020 
COMMENT    The authors gave excitation functions as function of   D035200100021 
           the excitation energy (see MISC-COL description).      D035200100022 
           Compiler calculated the energy of the incident         D035200100023 
           particle from the mass balance formula.                D035200100024 
ERR-ANALYS (DATA-ERR) The absolute values of the cross sections   D035200100025 
           were obtained with a precision of 25%, mainly related  D035200100026 
           the determination of the beam current.                 D035200100027 
           (ANG-ERR) Uncertainty in the angle determination       D035200100028 
STATUS     (TABLE) Data received from Prof. G.V.Rogachev          D035200100029 
           (APRVD) Entry approved by Prof. G.V.Rogachev           D035200100030 
HISTORY    (20050519C) SD                                         D035200100031 
ENDBIB              29          0                                 D035200100032 
COMMON               2          3                                 D035200100033 
DATA-ERR   ANG-ERR                                                D035200100034 
PER-CENT   ADEG                                                   D035200100035 
  25.        1.                                                   D035200100036 
ENDCOMMON            3          0                                 D035200100037 
ENDSUBENT           36          0                                 D035200199999 
SUBENT        D0352002   20050522                             D042D035200200001 
BIB                  6         10                                 D035200200002 
REACTION   (8-O-18(A,EL)8-O-18,,DA)                               D035200200003 
FACILITY   (CYCLO,2SF JYV) K-130 cyclotron of the University of   D035200200004 
           Jyvaskyla, Finland                                     D035200200005 
DETECTOR   (TELES,SI,SI) An array of Si detectors positioned in   D035200200006 
           the forward direction was used to detect the           D035200200007 
           recoil aparticles.                                     D035200200008 
METHOD     (TOF) A radio frequency (rf) signal from the cyclotron D035200200009 
           was used to get time-of-flight information.            D035200200010 
MISC-COL   (MISC) 22Ne Excitation energy                          D035200200011 
ERR-ANALYS (ERR-S) Statistical error                              D035200200012 
ENDBIB              10          0                                 D035200200013 
COMMON               1          3                                 D035200200014 
ANG-CM                                                            D035200200015 
ADEG                                                              D035200200016 
 180.                                                             D035200200017 
ENDCOMMON            3          0                                 D035200200018 
DATA                 4        801                                 D035200200019 
EN         DATA       ERR-S      MISC                             D035200200020 
MEV        MB/SR      MB/SR      MEV                              D035200200021 
  2.612      69.60       3.73     11.804                          D035200200022 
  2.620      62.70       3.52     11.811                          D035200200023 
  2.629      68.88       3.68     11.818                          D035200200024 
  2.638      66.39       3.60     11.825                          D035200200025 
  2.647      64.53       3.53     11.832                          D035200200026 
  2.656      63.53       3.49     11.840                          D035200200027 
  2.665      60.27       3.39     11.847                          D035200200028 
  2.674      58.77       3.34     11.855                          D035200200029 
  2.683      62.75       3.44     11.862                          D035200200030 
  2.693      63.63       3.45     11.870                          D035200200031 
  2.702      61.71       3.39     11.877                          D035200200032 
  2.711      73.47       3.68     11.885                          D035200200033 
  2.721      71.50       3.62     11.893                          D035200200034 
  2.730      77.04       3.75     11.901                          D035200200035 
  2.740      78.89       3.78     11.908                          D035200200036 
  2.749      68.86       3.52     11.916                          D035200200037 
  2.759      70.07       3.54     11.924                          D035200200038 
  2.769      73.68       3.62     11.932                          D035200200039 
  2.779      67.70       3.46     11.940                          D035200200040 
  2.788      64.24       3.37     11.948                          D035200200041 
  2.798      63.89       3.35     11.956                          D035200200042 
  2.808      56.87       3.15     11.965                          D035200200043 
  2.818      59.48       3.21     11.973                          D035200200044 
  2.828      62.08       3.27     11.981                          D035200200045 
  2.839      58.76       3.18     11.989                          D035200200046 
  2.849      66.75       3.38     11.998                          D035200200047 
  2.859      64.97       3.33     12.006                          D035200200048 
  2.869      71.08       3.47     12.015                          D035200200049 
  2.880      77.57       3.62     12.023                          D035200200050 
  2.890      82.49       3.72     12.032                          D035200200051 
  2.901      88.88       3.85     12.040                          D035200200052 
  2.911      94.64       3.96     12.049                          D035200200053 
  2.922      92.09       3.90     12.057                          D035200200054 
  2.932      92.68       3.91     12.066                          D035200200055 
  2.943      95.15       3.95     12.075                          D035200200056 
  2.954      96.95       3.97     12.084                          D035200200057 
  2.965      84.14       3.69     12.093                          D035200200058 
  2.976      88.89       3.79     12.101                          D035200200059 
  2.987      81.73       3.62     12.110                          D035200200060 
  2.998      73.99       3.44     12.119                          D035200200061 
  3.009      74.32       3.44     12.128                          D035200200062 
  3.020      67.23       3.26     12.138                          D035200200063 
  3.031      62.72       3.15     12.147                          D035200200064 
  3.042      58.54       3.04     12.156                          D035200200065 
  3.053      50.62       2.82     12.165                          D035200200066 
  3.065      49.78       2.79     12.174                          D035200200067 
  3.076      44.30       2.62     12.184                          D035200200068 
  3.088      38.87       2.45     12.193                          D035200200069 
  3.099      36.10       2.36     12.202                          D035200200070 
  3.110      34.12       2.29     12.212                          D035200200071 
  3.122      30.92       2.18     12.221                          D035200200072 
  3.134      33.70       2.27     12.231                          D035200200073 
  3.145      40.25       2.47     12.240                          D035200200074 
  3.157      49.79       2.74     12.250                          D035200200075 
  3.169      61.82       3.05     12.259                          D035200200076 
  3.181      71.97       3.29     12.269                          D035200200077 
  3.192      80.86       3.48     12.279                          D035200200078 
  3.204      92.38       3.71     12.289                          D035200200079 
  3.216      96.43       3.79     12.298                          D035200200080 
  3.228      99.59       3.84     12.308                          D035200200081 
  3.240      100.2       3.85     12.318                          D035200200082 
  3.252      106.0       3.96     12.328                          D035200200083 
  3.265      94.55       3.73     12.338                          D035200200084 
