ENTRY            D0414   20150128                             D097D041400000001 
SUBENT        D0414001   20150128                             D097D041400100001 
BIB                 11         28                                 D041400100002 
TITLE      Measurement of Deuterons Scattered from the            D041400100003 
           12C(p,d)11C Reaction  by Using a Double-sided Silicon  D041400100004 
           Strip Detector                                         D041400100005 
AUTHOR     (J.H.Kim,C.S.Lee,Y.K.Kwon,J.H.Lee)                     D041400100006 
INSTITUTE  (3KORCHA) Chung-Ang University, Seoul                  D041400100007 
REFERENCE  (J,KPS,46,1318,2005)                                   D041400100008 
FACILITY   (CYCLO,3KORKRM) The MC-50 cyclotron at KIRAMS is an    D041400100009 
           azimuthally varying- field (AVF)-type cyclotron.       D041400100010 
METHOD     (EXTB,EDE) The beam current was measured during the    D041400100011 
           experiment by using a  Faraday cup                     D041400100012 
SAMPLE     A self-supporting polypropylene (C3H6) target with a   D041400100013 
           thickness of 40  mu-m was placed at the center of the  D041400100014 
           chamber and was tilted 45. degr.  with respect to the  D041400100015 
           beam direction                                         D041400100016 
DETECTOR   (TELES,SISD,SISD) The dE-E telescope was constructed   D041400100017 
           by combining a 300-mu -m-thick DSSD as the dE counter  D041400100018 
           with a 994-mu-m-thick SSD as the E counter and  was    D041400100019 
           installed inside the target chamber.                   D041400100020 
ERR-ANALYS (ERR-S) Statistical error                              D041400100021 
            EN-RSL-FW  The uncertainty includes the energy loss   D041400100022 
           uncertainties caused by the ambiguity of the           D041400100023 
           deuteron kinetic energy and the deuteron's tracking    D041400100024 
           path length in the target.                             D041400100025 
STATUS     (TABLE) Table 2 from the ref.                          D041400100026 
           (APRVD) Entry was approved by Dr. Jungho Kim           D041400100027 
HISTORY    (20060622C) SD                                         D041400100028 
           (20141222A) VS. EN-RSL-FW moved from INC-SPECT to      D041400100029 
                           ERR-ANALYS.                            D041400100030 
ENDBIB              28          0                                 D041400100031 
COMMON               2          3                                 D041400100032 
EN         EN-RSL-FW                                              D041400100033 
MEV        MEV                                                    D041400100034 
  45.0       0.300                                                D041400100035 
ENDCOMMON            3          0                                 D041400100036 
ENDSUBENT           35          0                                 D041400199999 
SUBENT        D0414002   20060622                             D047D041400200001 
BIB                  1          1                                 D041400200002 
REACTION   (6-C-12(P,D)6-C-11,PAR,DA)                             D041400200003 
ENDBIB               1          0                                 D041400200004 
NOCOMMON             0          0                                 D041400200005 
DATA                 4        112                                 D041400200006 
E-LVL      ANG        DATA       ERR-S                            D041400200007 
MEV        ADEG       MB/SR      MB/SR                            D041400200008 
  0.0        92.2       0.419      0.021                          D041400200009 
  0.0        93.7       0.418      0.021                          D041400200010 
  0.0        95.2       0.379      0.019                          D041400200011 
  0.0        96.7       0.367      0.019                          D041400200012 
  0.0       100.4       0.551      0.028                          D041400200013 
  0.0       101.8       0.534      0.027                          D041400200014 
  0.0       103.3       0.534      0.027                          D041400200015 
  0.0       104.8       0.531      0.027                          D041400200016 
  0.0       106.3       0.528      0.027                          D041400200017 
  0.0       107.8       0.491      0.025                          D041400200018 
  0.0       109.3       0.489      0.025                          D041400200019 
  0.0       110.7       0.514      0.026                          D041400200020 
  0.0       112.2       0.492      0.025                          D041400200021 
  0.0       113.7       0.502      0.026                          D041400200022 
  0.0       115.2       0.479      0.024                          D041400200023 
  0.0       116.7       0.479      0.024                          D041400200024 
  0.0       120.4       0.341      0.018                          D041400200025 
  0.0       121.8       0.299      0.015                          D041400200026 
  0.0       123.3       0.297      0.015                          D041400200027 
  0.0       124.8       0.292      0.015                          D041400200028 
  0.0       126.3       0.265      0.014                          D041400200029 
  0.0       127.8       0.242      0.013                          D041400200030 
  0.0       129.3       0.240      0.013                          D041400200031 
  0.0       130.7       0.229      0.012                          D041400200032 
  0.0       132.2       0.224      0.012                          D041400200033 
  0.0       133.7       0.214      0.011                          D041400200034 
  0.0       135.2       0.199      0.010                          D041400200035 
  0.0       136.7       0.184      0.010                          D041400200036 
  2.0        92.2       0.091      0.005                          D041400200037 
  2.0        93.7       0.097      0.005                          D041400200038 
  2.0        95.2       0.095      0.005                          D041400200039 
  2.0        96.7       0.102      0.006                          D041400200040 
  2.0       100.4       0.135      0.007                          D041400200041 
  2.0       101.8       0.122      0.007                          D041400200042 
  2.0       103.3       0.117      0.006                          D041400200043 
  2.0       104.8       0.108      0.006                          D041400200044 
  2.0       106.3       0.115      0.006                          D041400200045 
  2.0       107.8       0.103      0.006                          D041400200046 
  2.0       109.3       0.096      0.005                          D041400200047 
  2.0       110.7       0.101      0.005                          D041400200048 
  2.0       112.2       0.089      0.005                          D041400200049 
  2.0       113.7       0.090      0.005                          D041400200050 
  2.0       115.2       0.080      0.004                          D041400200051 
  2.0       116.7       0.075      0.004                          D041400200052 
  2.0       120.4       0.065      0.004                          D041400200053 
  2.0       121.8       0.062      0.004                          D041400200054 
  2.0       123.3       0.058      0.003                          D041400200055 
  2.0       124.8       0.052      0.003                          D041400200056 
  2.0       126.3       0.054      0.003                          D041400200057 
  2.0       127.8       0.055      0.003                          D041400200058 
  2.0       129.3       0.047      0.003                          D041400200059 
  2.0       130.7       0.054      0.003                          D041400200060 
  2.0       132.2       0.055      0.003                          D041400200061 
  2.0       133.7       0.045      0.003                          D041400200062 
  2.0       135.2       0.042      0.003                          D041400200063 
  2.0       136.7       0.053      0.003                          D041400200064 
  4.32       92.2       0.138      0.007                          D041400200065 
  4.32       93.7       0.137      0.007                          D041400200066 
  4.32       95.2       0.120      0.006                          D041400200067 
  4.32       96.7       0.130      0.007                          D041400200068 
  4.32      100.4       0.183      0.010                          D041400200069 
  4.32      101.8       0.176      0.009                          D041400200070 
  4.32      103.3       0.189      0.010                          D041400200071 
  4.32      104.8       0.186      0.010                          D041400200072 
  4.32      106.3       0.195      0.010                          D041400200073 
  4.32      107.8       0.174      0.009                          D041400200074 
  4.32      109.3       0.178      0.009                          D041400200075 
  4.32      110.7       0.179      0.009                          D041400200076 
  4.32      112.2       0.178      0.009                          D041400200077 
  4.32      113.7       0.162      0.008                          D041400200078 
