ENTRY            D0469   20080822                             D063D046900000001 
SUBENT        D0469001   20080822                             D063D046900100001 
BIB                  9         13                                 D046900100002 
TITLE      Levels in 28Si via the 26Mg(3He,n) reaction            D046900100003 
AUTHOR     (R.N.Boyd,D.Elmore,W.P.Alford,J.P.Draayer,R.A.Lindgren)D046900100004 
INSTITUTE  (1USAROC,1CANUWO,1USALSU,1USANRL)                      D046900100005 
REFERENCE  (J,PR/C,14,4,1976)                                     D046900100006 
REL-REF    (R,D0510001,W.P.Alford+,J,NP/A,243,269,1975)           D046900100007 
           description of experiment                              D046900100008 
FACILITY   (VDGT,1USAROC)University of Rochester MP tandem        D046900100009 
SAMPLE     The thickness of the enriched (99.22%) 26Mg target     D046900100010 
           was 0.5 mg/cm2.                                        D046900100011 
DETECTOR   (SCIN)Neutrons were detected in 10.2 cm diameter NE    D046900100012 
           213 liquid scintillators of thickness 2.5 cm or 3.8 cm D046900100013 
           mounted on 12.7 cm photomultipliers.                   D046900100014 
HISTORY    (20080822C)LV, SD.                                     D046900100015 
ENDBIB              13          0                                 D046900100016 
NOCOMMON             0          0                                 D046900100017 
ENDSUBENT           16          0                                 D046900199999 
SUBENT        D0469002   20080822                             D063D046900200001 
BIB                  4         10                                 D046900200002 
REACTION   (12-MG-26(HE3,N)14-SI-28,PAR,DA)                       D046900200003 
LEVEL-PROP (14-SI-28,E-LVL=0.0,SPIN=0.,PARITY=+1.)                D046900200004 
           (14-SI-28,E-LVL=1.78,SPIN=2.,PARITY=+1.)               D046900200005 
           (14-SI-28,E-LVL=4.62,SPIN=4.,PARITY=+1.)               D046900200006 
           (14-SI-28,E-LVL=6.88,SPIN=3.,PARITY=-1.)               D046900200007 
           (14-SI-28,E-LVL=10.28,SPIN=0.,PARITY=+1.)              D046900200008 
ERR-ANALYS (ANG-ERR-D)  Digitizing error                          D046900200009 
           (ERR-DIG)    Digitizing error                          D046900200010 
           (DATA-ERR)  Nothing said about uncertainties           D046900200011 
STATUS     (CURVE)  fig.2                                         D046900200012 
ENDBIB              10          0                                 D046900200013 
COMMON               3          3                                 D046900200014 
EN         ANG-ERR-D  ERR-DIG                                     D046900200015 
MEV        ADEG       PER-CENT                                    D046900200016 
  15.         0.2        0.2                                      D046900200017 
ENDCOMMON            3          0                                 D046900200018 
DATA                 4         54                                 D046900200019 
E-LVL      ANG-CM     DATA-CM    DATA-ERR                         D046900200020 
MEV        ADEG       MU-B/SR    MU-B/SR                          D046900200021 
 0.0000    0.11649     977.30     60.551                          D046900200022 
 0.0000     5.3160     972.12     90.024                          D046900200023 
 0.0000     10.363     500.14     40.962                          D046900200024 
 0.0000     15.761     196.30     21.367                          D046900200025 
 0.0000     20.666     105.57     13.232                          D046900200026 
 0.0000     26.076     88.832     24.776                          D046900200027 
 0.0000     31.568     137.58     23.459                          D046900200028 
 0.0000     36.534     40.397     5.9667                          D046900200029 
 0.0000     41.862     16.411     6.5207                          D046900200030 
 0.0000     46.933     38.807     6.3944                          D046900200031 
 0.0000     52.712     71.748     9.7911                          D046900200032 
 1.7800     5.2707     38.105     11.595                          D046900200033 
 1.7800     10.343     81.249     13.853                          D046900200034 
 1.7800     15.182     64.444     11.360                          D046900200035 
 1.7800     20.673     88.683     12.600                          D046900200036 
 1.7800     26.160     99.744     13.611                          D046900200037 
 1.7800     31.286     88.591     17.167                          D046900200038 
 1.7800     36.683     40.100     6.3782                          D046900200039 
 1.7800     41.660     25.489     5.8508                          D046900200040 
 1.7800     47.152     37.577     6.4076                          D046900200041 
 1.7800     52.698     22.515     5.1681                          D046900200042 
 4.6200    0.01313     94.255     13.535                          D046900200043 
 4.6200     5.2778     84.770     17.079                          D046900200044 
 4.6200     10.401     73.621     13.207                          D046900200045 
 4.6200     15.429     36.159     7.5664                          D046900200046 
 4.6200     20.831     27.163     6.1803                          D046900200047 
 4.6200     26.227     17.301     5.0260                          D046900200048 
 4.6200     31.168     33.778     8.5232                          D046900200049 
 4.6200     36.491     20.879     5.6636                          D046900200050 
 4.6200     41.400     17.864     4.3960                          D046900200051 
 4.6200     47.114     26.620     5.8944                          D046900200052 
 4.6200     52.234     21.664     4.9293                          D046900200053 
 6.8800    0.49044E-01 385.57     44.535                          D046900200054 
 6.8800     5.1030     355.76     43.067                          D046900200055 
 6.8800     10.282     214.12     25.920                          D046900200056 
 6.8800     15.627     230.44     24.071                          D046900200057 
 6.8800     20.175     175.19     23.169                          D046900200058 
 6.8800     26.231     185.73     22.481                          D046900200059 
 6.8800     30.934     195.01     23.604                          D046900200060 
 6.8800     36.344     176.37     17.461                          D046900200061 
 6.8800     41.746     135.40     15.637                          D046900200062 
 6.8800     47.292     106.56     12.306                          D046900200063 
 6.8800     52.353     115.83     13.379                          D046900200064 
 10.280    0.01677     762.27     59.517                          D046900200065 
 10.280     5.1005     716.97     59.851                          D046900200066 
 10.280     10.565     456.17     106.88                          D046900200067 
 10.280     15.681     339.03     35.756                          D046900200068 
 10.280     21.346     159.69     16.836                          D046900200069 
 10.280     26.129     202.90     18.042                          D046900200070 
 10.280     31.253     186.12     17.571                          D046900200071 
 10.280     37.090     168.16     14.040                          D046900200072 
 10.280     42.124     99.752     14.453                          D046900200073 
 10.280     47.174     84.880     9.8926                          D046900200074 
 10.280     52.577     67.327     8.6040                          D046900200075 
ENDDATA             56          0                                 D046900200076 
ENDSUBENT           75          0                                 D046900299999 
ENDENTRY             2          0                                 D046999999999 
