ENTRY            D0554   20090102                             D065D055400000001 
SUBENT        D0554001   20090102                             D065D055400100001 
BIB                 11         14                                 D055400100002 
TITLE      Differential cross-section and analyzing-power data of D055400100003 
           Si(p,p)Si in the lab. energy range Ep=1.690 to 3.676   D055400100004 
           MeV                                                    D055400100005 
AUTHOR     (B.Becker,M.Haendel,A.Imig,L.Sydow,H.Paetz gen.Schieck)D055400100006 
INSTITUTE  (2GERKLN) Institut fuer Kernphysik                     D055400100007 
REFERENCE  (W,BECKER,20081206) Internal report                    D055400100008 
FACILITY   (VDGT,2GERKLN) FN tandem Van de Graaff                 D055400100009 
EXP-YEAR   (1994)                                                 D055400100010 
INC-SOURCE (POLIS) LASCO polarized-ion source                     D055400100011 
SAMPLE     Natural, thin wafers of checmically pure               D055400100012 
CORRECTION Dead time correction                                   D055400100013 
STATUS     (TABLE) Taken from www.ikp.uni-koeln.de                D055400100014 
                   (Also tabulated in the appendix of the report) D055400100015 
HISTORY    (20090102C) On.                                        D055400100016 
ENDBIB              14          0                                 D055400100017 
COMMON               1          3                                 D055400100018 
POL-BM                                                            D055400100019 
NO-DIM                                                            D055400100020 
0.75                                                              D055400100021 
ENDCOMMON            3          0                                 D055400100022 
ENDSUBENT           21          0                                 D055400199999 
SUBENT        D0554002   20090112                             D065D055400200001 
BIB                  3          3                                 D055400200002 
REACTION   (14-SI-0(P,EL)14-SI-0,,DA)                             D055400200003 
COMMENT    No data at 115, 125, 135 and 145 deg at 2.401 MeV      D055400200004 
ERR-ANALYS (ERR-S) Uncertainty in counting statistics             D055400200005 
ENDBIB               3          0                                 D055400200006 
NOCOMMON             0          0                                 D055400200007 
DATA                 4       1043                                 D055400200008 
EN         ANG        DATA       ERR-S                            D055400200009 
MEV        ADEG       MB/SR      MB/SR                            D055400200010 
1.690       60.       1856.2000  220.2280                         D055400200011 
1.690       65.       1413.2100  167.6880                         D055400200012 
1.690       70.       1204.2900  114.0400                         D055400200013 
1.690       75.        936.8710   88.7194                         D055400200014 
1.690       80.        727.4670   68.8924                         D055400200015 
1.690       85.        565.4510   53.5523                         D055400200016 
1.690       90.        425.8230   40.3319                         D055400200017 
1.690       95.        331.0570   31.3592                         D055400200018 
1.690      100.        257.0570   24.3527                         D055400200019 
1.690      105.        203.2630   19.2594                         D055400200020 
1.690      115.        150.8740   17.9018                         D055400200021 
1.690      120.        145.3180   17.2428                         D055400200022 
1.690      125.        145.7560   17.2947                         D055400200023 
1.690      130.        150.3560   17.8403                         D055400200024 
1.690      135.        160.2350   19.0121                         D055400200025 
1.690      140.        170.9630   20.2845                         D055400200026 
1.690      145.        184.5220   21.8926                         D055400200027 
1.700       60.       1882.8200  223.3860                         D055400200028 
1.700       65.       1410.1400  167.3240                         D055400200029 
1.700       70.       1159.4600  109.7950                         D055400200030 
1.700       75.        895.8630   84.8366                         D055400200031 
1.700       80.        694.3790   65.7595                         D055400200032 
1.700       85.        537.7680   50.9311                         D055400200033 
1.700       90.        411.6800   38.9928                         D055400200034 
1.700       95.        320.8800   30.3957                         D055400200035 
1.700      100.        253.9290   24.0566                         D055400200036 
1.700      105.        207.4290   19.6538                         D055400200037 
1.700      115.        157.8880   18.7337                         D055400200038 
1.700      120.        153.8450   18.2542                         D055400200039 
1.700      125.        152.5590   18.1017                         D055400200040 
1.700      130.        156.4820   18.5669                         D055400200041 
1.700      135.        162.1390   19.2379                         D055400200042 
1.700      140.        170.7690   20.2615                         D055400200043 
1.700      145.        180.1800   21.3777                         D055400200044 
1.710       60.       1826.3700  216.6910                         D055400200045 
1.710       65.       1355.2100  160.8090                         D055400200046 
1.710       70.       1107.9700  104.9200                         D055400200047 
1.710       75.        854.0110   80.8739                         D055400200048 
1.710       80.        660.0320   62.5075                         D055400200049 
1.710       85.        513.3150   48.6159                         D055400200050 
1.710       90.        395.3990   37.4512                         D055400200051 
1.710       95.        314.7530   29.8155                         D055400200052 
1.710      100.        253.3190   23.9988                         D055400200053 
1.710      105.        207.8000   19.6890                         D055400200054 
1.710      115.        163.2600   19.3708                         D055400200055 
1.710      120.        157.1210   18.6427                         D055400200056 
1.710      125.        155.6490   18.4681                         D055400200057 
1.710      130.        156.6070   18.5818                         D055400200058 
1.710      135.        160.1660   19.0039                         D055400200059 
1.710      140.        166.8940   19.8019                         D055400200060 
1.710      145.        174.6240   20.7187                         D055400200061 
1.720       60.       1747.2100  207.3020                         D055400200062 
1.720       65.       1309.3900  155.3740                         D055400200063 
1.720       70.       1077.7300  102.0560                         D055400200064 
1.720       75.        828.9530   78.5014                         D055400200065 
1.720       80.        638.1270   60.4334                         D055400200066 
1.720       85.        498.6220   47.2247                         D055400200067 
1.720       90.        387.2190   36.6767                         D055400200068 
1.720       95.        311.8860   29.5440                         D055400200069 
1.720      100.        253.1160   23.9796                         D055400200070 
1.720      105.        211.0680   19.9983                         D055400200071 
1.720      115.        165.4740   19.6334                         D055400200072 
1.720      120.        158.2330   18.7746                         D055400200073 
1.720      125.        155.6800   18.4717                         D055400200074 
1.720      130.        153.8100   18.2500                         D055400200075 
1.720      135.        157.2020   18.6524                         D055400200076 
1.720      140.        160.5110   19.0448                         D055400200077 
1.720      145.        165.7200   19.6626                         D055400200078 
1.801       60.       1483.4200  176.0150                         D055400200079 
1.801       65.       1083.7400  128.6110                         D055400200080 
1.801       70.        884.5490   83.7653                         D055400200081 
1.801       75.        689.5810   65.3052                         D055400200082 
1.801       80.        537.9790   50.9511                         D055400200083 
1.801       85.        432.7770   40.9903                         D055400200084 
1.801       90.        347.6260   32.9279                         D055400200085 
1.801       95.        287.6610   27.2504                         D055400200086 
1.801      100.        239.3710   22.6782                         D055400200087 
1.801      105.        205.1470   19.4377                         D055400200088 
1.801      115.        159.8270   18.9637                         D055400200089 
1.801      120.        149.7520   17.7687                         D055400200090 
1.801      125.        142.2080   16.8739                         D055400200091 
1.801      130.        135.3750   16.0635                         D055400200092 
1.801      135.        131.9880   15.6619                         D055400200093 
1.801      140.        129.1210   15.3217                         D055400200094 
1.801      145.        127.7410   15.1581                         D055400200095 
1.899       60.       1319.0600  156.5200                         D055400200096 
1.899       65.        958.1670  113.7170                         D055400200097 
1.899       70.        768.9910   72.8240                         D055400200098 
1.899       75.        598.1230   56.6457                         D055400200099 
1.899       80.        470.9040   44.6003                         D055400200100 
1.899       85.        376.5710   35.6685                         D055400200101 
1.899       90.        304.5660   28.8510                         D055400200102 
1.899       95.        254.1610   24.0785                         D055400200103 
1.899      100.        212.6720   20.1502                         D055400200104 
1.899      105.        184.4420   17.4773                         D055400200105 
1.899      115.        145.2430   17.2339                         D055400200106 
1.899      120.        135.1340   16.0349                         D055400200107 
1.899      125.        125.3180   14.8707                         D055400200108 
1.899      130.        118.6280   14.0773                         D055400200109 
1.899      135.        114.9020   13.6353                         D055400200110 
1.899      140.        110.3640   13.0971                         D055400200111 
1.899      145.        108.1810   12.8381                         D055400200112 
2.000       65.        867.5850  102.9730                         D055400200113 
2.000       70.        687.0010   65.0610                         D055400200114 
2.000       75.        536.6880   50.8289                         D055400200115 
2.000       80.        418.9160   39.6779                         D055400200116 
2.000       85.        338.2610   32.0413                         D055400200117 
2.000       90.        272.2540   25.7915                         D055400200118 
2.000       95.        227.8950   21.5916                         D055400200119 
2.000      100.        190.6480   18.0650                         D055400200120 
2.000      105.        162.7400   15.4228                         D055400200121 
2.000      115.        124.9280   14.8245                         D055400200122 
2.000      120.        114.7910   13.6221                         D055400200123 
2.000      125.        105.8560   12.5624                         D055400200124 
2.000      130.         97.8689   11.6151                         D055400200125 
2.000      135.         93.3834   11.0831                         D055400200126 
2.000      140.         89.9848   10.6800                         D055400200127 
2.000      145.         87.5599   10.3924                         D055400200128 
2.053       60.       1139.8900  135.2700                         D055400200129 
2.053       65.        825.4180   97.9715                         D055400200130 
2.053       70.        635.7650   60.2097                         D055400200131 
2.053       75.        483.6620   45.8082                         D055400200132 
2.053       80.        378.3080   35.8330                         D055400200133 
2.053       85.        298.8910   28.3136                         D055400200134 
2.053       90.        235.3370   22.2961                         D055400200135 
2.053       95.        194.7420   18.4526                         D055400200136 
2.053      100.        159.8560   15.1495                         D055400200137 
2.053      105.        134.3040   12.7305                         D055400200138 
2.053      115.        100.6610   11.9462                         D055400200139 
2.053      120.         90.0459   10.6872                         D055400200140 
2.053      125.         81.8615    9.7164                         D055400200141 
2.053      130.         76.0457    9.0268                         D055400200142 
2.053      135.         71.6043    8.5000                         D055400200143 
2.053      140.         67.4785    8.0107                         D055400200144 
2.053      145.         65.0711    7.7251                         D055400200145 
2.060       55.       1516.9000  179.9850                         D055400200146 
2.060       60.       1139.1700  135.1840                         D055400200147 
2.060       65.        822.8320   97.6646                         D055400200148 
2.060       70.        632.2210   59.8742                         D055400200149 
2.060       75.        483.7460   45.8161                         D055400200150 
2.060       80.        370.7680   35.1191                         D055400200151 
2.060       85.        290.9680   27.5634                         D055400200152 
2.060       90.        230.3440   21.8234                         D055400200153 
2.060       95.        185.0170   17.5318                         D055400200154 
2.060      100.        150.0740   14.2233                         D055400200155 
2.060      105.        125.5510   11.9014                         D055400200156 
2.060      110.        102.6340   12.1802                         D055400200157 
2.060      115.         89.1414   10.5800                         D055400200158 
2.060      120.         79.4198    9.4269                         D055400200159 
2.060      125.         72.8602    8.6489                         D055400200160 
2.060      130.         68.0631    8.0800                         D055400200161 
2.060      135.         63.6290    7.5540                         D055400200162 
2.060      140.         60.4730    7.1797                         D055400200163 
2.060      145.         58.8351    6.9854                         D055400200164 
2.071       55.       1505.9200  178.6840                         D055400200165 
2.071       60.       1146.7400  136.0820                         D055400200166 
2.071       65.        827.3800   98.2040                         D055400200167 
2.071       70.        631.3800   59.8153                         D055400200168 
2.071       75.        477.5380   45.2490                         D055400200169 
2.071       80.        363.6990   34.4704                         D055400200170 
2.071       85.        281.9890   26.7339                         D055400200171 
2.071       90.        219.0130   20.7712                         D055400200172 
2.071       95.        173.9250   16.5021                         D055400200173 
2.071      100.        141.5090   13.4329                         D055400200174 
2.071      105.        116.4360   11.0589                         D055400200175 
2.071      110.         93.5076   11.1050                         D055400200176 
2.071      115.         80.8668    9.6061                         D055400200177 
2.071      120.         71.6880    8.5170                         D055400200178 
2.071      125.         64.5195    7.6672                         D055400200179 
2.071      130.         60.4940    7.1893                         D055400200180 
2.071      135.         57.7270    6.8616                         D055400200181 
2.071      140.         56.5817    6.7253                         D055400200182 
2.071      145.         55.2228    6.5643                         D055400200183 
2.080       55.       1530.9800  181.6550                         D055400200184 
2.080       60.       1126.4900  133.6800                         D055400200185 
2.080       65.        789.6460   93.7285                         D055400200186 
2.080       70.        582.4980   55.1869                         D055400200187 
2.080       75.        429.8520   40.7340                         D055400200188 
2.080       80.        317.8020   30.1248                         D055400200189 
2.080       85.        238.7250   22.6375                         D055400200190 
2.080       90.        179.8680   17.0648                         D055400200191 
2.080       95.        138.6600   13.1631                         D055400200192 
2.080      100.        108.7640   10.3324                         D055400200193 
2.080      105.         87.4699    8.3162                         D055400200194 
2.080      110.         65.1707    7.7441                         D055400200195 
2.080      115.         57.1930    6.7978                         D055400200196 
2.080      120.         51.6707    6.1428                         D055400200197 
2.080      125.         47.8744    5.6926                         D055400200198 
