ENTRY            D0648   20110720                             D079D064800000001 
SUBENT        D0648001   20110720                             D079D064800100001 
BIB                 13         24                                 D064800100002 
TITLE      Study of 9Be+12C elastic scattering at energies near   D064800100003 
            the Coulomb barrier                                   D064800100004 
AUTHOR     (R.A.N.Oliveira, N.Carlin, R.Liguori Neto,             D064800100005 
            M.M.de Moura, M.G.Munhoz, M.G.del Santo, F.A.Souza,   D064800100006 
            E.M.Szanto, A.Szanto de Toledo, A.A.P.Suaide)         D064800100007 
INSTITUTE  (3BZLUSP,1USAMSU)                                      D064800100008 
REFERENCE  (J,NP/A,856,46,2011)                                   D064800100009 
FACILITY   (VDGT,3BZLUSP) 8UD Pelletron                           D064800100010 
SAMPLE     40 ug/cm2 thick 12C target                             D064800100011 
DETECTOR   (TELES,SI,CSICR) 150 um Si + 40 mm CsI                 D064800100012 
REL-REF    (I,,M.M.de Moura+,J,NIM/A,471,368,2001)                D064800100013 
            Details of triple telescope                           D064800100014 
METHOD     (EDE) Identification of elastic events                 D064800100015 
COMMENT    Renato Aparecido Negrao Oliveira (2011-07-20):         D064800100016 
            We measured two times in the same position just to    D064800100017 
            make shore that the target thickness not changed.     D064800100018 
            We prefer plot both the points. But users can plot    D064800100019 
            the average of these points.                          D064800100020 
ERR-ANALYS (ERR-T) Total uncertainty including                    D064800100021 
                   Uncertainty in counting statistics;            D064800100022 
           (ERR-1) Uncertainty in target thickness (5%)           D064800100023 
STATUS     (APRVD) Approved by R.A.N.Oliveira (2011-07-20)        D064800100024 
HISTORY    (20110719C) On                                         D064800100025 
           (20110720R) On. From Renato Aparecido Negrao Oliveira  D064800100026 
ENDBIB              24          0                                 D064800100027 
COMMON               1          3                                 D064800100028 
ERR-1                                                             D064800100029 
PER-CENT                                                          D064800100030 
 5.                                                               D064800100031 
ENDCOMMON            3          0                                 D064800100032 
ENDSUBENT           31          0                                 D064800199999 
SUBENT        D0648002   20110720                             D079D064800200001 
BIB                  2          2                                 D064800200002 
REACTION   (6-C-12(4-BE-9,EL)6-C-12,,DA,,RTH)                     D064800200003 
STATUS     (TABLE) Plotted in Fig.2 of Nucl.Phys.A856(2011)46     D064800200004 
ENDBIB               2          0                                 D064800200005 
NOCOMMON             0          0                                 D064800200006 
DATA                 4        168                                 D064800200007 
EN         ANG-CM     DATA       ERR-T                            D064800200008 
MEV        ADEG       NO-DIM     NO-DIM                           D064800200009 
 13.0       20.98      0.999      0.051                           D064800200010 
 13.0       24.47      0.929      0.047                           D064800200011 
 13.0       27.95      0.820      0.041                           D064800200012 
 13.0       31.42      0.716      0.037                           D064800200013 
 13.0       34.88      0.597      0.031                           D064800200014 
 13.0       38.34      0.546      0.028                           D064800200015 
 13.0       41.79      0.507      0.025                           D064800200016 
 13.0       45.22      0.438      0.022                           D064800200017 
 13.0       48.65      0.355      0.018                           D064800200018 
 13.0       52.06      0.316      0.016                           D064800200019 
 13.0       55.45      0.277      0.014                           D064800200020 
 13.0       58.83      0.276      0.014                           D064800200021 
 13.0       62.20      0.266      0.013                           D064800200022 
 13.0       65.54      0.254      0.013                           D064800200023 
 13.0       68.86      0.229      0.011                           D064800200024 
 13.0       72.17      0.193      0.010                           D064800200025 
 13.0       75.45      0.155      0.008                           D064800200026 
 13.0       78.70      0.129      0.006                           D064800200027 
 13.0       81.93      0.116      0.006                           D064800200028 
 13.0       85.12      0.111      0.006                           D064800200029 
 13.0       88.29      0.110      0.006                           D064800200030 
 13.0       91.42      0.115      0.006                           D064800200031 
 13.0       94.51      0.112      0.006                           D064800200032 
 13.0       97.56      0.110      0.006                           D064800200033 
 13.0      100.57      0.107      0.005                           D064800200034 
 13.0      103.54      0.102      0.006                           D064800200035 
 13.0      106.45      0.098      0.005                           D064800200036 
 13.0      109.32      0.089      0.005                           D064800200037 
 14.5       17.49      0.824      0.041                           D064800200038 
 14.5       20.98      0.788      0.039                           D064800200039 
 14.5       24.47      0.729      0.037                           D064800200040 
 14.5       27.95      0.565      0.029                           D064800200041 
 14.5       31.42      0.558      0.028                           D064800200042 
 14.5       34.88      0.500      0.025                           D064800200043 
 14.5       34.88      0.525      0.027                           D064800200044 
 14.5       38.34      0.445      0.022                           D064800200045 
 14.5       41.79      0.366      0.018                           D064800200046 
 14.5       45.22      0.303      0.015                           D064800200047 
 14.5       48.65      0.239      0.012                           D064800200048 
 14.5       52.06      0.217      0.011                           D064800200049 
 14.5       52.06      0.215      0.011                           D064800200050 
 14.5       55.45      0.216      0.011                           D064800200051 
 14.5       58.83      0.218      0.011                           D064800200052 
