ENTRY            D0850   20180508                             D116D085000000001 
SUBENT        D0850001   20180508                             D116D085000100001 
BIB                  9         24                                 D085000100002 
TITLE      Inclusive and exclusive measurements of alpha particle D085000100003 
            production mechanisms in the 7Li +144Sm system        D085000100004 
AUTHOR     (P.F.F.Carnelli, D.Martinez Heimann, A.J.Pacheco,      D085000100005 
            A.Arazi, O.A.Capurro, J.O.Fernandez Niello,           D085000100006 
            M.A.Cardona, E.de Barbara, J.M.Figueira, D.L.Hojman,  D085000100007 
            G.V.Marti, A.E.Negri)                                 D085000100008 
INSTITUTE  (3ARGCNE,3ARGCIN)                                      D085000100009 
           (3ARGARG) Univ. Nacional de San Martin, Buenos Aires   D085000100010 
REFERENCE  (J,NP/A,969,94,2018)                                   D085000100011 
           (J,JP/CS,630,012023,2015) prelim.alpha production data D085000100012 
FACILITY   (VDGT,3ARGCNE) 20 UD tandem accelerator TANDAR         D085000100013 
SAMPLE     (62-SM-144,ENR=0.96) 144Sm sample (60 ug/cm2 thick)    D085000100014 
            supported by carbon backing (20 ug/cm2 thick)         D085000100015 
DETECTOR   (TELES,IOCH,SI) dE measured by ionization chamber and  D085000100016 
            E measured by position-sensitive Si detectors for     D085000100017 
            inclusive 144Sm(7Li,a) reaction                       D085000100018 
           (TELES,SI,SI) dE measured by 30 and 20 um thick Si     D085000100019 
            detectors and E measured by 1 mm thick Si detectors   D085000100020 
            for exclusive 144Sm(7Li,6Li->d+a) reaction            D085000100021 
STATUS     (TABLE) Data received from P.F.E.Carnelli by email     D085000100022 
           (APRVD) Approved by Patricio F.F.Carnelli (2017-12-12) D085000100023 
HISTORY    (20171208R) On                                         D085000100024 
           (20171211C) On                                         D085000100025 
           (20180508U) On. REFERENCE:J,JP/CS,630,012023,2015 addedD085000100026 
ENDBIB              24          0                                 D085000100027 
NOCOMMON             0          0                                 D085000100028 
ENDSUBENT           27          0                                 D085000199999 
SUBENT        D0850002   20171211                             D113D085000200001 
BIB                  2          4                                 D085000200002 
REACTION   (62-SM-144(3-LI-7,X)2-HE-4,,DA/DE)                     D085000200003 
ERR-ANALYS (DATA-ERR) Propagation of uncertainties in total       D085000200004 
            number of events minus background events and detector D085000200005 
            solid angle determination                             D085000200006 
ENDBIB               4          0                                 D085000200007 
NOCOMMON             0          0                                 D085000200008 
DATA                 5        286                                 D085000200009 
EN         ANG        E          DATA       DATA-ERR              D085000200010 
MEV        ADEG       MEV        MB/SR/MEV  MB/SR/MEV             D085000200011 
 24.0       114.6      13.5       0.42       0.23                 D085000200012 
 24.0       114.6      14.5       0.25       0.16                 D085000200013 
 24.0       114.6      15.5       0.47       0.18                 D085000200014 
 24.0       114.6      16.5       0.24       0.13                 D085000200015 
 24.0       114.6      17.5       0.17       0.11                 D085000200016 
 24.0       117.6      13.5       0.13       0.14                 D085000200017 
 24.0       117.6      14.5       0.41       0.13                 D085000200018 
 24.0       117.6      15.5       0.34       0.10                 D085000200019 
 24.0       117.6      16.5       0.12       0.06                 D085000200020 
 24.0       123.2      11.5       0.01       0.14                 D085000200021 
 24.0       123.2      12.5       0.29       0.16                 D085000200022 
 24.0       123.2      13.5       0.27       0.13                 D085000200023 
 24.0       123.2      14.5       0.25       0.11                 D085000200024 
 24.0       123.2      15.5       0.23       0.10                 D085000200025 
 24.0       123.2      16.5       0.14       0.08                 D085000200026 
 24.0       123.2      17.5       0.07       0.06                 D085000200027 
 24.0       123.2      18.5       0.05       0.05                 D085000200028 
 24.0       126.2      11.5       0.05       0.07                 D085000200029 
 24.0       126.2      12.5       0.14       0.08                 D085000200030 
 24.0       126.2      13.5       0.31       0.09                 D085000200031 
 24.0       126.2      14.5       0.24       0.08                 D085000200032 
 24.0       126.2      15.5       0.11       0.05                 D085000200033 
 24.0       126.2      16.5       0.02       0.02                 D085000200034 
 24.0       126.2      17.5       0.05       0.04                 D085000200035 
 24.0       126.2      18.5       0.01       0.02                 D085000200036 
 24.0       129.2      11.5       0.09       0.08                 D085000200037 
 24.0       129.2      12.5       0.21       0.08                 D085000200038 
 24.0       129.2      13.5       0.36       0.09                 D085000200039 
 24.0       129.2      14.5       0.21       0.07                 D085000200040 
 24.0       129.2      15.5       0.07       0.04                 D085000200041 
 24.0       129.2      16.5       0.06       0.04                 D085000200042 
 24.0       129.2      17.5       0.02       0.02                 D085000200043 
 24.0       135.4      10.5       0.07       0.11                 D085000200044 
 24.0       135.4      11.5       0.21       0.10                 D085000200045 
 24.0       135.4      12.5       0.27       0.10                 D085000200046 
 24.0       135.4      13.5       0.24       0.08                 D085000200047 
 24.0       135.4      14.5       0.09       0.05                 D085000200048 
 24.0       135.4      15.5       0.01       0.01                 D085000200049 
 24.0       135.4      16.5       0.03       0.03                 D085000200050 
 24.0       138.4      10.5       0.09       0.07                 D085000200051 
 24.0       138.4      11.5       0.27       0.08                 D085000200052 
 24.0       138.4      12.5       0.22       0.07                 D085000200053 
 24.0       138.4      13.5       0.11       0.05                 D085000200054 
 24.0       138.4      14.5       0.07       0.04                 D085000200055 
 24.0       138.4      15.5       0.01       0.02                 D085000200056 
 24.0       138.4      16.5       0.02       0.02                 D085000200057 
 30.0        63.2      17.5       0.11       0.37                 D085000200058 
 30.0        63.2      18.5       0.74       0.38                 D085000200059 
