ENTRY            D0962   20200720                             D128D096200000001 
SUBENT        D0962001   20200720                             D128D096200100001 
BIB                 10         22                                 D096200100002 
TITLE      Clusterization and strong coupled-channels effects in  D096200100003 
            Deuteron interaction with 9 be nuclei                 D096200100004 
AUTHOR     (B.A.Urazbekov, A.S.Denikin, S.M.Lukyanov, N.Itaco,    D096200100005 
            D.M.Janseitov, K.Mendibayev, V.Burjan, V.Kroha,       D096200100006 
            J.Mrazek, W.H.Trzaska, M.N.Harakeh, D.Etasse,         D096200100007 
            I.Stefan, D.Verney, T.Issatayev, Yu.E.Penionzhkevich, D096200100008 
            K.A.Kuterbekov, T.Zholdybayev)                        D096200100009 
INSTITUTE  (2ITYFSN,2ITYNAP,4ZZZDUB,4KASAFU,4KASATN,4KASKAZ,      D096200100010 
            3CZRUJF,2SF JYV,2NEDKVI,2FR CAE,2FR PAR)              D096200100011 
           (4ZZZDUB) Dubna State University, Dubna                D096200100012 
REFERENCE  (J,JP/G,46,105110,2019)                                D096200100013 
FACILITY   (CYCLO,3CZRUJF) Ed=19.5 MeV                            D096200100014 
           (CYCLO,2SF JYV) Ed=35.0 MeV                            D096200100015 
SAMPLE     Self-supporting 9Be foil (99% purity)                  D096200100016 
DETECTOR   (TELES) Four telescopes, each of them consists of dE0  D096200100017 
            (12 um thick), dE (100 um thick) and Er (3 mm thick)  D096200100018 
            detectors.                                            D096200100019 
ERR-ANALYS (DATA-ERR) Mainly attributed to the statistical        D096200100020 
            uncertainties                                         D096200100021 
STATUS     (APRVD) Approved by Bakytzhan Urazbekov (2020-07-22)   D096200100022 
HISTORY    (20200720R) On. Data received from Bakytzhan Urazbekov.D096200100023 
           (20200720C) On                                         D096200100024 
ENDBIB              22          0                                 D096200100025 
NOCOMMON             0          0                                 D096200100026 
ENDSUBENT           25          0                                 D096200199999 
SUBENT        D0962002   20200720                             D128D096200200001 
BIB                  2          2                                 D096200200002 
REACTION   (4-BE-9(D,EL)4-BE-9,,DA,,RTH)                          D096200200003 
STATUS     (TABLE) Plotted in Fig.3 of J.Phys.G.46(2019)105110    D096200200004 
ENDBIB               2          0                                 D096200200005 
NOCOMMON             0          0                                 D096200200006 
DATA                 4        115                                 D096200200007 
EN         ANG-CM     DATA       DATA-ERR                         D096200200008 
MEV        ADEG       NO-DIM     NO-DIM                           D096200200009 
 19.5        13.43      2.7053    0.27053                         D096200200010 
 19.5        15.87      4.541     0.4541                          D096200200011 
 19.5        18.3       4.4331    0.44331                         D096200200012 
 19.5        20.73      5.1824    0.51824                         D096200200013 
 19.5        23.15      4.9674    0.49674                         D096200200014 
 19.5        25.57      5.2106    0.52106                         D096200200015 
 19.5        27.98      3.7356    0.37356                         D096200200016 
 19.5        30.39      2.4607    0.24607                         D096200200017 
 19.5        32.79      1.2676    0.12676                         D096200200018 
 19.5        35.18      0.5792    0.05792                         D096200200019 
 19.5        36.38      0.5534    0.05534                         D096200200020 
 19.5        37.57      0.6665    0.06665                         D096200200021 
 19.5        38.76      0.9399    0.09399                         D096200200022 
 19.5        39.95      1.4595    0.14595                         D096200200023 
 19.5        41.14      1.9401    0.19401                         D096200200024 
 19.5        42.32      2.1153    0.21153                         D096200200025 
 19.5        43.51      3.4249    0.34249                         D096200200026 
 19.5        44.69      4.1634    0.41634                         D096200200027 
 19.5        45.86      4.7831    0.47831                         D096200200028 
 19.5        47.04      5.6781    0.56781                         D096200200029 
 19.5        49.38      6.6842    0.66842                         D096200200030 
 19.5        51.72      8.1238    0.81238                         D096200200031 
 19.5        54.04      8.9105    0.89105                         D096200200032 
 19.5        56.35      8.0885    0.80885                         D096200200033 
 19.5        57.51      7.7686    0.77686                         D096200200034 
 19.5        58.65      7.5383    0.75383                         D096200200035 
 19.5        59.8       4.788     0.4788                          D096200200036 
 19.5        60.94      6.6327    0.66327                         D096200200037 
 19.5        62.09      6.1062    0.61062                         D096200200038 
 19.5        63.22      5.605     0.5605                          D096200200039 
 19.5        64.36      5.2842    0.52842                         D096200200040 
 19.5        66.62      4.8834    0.48834                         D096200200041 
 19.5        67.74      4.1325    0.41325                         D096200200042 
 19.5        69.98      4.8524    0.48524                         D096200200043 
 19.5        71.1       4.0978    0.40978                         D096200200044 
 19.5        73.32      5.6164    0.56164                         D096200200045 
 19.5        74.42      4.6825    0.46825                         D096200200046 
 19.5        75.52      6.4859    0.64859                         D096200200047 
 19.5        77.71      5.8435    0.58435                         D096200200048 
 19.5        79.89      9.3231    0.93231                         D096200200049 
 19.5        85.27      8.6802    0.86802                         D096200200050 
 19.5        89.51     10.473     1.0473                          D096200200051 
 19.5        91.6      11.018     1.1018                          D096200200052 
 19.5        98.81      7.2142    0.72142                         D096200200053 
 19.5       108.77      7.4839    0.74839                         D096200200054 
 19.5       112.64      7.5747    0.75747                         D096200200055 
 19.5       116.45      8.378     0.8378                          D096200200056 
 19.5       118.33      8.4787    0.84787                         D096200200057 
 19.5       123.89      7.4965    0.74965                         D096200200058 
 19.5       127.52     13.093     1.3093                          D096200200059 
 19.5       129.32     13.614     1.3614                          D096200200060 
 19.5       131.1      13.943     1.3943                          D096200200061 
 19.5       132.86     15.309     1.5309                          D096200200062 
