ENTRY            D4384   20180410                             D116D438400000001 
SUBENT        D4384001   20180410                             D116D438400100001 
BIB                 11         36                                 D438400100002 
TITLE      New cross sections for the 27Al(p,x)7Be nuclear        D438400100003 
           process: Monitoring proton beam energy via the 22Na/7BeD438400100004 
           cross-section ratio between 45 and 200MeV              D438400100005 
AUTHOR     (F.Szelecsenyi,G.F.Steyn,F.M.Nortier,Z.Kovacs)         D438400100006 
INSTITUTE  (3SAFITH)                                              D438400100007 
REFERENCE  (J,EPJ/CS,146,08011,2017)                              D438400100008 
           #doi:10.1051/epjconf/201714608011                      D438400100009 
DETECTOR   (GE-IN)                                                D438400100010 
FACILITY   (ISOCY,3SAFITH) Separated-sector Cyclotron Facility    D438400100011 
SAMPLE     Each of the target foils was followed by a 250 mu-m    D438400100012 
           high-purity Al catcher foil (99.999%).                 D438400100013 
           These foils also served as monitor foils for the       D438400100014 
           accurate measurement of the incident proton flux.      D438400100015 
           Additional beam degradation within the stacks, if      D438400100016 
           required, was accomplished by means of suitable Al     D438400100017 
           foils and/or Cu foils or discs. All the foils and discsD438400100018 
           had a diameter of 19 mm and their individual           D438400100019 
           thicknesses were determined by weighing.               D438400100020 
METHOD     (STTA,EXTB,ACTIV)                                      D438400100021 
           Five foil stacks were activated, utilising primary     D438400100022 
           proton beams with nominal energies of 200, 120, 100, 66D438400100023 
           and 40MeV. The stacks were bombarded inside a          D438400100024 
           calibrated Faraday cup.                                D438400100025 
           More details are given in A0497 entry                  D438400100026 
ERR-ANALYS (EN-ERR) Including energy straggling, target foil      D438400100027 
           thicknesses as well as the estimated energy spread of  D438400100028 
           the primary proton beams                               D438400100029 
           (ERR-T) Total uncertainty. 6% systematic error is not  D438400100030 
           included.                                              D438400100031 
           (ERR-1).The uncertainty in beam-loss corrections.      D438400100032 
           (ERR-2).The uncertainty in detector efficiency.        D438400100033 
           (ERR-3).The uncertainty in country geometry.           D438400100034 
           (ERR-4).The uncertainty in decay corrections.          D438400100035 
           (ERR-5).The uncertainty in the foil thickness.         D438400100036 
ADD-RES    (COMP)                                                 D438400100037 
HISTORY    (20180410C) ST                                         D438400100038 
ENDBIB              36          0                                 D438400100039 
COMMON               5          3                                 D438400100040 
ERR-1      ERR-2      ERR-3      ERR-4      ERR-5                 D438400100041 
PER-CENT   PER-CENT   PER-CENT   PER-CENT   PER-CENT              D438400100042 
         3.         5.         1.         1.         1.           D438400100043 
ENDCOMMON            3          0                                 D438400100044 
ENDSUBENT           43          0                                 D438400199999 
SUBENT        D4384002   20180410                             D116D438400200001 
BIB                  3          3                                 D438400200002 
REACTION   (13-AL-27(P,X)4-BE-7,,SIG)                             D438400200003 
DECAY-DATA (4-BE-7,53.22D,DG,477.6,0.1044)                        D438400200004 
STATUS     (TABLE) Table1 of REFERENCE                            D438400200005 
ENDBIB               3          0                                 D438400200006 
NOCOMMON             0          0                                 D438400200007 
DATA                 4         46                                 D438400200008 
EN         EN-ERR     DATA       ERR-T                            D438400200009 
MEV        MEV        MB         MB                               D438400200010 
      40.94      0.88      0.23      0.01                         D438400200011 
      43.22      0.83      0.26      0.01                         D438400200012 
      45.41      0.78      0.32      0.02                         D438400200013 
      47.52      0.73      0.34      0.02                         D438400200014 
      49.56      0.68      0.36      0.02                         D438400200015 
      51.54      0.64      0.39      0.02                         D438400200016 
      53.47      0.59      0.43      0.02                         D438400200017 
      55.35      0.54      0.47      0.02                         D438400200018 
      57.18      0.49      0.48      0.02                         D438400200019 
      58.97      0.87      0.52      0.02                         D438400200020 
      60.72      0.81      0.56      0.02                         D438400200021 
      62.43      0.42      0.56      0.02                         D438400200022 
      64.10      0.77      0.58      0.01                         D438400200023 
      65.74      0.34      0.58      0.01                         D438400200024 
      67.04      0.72      0.59      0.02                         D438400200025 
      69.71      0.69      0.60      0.02                         D438400200026 
      72.31      0.66      0.64      0.02                         D438400200027 
      74.83      0.62      0.65      0.02                         D438400200028 
      77.30      0.59      0.68      0.02                         D438400200029 
      79.70      0.56      0.69      0.02                         D438400200030 
      82.06      0.53      0.72      0.02                         D438400200031 
      84.36      0.50      0.76      0.02                         D438400200032 
      86.62      0.47      0.76      0.02                         D438400200033 
      88.84      0.44      0.79      0.02                         D438400200034 
      91.01      0.41      0.81      0.01                         D438400200035 
      93.15      0.62      0.81      0.01                         D438400200036 
      95.58      0.36      0.84      0.01                         D438400200037 
     101.42      0.52      0.89      0.04                         D438400200038 
     107.00      0.48      0.94      0.04                         D438400200039 
     113.73      1.61      0.96      0.04                         D438400200040 
     119.44      0.41      0.99      0.04                         D438400200041 
     121.52      1.52      0.99      0.04                         D438400200042 
     126.28      1.45      1.01      0.03                         D438400200043 
     131.41      1.39      1.04      0.04                         D438400200044 
     136.40      1.32      1.10      0.04                         D438400200045 
     141.27      1.26      1.13      0.04                         D438400200046 
     146.03      1.20      1.21      0.05                         D438400200047 
     151.75      1.12      1.18      0.04                         D438400200048 
     157.32      1.05      1.21      0.03                         D438400200049 
     163.19      0.98      1.27      0.03                         D438400200050 
     169.09      0.90      1.29      0.03                         D438400200051 
     174.29      0.83      1.27      0.03                         D438400200052 
     180.97      0.75      1.34      0.04                         D438400200053 
     187.49      0.66      1.40      0.04                         D438400200054 
     193.34      0.59      1.38      0.03                         D438400200055 
     199.60      0.51      1.46      0.03                         D438400200056 
ENDDATA             48          0                                 D438400200057 
ENDSUBENT           56          0                                 D438400299999 
ENDENTRY             2          0                                 D438499999999 
