ENTRY            D5133   20190805                             D122D5133  0    1 
SUBENT        D5133001   20190805                             D122D5133  1    1 
BIB                 12         32                                 D5133  1    2 
TITLE      Cluster structure of 17O                               D5133  1    3 
AUTHOR     (S.Yu.Mezhevych,A.T.Rudchik,A.A.Rudchik,               D5133  1    4 
           O.A.Ponkratenko, N.Keeley,K.W.Kemper,M.Mazzocco,       D5133  1    5 
           K.Rusek,S.B.Sakuta)                                    D5133  1    6 
INSTITUTE  (4UKRIJD,3POLIPJ,1USAFSU,2ITYUPV,3POLWWA,4RUSKUR)      D5133  1    7 
FACILITY   (CYCLO,3POLWWA) Cyclotron U-200P                       D5133  1    8 
REFERENCE  (J,PR/C,95,034607,2017)                                D5133  1    9 
           #doi:10.1103/PhysRevC.95.034607                        D5133  1   10 
           #nsr:2017ME04                                          D5133  1   11 
           (J,YFE,19,341,2018)                                    D5133  1   12 
           #doi:10.15407/jnpae2018.04.341                         D5133  1   13 
SAMPLE     (8-C-13,ENR=0.90) A self-supporting carbon foil was    D5133  1   14 
           used as a target.                                      D5133  1   15 
DETECTOR   (TELES,IOCH,SI) Delta E-E telescopes, each consisting  D5133  1   16 
           of a gas ionization chamber and a 1 mm thick silicon   D5133  1   17 
           detector. Argon was used as the working gas. The energyD5133  1   18 
           loss of the ions in the ionization chamber correspondedD5133  1   19 
           to that deposited in an approximately 15 micro-m thick D5133  1   20 
           silicon detector.                                      D5133  1   21 
METHOD     (EXTB,EDE)                                             D5133  1   22 
CORRECTION Corrected for background.                              D5133  1   23 
ADD-RES    (POT,COMP) Spectroscopic amplitudes, parameters of the D5133  1   24 
           nucleus-nucleus potentials were determined. Optical    D5133  1   25 
           model and the coupled-reaction-channels method were    D5133  1   26 
           used.                                                  D5133  1   27 
ERR-ANALYS (DATA-ERR) Errors include both the statistical errors  D5133  1   28 
           and uncertainties from the spectrum fitting procedure. D5133  1   29 
HISTORY    (20170520R) Data were received from A.Rudchik.         D5133  1   30 
           (20170530C) UkrNDC                                     D5133  1   31 
           (20190805A) OG. The 2-nd reference added.              D5133  1   32 
           Subentries 2-7 combined. Subentries 3-7 deleted.       D5133  1   33 
           STATUS, SAMPLE and REACTION updated.                   D5133  1   34 
ENDBIB              32          0                                 D5133  1   35 
COMMON               1          3                                 D5133  1   36 
EN                                                                D5133  1   37 
MEV                                                               D5133  1   38 
45.                                                               D5133  1   39 
ENDCOMMON            3          0                                 D5133  1   40 
ENDSUBENT           39          0                                 D5133  199999 
SUBENT        D5133002   20190805                             D122D5133  2    1 
BIB                  4          5                                 D5133  2    2 
REACTION   (6-C-13(5-B-11,3-LI-7)8-O-17,PAR,DA)                   D5133  2    3 
EN-SEC     (E-LVL1,3-LI-7)                                        D5133  2    4 
           (E-LVL2,8-O-17)                                        D5133  2    5 
STATUS     (TABLE) Correspond to figures 2-4 in the main ref.     D5133  2    6 
HISTORY    (20190805A) OG. Subentries 2-7 combined.               D5133  2    7 
ENDBIB               5          0                                 D5133  2    8 
NOCOMMON             0          0                                 D5133  2    9 
DATA                 5        177                                 D5133  2   10 
E-LVL1     E-LVL2     ANG-CM     DATA-CM    DATA-ERR              D5133  2   11 
MEV        MEV        ADEG       MB/SR      MB/SR                 D5133  2   12 
0.         0.         16.2       0.1235     0.03705               D5133  2   13 
0.         0.         17.8       0.1026     0.03078               D5133  2   14 
0.         0.         21.1       0.07984    0.023952              D5133  2   15 
0.         0.         22.7       0.07814    0.023442              D5133  2   16 
0.         0.         24.3       0.06532    0.019596              D5133  2   17 
0.         0.         25.9       0.06607    0.019821              D5133  2   18 
0.         0.         29.1       0.04941    0.014823              D5133  2   19 
0.         0.         30.7       0.03686    0.011058              D5133  2   20 
0.         0.         32.3       0.03609    0.010827              D5133  2   21 
0.         0.         33.9       0.03531    0.010593              D5133  2   22 
0.         0.         35.5       0.03157    0.009471              D5133  2   23 
0.         0.         37.1       0.02166    0.006498              D5133  2   24 
0.         0.         38.7       0.01973    0.005919              D5133  2   25 
0.         0.         40.3       0.02051    0.006153              D5133  2   26 
0.         0.         41.9       0.01862    0.005586              D5133  2   27 
0.         0.         41.9       0.01988    0.005964              D5133  2   28 
0.         0.         43.4       0.01935    0.005805              D5133  2   29 
0.         0.         45.        0.01487    0.004461              D5133  2   30 
0.         0.         118.2      0.002223   0.000667              D5133  2   31 
0.         0.         121.       0.00176    0.000528              D5133  2   32 
0.         0.         123.7      0.001422   0.000427              D5133  2   33 
0.         0.         126.3      0.00167    0.000501              D5133  2   34 
0.         0.         129.       0.002042   0.000613              D5133  2   35 
0.         0.         131.6      0.002447   0.000734              D5133  2   36 
0.         0.         134.3      0.002261   0.000678              D5133  2   37 
0.         0.         136.9      0.002279   0.000684              D5133  2   38 
0.         0.         139.5      0.001884   0.000565              D5133  2   39 
0.         0.         142.1      0.002238   0.000671              D5133  2   40 
0.         0.         144.6      0.002574   0.000772              D5133  2   41 
0.         0.         147.2      0.003334   0.001                 D5133  2   42 
0.         0.         149.8      0.003731   0.001119              D5133  2   43 
0.         0.         152.3      0.00355    0.001065              D5133  2   44 
0.         0.         154.8      0.003678   0.001103              D5133  2   45 
0.         0.         157.4      0.003488   0.001046              D5133  2   46 
0.         0.         159.9      0.004128   0.001238              D5133  2   47 
0.         0.         162.4      0.006581   0.001974              D5133  2   48 
0.         0.         164.9      0.007301   0.00219               D5133  2   49 
0.         0.871      16.3       0.1198     0.03594               D5133  2   50 
0.         0.871      18.        0.101      0.03594               D5133  2   51 
0.         0.871      21.2       0.07812    0.03594               D5133  2   52 
0.         0.871      22.9       0.05175    0.03594               D5133  2   53 
0.         0.871      24.5       0.03682    0.03594               D5133  2   54 
0.         0.871      26.1       0.02948    0.03594               D5133  2   55 
0.         0.871      27.7       0.0272     0.03594               D5133  2   56 
0.         0.871      29.3       0.03163    0.03594               D5133  2   57 
0.         0.871      30.9       0.03044    0.03594               D5133  2   58 
0.         0.871      32.6       0.02732    0.03594               D5133  2   59 
0.         0.871      34.2       0.01824    0.03594               D5133  2   60 
0.         0.871      35.8       0.0178     0.03594               D5133  2   61 
0.         0.871      39.        0.01055    0.03594               D5133  2   62 
0.         0.871      40.6       0.01212    0.03594               D5133  2   63 
0.         0.871      42.2       0.01132    0.03594               D5133  2   64 
0.         0.871      43.8       0.012      0.03594               D5133  2   65 
