ENTRY            D5139   20180606                             D118D513900000001 
SUBENT        D5139001   20180606                             D118D513900100001 
BIB                 13         30                                 D513900100002 
TITLE      7Li(15N, 14C)8Be reaction at 81 MeV and 14C + 8Be      D513900100003 
           interaction versus that of 13C + 8Be                   D513900100004 
AUTHOR     (A.T.Rudchik,A.A.Rudchik,L.M.Muravynets,K.W.Kemper,    D513900100005 
           K.Rusek, E.I.Koshchy,E.Piasecki,A.Trzcinska,           D513900100006 
           Val.M.Pirnak, O.A.Ponkratenko,I.Strojek,A.Stolarz,     D513900100007 
           V.A.Plujko,S.B.Sakuta, R.Siudak,A.P.Ilyin,             D513900100008 
           Yu.M.Stepanenko,Yu.O.Shyrma, V.V.Uleshchenko)          D513900100009 
INSTITUTE  (4UKRIJD,1USAFSU,3POLWWA,1USATAM,3POLIPJ,4UKRKGU,      D513900100010 
           4RUSKUR,3POLIFJ)                                       D513900100011 
REFERENCE  (J,NP/A,971,138,2018)                                  D513900100012 
           #doi:10.1016/j.nuclphysa.2018.01.014                   D513900100013 
           #nsr:2018RU03                                          D513900100014 
           (J,YFE,18,(3),238,2017)                                D513900100015 
           #doi:10.15407/jnpae2017.03.238                         D513900100016 
FACILITY   (CYCLO,3POLWWA) Cyclotron U-200P                       D513900100017 
SAMPLE     A self-supporting about of 800 mu-g/cm2 foil of naturalD513900100018 
           lithium (7Li-92.5%, 6Li-7.5%) was used as the target.  D513900100019 
METHOD     (EXTB,EDE)                                             D513900100020 
DETECTOR   (TELES,SI,SI) Four delta E-E-telescopes each one       D513900100021 
           consisting of a 40 mu-m silicon delta E-detector and   D513900100022 
           a 0.3 mm silicon E-detector.                           D513900100023 
CORRECTION Corrected for background.                              D513900100024 
ADD-RES    (POT,COMP) Calculated spectroscopic amplitudes,        D513900100025 
           deformation. The data were analyzed within  the coupledD513900100026 
           reaction channels method.                              D513900100027 
ERR-ANALYS (DATA-ERR) Errors include both the statistical errors  D513900100028 
           and uncertainties from the spectrum fitting procedure. D513900100029 
STATUS     (TABLE) Correspond to Fig.3 of Nucl.Phys.A971(2018)138.D513900100030 
HISTORY    (20180605R) Data were received from A.Rudchik.         D513900100031 
           (20180606C) UkrNDC                                     D513900100032 
ENDBIB              30          0                                 D513900100033 
COMMON               1          3                                 D513900100034 
EN                                                                D513900100035 
MEV                                                               D513900100036 
81.                                                               D513900100037 
ENDCOMMON            3          0                                 D513900100038 
ENDSUBENT           37          0                                 D513900199999 
SUBENT        D5139002   20180606                             D118D513900200001 
BIB                  2          3                                 D513900200002 
REACTION   (3-LI-7(7-N-15,4-BE-8)6-C-14,PAR,DA,RSD)               D513900200003 
EN-SEC     (E-LVL1,4-BE-8)                                        D513900200004 
           (E-LVL2,6-C-14)                                        D513900200005 
ENDBIB               3          0                                 D513900200006 
NOCOMMON             0          0                                 D513900200007 
DATA                 5         75                                 D513900200008 
E-LVL1     E-LVL2     ANG-CM     DATA-CM    DATA-ERR              D513900200009 
MEV        MEV        ADEG       MB/SR      MB/SR                 D513900200010 
0.         0.         27.30      0.1492     0.02715               D513900200011 
0.         0.         30.10      0.1410     0.01455               D513900200012 
0.         0.         32.90      0.09562    0.01516               D513900200013 
0.         0.         35.70      0.08298    0.01201               D513900200014 
0.         0.         38.50      0.06934    0.0138                D513900200015 
0.         0.         41.40      0.07871    0.01469               D513900200016 
0.         0.         44.20      0.08799    0.01951               D513900200017 
0.         0.         47.10      0.07657    0.01758               D513900200018 
0.         0.         50.00      0.06742    0.02484               D513900200019 
0.         0.         53.00      0.06163    0.01867               D513900200020 
0.         0.         55.90      0.06497    0.02507               D513900200021 
0.         0.         59.00      0.06030    0.02063               D513900200022 
0.         0.         62.00      0.05434    0.01365               D513900200023 
0.         0.         65.10      0.04173    0.01296               D513900200024 
0.         0.         68.30      0.03218    0.01158               D513900200025 
0.         6.589      29.5       0.1173     0.03519               D513900200026 
0.         6.589      32.5       0.09988    0.029964              D513900200027 
0.         6.589      35.5       0.1045     0.03135               D513900200028 
0.         6.589      38.6       0.09177    0.027531              D513900200029 
0.         6.589      41.7       0.07587    0.022761              D513900200030 
0.         6.589      44.8       0.09396    0.028188              D513900200031 
0.         6.589      47.9       0.1001     0.03003               D513900200032 
0.         6.589      51.1       0.08287    0.024861              D513900200033 
0.         6.589      54.4       0.06046    0.018138              D513900200034 
0.         6.589      57.7       0.06725    0.020175              D513900200035 
0.         6.589      61.0       0.0719     0.02157               D513900200036 
0.         6.589      64.4       0.06592    0.019776              D513900200037 
0.         6.589      67.9       0.05474    0.016422              D513900200038 
0.         6.589      71.5       0.04719    0.014157              D513900200039 
0.         6.589      75.3       0.04622    0.013866              D513900200040 
0.         7.012      29.6       0.3873     0.11619               D513900200041 
0.         7.012      32.7       0.3483     0.10449               D513900200042 
0.         7.012      35.7       0.2975     0.08925               D513900200043 
0.         7.012      38.8       0.2934     0.08802               D513900200044 
0.         7.012      41.9       0.214      0.0642                D513900200045 
0.         7.012      45.0       0.2463     0.07389               D513900200046 
0.         7.012      48.2       0.2199     0.06597               D513900200047 
0.         7.012      51.4       0.1827     0.05481               D513900200048 
0.         7.012      54.7       0.1711     0.05133               D513900200049 
0.         7.012      58.0       0.1568     0.04704               D513900200050 
0.         7.012      61.4       0.1921     0.05763               D513900200051 
0.         7.012      64.9       0.153      0.0459                D513900200052 
0.         7.012      68.4       0.1344     0.04032               D513900200053 
0.         7.012      72.1       0.09483    0.028449              D513900200054 
0.         7.012      75.9       0.09628    0.028884              D513900200055 
3.030      0.         28.20      0.2341     0.04665               D513900200056 
3.030      0.         31.10      0.2932     0.0375                D513900200057 
3.030      0.         34.00      0.3032     0.0412                D513900200058 
3.030      0.         36.90      0.31160    0.02685               D513900200059 
3.030      0.         39.80      0.25060    0.03585               D513900200060 
3.030      0.         42.80      0.1758     0.03                  D513900200061 
3.030      0.         45.80      0.2099     0.0244                D513900200062 
