ENTRY            D5183   20200120                             D125D518300000001 
SUBENT        D5183001   20200120                             D125D518300100001 
BIB                 13         25                                 D518300100002 
TITLE      One- and two-step mechanisms of the 9Be(12C, 11B)10B   D518300100003 
           reaction at Elab(12C) = 65 MeV and the energy          D518300100004 
           dependence of 11, 10B + 10B interactions               D518300100005 
AUTHOR     (A.T.Rudchik,O.A.Momotyuk,A.Budzanowski,               D518300100006 
           V.K.Chernievsky, E.I.Koshchy,A.V.Mokhnach,V.A.Ziman,   D518300100007 
           S.Kliczewski,R.Siudak, I.Skwirczynska,A.Szczurek,      D518300100008 
           M.Makowska-Rzeszutko,L.Glowacka, J.Turkiewicz)         D518300100009 
INSTITUTE  (4UKRIJD,3POLIPJ,4UKRKHU,3POLWWA)                      D518300100010 
FACILITY   (CYCLO,4UKRIJD) The Kyiv U-240 cyclotron               D518300100011 
REFERENCE  (J,NP/A,677,61,2000)                                   D518300100012 
           #doi:10.1016/S0375-9474(00)00252-9                     D518300100013 
SAMPLE     The 9Be target prepared on a thin nickel foil (about   D518300100014 
           300 mu-g/cm2). The 9Be layer was about 300 mu-g/cm2.   D518300100015 
DETECTOR   (TELES,SI) Two delta E-E telescopes with delta E       D518300100016 
           40 mu-m and E (1 mm) silicon detectors.                D518300100017 
INC-SPECT  The beam energy spread on the target was about 0.6%    D518300100018 
METHOD     (EXTB,EDE)                                             D518300100019 
CORRECTION Corrected for background.                              D518300100020 
ADD-RES    (POT,COMP) Parameters of the nucleus-nucleus potentialsD518300100021 
            were determined. Optical model and the coupled        D518300100022 
           reaction-channels method were used.                    D518300100023 
ERR-ANALYS (DATA-ERR) Errors include both the statistical errors  D518300100024 
           and uncertainties from the spectrum fitting procedure. D518300100025 
HISTORY    (20200115R) Data were received from A.Rudchik.         D518300100026 
           (20200117C) UkrNDC                                     D518300100027 
ENDBIB              25          0                                 D518300100028 
COMMON               1          3                                 D518300100029 
EN                                                                D518300100030 
MEV                                                               D518300100031 
65.                                                               D518300100032 
ENDCOMMON            3          0                                 D518300100033 
ENDSUBENT           32          0                                 D518300199999 
SUBENT        D5183002   20200120                             D125D518300200001 
BIB                  3          4                                 D518300200002 
REACTION   (4-BE-9(6-C-12,5-B-10)5-B-11,PAR,DA)                   D518300200003 
EN-SEC     (E-LVL1,5-B-10)                                        D518300200004 
           (E-LVL2,5-B-11)                                        D518300200005 
STATUS     (TABLE) Corres. to Figs.2, 3 in Nucl.Phys.A,677,61,2000D518300200006 
ENDBIB               4          0                                 D518300200007 
NOCOMMON             0          0                                 D518300200008 
DATA                 5         85                                 D518300200009 
E-LVL1     E-LVL2     ANG-CM     DATA-CM    DATA-ERR              D518300200010 
MEV        MEV        ADEG       MB/SR      MB/SR                 D518300200011 
0.         0.         25.0       0.7360     0.2208                D518300200012 
0.         0.         31.3       0.2301     0.0690                D518300200013 
0.         0.         37.7       0.1074     0.0430                D518300200014 
0.         0.         44.1       0.0610     0.0183                D518300200015 
0.         0.         50.6       0.0631     0.0190                D518300200016 
0.         0.         57.2       0.0358     0.0107                D518300200017 
0.         0.         64.0       0.0234     0.0070                D518300200018 
0.         0.         70.9       0.0140     0.0042                D518300200019 
0.         0.         78.0       0.0160     0.0048                D518300200020 
0.         0.         107.4      0.0115     0.0034                D518300200021 
0.         0.         113.8      0.0147     0.0044                D518300200022 
0.         0.         120.1      0.0229     0.0069                D518300200023 
0.         0.         126.3      0.0217     0.0095                D518300200024 
0.         0.         132.4      0.0201     0.0061                D518300200025 
0.         0.         138.5      0.0241     0.0073                D518300200026 
0.         0.         144.5      0.0304     0.0092                D518300200027 
0.         0.         150.5      0.0488     0.0146                D518300200028 
0.         0.         156.4      0.1034     0.0310                D518300200029 
0.718      2.125      25.3       0.1647     0.0494                D518300200030 
0.718      2.125      31.7       0.0892     0.0268                D518300200031 
0.718      2.125      38.1       0.074      0.0223                D518300200032 
0.718      2.125      44.7       0.050      0.0150                D518300200033 
0.718      2.125      51.3       0.0293     0.0088                D518300200034 
0.718      2.125      58.0       0.0259     0.0078                D518300200035 
0.718      2.125      64.9       0.0174     0.0052                D518300200036 
0.718      2.125      72.0       0.0124     0.0037                D518300200037 
0.718      2.125      79.3       0.0091     0.0027                D518300200038 
0.718      2.125      106.4      0.0098     0.0030                D518300200039 
0.718      2.125      112.9      0.0143     0.0043                D518300200040 
0.718      2.125      119.3      0.0185     0.0056                D518300200041 
0.718      2.125      125.6      0.0280     0.0084                D518300200042 
0.718      2.125      131.8      0.0365     0.0109                D518300200043 
0.718      2.125      138.0      0.0457     0.0137                D518300200044 
0.718      2.125      144.1      0.0392     0.0118                D518300200045 
0.718      2.125      150.1      0.0538     0.0162                D518300200046 
1.74       0.         25.8       0.09182    0.027546              D518300200047 
1.74       0.         32.3       0.06221    0.018663              D518300200048 
1.74       0.         38.9       0.03230    0.009690              D518300200049 
1.74       0.         45.5       0.02570    0.007710              D518300200050 
1.74       0.         52.3       0.01724    0.005172              D518300200051 
1.74       0.         59.2       0.01355    0.004065              D518300200052 
1.74       0.         66.3       0.01100    0.003300              D518300200053 
1.74       0.         73.7       0.00758    0.002276              D518300200054 
1.74       0.         104.7      0.00760    0.002281              D518300200055 
1.74       0.         111.5      0.01437    0.004310              D518300200056 
1.74       0.         118.1      0.00986    0.002958              D518300200057 
1.74       0.         124.5      0.01245    0.003735              D518300200058 
1.74       0.         130.9      0.01953    0.005859              D518300200059 
1.74       0.         137.2      0.01294    0.003882              D518300200060 
1.74       0.         143.4      0.03926    0.011778              D518300200061 
1.74       0.         149.6      0.01941    0.005823              D518300200062 
1.74       0.         155.7      0.06352    0.019056              D518300200063 
2.154      2.125      25.9       0.4436     0.1330                D518300200064 
2.154      2.125      32.5       0.1241     0.0372                D518300200065 
2.154      2.125      39.2       0.0686     0.0205                D518300200066 
2.154      2.125      45.9       0.0315     0.0094                D518300200067 
2.154      2.125      52.7       0.0270     0.0081                D518300200068 
2.154      2.125      59.7       0.0189     0.0056                D518300200069 
2.154      2.125      66.9       0.0188     0.0056                D518300200070 
2.154      2.125      74.4       0.0105     0.0031                D518300200071 
2.154      2.125      82.2       0.0101     0.0030                D518300200072 
2.154      2.125      104.0      0.0119     0.0035                D518300200073 
2.154      2.125      110.8      0.0086     0.0025                D518300200074 
2.154      2.125      117.5      0.0206     0.0061                D518300200075 
2.154      2.125      124.1      0.0182     0.0054                D518300200076 
2.154      2.125      130.5      0.0115     0.0034                D518300200077 
2.154      2.125      136.8      0.0279     0.0083                D518300200078 
2.154      2.125      143.1      0.0328     0.0098                D518300200079 
2.154      2.125      149.3      0.0558     0.0167                D518300200080 
2.154      2.125      155.5      0.1936     0.0580                D518300200081 
3.587      2.125      26.7       0.2262     0.0678                D518300200082 
3.587      2.125      33.5       0.0726     0.0218                D518300200083 
3.587      2.125      40.4       0.0366     0.0110                D518300200084 
3.587      2.125      47.4       0.0197     0.0060                D518300200085 
3.587      2.125      54.5       0.0210     0.0064                D518300200086 
3.587      2.125      61.8       0.0144     0.0043                D518300200087 
3.587      2.125      69.4       0.0100     0.0030                D518300200088 
3.587      2.125      77.4       0.0087     0.0026                D518300200089 
3.587      2.125      108.4      0.0131     0.0039                D518300200090 
3.587      2.125      115.4      0.0188     0.0056                D518300200091 
3.587      2.125      122.3      0.0184     0.0055                D518300200092 
3.587      2.125      129.0      0.0241     0.0072                D518300200093 
3.587      2.125      135.5      0.0299     0.0089                D518300200094 
3.587      2.125      142.0      0.0316     0.0094                D518300200095 
3.587      2.125      148.5      0.0425     0.0127                D518300200096 
ENDDATA             87          0                                 D518300200097 
ENDSUBENT           96          0                                 D518300299999 
ENDENTRY             2          0                                 D518399999999 
